Other,English
(a)jiGë,cup
"(š)dong, hdong",tooth
"-song, hongGë-",fart
"Gachir, Gažir",land
"Gadasong, Gasong",nail
Gadë-,to mow
Gadë-,to nail
Gadër,sickle
Ganžir-,rabid
Ganžong,wall
Gažisong,intestines
Gob-arang,thirty
Golai,robber
"Golo, xolo",far
Golsong,rush
Gomsong,finger-nail
Gor,short
"Gor, xur",toe
GorGang,lamb
"GorGei, GorGi",insect
"Gora, Gura",rain
Gorang,three
Gordong,rapid
Gorudë-,collect
Gua-,to divide
Gua-,to wash
Guar,two
Gui-,to search
"ab-, an, apë-",to take
"adal-, adëlë-",to herd
"adali, adëli, mëtgo",similar
aldë,fathom
"ale-, alë-",to kill
alëG,variegated
"alër, arën",poorly grown
amang,mouth
amtëg,taste
andaGa-,to let loose
andërëG,oath
angGi-,to gape
"anžasun, anžisong",plough
"anžë-, anži-",to change
"arGong, aroG",woven basket
arsong,skin
arung,clean
arë,molar tooth
"asGë-, asxë-",to ask
asong,horse(s)
ba-,to defecate
badang,food
balang,ready
basong,excrements
"batë, xotong",hard
"be, mene",I
"bede, man-",we
"bei-, va-, vi-",be located
"beidong, žižang",thick
bese-,enjoy
bežiGën,small
boGor,buttocks
"bosong, bosung",louse
"bu-, bü-, halGolë-, xalGë-",to step
"bël-, bula-",to attack
bëldë-,to prepare
bërgë,flea
"chabsong, chasong",snow
"chase , chë(chi), chënë , chose",thou
chimxang,jujube
"china, chyna",wolf
chirgë-,pull
chisong,blood
chixang,white
"chixang, chixong",ear
chixë-,press into
chixë-,to stamp
chiže-,nourish
"cholë-, chorë-",to pierce
chong,few
chongGë-,to pinch
chonglë-,to listen
chëbchi-,mow
da(r)-,to press down
da-,to be able to cut
"daGa-, degë-",to follow
dabsong,salt
dali,shoulderblade
dandë-,trade
de-Gong,above
"derang, derong",four
desong,rope
desë-,to lay
doGong,below
doGë-,to mix
dolë-,to lick
"dong, dun",song
dorë,inside
durë-,direct
där-,become cold
dë-,to pull
"dëu, du",younger sibling
