Other,English
bosko,a little
balys,a man's wife's younger sister
haga,about
örüte,above
ahý,acid
ebï,additionally
"bar, bary",all
is-,amble
-ng,an ending of the 2d person
"mung, munnuk",angle
tüökün,archness
kül,ashes
kühün,autumn
köksü,back
kytarak,barren
tuha-lä-,be helpful
komurduos,beetle
iligine,before
ötü,belt for fastening loads
ahylyk,berry
"ulakan, ulü",big
tuos xä,birch bark
katyng,birch tree
menge,bird-seed
kara,black
kän,blood
küök,blue
onguok,bone
konnok,bosom
"hä, sä",bow
"mutuk, talak",branch
kakryj-,break into small pieces
tüös,breast
emij,breast (fem.)
ubaj-,burn
arý,butter
"timek, timëk",button
hurt,camping-site
bergehe,cap
tumus,cape
yrdä-,carry on back
hyngäk,cheek
tyngyrak,claw
bylyt,cloud
kömör,coal
tymný,cold
amarak,compassionate
hürek,courage
üs,craftsman
ogus-,crush
kyrä-,curse
batary,deep into
taba,deer
hïk,dew
egin-egin,different
yräk,distant
üllehin-,distribute
engin-engin,diverse
yt,dog
orö-,drag out
ieregej,drill
kuränak,dry
kus,duck
kulgäk,ear
buor,earth
"kyrý, uhuk",edge
hymýt,egg
hangas,elder brother's wife
östök,enemy
kiehe,evening
ötök,everything old
aný,evil
karak,eye
käs,eyebrow
"emis, hya",fat
aga,father
tü,feather
"igï, igï",file
uot,fire
balyk,fish
burduk,flour
haksyrga,fly
tugut,foal
"atak, halbax",foot
ihin,for the sake of
hüs,forehead
törüt,foundation
tüört,four
tong-,freeze
tong,frozen
"toloru, tot-, tuol-",full
terij-,gather
belek,gift
kýs,girl
huos,glowing coals
hilim,glue
mun-,go astray
tangara,god
ötüö,good
kut,good fortune
käs,goose
ehe,grandfather
ot,grass
tolot,hail
as,hair
up,handle
üchügej,handsome
uobu,happen
kytänak,hard
ahyn-,have compassion
kýrt,hawk
gini,he
menï,head
bürges,head of an arrow
"bas, battak",head of reindeer
kunäs,heat
yara-kan,heavy
kömö,help
üör,herd
"ühe, üöhe",high above
tibï,high wind
kyrdal,hill
"it-, üt-",hit
kyrya,hoar-frost
"ana, anak",hole
tunak,hoof
muos,horn
at,horse
ichchi,host
uluj-,howl
hüs,hundred
ach-chyk,hungry
min,I
büs,ice
kotun,in the direction of
is,interior of smth.
hühüök,joint
tobuk,knee
bï,knife
tümük,knot
komuos,ladle
ïn,lair
küöl,lake
hir,land
