Other,English
"'ioro, sioðo, sioro",language
"abuði, ae, eba, ebë, ewa, pe'",head
"acha', ädäa, ede",father
"adde, jiddu",a k. of salmon
"adde-, addo, addu-, adi-",to sit
addu,a k. of insect
"awuo, tohonô, tole, toleo', toliojuo, tone, tonne, tore'",that
"badadda-, bará-",to lead
baddu,root
"batado, bátaro",loin
batu'o,tail
batá-,to pour out
"beddu', bedduo, bedu'",breath
bese,a k. of metal
bi' (heng bïro'),water
"bide, bire",blood
"bine, nieijo, niojo",girdle
biu',five
"boda, bora",bifurcation of a river
"boda-, bora-",scrape
bá'a,sleeping hole in snow
bággo,pit
"báðo, baro, feðe, ferie",side
bä',fence
bï,son-in-law
chámmara,hollow of hand
daha,river
"daza-, jada-, jara-",wander
"däre, dere, jéðe, jére",day
"e-ke, e-ko, e-lei, e-loi, i-nö, nedo, nene, nero, nie",this (1)
edde,heat
"eddo, falli, naddo",spit
"eddo, naddo",horn
"eu, nangu",chin
"faede, färu, paede",cheek
faeha,a k. of fish
fe'e,tinder
"fe, feo, pe",palm of hand
fedda,skin from the feet of deer
"fedi'a-, feri'a-, fiði-, fie-, fire-",boil
"fei, feide, feire, fösuma",become dark
"fi'á-, fi'e-",to hit
"fide, filo'io, fise",long
"fide, fire', pide",nest
"fidi', fidi'a-, firi', firi'a-, firo'",to cut
"fite', pite'",lip
"fode-ma, fode-me",many
"fodâ-, forâ-",to become wet
"foggo, heng nïdo', nï', poggo",shaft
"fosë, fuase",knee
"foðara, forada",to burn
"fu, fû, pu",stone
"fuasa-, fuenga-",to blow
fun-,place
"fuo', fuone, fuonô, fuonône",back part
"fáda, fára",to paint
"fä, faa, fe, pä",wood
fédiko,animal's stomach
"fïdu, fïtu",thumb
"fïdu, pidu, pïdu",ermine
fïe-,to be afraid
"fóde', fóre'",harness
"fóde', fóre'",yellow
"fónéngé-, fóningé-",to watch
"fúðu, fúru'",something stamped
"hadda-, kadda-",to carry
"hêre', kede, kêre', keze'",wild reindeer
höke,which
iddo,bow
"idi'a-, iri'a-",to hang
"ie, jï",glue
ina,big
inobo,mother-in-law
"ito', itto, to', tö'",hair
"iði-, jire-",to live
"iðo, iðone, iro",space below something
"iðu, juru",comrade
"iðá-, jirá-",carry
je'oa-,die
"jode, jodene, jore, jorene",interval
"jodea, judâ",middle
"johe-, johi-",separate
jote,dew
"joðe, jore",deep place in water
"judota-, jurotá-",to get lost
jéddi,bowstring
"ka'aða-, ka'ara-",turned over
kaba,wave
