Other,English
"-c, ahach, terak",tree
"-j, -n",an ending of the 2d person
-ma-,not
-mo,interrogative particle
-sy,possess. suffix (3d person)
"1a, tat, tatuv",taste
ach,hunger
ach-,to open
"achy, ažy",acid
ad,name
"adaš-, janghyl-, jangyl-",to err
adym,step
"aha, aqa",respectful address
ahu,poison
ahyz,mouth
aj,month
aja-,to pity
ajaq,pot
"ajas, ajaz",frost
ajax,foot
ajlan-,to revolve
ajran,kumys
ajyr-,to separate
al,scarlet
al-,to take
"al-d-y, alyn, öng",front
ala,variegated
alang,plain
alas,weakness
alhyš,blessing
alp,chief
alpawut,gentry man
alt,lower side
"an-ar , an-da , o",that
ana,mother
ang,wild game
"ankit, anqyt",ostrich
ant,oath
anyq,ready
apaj,aunt
aq,white
"aq-, com-",to flow
ara,space between
aran,fold
arpa,barley
"arqa, art, arxa",back
arqytyn,gradually
aryš,thill
as,ermine
"as-, ger-, tart-",to hang
at,horse
at-,shoot
ata,ancestor
"av, quw-",chase
"av, uv",net
av-ha-la-n-,to tumble
avd-,to roll
avdar-,to turn over
"avuch, uvuc, uvuch",handful
"avun-, uvun-",to be consoled
"awlaq, jalhyz",lonely
az,a little
az-,to go astray
aš-,to cross a mountain
aš-la-,to graft
aš-lyq,seed
"aša-, je-",to eat
ašyq,die
"b'ork, bärik",cap
bahyr,liver
"bahyr, jez",copper
baj,rich
"baja-hy, baja-qy",recently
bajram,feast
bajraq,flag
bajyl-,to fade away
bajyr,hill
bal,honey
"bala, cocka, gench",child
"balaban, bazyq, bazyx, kür",thick
balaq,trouser leg
balchyq,clay
baldyr,calf of leg
baldyz,a man's wife's younger sister
balta,axe
balyx,fish
baq-,watch
baqa,frog
bar,there is
"bar-, gez-, juru-, jürü-",to walk
"barca, barcha, top",all
barmaq,thumb
"bas-, syq-",to press
"bat-, dal-",to sink
bataq,marsh
baw,bundle
"baz, baz-la-, uvut-",to comfort
bazy,someone
baš,head
bek,stable
bel,waist
"belek, sawha, syj",gift
"beling, qyrhyj, qyrqyn, qyrxyn",hawk
"bengz, bet, iz, jiz, juz, jüz",face
bengze-,be similar
bez-,to shiver
bich-,to cut
bij,phalanx
bije,foaled mare
bil-,to know
bile-,to sharpen
"bilek, cyhanaq",forearm
"bir, byr",one
bit,louse
bit-,to be ended
"bivrek, bögrek",kidney(s)
biz,awl
biz,we
"biš-, piš-",ripe
boh-,to strangle
"bohaz, bohoz",throat
boj,body
boja-,to paint
bojaq,dye
bojdax,young lamb
bojun,neck
bol-,to become
"bolha-, bulha-",stir up
"boq, tez'ak",dung
bor,chalk
"bos, boš",empty
bota,young of camel
"bu, mu",this
"buchaq, buchqaq, müjüš, müvüš",angle
buha,bull
"buhuw, buqov",string
bujur-,to order
"bul-, tap-",to find
bulut,cloud
"buna-, qutur-",to become mad
bur-,wind round
burchax,pea
burun,nose
but,thigh
buta-,to cut branches
butaq,branch
buv,fog
buvun,joint
buz,ice
buz-,destroy
"buzuv, byzuv",calf
bušurhan-,be disgusted
byla,also
byltyr,last year
"byq-, toj-, toly",full
byraq-,to let
byrhy,trumpet
bök-lä-,plug
böl-,separate
"börü, qašqyr",wolf
"büg-ül-, jugun-, jügün-",to bow
büjük,big
bül-,to be destroyed
bülew,whetstone
bürche,flea
bürtük,grain
bürüš-,to wrinkle
"cajna-, chajna-, chejne-, kövše-n-",to chew
cal-,to bind around
cal-,to knock down
"calhy, calqy",scythe
calma,turban
calman,wattle
"cam, cham",pine tree
"cap-, savaš-, ur-",to beat
"capcaq, chapchaq",big vessel
"caq, chah",time
"cekic, chöküch, cokuc",hammer
"cekmen, chekmän",woollen cloth
cengge,jaw
"chach-, sach-",sow
chal,grey-headed
"chap-, it-",hit
chapa,currycomb
chaq-,to strike fire
chavuš,senior worker
"chechek, chichek",flower
chege,temple
cheger,blackthorn
"chegirdek, chekirdek",fruit stone
chegirtke,grasshopper
"chevir-, civir-",to twist
"chimde-, jurq-",to pinch
chimdik,a pinch
"chiprek, chüpräk, ciprek",patch
"chiri-, ciri-",to rot
"chirik, cirik",rotten
"chivij, chüj, chüw",nail
"chochqa, domuz, tonghuz",pig
chochuq jatahy,afterbirth
chochxa,young boy
chohy,crowd
chohy-,to peck
cholaq,crippled
"chom-, jalda-, jalda-, juw-",to swim
choq,many
choq-,to sting
"chubuq, cubuq, cybuq",lash
chulha-,to bind
"chuqu, chuqyr, cuqu, cuqyr",delve
"chyban, cyban",furuncle
"chybar, cybar",pock-marked
"chyj, cij, jaš",raw
chyjyr,mischief
"chymda-, cymda-, ysyr-",to bite
chyq-,come out
chyryš,glue
chyx,dew
"chyz-, cyz-",to draw
"chök-, cok-",to kneel down
chöm-,to dive
chömel,haystack
"chömüch, chomych",scoop
chöp,dregs
"civre, togerek",round
cyfcyq,sparrow
"daa, daxy",additionally
dah,mountain
dahy,and others
"dahyn, daxa, jana, jane, jany",again
"dary, tary",millet
de-,to say
degiš-,to change
del-,to bore through
"deli, teli",stupid
demin,immediately
"deve, tüje",camel
dilim,slice
"dinle-, šit-, tyngla-",to hear
direk,support
"diši, tiši, yrhachy",female
"doGra-, tuvra-",to cut into slices
dugul,is not
"duj-, tuj-",to perceive
dört,four
"düz, düz-, düze-, tegiz, tüze-",level
e-,to be
"ege, egew",file
ek-,to sow
"ekmek, etmek, ötmek",bread
eksik,common
eksil-,to decrease
eky,two
ekši,sour
ekši-,to be sour
el,country
"ele-, öle-",to sift
"elek, ölek",sieve
elik,ridicule
elt-,to bring
emen-,afraid
emgek,bother
emgen-,to suffer
endi,now
engk,very
"engse, ense",back of the neck
"erdek, ördek",duck
eren,mankind
erik,plum
erin,lip
erkek,man
es,memory
esir-,to become drunk
eski,ancient
et,meat
etek,edge of cloth
