Other,English
"'lmas, 'lmasing",thorm
"-a, ávghan, qan",to become
-an,without
"-aq, agyn, aq, t:aq",to leave
"-bil, -vel",to overtake
"-del, dïl, qïl",to put on
-den,to weep
"-den, -te, -ten, ejeng, ëjeng",to go
"-dod, ábaghoj, avqqij",to make longer
-dop,to plug
"-dop, do:gh",jump
"-doq, dïbä, dïvä, dübä, düvä, ileng",to eat
"-du:t, -dur",to put on light
-duk,to push
-dup,to close
"-dé, bilgit, hagdé, hagden, kllgug, kllgun, kolgit, lamej-git, laméjgit, qáq, qölgit, to't, to't, totn, totn",a k. of fish
"-ga, datáj-ga, datolga",to go ground
"-gel, -gil, -kil",to spool
"-ghut, -qut",to be finished
"-git, dïbegat, dibilegat, ilegat",to search
-igaq,to flay
-in,toy
"-oks, anoks",tomorrow
-roq,to burn
-sál,spend the night
"-te:ng, -teng",to jump up
-vit,spend the day
"a'l, al, dala",half
a'q,trees
a't,soon
"a't, adeng, areng",bone
"a:dä, adä",to be ill
"a:ji, aj, ajeng",sack
"a:k, agyn, agyn, be's, besäm, besn",hare
a:l,broth
a:ng,hot
"a:s, a:sam, as",along
"a:s, a:si, as, aseng",feather
"a:tä, a:te, at",to search and gather
"abataghan, ábataghan",to sweat
"abes, aves",bifurcation
"abygët, haldij",to bend
"abyl, ábyl",stick
"agdi, akngi ïteng",mouth cavity
"agdis, agdisn, kílarang, kílat, kílet, kíllat",thigh
agen,to stay
"agh...da, daghabda",to load off
"aghus, águs, e:l",blueberry
"agul, aul",rust
"agynd, agynt",stay behind
"agä, qatop, qatopang, qatü:ng",shore
"aj, aksej, aksejsang, an",why
aja,coire
"ajang, ajeng",to damn
ajet,to become angry
"ajgit, e'n, ëj",pine
"ajgong, enggä",to jump
ajta,to be bad
aks,what
"aksarang, aksedang, oksat",shoulder blade
al,in the wood
"alangas, ales, alesn, dapqul, dapquläng",heap
"albet, klmbet, klngbet, kyngbet",to deceive
"albät, qük",quietly
"alchin-tamši, alchin-tamšu, alt-tamši, aštamše",hundred
"aldo, altet, diatet, dietet, ta:dä, ta:ri, tar",to beat
"alegin, alen, aleng",trousers
algen,black duck
algit,debt
"algä, hl'l, hl'n, ho:l. hoghol, ho:n, hoghon, hoja, hojen, tamät, ulen",a k. of duck
allal,an anthropomorphic idol
"aläk, aluk",dog team
"ana, anet, besa, bisse",who
"anbet, aningbet",to think
ang-bet,be sad
"anggej, angyngej, iksing",to bind
anggäl,splint
anggät,to warm up
"antet, ántet, donábtat, döntet, duntet",to stick into
anun,how much
anun,mind
aq,to go out
"aq-ta, aqtäm",good
aqqat,to make sour
"aqqäl, aqqälang, aqqälangyn",leading strings
"asanäj, la:lä, la:li, lal",to speak
"asel, aseläng, aseleng, aslenäng, aslenin, aslin, aslinin",a large boat
"asel, asl, asleng",bog
"ases, bilejam",which
aska,when
"aspul, aspuläng",cloud
assano,to hunt animals
"assel, assen",wild deer
"at:in, aten, ateng, atij",a k. of water-worm
"ata, áta, attá, attol",coffin
"ata:n, atäp, atapäng, atat, ataväng",tongs
"ataq, atij",to pour
"atej, atij",to climb down
"atintäng, atis",tree root
"atpej, atpejeng",soul
"atpen, atpenang",fish net
"attas, attasn",hunting spear
"atto, atto:n, attón, ellä, ella:n, ellán, elyn",door
"ba'ng, bang, bangngung, bangngus",earth
"ba't, batpul, batpuläng",knee
"ba:, ba:n",a small bird
"ba:m, ba:t, bamäng, batäng, bo:m, bo:t",old woman
"bagdeng, dibblk",to pull
"bajbul, bajbuläng",kidney
bal,between
"balbedäng, balberäng, balbet, qogdäm, qogdäng",hail
"balbet, balvet",to pray
"baln, balneng",bird-cherry
"bangas, bangäsn, banges",rapid
"bangba, do:-bä, sigba",device for catching fish
"bangsama, hu's, lji",berry
banguja,mole
"banna, bannan",sleeve
"batäng, battäng, battop, qobdi, qopt",palm of hand
bayinsál,I spent the night
bbn,not
"bbnchäng, bbnseng, bbtseng",there is not
"bbtkit, bbtn, bbtnäng",a k. of salmon
be'l,different
be'l,harlot
"be'p, bebäng, e:ne, en, ënin, enn, ënn, enne",son-in-law
be's,rabbit
be't,snow
"be:dä, be:ri, ber",to do
"bejing, kl'n",light
"belyng, l:l'",separate
"benä, bene",separately
besemn,hare overcoat
bestaq,index finger
"bghä, l:n, lghyn",branch
"bi:l, bi:leng, bi:lt, bïleng, bïltäng",martlet
"bi:l, bil, biläm",far
bibbä-ta,resound
"big qol, qághol, qo'l, qolin, qük",river
"big, qá, qáng, qe', qëng",big
bikse,otherwise
bila,how
"bilas, biles",towards where
"bilil, binil",whence
"bilät, biláta, bimbata, bimbe-te",is heard
bin,a piece of fish
bin,onself
"bisa:ng, bisang, biseng",where
bise'p,brother
bje,fish trap
bkng,you
bl,a place close to the shore
"bl'n, blngit, blnnej",duck
"bl:gä, blg",to find
"bljang, qo",enough
"bljbul, bljbuläng",braid of hair
blntän,a k. of wild duck
blsl,thick of paper
blssem,widow
blssälgit,widower
"bn, l:n",to boil
"bo'k, bök",fire
"bo'l, boleng, quseng, qusing",thick
"bo'q, boqng",fish-trap
"bo:n, boghon, boghonyng, böq",mitten
"bogdet, bogdiräng, bogdit, bogditn, kügul, kügulän",fire-brand
"boksa, boksan",pimple
"bolba, bolban, bolva, bolvan",mushroom
"bolbes, bolbesam, bolbesn, boles",matchmaker
"bonggul, bongguläng, bongul, bonguläng",knot
"bongtu:n, bongtug",herring
"bs, bsi",to moor
"bt, btn",we
"bta, btna",our
"bu, bü, büng",he
"by's, bysäng",penis
byldä,all
"byst, bystin, bystinäng",bee
bágä,log
"bángol, bangul, bangylang",grave
"bát, battaräng, battat, battatäng, bint, ho'l, hol",face
báting,joints of reindeer
bátäng,old man
"bèajam, bèjam",much
bëj,wind
"bï, bïget, bïk",other
"bïkng, bït",diver
bïs,evening
"bóghat, böghat",right
"böng, bongáng",dead man
böt,often
"bül, buläng",leg
"bÿrs, bÿt, bÿts",hard
"da'l, daleng",sinew
"da'n, di'",tree trunk
da'ng,tasty
"da-vop, dabdop",I drink it
"da:ghe, dagh",to laugh
"da:mä, dam",to bark
da:n,grass
"da:ng, da:ngä, dang",to knead
"dabi, dabíj, dahbde, dalon, davíj, esa",to put
dabop,to drink
"dadávere, dáverej, dij, qan rij",put down
"daghating, di, diebit, dieboghoat",to hide
"dajugavet, iget",to gather
"dalaáng, daláng, do:l, doläng, doleng",clothing
"daq, dbkng, dlkng, dlqng",to fall
"daqng, daqqot, daqqot",to roast
dasngati,I pluck berries
"dbanglogho, dbangsogho, do",to see
"dbdäng, dbgät, dlkket",Nenets
"dbligit, dlgit, dlit, dllit, dllo, dlloks",willow
"dbndi, dbnt, dlndi",dragon-fly
"dbneng, dl:nä, dl:ni, dln, dlnä",willow bark
"dbs, dbstin",urine
"de', dëng",lake
de'ng,people
"de:dä, de:n, dedä, der",to read
"de:nbato, entij, entïng",to remember
"de:sij, desij",to shout
"dedäng oks, deräng oks",a k. of trap
"dekng, dït",woodcock
"deltan, dïtögät, tallüt",to lie
deltim,weak
deng,men
dengápti,to scratch
desolej,I shouted
dettej,woodcock wooing
"di', di:n, digin",eagle
"didegháf, dïdegháf, dkadiän, ingháf",to sit
diditn,I shall hide
dik,resin
"dikkän, dïkken, ïn, kibdoqng",to stand
"dis, disä",to swear
"dittoghoat, tallat, töloghoat, usen",to sleep
"ditápyl, ditöbenfyl, itanfyl",to twirl
dl'q,to live
"dl:jä, dl:ji, dlj, dljä, nlj",to touch
dl:l,powder
"dl:l'ej, dl:lej",to become hoarse
"dlmbok, dlmbok, dlmbokng",net needle
do,to share
"do'n, donäng, donul, donuläng",knife
do'ng,pus
"do'ng, döng",brain
"do'ng, döng, dongäm, dongäng",three
do's,idol
"do:bä, do:vä, dobij, dovij",a device for catching fish
"do:n, dogon",moss
dobalop,I drank it
