Other,English
"-ma, -me",interrogative particle
-ma-,not
-ng,an ending of the 2d person
-sy,possess. suffix (3d person)
"a-haa (dat.), an-da , ol",that
"aal, derevenya",village
aalšy,guest
"aar, möötig aar",bee
aba,bear
"aba, ada, paba",father
"abaa, acha, tungma, xaryndas",brother
"abysqa, apchax, apsax",husband
abyt-,to lull
"adaj, aday",dog
ah,net
aha,father's father
"ahaja, ahajang",gull
ahas,forest
ahas,tree
"ahlax, chalhys",lonely
"ahryn, ähyrin, ahyrtyn",gradually
aj,edible root
aj,month
"aj, ing, jaba, jaba, ning",very
aja,palm of hand
aja-,to pity
ajas,frost
ajax,cup
ajla-,rotate
ajn-yt-,to speed up
ajran,kumys
"ajt-, tä-",to say
ajyh,sober
ajyt-,sing
al-,to take
"al-ax-, al-yn-",to go mad
ala,variegated
ala-buha,perch
alas,upset
albyx-,to act as a meddler
alda-,to deceive
alny,front
alta-,to step
alty,lower side
altyn,gold
alyh,fool
alyp,brave
am,now
"am-dy-hy, am-hy",recent
amyr,gentle
amyra-,to be quiet
ang,wild game
ang-dar-,to turn over
"angaj-, sahyn-",to miss
angdy-,to look attentively
angel,angel
angmaj-,to be perplexed
angmax,standing with one's mouth open
ar-,to become lean
ara,space between
araha,wine
"arba, köche",barley
arba-,to make magic
"arha, ucha",back
arha-,weft
"arhys, nanšy",friend
art-,carry on back
aryh,clean
aryx,excrement
as,a little
as,ermine
as,meal
as,seed
"as, astaany, özökkeni",hunger
as-,to cross a mountain
as-,to go astray
as-,to open
as-ta-n-,to beware of a disease
at,horse
at,name
at-,shoot
at-,to dawn
atpax,gills
"atyx-, segir-",to jump
ax,white
ax-,to flow
"axsa-, tuza-",to hobble
azax,foot
azax,leg
azyh,fang
azyr-,to separate
aža,elder brother
bišnya,cherry
boš,empty
"bukva, pichik, pismo",letter
"cbechi, svecha",candle
chabas,quiet
chabdax,without saddle
chadyh,bush
"chah, simis, üs",fat
chah-,to rain
"chaha, us, us, xri, xyryh, xyryj",edge
chahban,tasteless
chahylbaj,a k. of small hawk
chahyn,near
"chahys, nahys",single
chaj,summer
"chaja, pil",waist
"chajxa-, najxal-",bring into motion
chal,grey-headed
chal,price
"chalama, chalangma",sacred band
chalang,naked
chalha-,to lick
chalyn,flame
chama,mountain garlic
"chan, nan, tus",side
chap-,to cover
chapla-t-,to lap
chapsyx,lickerish
char,steep bank
char-,to split
char-xanat,bat
chara-,to be beneficial
charban-,to climb up
charhyn,some kind of wild quadruped
chary-,to shine
charyn,shoulderblade
"charyx, jengik, nïk",light
chas,hour
chas,raw
chas,spring
"chas, chas, chil, chyl",year
"chas, chas, xax-",tear
"chas, chiit",young
chas-,sin
chasta-,to prop on a pillow
chastyx,pillow
chat,foreign(er)
"chat-, uzu-",to sleep
"chaxayax, porcho",flower
chaxsy,good
"chaza-, püt-",to create
"chazy, jalang",steppe
chazyh,be lazy
"chazyl, kök, nohan",green
chazyn,lightning
che-,to eat
"chelbax, nalpax",broad
"chigär, chigren",yellow of a horse
chil,wind
"chilege, tazyl, tüp",root
chilen,mane
"ching-, ut-",to win
chir,land
"chir, chir charyx",world
"chis, paahär, saryh chis, xola",copper
chiste,sister's husband
"chistek, sestek, xat",berry
"chit-, tig-",to reach
chittä,seven
chlyh,warm
"choda, put, pyxty",thigh
chohar,up
chohdyr,hair in camel's beard
chohyn-,to pray
chol,road
chong,accusation
"choraxa, morsyx, moršyx, porsyx",badger
chorhan,blanket
chox,there is not
"chuh-, som-",to swim
chuha,unsubstantial
chul,fountain
chul-,pluck
chula,torch
"chulhas, chulhus, ohyr",thief
chura-,to knead
churt,camping-site
churux,rag
chut,bad weather
"chux, säs",resin
chux-,to stick to
chyh-,to collect
"chyhanax, pälek",forearm
chyl-,to creep
chylan,snake
chylhy,age
chyltys,star
chym-cholhaj,turf
"chymalchyx, symalchyx",small finger
chymchyx,a pinch
"chymžax, nymzax",mild
chymžy-la-,to pinch
chys,mountain forest
chys-,polish
"chä, chaa",war
chä-žax,bow
chäk,seam
chälbägen,monster
chäläng,spinal marrow
chäp,thread
chär-,to split lengthwise
"chäs-, täs-",to bead
chät-,to be lost
chätäg,sharp
"chäžäk, säs",swelling
chën,nephew
chït,brave man
"chön, xalyn",thick
"chör-, par-",to walk
"chöx, sös",word
"chüg, tük",feather
chügen,bridle
chügür-,run
chük,load
chürek,courage
chüs,hundred
"chüs, mïs",face
chüs-,float
chüstük,finger ring
"daa, dee, taa, tee",and
"dä, tä",additionally
"edis, könek",vessel
ek,chin
eke,two
eläk,ridicule
"em-, sor-",to suck
gorod,city
güz-äm,autumn wool
hedelya,week
i-,to be (aux.)
"i-di, tege",thus
"ib, tura",house
ibek,quick
ibäräg,funeral
ibïr-,to turn
"idek, idek",edge of cloth
ige-,to file
iir,evening
"iizïk, ïzïk",door curtain
il,country
ilge-,to sift
ilgek,sieve
iläk,wild goat
"imžek, kögis, tös",breast
in,earmark
ingde-t-,to flounder
inge,needle
ingnï,shoulder
inä,mother
ipchi kizi,woman
"ipek, xalas",bread
iren,mankind
irgek,thumb
irkä,cockered
irkän,threshhold
irä-,to melt
iräk-,to languish
irïn,lip
is-,to obey
is-,to row
"is-, ist-",to hear
isker,interior of something
it,meat
"it, nime, syn, telo",body
izer,saddle
izert-,to follow
izïr-,to become drunk
"jabylyh, xyjtyx",greedy
jekpe,wolverine
"jelbegej, kergen",a k. of bird
jivotnay,animal
juq-,overthrow
jys,smell
kem,who
"kengne-, kimär-",to gnaw
"kibäk, xöx",bran
kibäs,rug
kigär-,to belch
kii,air
"kiik, öski",goat
kil-,to come
kileskä,lizard
