Other,English
'um,hold in mouth
a,this
a-bong,mouth
a-chak,joint
"a-chung, chung",the chief point
"a-dóng, dóng, lí",a house
a-far,price
"a-frón, frón, fróng",count
"a-gjám, gjám, zhäm, zhäm-mä",entire
a-grem,cage for beasts
"a-grem, a-grjam, grjam, tüng-grjam",basket for fowls
"a-gun, gun",a road
"a-hyir, lók, lük-lók-lä, rük-lók-lä",red
"a-jeng-chot, a-jeng-tjol, a-jeng-tjól, a-jeng-tjól",placenta
"a-kam, kam",block of wood
"a-kjang, kjang, tung-kjang",a corner
"a-kljóp, kljóp",flat
"a-krju, krju",the slough of a snake
"a-ku, ku",paternal uncle
"a-kíp, kíp",slight narrow shoot
"a-lim, lim",the spleen
"a-ling, ling, tük-ling, tük-tok, tüng-ling",neck
"a-lut, lut",manure
"a-lí, lí",tongue
"a-lóng, lóng",reflective light
"a-mik, mik",the eye
"a-ming, ming",a word
"a-mlem, mlem",face
"a-mo, mo",mother
"a-män, män",cooked
"a-mät, ä-mjal, ä-mjel, mät",hair
"a-mít, mít",a female
"a-njor süng-tong, bóng, póng, süng-tong, tong-tong",deaf
"a-nju, nju",an aunt
a-pi,bark
a-pót,weights for sinking it
a-sóm,breath
"a-tat, tat",notched
a-thol,testicle
a-thun,foreskin
a-thüng,length
"a-tjum, tjum",bunch
"a-tjäk, tjäk",little
"a-tol, tol",heavy-rumped
"a-täng, täng",all country below the source
"a-tí, tí",egg
"a-tüt, tüt",the knuckles of hand
"a-zham, zham",accuracy
"a-zhu, zhu",a thorn
a-šut,fat
acom,hair of head
akhris,close
aróng,horn
bam,remain
bi,vegetables
bjong,cloud
bljan,full
bong-käm,the upper jaw
brjang,name
bü,carry
bü,insect
chek,to hew down
"chhóm, kung, lón",to agree
chhór,pouring of water
chim,be thin
chim,pour out from a larger vessel
chir,to sparkle
"chit, thek",to divide
chom,to be drawn together
chor,to be wrinkled
chí,beer
chíl,to drivel
chók,grave build in a circular
chól,to be in uproar
chóng,to be handsome
chóng,to wash
chóp,suck and afterwards
chóp,to add to
chór,spread out
chór,to be acid
cuk,bite
"da thó, thó",a large expanse
"dan, dang",to stretch out
de,to create
"di, dí",to proceed
dik läng-zhik,scorpion
djam,to tell tales
"do, do-la",even as
dun,to for tell
dung,to be erect
"dyang, keng, thong",foot
dyuk,spittle
dár,increase as water after rain
dä,repeat the charm
dä,stagnant water
fa,swim
fat,earth
fo,tooth
fo-gom,molar tooth
"fran, fren",ulcer
"fran, fren, frong",swelling
fóng,green
"gar-nek, sung-gang, thik",penis
"gjap, món",many
gjek,to bring forth
gjo-m,right
glä,make appearance
grang,be able to walk
grik,sound of anything
grjam,to obstruct
grong,powerful
grop,to cover with hands
"grun, räng",to watch
grám,to hasten
