Other,English
-ahtoq- (n rt f),handle
-ahtoq- (n rt f),post
-ahtoq- (n rt f),stem (plant)
-ahtoq- (n rt f),wood
"-ahtoq- (n rt f), lasokihikon (ni)",trunk
"-ahtoq- (n rt f), opos (-iyil)(ni)",stick
-akonike- (vai rt f),curve: make a ~ (basket hoop)
-alokittiye- (v rt m),expletive expressing anger
-alokittiye- (v rt m),expressing frustration
-alokittiye- (v rt m),scorn
"-amqahk (pc rt f), -amqahk (pv rt f)",thousand
"-ap (n rt f), ahpap (-iyik)(na)",rope
"-ap (n rt f), ahpapossis (na dim)",string
-ap (ni rt f),juice
-ap (ni rt f),syrup
"-ap (ni rt f), ksap (ni), ksapuwihikon (ni)",soup
"-ap (ni rt f), sunap (-iyil)(ni)",jam
"-ap (ni rt f), sunap (-iyil)(ni)",jelly
-ap- (n rt/v rt),masculine
"-ap- (n rt/v rt), skitap (-iyik)(na)",man
"-ap- (n rt/v rt), wenicanket (na)",male
"-apasi- (vai rt), -uhse- (v rt)",walk
-apeki- (vai rt f),crawl
-apektuhusi- (vai rt f),organ: play ~
-apektuhusi- (vai rt f),piano: play ~
-apektuhusi- (vai rt f),play stringed instrument
-apesi- (vai rt f),benefit
-apesi- (vai rt f),paid in money or goods as wage
-apesi- (vai rt f),salary
-apesi- (vai rt f),share
-api- (vai rt f),gaze
-api- (vai rt f),look
-apom- (vta rt f),burn
"-apom- (vta rt f), apotom-",look at
"-apom- (vta rt f), nutahqet (na)",cook
-atuwe (vai rt f),speak in such manner
"-atuwe- (v rt), -atuwe- (vai rt f)",climb
-awsi- (vai rt f),live
-cihte (vii rt f),color: be of ~
-hom- (v rt),swim as means of moving from one place to another
"-hsin- (v rt), -ossin- (v rt)",lie down
"-hsin- (v rt), -ossin- (v rt)",lying down
-kapuwi- (vai rt f/vii rt f),endure
-kapuwi- (vai rt f/vii rt f),stand
-kapuwi- (vai rt f/vii rt f),standing up: be ~
"-kapuwi- (vai rt f/vii rt f), muwin (-iyik)(na)",bear
-katom- (vti rt f),dwell in ST (place)
-katom- (vti rt f),live in ST (place)
"-kc (ni rt f), woc (-iyil)(ni)",dung
"-kc (ni rt f), woc (-iyil)(ni)",manure
-khahsi- (vai rt f),look for
-khahsi- (vai rt f),search for
-koss- (v rt i),wash
-momqot- (v rt),feel (sensation/touch)
-ntu- (v rt),sing
-ocihte- (vii rt f),colored: be ~
-ohom- (v rt),swim as means of travel
"-olatom- (vai), nehse (vai), olatom- (vai)",breathe: SB ~s
-oliqe- (v rt),expletive expressing anger or scorn
-oluttiye- (v rt),expletive expressing anger/scorn
"-omahtu- (v rt), -omtu- (v rt)",act
"-omahtu- (v rt), -omtu- (v rt)",behave
"-omahtu- (v rt), -omtu- (v rt)",nature of: the ~
-omolsi- (v rt),feel (sensation/emotion)
-omomqot- (v rt),feel (toucSB sensation)
-on- (v rt),hands: with the ~
-opolike- (v rt),cover with STsheet-like
-opolike- (v rt),trample STresilient
"-oqot- (v rt), -qot- (v rt)",makes active vta > passive vii
"-oqsi- (v rt), -qosi- (v rt), -qsi- (v rt)",makes active vta > passive vai
-os- (v rt),slice
"-os- (v rt), -osom- (v rt)",cut
"-osi- (v rt), -si- (v rt)",self
"-osi- (v rt), -si- (v rt)",selves
"-oskip- (v rt), -pok- (v rt), mip (-iyil)(ni)",leaf
"-otekon (n rt), motekon (-ol)(ni)",hide
"-otekon (n rt), motekon (-ol)(ni)",skin
"-otemi- (v rt), -temi- (v rt)",cry
"-otemi- (v rt), -temi- (v rt)",weep
-oti- (v rt),each other
-oti- (v rt),one another
-ph- (v rt),carry SB with hand
