Other,English
"`uka, `una",above
tiatohu,all
maa,and
"`ehu/ahi, ànahu, kaàhu, ke/`ehu, kehu/ahi",ash
i,at
tua,back
"ìno, kino",bad
tuì,beat
"`opu, kopu",belly
à`o,below
nui,big
manu,bird
"hivahiva, kèe/kèe",black
toto,blood
ivi,bone
àà,branch
u,breast
tama,child
ao,cloud
"anu, kamaìì, makaìì, makkarede",cold
atamai,correct
ao,day
"hava, paàpaà",dirty
"nuhe, peto",dog
Umoi oe e tukia i au ina!,Don't touch me there!
"pa, paka, pakaka, papaka",dry
"mué, tumué",dull
épo,dust
"ìka/, ìna, pua",ear
'epo,earth
mamai,egg
va'u,eight
"konohi, korohi, mata",eye
"mama`o, mema`o",far
"hinu àma, kao",fat
motua,father
huú manu,feather
ahi,fire
"ià, ika",fish
"'ima, ìma, ìma",five
pua,flower
kohu,fog
faa,four
hua,fruit
"'eka, meitai",good
mutie,grass
ki óu ti teé,green
hu`u,hair
ìma,hand
ia,he
"u`u, upoko",head
de ahgy,heaven
tono,heavy
"aika, fa'e, ha'e",house
peehea,how?
hahana,husband
"-'u, au",I
me,if
"'oto, i",in
ioo,inside
koekoe,intestines
vai óto,lake
àu,leaf
akeake,left
vae,leg/foot
uià,lightning
ate,liver
`oa,long
"`utu, kutu, kutu papa",louse
"tama `oa, tane",man
"keko, kiko",meat
mahina,moon
nono,mosquito
kui,mother
"fafa, haha, nutu",mouth
"ikoa, inoa",name
"faiti, iti",narrow
tata,near
kaakii,neck
nina,needle
hou,new
poo,night
iva,nine
"ie(hh)ai, tee",no
ihu,nose
"ko`oua, koua, tehito",old
tahi,one
'au,one hundred
ke,other
"mamae, memae",painful
nui,path
"`enana, `enata, kenana",person
ua,rain
"kio`e, kumakuma",rat
"kuà, kuwa",red
atamai,right
vaà,road
aka,root
touà,rope
"paà, popo",rotten
"kanatai, puhinaú",salt
one,sand
"moana, tai",sea
fitu,seven
koi,sharp
"nohinohi, poto",short
"paufifi, pauhihi",shoulder
hakaika,shy
ono,six
"àki, àni",skay
kiì,skin
"ìki, iti, poto",small
"au/ahi, auahi",smoke
puhi henua,snake
"puka/vèevèe, pukavèevèe, puna/vèevèe, punavèevèe",spider
"fettoe, fetuu, hetuu",star
àkau,stick
hatu-keàa,stone
"hiku, iku, vèo",tail
"'okohu'u, 'onohu'u",ten
"ia á, na, tena",that
ato,thatch
"u tihe, úa tihe",they
moto`u,thick
"áhiáhi, ákiaki, kahikahi, piáhiáhi",thin
tenei,this
Te ata o to otou pohu'e!,This Was Your Life
koe'oe,thou
to'u,three
pha too tee,thunder
"kakahu, nahu, nennahhu",to bite
puhi,to blow
"ha, menava",to breathe
tutu,to burn
"ho`o, hoko",to buy
"kakahu, nennahhu",to chew
vae,to choose
hiti,to climb
tihe,to come
tao,to cook
ta/tau/,to count
"taki, tani",to cry
"`o`oti, ihi, kokoti, taài",to cut
"kèo, mate",to die
keì,to dig
moemoea,to dream
inu,to drink
"'ai, kai",to eat
"hika, hina, maku`u, mekèe, moku`u, topa",to fall
meta`u,to fear
tahe,to flow
ona,to fly
tupu,to grow
"`oko, `ono",to hear
pu/puni,to hide
"paì, paki, patu, tuì, tuki",to hit
ííma,to hold
"tatai, tute",to hunt
"haámate, kukumi, pehi",to kill
hani,to know
"àta, kata",to laugh
moe,to lie down
pohué,to live
pepeu,to open
nanu,to plant
tuki,to pound
"peáu, teáo, tekaoa",to say
tuveé,to scratch
íte,to see
tui,to sew
toi,to shoot
noho,to sit
hiamoe,to sleep
"hoki, hone",to sniff
tufa,to spit
koava,to split
"`omi, koko",to squeeze
huki,to stab
tuu,to stand
"kai hue, kamo",to steal
"`omo, omo",to suck
"hete, huhuà",to swell
kau nager,to swim
maákau,to think
tiì,to throw
"fitiì, hitiki, nani, nati",to tie up
kavaií,to turn
`ua,to vomit
hèe,to walk
hana,to work
mama,to yawm
a`èo,tongue
niho,tooth
tekau,twenty
'ua,two
mahana,warm
vai,water
"matou, maua, tatou, taua",we
"áutau, kutai, kutaú, toku, útau",wet
aha,what?
aahea,when?
Ihea to au paoto hiamoe?,Where is my room?
Ihea te vahi hoko ia inu?,Where is the bar?
Ihéa te tahatai?,Where is the beach?
hea,where?
"tea, teko, tèo",white
ai,who?
fatea,wide
vehine,wife
"metaki, metani",wind
peheu,wing
"-hine, vehine, viene",woman
vao,woods
"noke, to`e, toke",worm
tau,year
putokatoha,yellow
"`otou, ko`ua, koe'oe, kootou, kotou",you
