Other,English
-ahak,self
-ayômanic,palm of the hand
"-côq, mucôqak",soul
"-côy, mucôyush (pl)",nose
"-hkas, hkas, n'hkasak",hoof
"-hkas, n'hkasak (pl)",nail
"-hkutuq, n'hkutuqash",knee
"-hkôt, n'hkôtash (pl)",leg
"-hpihq, n'hpihqanak (pl)",shoulder
-hpsqan,back of body
-hputin,arm
"-ik, ik plural mikash",house
"-ik, ik, mikash, mikash",home
"-iput, miputash (pl)",tooth
"-ituksq, nituksqak (pl)",woman's sister
-itôp,friend
"-iyan, miyansh",tongue
"-iyok, niyokanak (pl)",wife
"-iyum, niyumak (pl)",sister-in-law
"-msihs, numsihsak (pl)",older sister
"-nicôn, nunicônak (pl)",offspring
"-ntôyuks, nuntôyuksak (pl)",older brother
"-ohkumihs, nohkumihsak",aunt
"-ohpsk, nohpskak",hair of the head
"-ohsh, nohshak",father
"-sit, nusitash",foot
"-skan, nuskansh",bone
-skatuq,forehead
"-sucipuk, musucipukansh (pl)",neck
"-suks, nusuksak",mother-in-law
-takôq,backbone
"-ton, mutonsh",mouth
"-táh, mutáhash",heart
"-tôpkan, mutôpkansh (pl)",chin
"-yuqáhs, -yuqáhs, nuyuqáhsak, nuyuqáhsak (pl)",nephew
"-áhsuk, náhsukak (pl)",husband
Anunkush wupômsháwôkuwuk,It helps them on their journe
"Ayuw áyuwi qunáyuw, nitôp",It's been too long
Inak kihcák inpáwôk,The men plant the tobacco
Inpáwôk pátawush!,Bring tobacco!
Kackásh cikupi,Pieces of cedar
Kukakoyush qino,I will talk to you soon
Kukutasitumiwôk piyômush,Thy kingdom come
Kukutomámun pisupôkanuk.,We sing in the sweat lodge
Kupisupámun pisupôkanuk,We sweat in the sweat lodge
Kutôkosumun pisupôkanuk,We pray in the sweat lodge
"Káwtántowit kukis'huwáwuqun, Manto kutatohumuqun",Káwtántowit made us
Kôkci Manto nunáwshipsuwin,The Lord is my shepherd
"Kôkicaq! (pl), kôkicash!",Be well!
Manto apuw wámi pômkokik,God is in all the world
Manto kôkci,Great Spirit
Manto uwikôtamuwôk,God's will
Manto wikuw,God is good
Manto wuyôtam kucáhsháyuwôk,God bless your family
Mishqáwtuk,Red cedar
Misum nupaw!,Give me five!
Misum wuc'hkapiyuk tatamwáwic,Give me the birch cup
Mus kumutákômun nikômuk,We will dance at the feast
"Mus kunáwush!, Mus kunáwuyumô! (pl)",See you later!
"Mátapiq wuci nahakánônak, Mátapsh wuci nahakánônak",Sit with us!
"Nahunsháq! (pl), Nahunshásh!",Goodbye!
Nohshun ôkowi kisuquk,Our father beyond the sky
Nucáhsháyuwôk ayuw yo,This is my family
Numiyô nikômuk.,I give away at the feast
Numáhcuná,I am sick
Nunicônak ayuwak yok,These are my children
Nutôkosuw,I am praying
Náham miqunak,Turkey feathers
Náham pawanatôk,Turkey fan
Ocátôká ayuwak yok,These are my parents
Pawáwôk popowutáhuk pásawôtuk,Let's bring the powwow drum
Pisupátuk!,Let's go sweat!
Pisupôk-wacônumwin,Sweatlodge-keeper
Piyôq i pupôn nikômo,Come to the winter feast
"Piyôq nánáwihtiyi! (pl), Piyôsh nánáwihtiyi!",Go safely!
Piyôsh i pupôn nikômo,Come to the winter feast (pl)
Piyôsh pisupôk,Come to the sweatlodge
Piyôtuk môwáwiyuk!,Let's go to meeting!
Pômsháwôk wikun,Good journey
Qutiyánumôhq kohsh tá kunonôk,Honor thy father and thy mom
Sasôkapámuk,Sassafras
Sunsh kusaputásh kôkci yohták,Stones' heated in a great fire
Tôn kutaya?,How are you?
Wi papômshô!,Journey well!
Wikô máskiht,Sweet grass
Wikô máskiht wuyimôqat,The sweet grass smells good
Wipi pôhqásunan wuci mácituk,But deliver us from evil
"Witkámiq nikômuk (pl), Witkámun nikômuk",Dance with me at the feast
Wuc'hkapiyuk,Birch
Wucshátuk kikun!,Let's go home!
Wuyitupôhtam ayuki kuwisuwôk,Hallowed is Thy name
Wômôyáw Katôks,your loving cousin
Yo nupi popowutáhuk,This is a water drum
"acokayihs, acokayihsak",blackbird
acá-,go on a hunt
"acáwôk, acáwôkansh (pl)",hunt (noun)
ahak,body
ahsam-,give him food
"ahsam-, áhsam-",feed him
ahuy-,name him
akacu-,ashamed
"akasq, akasqak",woodchuck
akisu-,does counting
akisu-,straw game
akitusu-,read
"akuwôk, akuwôkansh",jacket
"akuwôk, akuwôkansh (pl)",coat
akôhsihsu-,be few in number
akôhsihsu-,not many of people or animals
akômuk,across
akômuk,other side
"aniks, aniksak",chipmunk
"anonaw, nanonawash",cheek
"anôhcum, anôhcumunsh",acorn
"anúm, náhtiyá, náhtiyák",dog
"apiq, apiqak",flea
"aponah, aponahak (pl)",oyster
aposu-,bake
"apqáhs, apqáhsak (pl)",mouse
apu-,he is located
apu-,stay
"apun, apunásh",bed
aqi,similar to
aqu,under
"aqu-, aqu-",he is clothed
aquniwôqat-,resemble
aqunum-,put it on of clothes
aqunum-,wear it
aquy,greetings
aquy,hello
askasqisu-,he is green
askasqáyu-,it is green
"askiqutam, askiqutamak",snail
"askùg, skok, skokak (pl)",snake
asoku-,he is foolish
aspumi,still
asu,either
"attuck, noy'hcák, noyuhc",deer
atôks,cousin
"atôq, natôqak",brother-in-law
awan-,it is foggy
awasu-,warm himself
awáhcá-,use something
"awáhsh, awáhshák",hawk
"awáhsohs, awáhsohsak, mosq",bear
awán,anyone
awán,someone
awán,who (in questions)
"awán ki?, awán kiyaw? (pl)",who are you
"awán na skitôp?, awán na skitôpak (pl)",who is that person
"awán na skitôp?, awán na skitôpak? (pl)",who is that person?
"awáyáhs, awáyáhsak",animal
"ayaks, ayaksak (pl), ayaquhs",star
ayakunum-,he paints it
"ayhkôsikamuq, ayhkôsikamuqash (pl)",office
ayhkôsu-,work
ayu-,exist
ayu-,to be
"ayumihs, ayumihsak",little dog
"ayumihs, ayumihsak (pl)",puppy
ayunamaw-,help him
"ayáhs, ayáhsak",seashell
"ayáhs, ayáhsak (pl), môsôpi, môsôpish",shell
"ayômi, ayômi",inside of
"ayôp, ayôp, ayôpák, ayôpák",male deer
aûsup,marmot
c'wáyu-,it is warm
"cayhs, cayhsak",old person
cimak,when
"cipay, cipayak",spirit
"cipay, cipayak (pl)",ghost
cipshá-,he is confused
ciqunapu-,he is quiet
"ciskicohuwôk, ciskicohuwôkansh (pl)",towel 'hand-wiping tool'
"cits, cits, citsak, citsak, môyhsh, moyhshak, psuk",bird
ciwi,almost
"cuk, cukánsh",farm
"cuk, cukánsh",field
cunáyu-,he is crazy
"cupanuwôk, cupanuwôkansh (pl)",tribe
"cupuwicuw, cupuwicuwash (pl)",room of a house
cupáyu-,it is a part
cáhak,where (in questions)
"cáhak kutihshá?, cáhak kutihshámô?",where are you going
cáhak kutihshámun?,where are we (inclusive) going
cáhak kutihshámun?,where are we going
cáhci,half
cáhci,partly
"cáhqin, cáhqin, cáhqinsh, cáhqinsh",a sod house
"cáhqin, cáhqinsh (pl)",sod house
"cáhqin, cáhqinsh (pl), wiqám, wiqámsh (pl)",Indian-style house
cáhqinsh,sod houses
cáhshi,how many (inanimate)
cáhshi,how many inanimate
"cáhsháyuwôk, cáhsháyuwôkansh",family
cáhsun-,it is hard
cáhsun-,solid
cáhsuw,how many (animate)
cáhsuw,how many animate
cánaw,only
