Other,English
amiskw (na),(Castor spp)
chisaasiipiiy (ni),(formerly Fort George)
unaan (na),(Salmo salar ouananiche)
paaikuyuw (p),10
paaiku-mitaasimitinuw (p),100
paaikwaaw-chaasipiiyuw (p),1000
paaikusaap (p-w),11
niisaap (p-w),12
nistusaap (p-w),13
naausaap (p-w),14
pitaataahch-taahtusaap (p-w),15
niiswaautaahch-taahtusaap (p),17
yaanaaw-taahtusaap (p w),18
niisuyuw (p),20
niisu-mitaasimitinuw (p),200
niiswaaw-chaasipiiyuw (p),2000
niisuyuw-aasu-niisu (p),22
niisuyuw-aasu-nistu (p),23
niisuyuw-aasu-naaw (p),24
niisuyuw-aasu-pitaataahch (p),25
niisuyuw-aasu-aasutaahch (p),26
niisuyuw-aasu-niiswaautaahch,27
niisuyuw-aasu-yaanaaw (p),28
niisuyuw-aasu-paaikustaaw (p),29
nistuyuw (p),30
nistu-mitaasimitinuw (p),300
nistwaaw-chaasipiiyuw (p),3000
chisaapaaschikin (ni),30-30 caliber)
naawiyuw (p),40
naaw-mitaasimitinuw (p),400
pitaataahch (p),5
pitaataahtuyuw (p),50
pitaataahtuw-mitaasimitinuw(p),500
niiswaautaahch (p),7
niiswaautaahtuyuw (p),70
yaanaaw-taahtuyuw (p),80
paaikustaaw (p),9
paaikustaaw-taahtuyuw (p),90
"saakaachuwaahtaaw (vai+o), saakichiwaataaw (vta)",a hill): he/she ~s
nuuch (p),a lot
waayuutisiiw (vai),a lot: he/she has ~
aaskwaaschipaat (vai cj),abdomen: top of ~
saahkwaahaaw (vta),able to lift him/her: he/she is ~
piihtuutich (p),aboard
"ispimiihch (p), tipiskuuhch (p)",above
siiwaaitiisuw (vai-u),abstain from food: he/she ~s
miihchaatuw (vai-i),abundant (anim): it is ~
pistaahwaaw  (vta),accident: he/she hits him/her/it (an.) by ~
nipaaiwaaun (ni),accidentally)
chistwaawaapichikin (ni),accordion
tipisinaaichaaw  (vai),accounts: he/she does the ~
muyaamipiyuw (vai/ii-i),accurate: it is ~
twaakaahch (p),across (the portage) in the next lake downstream
aasuuwiihtaaw (vai+o),across: he/she takes it ~
suuhchaaimutuwaaw (vta),act self-confidently toward him/her: he/she ~s
upiskukutaakin (nid),adam's apple: his/her ~
"kichaaschimaaw (vta-r), kichaaschimaaw (vta r)",advice: he/she gives him/her ~
chisaawaatisiiw (vai),affectionate: he/she is ~
kustimuwaaw (vta),afraid for him/her: he/she is ~
"miin (p), miinuwaach (pc)",again
naahaaihtim (vti),agreeable: he/she is ~
niikaanuuhch (p),ahead
niikaan (p),ahead in time
naaipiyaamikin (vii),aid: it ~s
wiyaapaahtim (vti),aim it: he/she ~s
chisiiyaastimaaw (vta),air it (anim): he/she ~s
puutaataaikin (ni),air pump
kaapimiyaast (nap),airplane
kaanaaumuich-kaapimiyaast(nap),airplane with four propellers
kaaniisumuich-kaapimiyaast(na),airplane with two propellers
nipiich-kaatwaaut-kaapimiyaast,airplane: float ~
kaasuuhchiimikaahch (nip),alcohol
chiiskwaapaaskaakuw (vai-u),alcohol: he/she is affected by ~
"kichaahtaawaaihtim (vti-r), kichaahtaawaaihtim (vti)",alert: he/she is ~
misiwaa (p),all
nuutim (p),all of smth.
awaasich-suunaayaaw (ni),allowance: family ~
such (p),along the edge
yaayaapisch (p),along the edge of the rock
yaayaaw (p),along the edge of the shore
chich (p),along with
miihchaatuw (vai-i),alot: there is ~
saas (p),already
aaisaach (p),although
kaachaay (p),always
nituchikin (ni),amulet
muchaahaaw (vta),amuse him/her: he/she ~s
miywaaihtimiisuw (vai-u),amuse himself/herself: he/she ~s
miywaatimuun (ni),amusement
uwiitaaihtaakusuw (vai-i),amusing person
miywaaihtaakun (vii),amusing: it is ~
chiistaaikin (ni),an awl
punisinaapaasuunaayaapiiy (ni),anchor chain
aaku (p),and
chiswaahkitaaw (vai),angry because he/she is hungry: he/she is ~
suuhchichiswaasuw (vai-i),angry: he/she is very ~
piswaaw (vta),animal): it ~s
upiskuukunaan (nid),ankle joint: his/her ~
tuumisitaanaaw (vta),annoint (greases) someone's feet: he/she ~s
aaskin (na),antler
pikwaahaaw (vta),anxiously waiting for him/her: he/she is ~
suupwaachiiun (ni),any liquid which is rubbed on
iyaapich (p),anyway
paahpaaikw (p r),apiece
maayaasinim (vti),apparition: he/s sees a ~
isinaakusuw (vai-i),appear so: he/she ~s
isinaakun (vii),appear so: it ~s
aaihimiihtaaw (vai),applies himself/herself
tuumitiihchaanaaw (vta),apply cream to someone else's hands: he/she ~s
piskutimwaahaaw (vta),apply it (an.) in lumps: he/she ~s
piskutimuuhtaaw (vai+o),apply it in lumps: he/she ~s
tuumitiihchaaniisuw (vai-u),apply lotion to one's own hands: he/she ~s
suusaasuw (na),arctic char (Salvelinus alpinus)
pisaaskwaaw (vii),area of trees in the valley: it is an ~
uchimaaw-taahtipuwaakin (ni),armchair
paaikunisch (p),arm-length: one ~
naaunisch (p),arm-lengths: four ~
miihchaatunisch (p),arm-lengths: many ~
naaunischaayaaw (vii),arm-lengths: there are four ~
miihchaatunischaayaaw (vii),arm-lengths: there are many ~
nistunischaayaaw (vii),arm-lengths: there are three ~
niisunischaayaaw (vii),arm-lengths: there are two ~
nistunisch (p),arm-lengths: three ~
niisunisch (p),arm-lengths: two ~
waakaahkunaaun (ni),around ankle and calf
utaapaaniihkaatuwaaw (vta),arrange him/h/it as load on sled for s.o.: he/s ~s
naahaawaapiihchaanaaw (vta),arrange it (an.
naahaawaapiihchaanim (vti),arrange it (string-like): he/she ~s
utaapaaniihkaatim (vti),arrange it as a load on toboggan/sled: he/she ~s
naaustaaw (vai),arrange things: he/s ~s
niihtaachuunaaham (vti),arrive at last rapids going downstream: he/she ~s
mitaapaapiyuw (vai-i),arrive at the shore in a vehicle: he/she ~s
mwaastinim (vti),arrive too late to catch it (ex plane): he/she ~s
umiihkwaayaapiiy (nid),artery: his/her ~
aaskw aakaa (p),as if not
kuuhpaanaaw (na),assistant
uchimaas (na d),assistant manager
"aatimikw (p), aatuwiiy (p)",at least
mimaan (p),at several points
"aanaahch (p), aanaahch (p)",at the bottom
aaniskuwaapiihchaanim (vti),attach another piece of cord onto it: he/she ~s
aaniskuwaaw (vii),attached on: it is ~
aaniskupisuw (vai-u),attached to another one: he/she
"aaniskuuhtin (vii), aaniskuusin (vai)",attached: it is ~
aanischiyaapiihkaatim (vti),attaches them (in) one after another: he/she ~
kaaiyimit (nap),attorney
suwaaihtaakusuw  (vai-i),attractive: he/she is ~
usikusa  (nad),aunt (father's sister): his/her ~
utaapaan (ni),automobile
utaapaan-pimiiy (ni),automobile fuel
tikwaachin (vii),autumn: it is ~
aaspuunisiiw (vai),avaricious: he/she is ~
chiiskwaahusuw (vai-u),awake confused: he/she ~s
maahtaaimaaw (vta),aware of him/her as a help: he/she is ~
pisimin,awl
akitaaskwaaskw (ni),axe handle
utaastimaapitich (p),axe-blade (edge or sharp side of)
apistaaskwaanuut (vai-cj),babiche wrapped around snowshoe frame
awaas (na),baby
nischis (na d),baby goose
awaas-aahchikuyaan (na),baby wrapping
uschiwaas (na),baby: new ~
kinuwaasaaw (vai),baby-sits: he/she ~
aatimaachipiskun (p),back of smth: at the ~
aatimaachipiskun (p),back of smth: on the ~
taauchipiskun (p),back: in the middle of his/her ~
taahkuchipiskun (p),back: on the top of his/her ~
waaukinaachaakin (ni),backbone
saapitaaw (vta),backward (an): he/she pulls him/her/it ~s
saapiyaahaaw (vta),backward (an.): he/she drive it ~s
saapiihtaaw (vai+o),backward: he/she drives it ~
saapitim (vti),backward: he/she pulls it ~s
saapaahtaaw (vai),backward: he/she runs ~s
aapimichuun (vii),backwater of river: it's a ~
michaachisuw (vai-i),bad (anim
michinaapaas (na d),bad boy
michinaapaasiiw (vai),bad boy: he is a ~
michiyimuuun (ni),bad language
michiyimuw (vai-i),bad language: he/she uses ~
michinaapaauw (vai-u),bad man: he is a ~
michiyimuuun (ni),bad word
maayaatisiiw (vai),bad: he/she is ~
maayaatin (vii),bad: it is ~
maayaatisiiun (ni),badness
nipaakinut (ni),bag for blankets
aschiihkumaanut (ni),bag for traps
uuhpaapiihkaatim (vti),bag) up and hoists it up: he/she ~s
piisaakinimiiut (ni),bag: hide ~
piisaakinimiiut (ni),bag: leather ~
kaakaauskut (ni),bag: plastic ~
kaachiskutimaachaau-miiut (ni),bag: school ~
mistisiniiw-iiyuw (na),Baie-du-Poste
mistisiniiy (ni),Baie-du-Poste (loc)
saasiikaaipaaw (vai),bail water out: she ~s
kuschaayuw (na),bait
kuschaayaahkaahtim (vti),bait it (hook or trap); he/she ~s
sikutaaw (ni),bakeapple berry
sikutaawaahtikw (na),bakeapple plant (Rubus chamaemorus)
kaauhtaapiich (nip),baking powder (fizzing medicine for stomach)
kaawiiswaaupiich (nip),baking soda
"muususiniiy (ni), tuuwaan (na)",ball
kaapuutaataakinut (nap),balloon
iiyaasiiht (na),balsam fir tree (Abie balsamifera)
iiyaasiihtiskaaw (vii),balsam fir trees: it is an area of ~
sichiiyaaschiskaaw (vii),balsam fir: it is an area of dense ~
kaawaakaaskaach (nip),banana
iiyuuchimaahkaan (na),band councillor
maakupichikin (ni),bandage
maakutiihchaapisuun (ni),bandage for hand
pisikuschuwaataaikin (ni),bandaid
suunaayaauchiwaahp (ni),bank building
taahkutaauhch (p),bank: on top of the ~
naatwaapiyuw (vai-i),bankrupt: he/she is ~
iiyuupaakwaasikin (na),bannock (food)
puunaakin (na),bannock: fried ~
iiyuupaakwaasikiniihchaaw(vai),bannock: he/she makes ~
saasaatiihchaaw (vai),bare hands: he/she has ~
musaakaataaw (vai),bare legs: he/she has ~
musaaskitaanaaw (vta),bare someone's body: he/she ~s
musaakichisuw (vai-i),bare-bottomed: he/she is ~
musaayaaschikinuw (vai-i),bare-chested: he/she is ~
saasaachiituw (vai-i),barefoot: he/she is ~
saasaachiitisin (vai),barefooted: he/she lies ~
saasaachistikwaanaaw (vai),bare-headed: he/she is ~
saasaachikaataaw (vai),bare-legged: he/she is ~
chaatisch (p),barely
chaatischipiyuw (vai/ii-i),barely enough: it is ~
awaasiisichiwaahp (ni),barn (for animals)
musaa (p),barren
musuwaaw-iiyuw (na),barren ground person
ministikwaamiskaaw (vii),barren island: it is a ~
musuwaaw (vii),barren: it is ~
chipaaskimwaahaaw (vta),barricade (an. stick-like): he/she uses it as a ~
chipaakimwaahaaw (vta),barrier (an. sheet-like): he/she places it as a ~
chipaapaakimwaahaaw (vta),barrier (an. string-like): he/she holds it as a ~
chipaakimuuhtaaw (vai+o),barrier (sheet-like): he/she puts up as a ~
chipaaskimuuhtaaw (vai+o),barrier (stick-like) he/she uses it as a ~
chipaapaakimuuhtaaw (vai+o),barrier (string-like): he/she holds it as a ~
kaaiyimit (nap),barrister
niihtichuw (ni),basement
paamiyaaw-aapikusiis (na-d),bat (mammal)
pikaasimwaahaaw (vta),bath to him/her: he/she gives a ~
pikaasimuw (vai+u),bathing: he/she is ~
chaachisaapaaukuuhp (ni),bathrobe
miisiiuchiwaahp (ni),bathroom
kaastaapaawiisunaanuuch (nip),bathtub
piihchistwaawaasaaw (vii),bay that goes into the land: it is a ~
chiiniwaasaaw (vii),bay: it is a pointed ~
waasaataauhkaaw (vii),bay: it is a sandy ~
chistinuwaachiihtaakin (ni),beacon
miisch (na),bead
nuuchimiichisaaw (vai),beads: he'she works with ~
maahchikutaaw  (vai),beak: it has a big ~
chisaayaakw (na),bear
chisaayaakuunaaikin (ni),bear deadfall trap
chisaayaakupimiiy (ni),bear fat
chisaayaakupimiiy (ni),bear grease
chisaayaakutichisiiy (nid),bear guts
chisaayaakutichisiiy (nid),bear intestines
chisaayaakuyaan (na),bear skin
chisaayaakustikwaanikin (ni),bear skull
chisaayaakuschiihkumaan (ni),bear trap
chisaayaakustaaw,bear trap: he she sets a ~
"chisaayaakus (na-d), chisaayaakus (na d)",bear: young ~
saakuwaaw (vai),beard starts to grow out: his ~
"miistuwaaw (vai), wiistuw (vai-u)",beard: he has a ~
chinwaaskustuwaaw (vai),beard: he has a long ~
"umiistuwaan (nid), wiistuy (nid)",beard: his ~
kaawiistuut (nap),bearded person
taawaahwaaw (vta),beat a drum: he/she ~s
"paahkaahaan (vii), paahkaaukuw (vai-u), paahkaaun (vii)",beat: it ~s
amiskw-wiyaas (ni),beaver meat
amiskuyaan (na),beaver pelt
amiskuyaan (na),beaver skin
amiskusuy (nid),beaver tail (it's)
