Other,English
múnka,a k. of arrow
murá'ka,a k. of berry
pajiw,a k. of fish
"not, nota",a k. of grass
"baja, bása",a k. of metal
jintu,a k. of salmon
künggüda,Adam's apple
bánsa,all
kodú'a,an elder relative
diamäžä,animal
tî,annual ring on a tree
ködaj,ant
kaling,armpit
tû'a-,arrive
"ngitüo, ngütüo",autumn
tobäkää,axe
moku,back
"fua, fuaja, fuanu",back part
"kubu, kufu, kuho, kuhu",bark
"koare, kûr",basket
"kaju, kasu",bast
ngarka,bear
"mündü""sa",beard
bäbä,bed
"tagang, taka, takada, takana",behind
"sang, syng",bend
nguta,berry
anie,big
kua,birch
tie,birch bark
täibää,bird
"tusaika""a",black
kam,blood
saxy,body
"fï'e-, firi'é-",boil
latää,bone
dinta,bow
jenti,bowstring
djia,brain
kiriba,bread
"baitu', baitu'a",breath
"bingi, bingi-n",bride-groom
xyla,bridge
sung,bridle
"ä""ä, ngaangku",brother
"ngomttung, ngomtung",bug
"kobta""a",bull
xi-,by evening
jili'e-,carry
nir,cartilage
"fatúa, xotuo",cheek
nüo,child
kátu,claw
satu,clay
nirung,comrade
nörumu,copper
"laapsä, lapsa",cradle
kamu,crust
muni'e-,curve
"meai, meaj",daughter-in-law
"daly, jale",day
juragâ,deep place in water
tâ,deer
jobtúang,dew
uzxinê,Dinners
nóane,diver
taru'á-,divide
bang,dog
n'i? mänä ämny mentidi,Don't touch me there!
ngoa,door
salta,doorpost
munduisang,down
nganguode,duck
lyngxy,eagle
kou,ear
"ma-maru, mou",earth
mänu,egg
"ngaba, ngabu, ngafu",elder female relative
tofi,end of trunk
"fiéda, hédä",ermine
kundutun'de,evening
"kundu-, xi-, xii-",Evening
"säime, seimy",eye
xorä,face
sela,fat
"chü', tu'",fat of a reindeer
"desy, jaje, jase",father
tïmi,fathom
name,female
ba',fence
torätu-,fight
ku'a,fir
"tui, tuy",fire
"kole, koly, kuale, kuälle",fish
bï',five
laban,flat surface
diaa ngämsu,flour
tunty,fox
nia,friend
"kande'a-, kantejea-",frost
filti,gadfly
"bene, fuita, nieja",girdle
"täda'a-, tatujua-",give
jime,glue
tantaa-,go
debtu,goose
"ngabta, ngabtä, ngâbta",hair
fealea,half
"dütu, jütü",hand
nomu,hare
"fúdar, huturä-",harness
"feae, feai, ngaiwuo, ngoiwuo, ngoybuo",head
"sa, sää, soa",heart
antal,heat
ngâng,hole
ngamta,horn
dündua,horse
"koru, ma",house
"kuni'äng, kunijäng",how
"ngaha""sa",human being
"ma', madajâng, madujâng, makata, matanu",hut
mannang,I
syr,ice
siru,ice crust
xi-,In the evening
xi-,in twilight
sinsa,inside
"jute-, jutene",interval
"kalsua, kolsu'a",intestinal worm
tajba,intestines
basa,iro
saj-,Is burned down
"fua-gai, fuegai",knee
kymaa,knife
tumtu'a-,know
turku,lake
"karajea-, kari'e-",land
sieja,language
iri,large
badï'e,left hand
ngoy,leg
loitu,lid
nilu,life
feábteng,lip
"mida, mita",liver
tansu,lizard
bobsúdu,loin
fira,long
"ngadi'e-, ngädü-, ngätä-, ngätu-",look
tieinda,lung
"kodömu, kuodömu",man
da,Mark
ngämsuo,meat
derde,middle
basa,money
"kichežää, kiitada",month
kiduatu,morning
kou,morning dawn
die,moss
nemy,mother
nginaba,mother-in-law
koaja,mountain
ton'düku,mouse
ngang,mouth
ani'e,much
nim,name
"neïmy, nejmi, njäime",needle
"ninte-, nintu",negative particle
fätte,nest
men'diade,new
xii,night
"kundu-, xi-",nightly
nhyngkä,nose
ngobta,odor
xynserää,old
imidi,old woman
"ni, nini, ñini",on top
sier,order
kobta'a,ox
diari,pain
feang,palm of hand
bumagä,paper
kätuki'e-,pasture
"maru'á-, marú'á-",piece
bánka,pit
"fonú'a, fonu'á-, fonur-",plait
ngängü,polar duck
"ngui, salta, sältäda",pole
túrku,pond
mâra'á-,prevent
sorua,rain
kula,raven
"diaba'kuo, diabakuo",red
bikažää,river
saruo,road
"bantu, bântu",root
kunu'a-,run away
"foadai, hödaj",sack
syr,salt
düo,sand
"kaibu, kui, kûku",scoop
bara-,scrape
baagutä,sea
mîji'é-,sell
"jagi'e-, jakali'e-",separate
"fonka, fungúbsang, fungúsang, nir",shaft
"ti', tî', tidi'-",shit
nerki,shoot
móru,shore
"bara, bâra",side
serïbïrï,silver
tanga,sinew
sálung,sister-in-law
tütä,ski
tuaja,skin
fantu,skin from the feet of deer
ngyo,sky
bóba,sleeping hole in snow
"tïdä, tïja",sleeve
"kanta, käntä",sleigh
kinta,smoke
"noudi'-, noudir-",snot
"narâ, narabtâ, narang",snout
siry,snow
"kódung, kotara'a",snowfall
tau'a-,soar
"namagä, námang",soft
mäarsi,something elevated
fûli,something stamped
ngilea,space below something
imižiaï,spider
ngaita,spit
noru,spring
xotädie,star
koae'-,stay
"fala, fualla, xualä",stone
bäntiä,street
"tanga, tängä",summer
"dengkuïkia, dengkuïkïa",swan
batu'a,tail
täjbu,tail (not birds')
tadi-,take out
käle,tear
mann,testicle
"ngamang, sete, ta, taka', taka', tandang, tandang, tania, tania, tanne, tanne",that
"naitea, naiteng",the upper part
munga,thick back of arrow
tolar-,thief
"maa, mê'a-",thing
temenang,this
tannang,thou
"feája, fjääka",thumb
fuu,tinder
filiti-,to be afraid
ngana'bta-,to be forgotten
jamajua-,to be sick
faemei',to become dark
"koju'-, kosaju-, kósara'a-, kosua",to become dry
"foda-, fotu-",to become wet
"kürüda, saru'a-",to bind
"fuali'é-, fuarú-",to blow
kuanda'a-,to carry
káuläása,to close eyes
tïði'é-,to comb
tü'a-,to come
tïdi,to come in
"ku', kutâdandu-",to cough
kuu'a-,to die
"kabtu-, käptu-",to extinguish
"lungkaju-, lungu'-",to gnaw
mende-,to go
tansa,to grow
"ngidi'e-, ngüda",to hang
"kou, kuau",to hear
fede'á-,to hit
badú-,to lead
nile-,to live
fadu'-,to paint
jilisj,to pick up
bo'bta'a-,to pour out
fan-,to put
tïmi'e-,to rot
töpsa,to row
muno-,to say
nadu'-,to scrape
