Other,English
"'Iu'I, xuj",field
'Iub,loop
"'j, r",2d class marker
-0,nominative
"-0, -y",essive
-a'-,to do
"-a, -a-ra",gerund present
-ar-,obl. stem
"-d, -dy",adjectival and part. suffix
"-d-ä, -la",elative
"-di'in, -din",past conditional
-dä,adessive
-egge-s,to copulate
"-f, -h, -x",desiderative
-g,a diminutive suffix
"-i, -u, -y",gerund past
"-i-r, -u-, -y-r",gerund
"-j, -r-i",aorist
-k,locative suffix
-ki,though
-kun,present conditional
-kun-ki,concessive
"-ma-r, -my-r",plural (1)
-n,masdar
-n,suffix of abstract nouns
-na,present participle
"-q, -x",suffix of a locative case
-q:a-,future
-s,dative
-xw,series Ad
"-á, -ä, -ar, -är, -ba, -bä, -ba-r, -bi, -bu-r, -by, -by-r, -ma, -my, -r-ä",plural
"-á, -ý",sublative
-š-,obl. stem plural
=aca-,to know
=alga-,to talk
=axa-,to run
=e'e-,to pull
=erqwa-,to bark
=eše-,to weep
=ica-,thaw
"=iga-, h-ulqwa-s",to dance
"=ije-, e=e-",to throw
=ile-,to eat
"=ircha-, =iricha-",squeeze
=irza-,to praise
=isa-,roast
=ixe-s,to carry
=izh,oneself
=uxwa-,to say
"=w-ylca-r, wi-",give
=yga-,to want
=yky-,become
=yryx,to go
=yxIa-,hit
=yxa-,graze
=yxyrxa-,to weave
=ädda-,ache
"=äta-, darxa-s",to beat
=äz-,to milk
=äza-,to plough
"a, i', w-išir",to be
a-rka-s,to limp
"a=ga-, ame-xis",to stay
a=qIwa-,to dig
a=rqIa-,coagulate
a=xIa-,to rub
acyd,full
ad:ar,pen
ak-ax,a sort of small nuts
aqIur-dy,wide
ark-un,depth
arxI,spring wool
"asyj, gybyl",cloud
"b, w",3d sing. class marker
baba,grandfather
babaj,grandmother
bac-byr,taking the kettle off fire
baci,small sheep
badu,trousers
baga,tomorrow
barcil,earthworm
"barkw, gwarg",spine
beg,side
bej-dy,at the side of
biti,vagina
biš-dy,deaf
buk,part of face
buk',enclosure
"burk, q:ytä, sant",hammer
bych,flower
bych-byr,smallpox
bylyt,penis
"byq, xIyn",cow's dung
byrqIy-d,blind
bytra-,handsome
bäl,forehead
bäl,rock
"cacy-xa, jyj-yxI",ant
caj,fire
"caj-rap, cajalpan",lightning
cec-by,lap
"cha=rkwa-, e=che-",to gnaw
"chad, xyw",bread
chal,enclosure for milking sheep
"cham, dad-ghIwar, juxlad-xIarad, xIara-d",butter
"chank, tap",trap
char,hair
charaqaj,shin
chew,enough
chid,flea
chil,leather strip
chil,thin log
chiq,yoke
"chir, naqw, zhil",earth
chu=kwe-,to be hooked
chub,span
chul,willow
"chum, chuqIw",dirt on clothes
chumk,whip
chury-d,grey
chuxud-did,step-father
chuxw-an,dung
"chweh, xIada-xIul",whey
chyn,belt
chyrchym-dy,sour
chäl,word
cih,goat
cik,puppy
cikw,hank
cindy,new
cirux,caterpillar
cu=xwe-,slip
cud,stone
cum,shin-bone
"cuqI, ryqI",ashes
"cwar, q:at",small stone
cyb,juniper
cyc,grasshopper
"cümäs, cymäs",tinder
da',colostrum
dadal,cock
dal,branch
daldam,drum
dam,wood
dan,cheek
dan,navel
"daqI, qum",back of head
darxilaq,saw
did,father
dur,name
dur,spoon
dux,son
dyd,fly
dyl,plateau
er,season
erch,dent
"fil-äg, kül-äg",elbow
g-a=q:a-,to watch
g-i=xe-,to keep silence
"gagla-d, gychi-d",left
gajaj,pickaxe
gal,mouth
gam,awn
gap,hand-clapping
gar,snake
gargal,oats
gaš,hunger
ged-dy,narrow
ghIa,bridge
ghIaghIal,horse's mane
ghIal,sleigh
ghIan-dy,pregnant
ghIibriš,gooseberry
ghIun,shoulder
ghIyb,frog
ghIyl-d,summer
ghIynyghI,angry face expression
ghIyr,hare
"ghIyrch, juxI",mountain goat
gha-chi=xa-,to fidget
ghacul-dy,naked
ghil,leg
"ghu, wy",thou
ghul,window
ghur,stalk
ghurdigän,pillow
ghwab,root
"ghyl, mü'ür, xin",wheat
ghylygh,egg
gi=irka-,to hide
giche-,to fear
giggu,cuckoo
gim,godekan
gug-uj,crown of head
