Other,English
"-pïr-, wad",wish
"a-, zh-",this
ackw,whetstone
ad-bar-,to give away
"ad-ra, had-ra",nightshade
"agura, agwar, hagura, hagwar",limit
"akwed-, häked-, hakwäd-, zhä, zhi",tail
ankës-,fishing pole
"aqar, haqär, kakäp",skull
"ar-, l-, r-",to be
ara,eight
archxal,branches
"artam, lartam, lertäm",vegetables
"asuš, aswiš, hasuš",daughter
"at, hat",hey look!
"aš-ïr, äš-ir",hundred
b-,to tie
"b-, bb-",to pour
baba-,grandfather
"bad, bäd",cobweb
bag,paddock
bale,leaf
"band-, bur-",to darn
"baq, bizhg-, na-barq-",step
"bar, bär, br",to wash
"bar-, ber-, bir-, br-",diminish
"barkä, borkä",with crooked legs
"bd-, bid-",to light up
"bercq, el-, kär-",to glitter
berg,to hoe
betkw-,hit
"bid-, bud-",vulva
bik,stump
"bil-, pil-",edge
bintqil,down
birgw,dust
bizh,big stick
br-,to sing
bugw-ir,rash
burgw-,to make dusty
"buzul, mër-",fly
bzhg-en,to lean on
bzül,buzzing
"bächkw-, bechkw-, bichkw-, puršgwïn",crumble
bägi,sturdy
"bärdgän-, pärtx-än-, pätx-än-",to quiver
"bärg-, borg-",to fight
bärgän-,hammer
"bärqen, barqwen-",wild plum
"bäsq, basq-i",wild strawberry
bël-,blow up
bürd-,to derange
cag-ar,pricky
"cah-, caj-",elm
camcam,swift
cel,donkey
"cel-, cil-, cl-",to tear away
"cemil, cemil, chxim-, pox-il",fat
ch-,roast
ch-,take care of
"char-, chon-, chr-",to bind
chaw,to kill
"cher-šd-öl, cher-št-öl",a k. of pear
"chexw-, chxw-, zhüb-",to graze
chichänd,pussywillow
chinchil,entrails
"chitx, n-gwn-a",elbow
chkw-,to get used to
chkwim,calm
chkwr-,castrate
"chkär-, nchkär-",have a need
chkär-män-,to tweet
"chkät-, chkid-",millet bread
chkïw-,to peep
choš-,coire
chqint,unripe
chqor-,quail
chqr-,angry
"chqän-, chqn-",crush
"chr-, nchr-",wind
chu,affirmative particle
"chu, le-kwa",below
"chu-, ne-št-r-äl, šw-ep-",to whistle
chut-,impotent
"chuš-, qlaw-",male child
chwd-,to ask
"chwäd-, jgwid, zgwid",wall
chwér-,crow
"chxar-, chxr-",nine
"chxärišt-, chxirwišt-",magpie
"chächx, chechx",besom
chächx-,to croak
"chäš-, chš-, mü-",male
"chäšx, chišx-",leg
chëm,hay
chïže,borther-in-law
"cic-, cinc-",to pull
cicw,cat
cid,excrement
cil,white of egg
cinqa,cowberry
cipra-,beech
"ciq-, cq-",to stick in
"cir, kwärtx, kwertx",wooden hammer
cka,watermelon seeds
"ckir-, kint",little stick
ckur-,small crack for peeping
"cm-, cwm-",to smear
"cn-, cw-",to laugh
"con-, cwn-",to weigh
cq-,arrange
"cqaw-, cqew-",a k. of cherry tree
"cur-, cwr-, li-skind-",to ooze
curvel-,leech
"cuw, cwi",straw
"cw-, cw-em-",to string on
cwar-,drop of dew
cwen,to like
cx-,to be awake
cx-,to prefer
"cx-, šän-, šen-, šn-",to bear fruit
cxa; cxën-,to scratch
cxek-,wood
"cxep-, cxip-",to press
"cxir-, cxr-",differentiate
cxorp-,to embrace
"cxum-, cxwim-",hornbeam
cxw-,to grieve
cxwen,loft
cxwi,arrow
cxwäp-,to take out
cxül-,to make a swift movement
cá-š,Thursday
cädäj,give to drink
cäg,thorn
cäm-,moment
"cärck-, ckü-, ckw-, curck-",to whine
cätx,bitter
"cöb-, cusd-, cwsd-",to suck
d-,to lie
"da-chwir, dä-j, u-d-il",sister
dagar-,die
daq-,goat
"dar-, dr-",bad
"ddg-n-, ddgän-, zä-, zä-l-, zü-, zül-",murmur
"dede, di-",mother
"dg-äl, dg-ul",milk splashing while milking
dgb-,to besmear
digwam-,wet lowlands with fertile soil
"došd-ul, došt-ul",moon
droj,time
dud-ül,nipple
"dwim-, dwm-",to be silent
däb,village
"dädw-, dedw-, katal",hen
"dät, tät, täta",ash
dätx-el,to be thin
däšdw,bear
dïr,log
"e-, i-",deictic stem
e-š-i,despite
ešxu-,other
"g-, gem-, gm-",put
"g-, gw-",possess
"gak-, gaka-, kak-",walnut
galaj,wheel
"gan-gal-, kab-, kb-",to know
gar-,furrow
"gar-, gr-",sing
"gar-, gr-, kwäd-",to die
"garch-, jg-än-",to chew
"gargal-, gargl-",to speak
gargád-,goose
gchk-,to gab
gd-,to exclaim
"gel-, gela-",river
gib-,to twist
"gil-, gl-, qal-, ql-",break
gim,earth
girg-od-,a circlet over the fence
"giw-, gwiw-",juniper
"gj, gz-",to be long
gl-,to get tired
glia,armpit
"gn-, gon-",to think
"gob, gweb",bee-hive
gog-,to proceed
gog-,to wander aimlessly
"gorgol, guh",owl
gr-,to deceive
"gr-, ngr-",to bear eggs
"gu, gwi",heart
"gu-, gw-",to feed
gudra,leather sack
"gugw-, gwigw-",kernel
gul-,repine
"gulä, guläj",knee
"gur-, gwr-",to mill
gurgwn-,to thunder
"gurzhäniël, rzh-",bow-backed
"gw-, j-eš-, sgu-, sgw-, zhon-",to resemble
gw-aw-,be late
"gwal, gwäle",to go
gwarchin,tray
"gwaš-, kvic-ra",mountain goat
gwech-,pursue
gwed-,strap
"gweš-, gwš-",to be filled
"gwimbra, gwrimb, ipx-",fern
gwr-,to lead
gwrek-,twist
gwäm,front part of body
"gwäre-, qamur, qemär, qw-ep-, qw-p-",skin
"gwënt, gwëntil, laqw-, leqw-, lqw-, n-",to melt
gzh-,unpleasant
"gácha, gáchöl",cheek
"gälck-, gälckän-",to gnash the teeth
gäm-,taste
gänchw-,elder tree
gër,stem
"gërbet-, germet-",God
"h-, mh-, qäd-, qd-, qed-",arrive
"ha-qb-a, mä-gchk-e",jaw
"habed-, haböd-, hobed-",tinder
"hadw-, hdw-, ku-, n-",to wish
hal-,flame
ham,morning
"heb-ra, jeb-ra",merry tree
hel,lightning
"hizhw, wizh",snake
"hoker, woker",end
"hwd-, hwed-",sell
"hwer-, qunt-, qwënt-, wer-",to sink
"i-sga, sga",middle
"icx, ucx, wicx",pear
"isgu, isgwe, isgwej, isgwi",your
itk,wheat
"išgüd, išgwid",seven
ja-,who
"jerb-, jor-",two
"jerskän, jersken, jerskn",chamois
"jerxw, werxw",tremulus
"ješd, ješt",ten
jg-än-,grind
"jgb-, jgub-",overfill
"jger-, jgr-",to push
"jugwa, zugwa",sea
kalmax,fish
"kap-, kch-",chop
"kap-, kp-",to clash of teeth
"kap-räj, ni-kp-a, ni-pk-a",chin
"kar-, kr-, regw-, rgw-, rigw-",to scatter
karkac-,to cackle
"kaw-, kw-",to hold
kb-un-,to tempt
"kc-, kic-",to plait
kec-,clay pan
kerä-,fireplace
"keš-, kš-",to yawn
"kešd-, kšd-, let-, lt-",to spin
"kic, pošdel-",a k. of plant
"kil-, kl-",to lock
"kil-, kl-, kwachx-, kwchx",to limp
"kin-, kn-, rx-",shake
"kl, li-kl-, x-o-kl-",not to suffice
"koc-, kwec-",cut off
"koch-, köt-ol",small
kor-,house
kr-,to open
krox-,brood-hen
ku,tortoise
"kum, qü-l-",howl
"kun-, kwin-, kwn-",breath
kupr,wine-skin
"kux, küxw",sour
kw-,speak
kwaba-,cave
"kwam-, msw-, rekw-, rkw-, rkwam-",to dress
"kwc-, kwic-",to cut down
kwec-,to moan
kwel-,to cool
"kwen, rkwen",marten
kwep,button of clothing
"kwešd-, kwšd-, kwt-",to cut off
kwid-,wooden vessel
