Other,English
gwar,a big jar
xIur,a bundle of sheaves
ha-tmu,a deictic emphatic stem
-g,a diminutive suffix
urx-ar,a k. of berry
š'ali-p:ep:e,a k. of insect
m-,a prohibitive particle
ketket,a small thing
me'-er,a sort of barley
marrwal,a stripe of mown grass
ic:-ru xuz,ache
-d-ar,adj. substantivator plur
hava,air
muq:u-n har,alder-tree
malaik,angel
qIal,anger
pip,angle
"d-, r",anim. class marker sing
häjvanat,animal
çiwi,animated
"cimc, zimz",ant
kuc,appearance
"viç, wiç",apple
hil,arm
xab,armful
rIuç,armpit
"çe', cimir",arrow
-qan,as much as
"rüq, ruqI:",ashes
çul,autumn
jekw,axe
jirf-ar,back
xIarta-q-iš,back of head
ušqIar,badger
richi-qular,balance
murxil,balcony prop
šum-zaz,barberry
"muh, mux",barley
mug,basket
kar,battledore
"š'e', šwe"", x-",bear
mužri,beard
"çarpas, krovat'",bed
"arf, warf",bee
p:ep:e,beetle
fun,belly
"asi-k:, asi-q",below
cap,bend
murgul,besom
"ähü, axIu",big
gakul,billet
ji=t-,bind
murxIu-n har,birch
kaç,bitch
ranc apub,bite
karu,black
mer-er,blackberry
"i-fi, ifi",blood
barçi,bloodhound
uku,blue
qul,board
lütke,boat
"beden, žandak",body
"jirk:i, jirkk, kurab",bone
kitab,book
kan,bottom
"çimir, derk:u",bow
kulix,bracelet
ma',brain
"circ, ciric",branch
murgu-ži,brave man
ül,bread
muxur,breast
el,breath
šuš,bride
žam,bride-groom
"gäd, rIad",bridge
furin,bridle
"çi, çwe",brother
rugul,brown
tur,bud
jic; buga,bull
kunc,bundle
parqIw,burdock
anrIli,burdock's stalk
u-g-ub,burn
çux,burning
çere,bush
"ç:im, kamu",butter
"baItli, ppazippendi, tetrih",butterfly
paž,cabin
deve,camel
šam,candle
nac,cane
k:anç,canine tooth
haš(-ar),caraway
qut,carrot
fur,cart
gatu,cat
cirrw,caterpillar
xar,cave
çul,ceiling beam
naqw,chaff
garcil,cheek
nis,cheese
"be""li",cherry
bicir,child
"çene, k:amk:am, šaf",chin
šarxal,chin together with the jaw
rašil,chisel
b,class marker
lurz,clay
marc:i,clean
qal,cliff
"ams, dif",cloud
t:at:,cock
kofe,coffee
"aqIu, merç-uli",cold
xIaw,collar
c:aw,colostrum
-tan,comparative
-š,conditional
-ra,conjunctive particle
jif,copper
gad,corn
çimil,cornel
murç:,corner
bambag,cotton
"hüni, xIuni",cow
"qIab, šint",cradle
rIudrIud,crop
"qIwat:, qüt",crow
xaxanc,crust
çirk:w,cub
juk,cubit
k:uk:um,cuckoo
run,dam
jalqwa-n,dance
muçu,dark
-z,dative
riš,daughter
"jiG, jir",day
sari-t,day after tomorrow
bušu,deaf
"äžalt, jikuval",death
merš,deer
"du-mu, mu, ru-mu, tu-mu",demonstrative pronoun
-ac,denomin. suffix
"-al, -in, -wal",denominative nominal
"ryš:y-n, žeri",dense
buš çül,desert
ruç,dew
"cix, çix",diarrhea
slovar',dictionary
-di,directive
"batur, qar, qar, quruš",dirt
qanta,dock-tailed
"hu, xuj",dog
daži,donkey
rak:-in,door
purpu,downy
çarIçarI,dragonfly
niwk,dream
kup,dried and pressed dung
rax,dried carcass
xumu-l,drizzle
"cadal, kant",drop
daldabu,drum
q:uru,dry
ürdeg,duck
xink,dumpling
"lüq, luqI",eagle
ib,ear
kul,ear of corn
žil,earth
"murz, uš'",edge
muçur,edge of a plough
murta,egg
mirži-b,eight
-an,elative
-d-,elative infix
qur-šil,elbow
fil,elephant
xIan,enclosure
dušman,enemy
[obl. stem] + 0,ergative
-0,essive
diši,even
"häbäq, xIabaqI",evening
ul,eye
"ulçam, ulçim",eyebrow
cilcim,eyelash
"maš, sufat",face
çwul,fall
"hizan, külfet",family
"kir, sars",fang
jarxla,far
qI-a=q:I-,fasten
jic:i-bul,fastener
"darc:, xIul",fat
"adaš, gaga",father
guç,fear
zikw,feather
nana,female breast
"arçil, gur",fence
urtim,fern
çum,fibre
xu-tal,field
"murkul, tub",finger
šib,finger nail
ca,fire
muk-ruk,fir-tree
"baluG, çiç",fish
xu-b,five
murz,flame
"cdu, çud",flea
liž,flock
kümes,floor-cloth
hü,flour
kükü,flower
çamç,fly
"lik, likrin kan",foot
unt,forehead
k:ül,foreleg
šib-rit,foundation
juqu-b,four
"sik, sul",fox
tit,freckle
dust,friend
guç,fright
"Güb, rIub",frog
sn-iç:,front part of leg
acu,full
qabaçej,fur-coat
xul,furrow
-di,future
-r,future suggestive
seb,gall
šarš,garlic
urin,gate-fold
-ru,general participle
-n,genitive
-ri,gerund imperfective
-nu,gerund perfective
"-abqIub, a=r-",get cold
t-uw-,give
hamg,glass
"ceh, cich",goat
qucquc,goat's tail
allah,god
jišur,gold
užu,good
Gaz,goose
udar,grain
cudul,grandchild
aba,grandfather
bab,grandmother
tumut,grape
"qaç, uk",grass
"cic, ukan qIanc:",grasshopper
naqw,grave
muq:i,greedy
çru,green
"caru, cixi",grey
axal,grindstone
qašqaš,gristle
kapal,grove
jurr,growth
"häliž, xIalu-ž",guest
düd,gullet
šqaq,gum
"car, çar",hair
"hac, šur",half
heržil,hamster
"hil, xil",hand
mig,handful
cikw,hank
rIur,hare
rar,harrow
"waçaj, žünerg",hawk
kul,head
gunt,heap
"juk, jukw",heart
"marc-ar, ukj-ar",hearth
aqIu-v,heavy
"qIuIur, qIurIur, rIutra-him",hedgehog
šaqI,heel
liç,heifer
šar,helminth
"pe""",hen
jar-li,high
ar,hind leg of an animal
"ulž, urq",hole
iç,hollow
jiççw,honey
"kuram, širkw",hoof
rIarIac,hook
tanqIu,hoop
malla-hudhud,hoopoe
miç,hope
karç,horn
mux,hornbeam
häjvan,horse
"hal, xal",house
Fici wuna?,How are you?
"admi, insan",human being
tiriš,humming-top
warž,hundred
gaš,hunger
xIurç,hunting
uzu,I
Uzuz uwu kkunduzuz,I love you
mirk:,ice
Zakur g'yurza,I'll come tomorrow
"-0, -in",imperative
"-r, r-",in filled series
uli-x,in front
rIan,intestines
"ruq, ruq'",iron
ostrov,island
çewe-n,it is high time
urs-,jump from above
žüleg,key
mudur,kid less than 1 y. old
"gurdum, tur",kidney
ji=k-,kill
paççah,king
capru hal,kitchen
qamq,knee
qIurqI,knot
qIwatal,lace
kur,ladder-step
dagar,lake
sum-ag,lamb after 6 months
ç:il,lamb less than 6 months old
liku,lame
cal,language
saç,last year
"-k, k-",lateral series
-na,lative
kaž,leaf
jaxun-f,lean
çul,leather strip
tirx,leathern foot-wear
r-i=t-,leave
wiçri,leech
gagul,left
lik,leg
härf,letter (alphabet)
"kaGaz, kaž",letter (mail)
"jašajiš, ümur",life
akw,light
raši,light brown
"cajlapan, raprap",lightning
xIard,linden
kwant,lip
šmi,liquid
lik,liver
çurçul,lizard
rar,load
"-k:, k:-",locative suffix
tapar,lock
qurç,log
jarxi,long
mursul,long rag
"nic:, nicc",louse
rurdil,lung
q:Iarq:Iar,magpie
wu=š-,make a warp
miçi,malt
"ži, žilir",man
tun,manger
ursil,manure
werš,maple
xwar,mare
miži,mark
curcul,marten
-b,masdar
çatxu,massive
xIar,meadow
kamk-ar,measles
"jik:, jikk",meat
qäl,middle
"nik:, nikk",milk
rarI-in,mill
duk,millet
"nühr-er, šüše",mint
daqiqa,minute
pul,money
majmun,monkey
"vaz, waz",month
"qut, takw",mortar
mizmiz,mosquito
sur,moth
"ana, dada",mother
"mers, xax",mould
"daG, siw",mountain
arx-hajiš,mountain pass
qIul,mouse
xump,mouthful
qIacli,naked
"ç:ur, ççwur",name
"isel, k:u-ru",narrow
tabiät,nature
xut,navel
"baga-x, dülesyn",near
rub,needle
Gunši,neighbour
muqu-w,nest
chaIrt,nestling
warži,nettle
d-,neutral preverb
"ciji, taza",new
xtul,niece
jiš,night
urçu-b,nine
nit,nit
ral,noise
-0,nominative
xwank,northern slope of a mountain
qIuqI,nose
d-,not
"nomer, numra",number
maqIw,oak-tree
su,oat flour
xu,oath
gargar,oats
"-di-, -li-, -lu, -ni, -nu, -ru, ri-",obl. stem
-ji-,oblative stem
gug,occiput
ççim,oil
jirsi,old
"jirsi, kühne",old (not new)
qabi,old (not young)
sa,one
qIamš,one of several wives
"uç, žuw",oneself
dekku,onion
çq:I-ur,ordure
tip:,owl
jic,ox
maš,page
iccrušin,pain
kaGaz,paper
q:aq:uba,partridge
çur,pasture
cil,patch
em,paternal uncle
rix,path
"bac, mucu",paw
"harar, nahutar",pea
xar,pea(s)
žuGri,peach
žixir,pear
qum,peg
at:ur,pen
"bilbil, mimit",penis of a boy
halq,people
istavut,pepper
curan,perch
r-,perfective prefix
gazu,pickaxe
qat,piece
sil,pig
luf,pigeon
guta,pillow
tur-kal,pimple
qIanc:,pincers
qIurš,pitchfork
jiš,place
kuš,plait
qIar,planking for the ceiling
kutan,plough
muqu,ploughshare
hut,plum
"-ar, -er",plural
"aGu, zeher",poison
"buruj, duqan, rward",pole
pirpu-n har,poplar
"kartfar, kartuf",potato
"-h, h-",prae series
"-ra, -ri a",present
u=xI-,preserve
Vl-,"preverb ""above"""
zaz,prick
pajGambar,prophet
ulin nini,pupil of the eye
kurcil,puppy
nurra,pus
qIamqIar,quail
"mesla, sual",question
raž,queue
ux-ti,quickly
kumiš,quince
berk,rag
"marh, marx",rain
ams,raincloud
liž-ar,ramson
zimz-ar,raspberry
arq,ravine
üru,red
šut-ram,reed-pipe
din,religion
arçu-l,right
waqIi,rigid
qir,river-bed
"räq, raqI:",road
šim,road metal
u=c-,roast (grain)
Garz,rock
"Gwa"", rwa'",roof
"çar, karI",rook
hal,room
ç:iv,root
Gizilgül,rose
gergmi,round
murq,rust
sursul,rye
šišal,sack
qil,salt
p-,say
hül,sea
"devir, ir, vaht",season
sekunda,second
burqI,secretion in the eye
tum,seed
-x (f-),series Ad
"-il, -in",series Super
urhu-b,seven
naç,shame
ult-u=q:-,shear
raš-ar,sheath
"çarva, març:, marçç",sheep
maxi,sheep-fold
rirril,sheep's dung
ridiq,sheep-skin
"gar, hal",shell
gimi,ship
k:urt:,shirt
žiq:i,short
rIun,shoulder
marxIlin kurab,shoulder-blade
qasu,shovel
rwal,side
sif,sieve
kazdin,silk
"are, ars",silver
çi,sister
"d-us-uz, e-gl-",sit down
jirxu-b,six
"li', xam",skin
qIar,skin without hair
zav,sky
t-a=k-,slaughter
"luv, xil, xil",sleeve
qac,slice
ul-çu=x-,slip
maš,slope
bici,small
žaqw,small bird
gažin,small earthenware jug
kekel,small stone
xIaxIal,small stones
ni',smell
žadan,smithy
kum,smoke
xIaxIa,snail
bit,snake
çirlit,snipe
qaq-niš,snivel
"maara, qIuntuI",snot
jif,snow
marrwal,snow-drift
säbun,soap
rug,soil
baj,son
sirin,soot
liš,sorrel
riqi,soup
uçru,sour
çib,span
çal,speech
nurxI,spelt
cama,sperm
"xaš, xwaš",spider
žar,spinning
tutu,spit
šurš,spittle
želerž,spleen
tu=k-,split
"muç:ur, muççwur",spoon
taqIw,spot
lat,spring
hadukar,spring(time)
