Other,English
0,1st (masc.) class marker
-r,1t class marker (suff.)
"j, r",2d class marker
"d, j",4th class marker
nabag,a common word for sheep
m-,a prohibitive particle
kerket,a small thing
ali-d,above
xyrtam,Adam's apple
"b, w",adverbial suffix
-kle,affective
wyxIna,an intoxicating liquor
qIal,anger
semsälä,ant
ech,apple
guch,arm
"jyqI, sera",ashes
aImale,ass
"cuwul, cywyl",autumn
arxl,autumn wool
gam,awn
jakw,axe
jyqI,back
xab-gä,bag
syna,barberry
xyl'-cejr,barefooted
xyta,barley
"=uxa-, so",bear
šin,bed-bug
tot,bee
wuxun,belly
xIe-r-na,big
i=tal-,bind
woxI,birch
lukon,birch bark
šit,bird
kuda,birth-mark
gože,bitch
kary-n,black
byrqIy-na,blind
"e-b, eb",blood
wok,boar
quwa,board
jyxI,boiled fat
barkw,bone
"kan, xane",bottom
gor,boundary
läxa,bracelet
mahI,brain
kuka,bread
eta-,break
sos,bride
cuma,bride-groom
jyghI,bridge
goma,brook
cho-ž,brother
qIa-jam-ar,brothers' wives
cec,bunch
meg,burdock
q-oka-s,burn
"kamu, xynál",butter
xIydyxI,buttock
kych,button
qyka,calf
nac,cane
cant:araj ješ,caraway
bis:i,cat
"jica, maxi",cattle-shed
kunkum,cauldron
wuqna,cavern
qurek,ceiling
rak,ceiling planking
"coqI, naqw",chaff
gadyr,charcoal
dan,cheek
nis:e,cheese
qac,chin
ghI-a=x:Ia-,choose
maIt:y-n,clean
qul,cliff
kachani,clitoris
gas:an-,close
gumyl',cloud
qlyqla-,coagulate
dadal,cock
mykana,cold
xIow,collar
da,colostrum
"-e, -xe",conditional
-xi,conjunctive
jux:wa,copper
wut,corner
nek,cornfield
xIyn,cow's dung
qIan,crow
xIywa,crumb
g-oqIa-,crumple
"guk:i, guk:y",cuckoo
ga=axa-,cut
mycha-x-yn,dark
-s,dative
jyš,daughter
jygh,day
boš-na,deaf
ha-man,deictic (emphatic) stem
"i-n, ma-n",demonstrative pronoun
"-alla, -walla",denominative nominal
ryš:y-n,dense
-ji,desiderative
arxw,diarrhea
kakan-,dig
xwa,dog
ak:a,door
nak,dream
suInt,dried snot in nose
tank,drop
q:urna,dry
"gyrc, xink-ar",dumpling
kyry,ear
gyt,ear of corn
"chije, jil, naqw",earth
xar,earthenware stove for baking
quq,egg
moli-llä,eight
-e,elative
qIara-n,empty
"wuche, wyche",enclosure for heifers
siv,end
-e,ergative
-a,essive
ex:a,evening
ul',eye
chuqI,eye secretion
ma',fat
xymyl',fat crease
"kukra, wysyn",feather
qyry,felt cloak
xywyl'na,female
muxu,female breast
tub,finger
xyvna,finger nail
ca,fire
xo-llä,five
chin,flea
uq-un,flour from young sprouts
gurguma,flour made of roasted wheat
tet,flower
byzbyza,fly
xurt,foam
gyvy,foreleg
joqu-lle,four
syIwa,fox
gich,fright
tilik,fruit stone
gacyn,full
mac,furrow
ky-zej,gall bladder
s-,general verbal prefix
"-n, -na, -ni",genitive
"-da, -di",genitive plural
"-0, -u, -y",gerund past
"-0, -i",gerund present
q-i=ghar-,get cold
ichi,girl
hi=le-,give
"cë, muswa, myswa",goat
jis,goat's wool
jugna,good
ghIabriš,gooseberry
didi,grandfather
anaj,grandmother
tumyl',grape
ok,grass
cit,grasshopper
uxïxe-,graze
chiIwan,green
choru-n,grey
jaxal,grindstone
kok,grub
"ghIot, sur-tuli",gullet
xyn,gum
chaIr,hair
kaš,hammer
xil,hand
mex,handful
batra-jyn,handsome
cikw,hank
coba-n,hard
ghIyje,hare
gate,haystack
wuqul,head
jik,heart
jyqIy-n,heavy
myqIly,heel
kate,hen
ax-ty-n,high
chum,hill slope
yxIa-,hit
tapan,hive
korch,hoof
qy-chotkyri-n,hooked
gach,horn
balkan,horse
xaw,house
korca-ni,humming-top
waIš,hundred
mys:y-n,hungry
zu,I
myk,ice
sursul,icicle
-e,imperative sing
-jin,imperative sing.
"egh-, igh-",in filled series
hï-d,in front
jywa,iron
q-,iterative prefix
cib,juniper
bycyc,kid
kutun,kidney
q-e=ke-,kill
"uba, ubba",kiss
qaraca,knee
chyka,knife
kunu,knuckle-bone
mygyr,ladder
"gew, urg",lamb
"'-kwa instrum., -k-e abl. III, -k ess. III",lateral series
-nch-,lative
tele,leaf
joxara-n,lean
qusur,leather sack
chuwa,leather strip
q:el,leg
