Other,English
dlay nji neji,a mushroom is growing
dajyal,ant
lehi hedlawa?,are they laughing together?
hindlia?,are you cold?
dinmbada?,are you hungry?
ugal,arm
eldred uku zhat,at eldred's home
tl'aku tenru hutsin,at last it is night
tl'aku lyoch'o hitsin,at last i've made the bannock
"dunen, dunen zra",baby
ge zra,baby rabbit
lyoch'o,bannock
tsen,be quiet
sra,bear
tse,beaver
cho,big
dzua,bird
denet'ro,black
sra denet'ro,black bears
ts'at,blanket
denintl'rum,blue
dek'ana,boy
dintth'in,branches
dettho,brown
denjik,bull moose
tthi,bullets
lala,butterfly
to,cane
hudsi,caribou
udzedhel,chest
dunen,child
najan cho,christmas day
nde,clothes
k'o,clouds
ani,come here
dezra,cow moose
"gukhyo, intl'at",cranberry
anaju,crawling
tagia,creek
etsay,crying
k'uk'a,cup
dzenu,day
tso inch'ina?,do you have firewood?
tl'yal inch'ina?,do you have matches?
sedintth'aya?,do you hear me?
mbay nin'ina?,do you see any sheep?
egay nin'ina?,do you see any wolves?
dan ki huninjia?,do you speak native language?
dan dintth'aya?,do you undestand native lang.
lu yenindhana?,do you want fish?
tedaw yeenindhana ek'e?,do you want soup?
di nindhana?,do you want tea?
chu nindhana?,do you want water?
tlin,dog
tlin dekum hut'at hede,dog is sitting in the house
tlin dekun huka hede,dog is sitting on the house
"tlin k'e tya kah shenetin, udlin tya' kak senetin",dog is sleeping on the rug
tlin dekum hut'a hede,dog's sitting behind the house
tlin dekum huma hede,dog's sitting beside the house
tlin dekum hudan dede,dog's sitting in front of home
tlin dekum hut'e hede,dog's sitting under the house
law,don't
chat,duck
nindzay,ear
tl'aku,enough
enda,eye
enin,face
ete,father
tso,firewood
lu,fish
hulak'o,five
ts'o,fly
aanet'e,flying
ninki,foot
syal,fork
leninch'i,four
nutthi,fox
kagan,frying pan
eyenjyala,girl
dunen eyaninchi,give me the baby
mbra cho je,give me the big knife
e cho je,give me the big snowshoes
ts'at eyaninchu,give me the blanket
"k'wank'e tthi eyaninli, k'wank'e tthi je",give me the bullets
tlin eyaninchi,give me the dog
"k'wank'e eyaninchi, k'wank'e je",give me the gun
mbra eyanin'e,give me the knife
ki eyaninli,give me the moccasins
k'uk eyaninchu,give me the paper
tthi eyanin'e,give me the rock
e je,give me the snowshoes
dechan eyaninchi,give me the stick
di eyaninke,give me the tea
khyal je,give me the trap
