Other,English
Bandoko,stilt-walkers
Basa,"Basa person, Basa language"
Bawa,Dibo peoples Dibo languages
Boku,masquerade (a ceremony)
Bulolo,"Fulºe people, Fulºe language"
Bwaawye,Sorry!
Bwokpna,Gbari sect
Dambei,masquerade ceremony
Ece,"Hausa language, Hausa person"
Gade,"Gade person, Gade language"
Gbari,"Gbari people, Gbari language"
Gbmandara,"Gwandara people, Gwandara language"
Gbmunu,imp. ceremony and sacrifice
Gowyi,"Fulºe people, Fulºe language"
Gwodo,play done by women
Kpeku,masquerade that appears at funerals
Kpeto,Ebira people
Kpoto,"Ebira person, Ebira language"
Lako,"woman of Gbmunu group, who cooks for the men"
Maja,leader of the women in a village
Mate,Gbagyi or Gwarin-Ngenge people and language
Nago,Masquerade (also Weya)
Naila,Naira (unit of currency)
Nasara,European
Nyipe,"Nupe people, Nupe language"
Pada,title (traditional Gbari title)
Sagba,trad. title of a man of the Azagobi society
Sekya,title of leader of the youths in a village
Sumwakpna,Gbari section living along river Sumwa
Taazhin,shrine for the whole village
Tswadu,title (corresponds to Hausa Madaki)
Tswashe,God
Tswashengo,God
Yaji,"Yoruba language, Yoruba person"
Yigbe,"Igbo person, Igbo language"
a gna do gnu aba,half
a'a,No!
abwawyi,Good evening!
aku,parrot
akuki,guinea-yam type
alefo,waterleaf (amaranthus sp.)
alikewali,"affirmation, promise"
ampani,advantage
anyi,soup
arife,Good morning!
atalibe,guinea-yam type
awari,fish type (Gymnarchus niloticus)
awu,rope
azeki,"riches, wealth, affluence"
ba,count
babaruwa,tree species (Acacia nilotica)
babi,question
bace,unstable person
badye,mirror
badye,themselves
baga,above the thigh
bakana,flat tray for drying locust-bean cakes
bakpnakpna,"secluded place, fenced-off area"
bala,bark from reeds used to make mats
bala,ribs (no pl.)
bana,Where?
banagun,heat on the body
banagun'sa,hot season
bansa,"general term for wide, flat fish"
banti,"mouse, pygmy mouse"
bantna,"typhoid, malaria"
bantu,spirit of a person who has recently died
bantu ºeºe,loofah
banzo,"refuse, rubbish"
base,cool down
basha,bird species
bashnishni,sloping land
basna(sna),pain (either emotional or physical)
basnisni,swollen part of body
bata,container used by old woman to store tobacco
batata,ground: slippery ~
bawyedye,"vision, spiritual experience"
baya,beg for
baya,cut with knife
bazeshin,"sin, ritual error"
be,"blow (musical instrument), burp, calm down"
be,plant
bebe,first
becintsu,hard-working person
bedami,"exculpated, cleared of wrongdoing"
bedyi,advance
benu,"large, solitary, male patas monkey"
bere,seed
"bere (adj., n.)","large number of things, multitude"
bere kafi,bird with a long neck
berebere,filled to capacity
bese,blow
besna,sympathy
besnani,sorrowful situation
bezamba,grasshopper: small ~
beëo,tired: be ~
bi,"bury (person, yam)"
bi..bo,ask (question)
bibishnare,cricket: mole ~
bida,"meat, animal when slaughtered"
bingoi,"daughter, brother's daughter"
birigi,cast-net for fishing
biro,pen
bma,fall into
bma,turn aside
bmabmae,broken
bmabmi n.,"village square, playground"
bmada,happiness
bmadnubmadnu,stink-ant
bmagna,grass sp. used for thatching
bmagnu(ti),"joking, playing"
bmajakun,frog species (red and inedible)
bmare,"clear, shiny"
bmarebmare,"clear, shiny"
bmari,"flank, side of body"
bmari,tree species
bmasun,"assist, help"
bmasun,"assistance, help"
bmatu,"fall across (a surface), break across"
bmesango,Gamba grass (Andropogon gayanus)
bmetsu,cockroach
bmi,brew (beer)
bmi,grill
bmi,"redden, ripen"
bmido,mix (fluids)
bmii,very fast
bmina,"feather, wing"
bmisna,bird's nest
bmisna,grass species
bmunu,fingernail
bmya,"good: be ~, good: look ~"
bmya,"radiate, flash (lightening)"
bmya,roof: make a ~
