Other,English
aami,that
aci,trace
äd-,look
ajä,door
aje,"door, trace"
aji,trace
ämbä,mother-in-law
ämbi,mother-in-law
amna-,to sit
amno,horn
amnö-,to sit
ang,"hole, spit"
äzä-,to fall
baadu',to become wet
bakta,knot
baktä-,to jump
bäkte,mound
bapu,sleeping hole in snow
bara,sack
bära,sack
bari,crow
bärujdaabä-,piece
baza,a k. of metal
begel,back
bëra,sack
bezet,to wash
bjä'n,five
bodä-,to lead
boor,mountain
bõra,sack
böser,grave
bu,water
bula-,piece
bullt,to smash
bušša,whole
ca',otter
ca'n,otter
caha,river
cäma,tail (not birds')
cepsu,cradle
ciima,tail (not birds')
dä,that
det-,to bring
di,that
dïbär,that
digin,that (1)
dihin,that
dö,pine
du,pine
e-,negative particle
el- (pres.),negative particle
emër-,to suck
epti,hair
ere,year
eši,child
gi'i',who
hel-,place
i-',negative particle
i-dä-,this
i-gä (imper.),negative particle
ilde,downwards
ilgän,below
inä,bow
jala,day
jede,interval
jêde,interval
jii,girdle
jildä,space below something
jilde-,carry
jilgän,space below something
jili,to live
jilï-,to live
jöde,interval
jude,interval
kaaläng,armpit
kaamän,when
kaamëru',hollow of hand
käâr-,to peel
kada,claw
käda',how
kadáng,snowfall
kade',how
kado',how
kaj-,to close eyes
kajäâl,tear
kajil,tear
kal-,to move
kam,crust
kama',turned over
kami-kola,a k. of trout
kamo,thin snow
kana-,frost
kanaa-,frost
känzä-,to urinate
känze,to urinate
kara-,to curve
kärä-,to peel
karälden,morning
kazära,a k. of bird
keedämgä,ant
ki,month
ko',fir
ko'-,to become dry
kojo-,stay
koju,birch
kola,fish
kolmä,grave
komdä-,hard
konzu',a k. of wild duck
koo-,to become dry
koori,basket
kora,male
korodon,morning
kot,fir
kouna,wild reindeer
ku'-,to cough
ku'bdo-,to extinguish
ku'd,to cough
ku'n,to cough
ku-,find
ku-,to die
kuba,bark
kuja,morning dawn
kuju,birch
kuli,raven
kun-,to carry
kundo-,to carry
kunze,to urinate
kunzu,long
kur-,to bind
kuro,thin snow
kuuli,raven
kuwa,bark
le,bone
lè,bone
lojät,which
ma',house
mà',house
ma-,to say
mä-,to give
maa-zäro,hole in tent roof
maajä,breath
maaje,breath
maaktert,to amble
mâkter-,to go over water
man,I
män-,to go
mar,knot
mär,to give
mara,shore
mari,prevent
me-,to give
mee,a k. of arrow
meeji,daughter-in-law
meji,daughter-in-law
mekte,mound
mi',we
mi-,to give
mište,we
mit,liver
mo,thing
mo',thing
modo,a k. of berry
mona,root
mono,related through marriage
mor,knot
mu'zen,down
mu-,to give
mun-,curve
munäj,testicle
mune,girdle
muno,related through marriage
munuj,testicle
na,arrow
nä,on top
na'-,to scrape skin
nägende,above
nalho,a k. of fir-tree
näm,name
näme,glue
narga,shoot
närmi,way
ne,woman
ne'-,tear
nede-,to rip
nee,woman
neenä,"bowstring, hard palate"
neeni,"bowstring, hard palate"
nejme,worm
ner,nose
ni,on top
nï,on top
niè,arrow
nigindä,above
nim,name
nimër-,to suck
ninggä-,to depilate
nirže,shaft
njiimi,needle
no',to depilate
no',a k. of grass
no'n,to depilate
nolho,a k. of fir-tree
nom,god
noor,a k. of moss
nor,a k. of moss
nu'do,the upper part
nu'nadä,the upper part
nu'nan,the upper part
nu'tu,the upper part
nu-,to lick
nudi,night
num,god
ongaj,jaw
ongo.j,chin
oro,lowland
pa,wood
pä'me,tinder
paar-,back
paargä-,scrape
paba,elder female relative
pada,yellow
pädä-,to cut
pakta,knot
pänerä-,to fart
päng,palm of hand
panga,shaft
pänga,shaft
pangdä-,to press
panggorä-,to press
pängnga,shaft
pärä-,to burn
parang,to bore
pärang,to bore
pari-kinjigej,float
pärijang,to bore
pël,side
pel-,place
pelä'-,to be warm
përä-,boil
phana,skin from the feet of deer
phi'-,to hit
phidä,nest
phîde-,to be warm
phigije,a k. of bird of prey
phud-,to unwind
phudu-,to unwind
pi,stone
pi'ne,back part
piderä-,follow the tracks of a animal
pidet,to warm
pidi,thumb
pigije,falcon
piidi,thumb
piini,asp
pil,side
pim-,to be afraid
pjel,side
pjeri,ring
po,a k. of willow
po'du,young of deer
pootu,wild goat
pu'-,to blow
pu'btu,odor
pu'mo,back part
pu'ptu,odor
pu-,boil
pucuga-käten,a k. of marten
pudä-,to cut
pulu,something stamped
pun-,plait
punorä-,to fart
pure,a k. of wild duck
puri-,"boil, to burn"
puru,a k. of wild duck
purže,long
put,inside
puu'ma,cheek
puže,hazel-hen
qoltei-,to fish
šäkä,language
säl,fat
säle,pole
šändi,who
säre,frozen snow
šee,that
šee'än,that
šeebär,that
šeer,hard snow
šejma,female animal
šejmu,female animal
seni,knee
si',charcoal
ši',you
ši-,to sit down
šide,two
sii,heart
sil,fat
sima,eye
simä,eye
šindä,who
sing,bend
sini,knee
šo,birch bark
soj,mouth
šola,to come
solle,"stump, pole"
šoor,feeding ground for reindeer
šu,fire
šu'dä-,fasten
sü'got,over
su'kut,over
šu-,to come in
šujä,intestines
sujäng,kidney
šuje,female animal
sujong,kidney
šuju,female animal
süjüng,kidney
šümke,light
šur-,to flow
šuriar,fly (insect)
t'ilë-,to comb
taaräla-,divide
tägö,deer
tajloo-,to bow
tåktët,to close
tåktõ,lock
tämnä-,to feel
tan,thou
tanga,summer
tangä,summer
tanzä,lizard
tapse-,spear
tapsu,spear
tavu,end of trunk
te'-,to rot
te'pta,dew
tee,tent roof made of birch bark
tee',tent roof made of birch bark
teedäng,pine
teeji,this
tegäâr-,separate
teji,salmon
tejme,ski
ten,sinew
tet-,to bring
thenze,lizard
ther,hair
theže,end of trunk
tholer-,thief
tholi,thief
thü'd,shit
tii,girdle
tije,this
tijin,this
tjildet,to lift
töde,interval
tön-,to walk
tonzä,lizard
tu,"sleeve, pond, lung"
tu',shit
tu-,to row
tu-,to obtain
tudo-,chew
tuu',shit
uda,hand
ulu,end
unga,polar duck
uunu,a k. of insect
uzu-,to fall
wära,sack
waza,a k. of metal
xal-,to move
