Other,English
-ma-,not
-mu,interrogative particle
-ng,an ending of the 2d person
-sy,possess. suffix (3d person)
abaçy,bogy
abaqy,to avert the evil eye
aby-,to hide
abyn-,to hide
abyt-,to hide
aç,hunger
aç-,to open
açyh,acid
aðaq,foot
aðaš,companion
aðyh,sober
aðyl-,to sober up
aðyn,other
aðyn-,to sober up
aðyr-,to separate
ah,"space between the legs, net"
ah-,to rise
ahla-,to be deserted
ahla-ju,lonely
ahla-t-,to send away people
ahlaq,lonely
ahna-,to tumble
ahsah,lame
ahu,poison
ahuz,colostrum
ahy,silk brocade
ahyr,heavy
ahyz,mouth
aj,month
aj-,to say
aja,palm of hand
aja-,to esteem
ajaq,pot
ajas,frost
ajaš,companion
ajran,kumys
ajy,very
ajyh,evil
ajyt-,to ask
ajyt-,to say
al,scarlet
äl,device
al-,to take
al-mahrut,a k. of plant
ala,variegated
alang,plain
alangyr,jerboa
alda-,to deceive
alp,warrior
alpahut,warrior
alq-,to finish
alq-yn-,to finish
alqyš,praise
alqyš-,to destroy each other
alt,lower side
altyn,being below
alyh,bad
alyn,forehead
alyq-,to be vile
am,vulva
am-dy,now
amaç,plough
amraq,beloved
amryl-,to be quiet
amul,gentle
amyrt-,to calm
an-da,that
ana,mother
and,oath
ang-dy-,to hunt
angçy,hunter
angduz,a medicinal shrub
angla-,to understand
angyl açuq,wide open
angyla-,to cry
angyt,wild duck
angyz,stubble-field
anu-,to get ready
anu-,to get ready
anuq,ready
anuq,ready
anut-,to get ready
ap,emphatic strengthening part.
apa,father
apa,aunt
apa bašy,Cannabis sativa
aq,white
aq-,to flow
aqru,gradually
aqrun,gradually
aqsaq,lame
ar-,to make magic
ar-,to be tired
ara,space between
aran,shed
arçy,saddle-bag
arhun,a k. of weasel
armahan,gift
arpa,barley
arq,excrement
arqa,back
arqa,back
arqah,weft
arqun,a cross-bred horse
art,back
arva-,cast spells
ary,bee
ary-,clean
aryh,clean
aryš,warp
aryt-,to clean
as,ermine
aš,meal
as-,to hang
aš-,to cross a mountain
aš-lyq,seed
ašlyq taryh önar,crops spring
ašu,ochre
ašuq,ankle joint
asyh,profit
at,horse
at,name
at-,shoot
at-,to dawn
ata,father
atan,a castrated camel
ataqy,father
atyz,land between two dikes
av,chase
av-,to crowd
avuç,handful
avuç-ça,handful
avut,handful
avut-ça,handful
avyçha,husband
avyn-,to enjoy oneself
avyt-,to comfort
axsa-,to hobble
az,ermine
az,a little
az-,to go astray
azu,or
azyh,fang
ba-,to bind
ba-h,bundle
ba-h,bundle
baçaq,fast
baðram,feast
bahna,rung of a ladder
bahyr,liver
baj,noble
baja,recently
bajat,God
bajnaq,dung
bajram,feast
bajyq,true
bal,honey
bala,young animal
balçyq,clay
baldu,axe
baldyr,beginning of the spring season
baldyr,"step-son, calf of leg"
baldyz,man's wife's younger sister
balq,clay
balyh,wounded
balyq,clay
balyq,"fish, fortress"
baq-,to look
baqa,frog
baqajaq,hoof
baqan,torque
baqanaq,hoof
baqyr,copper
bar,there is
bar-,to walk
barça,all
barmaq,thumb
barq,house
baryq,unclear silhouette
baš,"head, wound"
bas-,to press
basa,afterwards
bašaq,shoe
bašmaq,shoe
bašmaq,shoe
baštar,sickle
basu,mallet
bat,quick
bat-,to sink
batraq,lance with piece of silk
batur-,to hide
batyh,marsh
baz,foreign
baža-naq,husbands of sisters
be,foaled mare
beçin,monkey
beðiz,painted ornamentation
beðük,big
begni,millet beer
bek,stable
bel,waist
belek,gift
beling,terror
beling-le-,to be terrified
beltir,cross-roads
ber-,to give
ber-tü,a tunic
berk,mighty
bert-,wound
bertü-le-n-,to wear a tunic
bez,ulcer
bez-,to shiver
bij,phalanx
biken-,to feel joy
bil-,to know
bile,also
bile-,to sharpen
bilek,forearm
bilik,wick
bir,one
biš-,to become boiled
bit,louse
biz,we
bod,counter for persons
bod,body
boðo-,to paint
boðoh,dye
bodu-,to fasten
boðun,people
bög,phalanx
bögde,dagger
bögen,large intestine
bögü,wizard
bögür,kidney(s)
boh,bundle
boh-,to strangle
bohoz,throat
bohun,joint
bohym,joint
boj,kin
böj,phalanx
bojba-,be dilatory and careless
böjle,so
bojun,neck
bojyn,neck
bök-,to be satiated
bök-,plug
böke,a big snake
böken-,plug
bökseg,woman's breast
bol-,to become
boq,mildew on bread
boq-,to bend knees
boqaq,craw
boqursy,wooden plough
borhuj,trumpet
böri,wolf
börk,cap
borsmuq,badger
borsuq,badger
boš,empty
bošhut,student
botu,young of camel
boz,grey
bu,"steam, this"
buçhaq,region of the world
buð-,to die of cold
büði-,to dance
budlu,wooden nail in camel's nose
budursyn,quail
bügde,dagger
buhra,camel stallion
bujur-,to order
bujurçun,quail
bujurçyn,quail
bük,bushes
bük-,to bow
büktel,mature
büktir,rocky mountain top
bul-,to find
bulan,unicorn from the Kyfchak
bulaq,well
bulha-,stir up
bulhuna,tamarisk
bulung,corner
bulut,cloud
buqa,bull
buqahu,string
bür-,to wrinkle
burçaq,pea
bürge,flea
büri,head of an arrow
bürkek,cloudy
bürkür-,to become cloudy
burqy,wrinkled
