Other,English
,"lady, ma'am"
-ach',"kind, class"
-ach' ch'aben,confidant
-ach' winaq,fellow-man
-achaq -xikin,ear wax
-achaq amolo,maggot
-achaq ch'imil,falling star
-achaq q'aq',hot coals
-achoch,"scabbard, family, temple"
-achoch mache't,scabbard
-ajaw chaq'ab,"demon, large black goat"
-ajilabal q'ij,sacred 260-day calendar
-ajilbalil,date
-al ali,daughter of a male
-al puaq,interest on money
-al q'ij,K'iche' people
-al q'ij,Quiché people
-al ri puaq,interest on debt
-alk'ual q'ij,albino
-aqan,ankle
-aqan k'uch,ebony tree
-aqän ja,"beam, supportive pole, rafter, column"
-aqän rasrän,edge or tip of a hoe
-baq' kampana,bell striker
-baq' winaq,evil eye
-baq'wäch,class of poisonous mushroom
-baq'wäch ch'o,chiltepe
-baq'wäch käminaq,class of poisonous mushroom
-baqil -teleb,collar bone
-be -anima' -uk',pleased with something
-be -k'ux -uk',pleased with something
-be ja',riverbed
-be q'ij,sun's path
-be teoxil,religious procession
-bixik,answer
-boq'wäch top,inflammation of the skin
-boxonil kotz'i'j,flower bud
-ch'amiy ajaw,laurel tree
-ch'o -q'ab,deltoid muscle
-ch'uk be,curve in the road
-chachal be,white shrub flowers
-chachal no's,dangling flesh of turkey's
-che' k'oy,dance pole
-chi',be thirsty
-chi' be,"arch, gateway"
-chi' ja,door
-chikop aq,swine mange
-chikopil,insect
-e<ch>,"from, indicator of ownership"
-ech,for
-ech -q'ij,"fate, destiny"
-ech wi,"fate, destiny"
-etal -aqän,footprint
-ij -q'ab,back of the hand
-ij -qul,nape of the neck
-ij boq'äch,eyelid
-ij che',bark
-ij chij,drum
-ij mache't,scabbard
-ij triko,chaff wheat
-ismal -boq'ach,eyebrow
-ismal -boq'ach,"eyelash, lash"
-ismal q'ab,hair of arm
-ismal rij -boq'ach,"eyelash, lash"
-ja'il ki,maguey sap
-jolom -ch'ek,knee cap
-jolom r-ib,on the other hand
-jul ba,gopher hole
-k'isbal ri junab,end of the year
-k'olibal -aqan,footprints
-k'olibal loq'obal,pock marks
-k'u'x kaxlan wa,"dough, bread dough, leaven"
-k'u'x puaq,fortune
-k'ux,loyal to something
-k'ux ch-ij,believe
-ka che',madron tree
-ka'yik,be ugly
-kab kotz'i'j,flower nectar
-kajil q'ojom,marimba weights
-kowil raqän kiej,scorpion
-krusil ri -palaj,forehead
-lajujil,tenth
-nak' ti'j,chunk of meat
-nik'ajal,center
-nik'ajil,center
-ok'owbem-ib,difference
-onojel,all
-onojel mul,every time
-pa -ch'ek,behind the knee
-pa -k'alk'ax,armpit
-pa chi'aj,cold sore
-pa ja,floor
-pam -k'alk'ax,armpit
-pam ti'j,giblets
-pawa -aqan,back of a thigh
-pu chi',edge
-pu chi' kolob,lasso
-q'ab be,footpath
-q'ab che',branch
-q'aq'al,temperature
-q'or ek',chicken slop
-qul,ankle
-reb q'aq',blaze of fire
-reb q'aq',flare up
-sal tz'i',dandruff of person
-saqil saqmol,egg white
-si'y kiej,saddle
-solotil kumatz,scales
-tiojil ware',gums
-tun -tzij,echo
-tun q'ij,ray of sun
-tux che',bud of branch
-tz'alamal -palaj,forehead
-tz'alamal q'ojom,marimba keys
-tza'm ch'ima,"edible shoots of the guisquil, guisquil shoots"
-tza'm si',half-burned
-tzalampalaj,forehead
-tzij,answer
-uk'ia' aq,pig swill
-umal,because
-umal -ech,"representing, because, for"
-umal chi,because
-unum q'eq,black mushroom
-unum ulew,earthworm
-uq ak'al,"baby clothes, diaper"
-utzil -anima',charity
-wa k'u'xaj,chest
-wa ra,apron
-wa winaq,evil eye
-wa'l -boq'wäch,tears
-wa'l -wäch,tears
-wa'l kinaq' q'eq,black bean soup
-ware' q'am,ladder step
-webal,food
-webal che',wood chips
-wi' -a',knee
-wi' -achoch,roof
-wi' -mam,grandchild of man
-wi' -q'ab,finger
-wi' ja,"roof, ceiling"
-wi' jäl. tz'amiy,corn silk
-wi' winaq,evil eye
-wi' xikin,earring
-wil,family of woman
-winaqil,client in divination ceremony
-wo -k'ux,"chest, breast"
-wo ja',flood
-wo kaj,face of the sky
-wo saq,algae
-wowa -aqan,front of a thigh
-wäch,answer
-wäch -k'ux,chest
-wäch -q'ij,luck
-wäch che',fruit of a tree
-wächinik,be the same in appearance
-xa'til che',fork of tree
-xaq abix,corn leaf
-xaq kotz'i'j,flower petal
-xaq pwi',brim of hat
-xe' -pam,abdomen
-xe' ja,"basement, foundation"
-xe' joch',sediment of atole
-xe' k'ix,chíntalo
-xe' kape,coffee grounds
-xe' we,cheek
-xeel,dance caller
-xik'ayil che',twig
-xikin -mam,great-grandson
-xikin iboy,fracture
-xikin tix,elephant ear plant
-xol ja,"alleyway, narrow space between houses"
-xol q'et,dip between furrows
-xoq'olil -xikin,ear wax
-xul bul,rivulet of water
-ya' -ib räxq'än,become green
Achep,José
Aj,day in sacred calendar
