Other,English
-'ichan,heel
-an,to play
-ang,tongue
-aq,to leave
-boq,to hold
-chëtang,salt
-doq,to hold
-fa,twice
-fun,without
-langan,mosquito
-nang,brain
-pa,twice
-phun,without
-roq,to hold
-ša,wild animal
-šïn,wild animal
-tanang,collar
-thalc'ek,to think (1)
-thola'uki,to think (1)
-tholökng,to think (1)
-thukng,thirty
a-ith-ox,nomadizing
a-thajang,to send
ach,tree
acha'alagi,to shout
acha'alajang,to shout
acha'alchex,to shout
acha'athakng,to frighten
achalchuk,to throw
achang,catching
achangakng,to catch
achangälchek,to catch
achangökng,to catch
achangši,wild animal
achánše,wild animal
achanthäkng,to catch
achanthälchek,to catch
achantholä'uki,to catch
achantholölng,to catch
achar,shoulder blade
ache,calling
achenchagan,to frighten
achi,calling
achi-xap,top of tree
achigan,tree root
achö'la'ukng,to throw
achö'uk,sowing
achö'ukng,to sow
achöla'uki,to throw
aci,tree
adajang,to expel
afu,forging
afu-akng,to forge
afu-het,smith
ag,"trees, wood"
agan,"trees, fox"
ägan,fox
aganan,fox
aganga,a k. of duck
agangan,a k. of duck
agantán,collar
agántan,collar
agat,hewing
ägatal,saddle
ägatálang,saddle
agathakhang,to hack
agathakng,to hack
agathalcek,to hack
ägatn,fox
age,rotten
agejang,to bear
agtholökng,to hack
ai,I
aitho-l-ökng,to nomadize
aithog-äkng,to nomadize
aj,I
ajak,thunder
aják,thunder
ajakan,thunder
ajan,cradle
ajang,to play
ajong,I
ajun,we
ak,firewood
akänga,a k. of duck
ake,rotten
al-ïg,midday
al-ïx,midday
alácaga,to speak
alacagarang,to speak
alacamang,to bark
alachenang,to weep
aläföt,to wait
alaga,star
alagan,star
alagan,star (1)
alagei,star
alagïchang,to row
alak,star
alák,star (1)
alakan,star
alakng,star
alang,trousers
alat,"woman, I sleep"
alatan,I sleep
alatang,I sleep
aláten,to sleep
alaujang,live
aláx,star
alcagar,to speak
alcam,to bark
alcët,to search
alchen,to weep
alchep,drinking
alchin-tamši,hundred
alchin-tamšu,hundred
alchip,dog
alchiš,to row
alchut,to suck
alek,live
aletekng,to stand
aléten,source
alfi,to extinguish
alföt,to wait
alfu,to blow
alippugi,niece
alit,wife
alit,woman
alït,woman
alit-äli,girl
alït fua,niece
alït phua,niece
alitn,woman
alïtn,woman
alitpuga,grand-daughter
alpeš,wonder
alšáp,dog
alšer,to scrape
alšin,once
alšip,dog
alšip,male dog
alt-tamši,hundred
altek,to stand
althagan,a k. of duck (1)
althai,white-fish
althájan,white-fish
altháján,white-fish
althakng,a k. of duck (1)
althar,to shake
althax,a k. of duck
althïtega,midge
althïtegan,midge
althiteka,midge
althïtekan,ant
altok,jumping
altökng,jumping
altumä,small bird
altüma,small bird
altüman,small bird
alup,tongue
alüp,tongue
ama,mother
áma,mother
amalang,fright
aman,mother
amar,small pit
amar,hill
ami,mother
ana,son-in-law
anäful,twirling
anag,"string, lips"
anagejang,bearing
anan,son-in-law
anan,daughter-in-law
ánang,roe
anangaithakng,to think
anangaj,to think
anangaja,clever
anangajakng,think
anangajalcek,to think
anangajang,to think
anangajolökng,to think
anar,haunch
ánar,haunch
anathi,lashing
anathijang,lashing
ane,son-in-law
aneä,daughter-in-law
aneä,daughter-in-law
anëgan,daughter-in-law
anei,bearing
anful,twirling
ang,nose
äng,nose
angajak,I think
ängán,nose
ängi,nose
ängie,nose
angxoi,snake
angxon,snake
angxotn,snake
ani,son-in-law
anigej,be born
anigejang,be born
anïgpan,to sit
annëan,daughter-in-law
anšal,to whet
anšët,releasing
anthax,to fly
anthi,lashing
anthikng,to fly
anu,ride on horse
änu,roe
anxa,dead
anygpanang,to sit
ápajang,to wound
apang,healthy
apëj-,to hunt
apïkng,sweat
apïkng uganang,to sweat
apïkngán,sweat
aq,to leave
aragejang,to make sour
aran-šan,knee
arang,bone
arangan,bone
arathachapajang,to deceive
arathala,to deceive
arathalapajang,to deceive
aregen,to make sour
aru,cunning
arupi,deception
aruthalapi,to deceive
aryn-gyt,slave
ašetang,to release
äšïgalang,to dry
ašix,which
aske,guilty
askei,guilty
askejing,guilty
aski,guilty
askijang. askö,guilty
ašpar,cloud
ašparang,cloud
ašpor,cloud
ašpórang,cloud
aštamše,hundred
astatajang,to stick into
asthan,to stick into
asthorïtei,to stick into
asthütajang,to stick into
aštökng,to jump
at-p-akng,I shall pour
atakal,saddle
atche,tree
atchi,tree
athalche,to send
athijang,lashing
athol,door
athöl,door
athölajang,to send
athölang,door
atol,door
átöl,door
atpi,hearing
atpifunakng,to be silent
atpoa,it is heard
atül,door
au,thou
auganang,to boil
auong,thou
