Other,English
'al-,neck
'il-,bone
'in-,get cold
'on-,to lead
'ona,cornfield
'or-,to love
'oumur-,a k. of fruit
'ur-,get angry
'uzh-,to hear
-da,and
-k-,locative stem
a,this
a-š-o,so
aci-,now
al-,"neck, to glitter"
alimben,it loves
alimberan,they love
anci-,now
ankes-,fishing pole
anš-,six
aoropenan,they love
ar-,one
aropen,it loves
art-,one
aš-,six
b-,to tie
b-,to pour
baba-,grandfather
bad-,wrath
bag-,to be enough
bag-u,barn
bandal-,to wobble about
bar-,blow up
bax-,thresh
baz-,to give a good beating
bazhg,to lean on
benex-,vineyard
berg-,to hoe
bezhg,scold
bgar-,to make a sound
bgu,owl
bibil-,penis
biç'i,boy
biga,big stick
bilonc-,fern
binex-,vineyard
bir-,to sing
bob-ochva,beetle
bob-onchva,beetle
boch-,ram
bod-,to rave
boda,cobweb
boga,paddock
bombula,spider
bon,to wash
bon,to wash
bor,to wash
bozhg-,branchy tree
bozo,girl
brac-,to tear
brang,to beat upon
bric-,to tear
bruc-,to tear
buchxi,Echinochloa crus galli
bucx-,harrow
bucx-,to scratch
bujg-,bristle
bul,cherry tree
bumbul-,down
bundga,down
bundgin-,to growl
bundgin-,scowl
bundgol-,to pluck a bird
bur-,to darn
burdgol-,to pluck a bird
burg-,a k. of broadleaf plant
burtqu,a k. of insect
butk-,leaf
butkuzh-,bee
butqu,a k. of insect
buz-al-,to buzz
bža,sun
bža-,milk
bzha-,milk
bzhen,to lean on
bžora,sun
c-,"to string on, to suck"
c-,"to spill, report, to suck"
ca-,sky
ca-,sky
ca-le,down
cal-,to scythe
çalamure-,tear
cam-,to torment
camapxa,spring
car,water
cara,rough infertile earth
catx-,to make salty
cax-,plaster
çelamre-,tear
cermanya,germany
çeš-,herdsman
ch-,to give
ch-,"take care of, to begin"
ch-am-,to give
chab-,to glue
chachk-,split
cham-,medicine
chan-,to grow
chand-,to invite
chang-,a k. of plant
char-,to write
chax-,to churn
chaxw-,to churn
che-,grey hair
chechxur-,cold
chi-,have a need
chich-,moth
chichku,soft
chil-,wife
chim-,to rain
chimoš-,plait
chin-,to bequeath
chinax-,to press
chino-,twig
chinu-,twig
chip-,clean
chir-,"wax, have a need"
chiš,to ripen
chit-,split
chita,a little
chk-,"to send, to curse, to begin"
chkad-,to forge
chke-,grey hair
chkid-,to tear
chkim-,my
chkin-,"appear, to define, our"
chkind-,"appear, to miss somebody"
chkir,scythe
chkir-al-,to tweet
chkom-,to eat
chkon-,oak
chkond-,to forget
chkor-,scythe
chkuchku,soft
chkun-,our
chkva-,other
chkvad-,to tear
chkvid-,to tear
chkw-,to send
chond-,to forget
chondr-,to forget
chop-,gather
chot-,to drop
chqint-,unripe
chqip,to press
chu,entrails
chubr-,chestnut
chubur-,chestnut
chuchul-,chicken
chuk-,cauldron
chukan-,cauldron
chul-,to make an error
chuman-,morning
chumen-,tomorrow
chunu-,twig
chur-,vulva
chuta,a little
chv-,"take care of, roast, to rob"
chval-,straw
chvet-,to drop
chx-,"to wash, to smear, heat"
chxap-,to splash
chxi-,to cry piercingly
chxind-,nose
chxink-ol,to sneeze
chxom-,fish
chxoro,nine
chxot-,to hackle hemp
chxovro,nine
chxu,stout
chxu-,sheep
chxverk-,dry branch
chxvik-,jaybird
chxvind-,nose
chxwar-,to grind
ci-,to squeak
cicila,snake
cig-,to stick in
cil,to pluck
cila,white of egg
çilamre-,tear
cimu-lug-,ripe fig
cin-,to weigh
cipa-,navel
cipr-,beech
cipur-,beech
cir-,"to sift, to ooze"
çiš-,grow up
cjxwel-ep-e,stout
ck-,to ache
ck-,arrange
çk-,accustom
ck-un-,to ache
cka,water
ckan-,your
ckar,water
çkimi,my
ckimuntur-,medlar
ckin-,be scared
ckintil-,faeces
cku,we
Cku bidaten,We will go
ckum-,to whine
ckun (i),our
co,piece
co-,down
com-,dough
comp-,to get wet
con,to seem
con-,to weigh
cop-,to teach
cor,piece
cor-,"to sift, to ooze"
cq-,arrange
crod-,to draft
cu-,"a k. of cherry tree, to string on, report"
cuc-,to su
culu,small
cum-,to report
cump-,to get wet
cun-,moment
cuna,poison
cup-,to suck
curd-,to draft
curvel-,leech
cv-,to suck
cv-,report
cx-,"link, to loan"
cx-un-,to choose
cxap-,to peel off splint
cxemur-,"hornbean, hornbeam"
cxik-,firewood
cximuntur-,medlar
cxip-,to lop off branches
cxon,foremilk
cxon,foremilk
cxon-,to comb the hair
cxop-,to kill
cxot-,to pluck
d-,to lie
da,sister
dachxer-,fire
dachxir-,fire
dachxur-,fire
dadul-,female
daj-,thistle
danj-,thistle
dg-,put
dga,day
dgim-,put
dgin-,put
dgul-,to melt
dgw-al-,to mix
dic-,to laugh
dichkizh-,nettle
dicin-,to laugh
dicxir-,blood
did-,big
dida,mother
didi mardi,thanks
Dido xelebas vore,I'm very happy
dika,wheat
dimchku,ant
dinchkizh-,nettle
dincxir-,blood
dindgu,black wax
dišk'a,firewood
diška,firewood
do,and
