Other,English
'um,hold in mouth
a,this
a-bong,mouth
a-chak,joint
a-chung,the chief point
a-dóng,a house
a-far,price
a-frón,count
a-gjám,entire
a-grem,basket for fowls
a-grem,cage for beasts
a-grjam,basket for fowls
a-gun,a road
a-hyir,red
a-jeng-chot,placenta
a-jeng-tjol,placenta
a-jeng-tjól,placenta
a-kam,block of wood
a-kjang,a corner
a-kljóp,flat
a-krju,the slough of a snake
a-ku,paternal uncle
a-kíp,slight narrow shoot
a-lim,the spleen
a-ling,neck
a-lut,manure
a-lí,tongue
a-lóng,reflective light
a-mik,the eye
a-ming,a word
a-mlem,face
a-mo,mother
a-män,cooked
a-mät,hair
a-mít,a female
a-njor süng-tong,deaf
a-nju,an aunt
a-pi,bark
a-pót,weights for sinking it
a-sóm,breath
a-tat,notched
a-thol,testicle
a-thun,foreskin
a-thüng,length
a-tjum,bunch
a-tjäk,little
a-tol,heavy-rumped
a-täng,all country below the source
a-tí,egg
a-tüt,the knuckles of hand
a-zham,accuracy
a-zhu,a thorn
a-šut,fat
acom,hair of head
akhris,close
aróng,horn
bam,remain
bi,vegetables
bjong,cloud
bljan,full
bong-käm,the upper jaw
brjang,name
bóng,deaf
bü,carry
bü,insect
chek,to hew down
chhóm,to agree
chhór,pouring of water
chim,"pour out from a larger vessel, be thin"
chir,to sparkle
chit,to divide
chom,to be drawn together
chor,to be wrinkled
chung,the chief point
chí,beer
chíl,to drivel
chók,grave build in a circular
chól,to be in uproar
chóng,to be handsome
chóng,to wash
chóp,"to add to, suck and afterwards"
chór,"spread out, to be acid"
cuk,bite
da thó,a large expanse
dan,to stretch out
dang,to stretch out
de,to create
di,to proceed
dik läng-zhik,scorpion
djam,to tell tales
do,even as
do-la,even as
dun,to for tell
dung,to be erect
dyang,foot
dyuk,spittle
dár,increase as water after rain
dä,"stagnant water, repeat the charm"
dí,to proceed
dóng,a house
fa,swim
fat,earth
fo,tooth
fo-gom,molar tooth
fran,"swelling, ulcer"
fren,"swelling, ulcer"
frong,swelling
frón,count
fróng,count
fóng,green
gar-nek,penis
gjap,many
gjek,to bring forth
gjo-m,right
gjám,entire
glä,make appearance
grang,be able to walk
grik,sound of anything
grjam,basket for fowls
grjam,to obstruct
grong,powerful
grop,to cover with hands
grun,to watch
grám,to hasten
grí,string bow
gríp,to confine
gu,old female of most animals
gul,part appointed for the house
gun,a road
gá,the chin
gä,the chin
gí,to be bent down
gün,all
hjáng,cold
hlet-bu,water leech
hra,to cut
hrap,sew
hrju,be dry
hrjäm,rise
háp,to suck
hó,thou
hüp,gulp
ju,ashes
jÜ,woman
jä,know
jä-mór-zo,a spec. of zo rice
jäng,brain
jäng,marrow
jók,a yak
jöng,brain
jöng,marrow
ka,to place upon
