Other,English
'n,"a (m), in"
'n pö,a bit
'n âtro,another (m)
'n'âtra,another (f)
'n'òtta,"once, formerly"
'n'ôa,"one hour, an hour"
'na,a (f)
'na vòtta,"once, formerly"
A Ciàppa,Chiappa (IM)
A Döia,La Doria (GE)
A Mænn-a (Zêna),Marina (district of Genoa)
A Prîa,Pietra Ligure (SV)
A Rûa,Ruta (GE)
A Spézza,La Spezia (SP)
Abrùzzo,Abruzzi (Italian region)
Adriàn,Hadrian
Adàmmo,Adam
Albanîa,Albania
Alfrêdo,Alfred
Algerîa,Algeria
América,America
Ande (fpl),Andes
Andrîa,Andrew
Andêua,Andora (SV)
Apenìn,Apennines
Arbisêua,Albisola (SV)
Arbâ,San Francesco d'Albaro (GE)
Arbénga,Albenga (SV)
Arensén,Arenzano (GE)
Argentìnn-a,Argentina
Artâ,Altare (SV)
Arzàçia,Alsace
Aràbia,Arabia
Aràsce,Alassio (SV)
Aràsci,Alassio (SV)
Avêgno,Avegno (GE)
Bacìccia,John Baptist
Bagnæa,Bagnara (GE)
Bagnæra,Bagnaria (Lombardy)
Balestrìn,Balestrino (SV)
Barçelónn-a,Barcelona
Begæ,Begato (GE)
Bertìn,Albert
Bezàgno,Bisagno (Genoese river)
Bielorùscia,Byelorussia
Bocadâze,Boccadasse (GE)
Bogiàsco,Bogliasco (GE)
Boisàn,Boissano (SV)
Bolàn,Bollano (SP)
Bon Dênâ!,Merry Christmas!
Bordighêa,Bordighera (IM)
Borghétto,Borghetto Santo Spirito (SV)
Borgomâ,Borgomaro (IM)
Borgonêuvo,Borgonuovo (GE)
Borzonàsca,Borzonasca (GE)
Borzón,Borzone (GE)
Boâxi,Boasi (GE)
Brazî,Brazil
Bretàgna,Brittany
Brignæ,Brugnato (SP)
Bréumia,Bromia (GE)
Bulgâia,Bulgaria
Busànn-a,Bussana (IM)
Buzonéngo,Busonengo (GE)
Bàrboa,Barbara
Bâvai,Bavari (GE)
Bèlgio,Belgium
Bèrto,Albert
Béppe,Joseph
Béubbi,Bobbio (Emilia)
Bévera,Bevera (IM)
Bòbio,Bobbio (Emilia)
Bòsnia,Bosnia
Bónn-a Pàsqua!,happy Easter!
Bösanæo,Bolzaneto (GE)
Bösanêo,Bolzaneto (GE)
Cadebónn-a,Cadibona (SV)
Cademâ,Cadimare (SP)
Caignàn,Carignano (GE)
Calisàn,Calizzano (SV)
Caminâ (Spézza),Camminata (SP)
Camóggi,Camogli (GE)
Candiêua,Candlemas
Canpogêxa,Campochiesa (SV)
Canporósso,Camporosso (IM)
Canpêgi,Campegli (GE)
Canâ,Canale (GE)
Caprâia,Capraia (island)
Careu,Carrodano (SP)
Carlofòrte,Carloforte (Sardinia)
Carpinêio,Carpeneto (GE)
Carpâxe,Carpasio (IM)
Cartazêna,Cartagenova (GE)
Caràsco,Carasco (GE)
Caròdan,Carrodano (SP)
Casciàn,Cassano Spinola (Piedmont)
Castigión,Castiglione (GE)
Castàgnoa,Castagnola (GE)
Catainìn,Catherine
Catalógna,Catalonia
Catæn,Catherine
Catænn-a,Catherine
Cazanêuva,Casanova (SV)
Cazaìn,Casalino (GE)
Cazâ,Casale (GE)
Censìn,Vincent
Chécco,Francis
Chéulia,Via del Colle (in Genoa)
Cicàgna,Cicagna (GE)
Ciugiavéia,Chiusavecchia (IM)
Ciàn Carnéize,Pian Carnese (GE)
Ciàn de Làite,Pian di Latte (IM)
Ciàn di Prævi,Pian dei Preti (GE)
Coghêuo,Cogoleto (GE)
Cogoeu,Cogoleto (GE)
Cogoêuo,Cogoleto (GE)
Colónbo,Columbus
Comunêgia,Comuneglia (SP)
Confêugo,Christmas bonfire in Liguria
Cornigén,Cornigliano (GE)
Corêa,Korea
Coscéria,Cosseria (SV)
Coêgia,Coreglia Ligure (GE)
Cristìnn-a,Christine
Cristòffa,Christopher
Crovæa,Corvara (SP)
Croxæ (fpl),Crusades
Croàçia,Croatia
Cræn,Caprile (GE)
Crêvai,Crevari (GE)
Crôxe di Fiéschi,Crocefieschi (GE)
Càgge,Cagliari (Sardinia)
Càiri,Cairo Montenotte (SV)
Càiro,Cairo Montenotte (SV)
Càlvai,Calvari (GE)
Cànada,Canada
Cànpo,Campoligure (GE)
Càrcae,Carcare (SV)
Càrpe,Carpe (SV)
Càrsci,Carsi (GE)
Câdezédda,Calasetta (Sardinia)
Câo de Méie,Capo Mele (SV)
Câro (Spézza),Carro (SP)
Céive,Pieve Ligure (GE)
Céive de Söi,Pieve di Sori (GE)
Céngio,Cengio (SV)
Césare,Caesar
Césco,Francis
Cê,Vincent
Cêva,Ceva (Piedmont)
