Other,English
cahlakiw(vai),nasal mucus on face: SB has ~
cahlakuwekon (vii),mucus: ST is covered with nasal ~
cahlakuweku (vai),mucus on them: SB clothes have ~
cahlawihtone (vai),mucus is coming out of SB nose
calokoss (ni-d),handle on side of basket
calokoss (ni-d),ear: SB ~
calokossaloq (ni-d),ear: opening of SB outer ~
calokossaloq (ni-d),canal: ear ~
calokossewine(vai),ear infection: SB has an ~
calokossewine(vai),earache: SB has ~
canomahsu (vai),owe: SB ~s
cask (ni-d),thigh: inner ~
cask (ni-d),crotch: SB ~
catokiw (vai/vii),shrink: SB/ST ~s
catokiw (vai/vii),contract: SB/ST ~s
ceconaqhal (vta),prop SB up: SB ~s
ceconaqhal (vta),brace SB against falling: SB ~s
ceconaqhomon (vti),prop ST up: SB ~s
ceconihkuwal (vta),support SB by accompanying SB: SB ~
ceconihtun (vti),rigid: SB makes ST ~
ceconihtun (vti),brace ST solidly: SB ~s
ceconimal (vta),restrain SB by speaking to SB: SB ~s
ceconimal (vta),counsel SB not to do ST: SB ~s
ceconiyal (vta),make SB rigid: SB ~s
ceconiyal (vta),brace ST solidly: SB ~s
cecononal (vta),restrain SB by bracing with arms: SB ~s
cecononomon (vti),restrain ST by bracing with arms: SB ~s
cehkinol (na-d),buttocks: SB (slang)
cehqoni-spasihtuwal (vta),stay awake for SB until morning: SB ~s
ceht (ni),gristle
ceht (ni),cartilage
cehtu (vai),hemorrhage through nose and mouth: SB ~s
celapit (ni),wisdom tooth: SB ~
celapit (ni),tooth: SB wisdom ~
celehlal (vta),unable to help SB: SB is ~
celokahkumol (na),roof of SB mouth
celokahkumol (na),palate: SB soft ~
cepahqahal (vta),cook for SB separately: SB ~s
cepeyuwal (vta),treat SB differently: SB ~s
cepeyuwal (vta),use him differently: SB ~s
cepeyuwal (vta),set SB apart: SB ~s
cepi-punal (vta),set SB apart: SB ~s
cepi-punomon (vti),set ST apart: SB ~s
ceponal (vta),separate from spouse: SB causes SB to ~
ceponal (vta),separate SB: SB ~s
ceponomon (vti),take ST apart: SB ~
ceponomon (vti),disassemble ST: SB ~s
ceposkehkomon (vti),come apart by standing: SB causes ST to ~
cetuhkuwal (vta),steady: SB holds SB ~
cetuhkuwal (vta),courage: SB gives SB ~
cetuwaqhomon (vti),prop
cetuwaqhomon (vti),brace
cetuwaqhomon (vti),support
cetuwaqhomuwal (vta),support SB: SB ~s
cey (na),someone
cey (ni),something from a place
ceyawiw (vai),from there: SB is ~
ci-macihiw (pc),starting from
ci-maciw (pc),starting from
ci-maciyiw (pc),starting from
ci ('c- 't-)(pv/pn),from
ci ('c- 't-)(pv/pn),why
ci ('c- 't-)(pv/pn),out of
ci ('c- 't-)(pv/pn),in order that
cicokahtehsimal (vta),accidentally bumps SB into the shore: paddler ~
cicokawse (vai),walk back toward land: SB ~s
cicokawse (vai),rise farther toward the north: SB ~s
cihcin (ni-d),thumb: SB ~
cihciqapekomehtuwal (vta),strike closely overlapping marks on SB: SB ~s
cihciqsomon (vti),cut ST in narrow strips: SB ~s
cihkahal (vta),sweep SB (wood shavings): SB ~s
cihkehmon (vti),sweep ST: SB ~s (dirt dust floor or sidewalk)
cihkihikonihtahal (vta),hit SB with broom: SB ~s
cihpolopilal (vta),tie ST up with many knots or strings: SB ~s
cihtasu (vii),made of ST: ST is ~
cihtihike (vai),win prize: SB ~s
cihtihike (vai),prize: SB wins ~
cikawehtuwal (vta),rape: SB ~s
cikawehtuwal (vta),force SB's way into her: SB ~s
cikawehtuwal (vta),sexually assaults her: SB ~
cikawi-matonal (vta),rape SB: SB ~s
cikawi-nutehkuwal (vta),force SB to move out: SB ~s
cikawi-nutehlal (vta),force SB to go out: SB ~s
cikawihtuwal (vta),defy SB: SB ~s
cikawsihmuwal (vta),drink: SB forces SB to ~
cikawsihmuwal (vta),force SB to drink: SB ~s
cikawsomal (vta),force feeds SB: SB ~
cikihtomon (vti),leave ST alone: SB ~s
cikikpahal (vta),shave to make smooth: SB ~s (basketmaking)
cikikpahal (vta),scrape to make SB smooth: SB ~s (basketmaking)
ciksotomon (vti),listen to ST: SB ~s
ciksotomon (vti),heed ST: SB ~s
ciksotuwal (vta),listen to SB: SB ~s
ciksotuwal (vta),obey SB: SB ~s
ciksotuwal (vta),heed SB: SB ~s
ciktehmon (vti),chipping: SB shapes ST by ~
ciktehmon (vti),smoothing: SB shapes ST by ~
ciktehmon (vti),shape ST by scraping: SB ~s
cileyuwal (vta),hurt SB feelings: SB ~s
cileyuwal (vta),wound SB: SB ~s
cilokinahal (vta),milk her: SB ~s
cilomal (vta),bite SB leaving mark: SB ~s
cilomomal (vta),haunted by SB: SB is ~
cilomomal (vta),sign from him: SB receives a ~
cilomotomon (vti),omen or sign through ST: SB receives an ~
cilonomon (vti),mark ST with finger(s): SB ~s
cilotomon (vti),bite ST leaving a mark: SB ~s
cinituwiyemuhtuwal (vta),flies low at SB: SB ~
cinituwiyemuhtuwal (vta),flies down to SB: SB ~
cipewokimal (vta),startle SB with voice: SB ~s
cipilqe (vai),epileptic seizure: SB has a ~
cipilqe (vai),epilepsy: SB has ~
cipilqe (vai),seizure: SB has an ~
cipimal (vta),startle SB by talking: SB ~s
cipokehtuwal (vta),applaud SB: SB ~s
cipokehtuwal (vta),honor SB: SB ~s
cipokehtuwal (vta),praise SB: SB ~s
cipokehtuwal (vta),acclaim SB: SB ~s
ciptinessin (vai/vai+o),grab ST up: SB ~s (at a sale)
ciptinessin (vai/vai+o),handprint on it: SB makes a ~
ciqolatokehlal (vta),tangle SB: SB ~s (rope or string)
ciqolatokehlal (vta),confuse SB: SB ~s
ciqolatokehtun (vti),snarl ST: SB ~s
ciqolatokehtun (vti),tangle ST: SB ~s
ciqolatokehtun (vti),entangle ST (in ST): SB ~
ciqolatoki-punomon (vti),tangle ST: SB places ST in such a way as to ~
ciqolatokihpulal (vta),tangle SB up by handling SB: she ~s
ciqolatokihputun (vti),tangle ST by handling ST: SB ~s
ciqolatokipilal (vta),tangle SB with feet: SB (rope rug snake)
ciqolatpemal (vta),confuse or embarrasses SB by talking: SB ~s
cishal (vta),scrape SB: SB ~s
citqihikon (na),corn bread
ciw (pc),from
ciw (pc),about
ciwciye (vai/vii),leak: SB ~s (liquid running in or out)
ciye (vai),come back from there: SB ~s
ciye (vai),return from there: SB ~s
ciye (vai),been there: SB has ~
cocelehlal (vta),unable to help SB: SB is ~
cocelehtun (vti),can't help doing ST: SB ~
cocepahqahal (vta),cook for SB separately: SB ~s
cocepeyuwal (vta),set SB apart: SB ~s
cocepeyuwal (vta),treat SB differently: SB ~s
cocepeyuwal (vta),use him differently: SB ~s
cocepi-punal (vta),set SB apart: SB ~s
cocepi-punomon (vti),set ST apart: SB ~s
coceponal (vta),separate SB: SB ~s
coceponomon (vti),take ST apart: SB ~
coceposkehkomon (vti),come apart by standing: SB causes ST to ~
kacehlal (vta),hide SB: SB ~s
kacihputun (vti),move ST little by little out of sight: SB ~s
kacikomon (vti),poke ST out of sight: SB ~s
kacikuwal (vta),poke SB out of sight: SB ~s
kaciptun (vti),shoplift ST: SB ~s
kaciptun (vti),take ST by hiding ST: SB ~s
kaciptun (vti),hide ST quickly: SB ~s
kaciwihtomon (vti),secretly: SB says ST ~
kaciwihtomon (vti),say ST secretly: SB ~s
kahsahqahal (vta),wipe SB dry: SB ~s (pot or dish)
kahsapawolal (vta),rinse SB: SB ~s
kahsehtun (vti),cross ST out: SB ~s
kahsehtun (vti),efface ST: SB ~s
kahsehtun (vti),erase ST: SB ~s
kahsehtun (vti),rub ST out: SB ~s
kahsehtun (vti),black ST out: SB ~s
kahsi-spiqonahal (vta),wipe the tears from SB eyes: SB ~s
kahsicukhal (vta),wipe SB (dish or pot): SB ~s
kahsicukhomon (vti),wipe ST dry (utensil): SB ~s
kahsihputun (vti),dry ST off briskly: SB ~s
kahsihputun (vti),wipe ST dry briskly: SB ~s
kahsuwe (vii),go out: ST (fire or flame) ~s
kakalumal (vta),call at SB loudly from a distance: SB ~s
kakaluwamal (vta),shout at him: SB ~s
kakaluwamal (vta),yell to SB: SB ~s
kakaluwamal (vta),call to SB: SB ~s
kakaweyuwal (vta),roughly: SB treats SB ~
kakaweyuwal (vta),treat SB roughly: SB ~s
kakawi-ehkosqenal (vta),hug SB tightly: SB ~s
kakawi-sokiptinenal (vta),handshake: SB gives SB a firm ~
kakawimal (vta),upbraid SB: SB ~s
kakawimal (vta),scold SB loudly: SB ~s
kakawimal (vta),reprimand SB loudly: SB ~s
kakawokehkimal (vta),discipline SB severely: SB ~s
kakawossomiyutolal (vta),drink: too much to ~
kakawossomiyutolal (vta),gave SB excessive amount of drink: SB ~
kakawossomiyutolal (vta),too much to drink
