Other,English
'ax poten,may
'e,yes
-'ah,not
-'ax,nominalizer
-'ax poten,can
-g,I
-gãhã,to cause
-m-nüm mãhat,let down a fish hook
-mãhã,cause some action
-nãhã,cause
-yãhã,cause
...ha ta axa kãy te:-Xëg. Kaxï,...and the rascal shot an arrow at the jaguar
...ïhã ün xop te: –Ëëë,….while the women wailed
...kak-putex,...lest he or it kill me
….Pãyã tik kummuk xüy putup,But the bad men will suffer
a,"screaming, already, not, wailing"
ã,"ah!, you"
Ã' hõm hãpxop üm. Xupkumïy hok,Give me some of that. Don't be selfish!
Ã' hõm komenok. Xapxüy tek put,Give me a blanket. I am freezing
A' hõm kõnãg tat'ax,Give me a cup of water
Ã' hõm topixxax,Give me clothes
A' ta 'ah. Mïnta xupep hõnhã.,"The fruit is not ripe, it is green."
a'xit,he already ate
a a a,help!
ÃÃÃ,groaning
Agãy tu hãpxop koxyõy,In a rage he destroyed things
Agmãykox xüy,My throat hurts.
Agnõy te koxãpkup xaxok,My brother forgot/lost the fishing pole
Agnõy te nãptut paha,My brother picked up a bow
Ahhh!,Oh!
ãhïynãg,always
ak,not
Ak-tok pit yã hapax,His son is a young man
Ak-tok puxehnãg,He had only one child
Ak-tok xohix te koat…,He had four children (offspring)…
Ak mõg 'ah,I did not go.
Ak mõg putup'ah yãk hit,I don't wish to go; I am staying
Akhex mõg hehmën ha nõpox tu,My sister went to the Post for medicine
Akpat xüy,My back hurts
Akpatak-tok xüy,My toe hurts
ãktux,talk about
Akxuxyã te hãm'ãktux maih,My grandfather is a good speaker
ãm,me
Ãm hõm.,Give it to me.
Amãg te' textop kopa' yïm,The small intestine is inside the abdomen
Amãgtap te' textop kopa' yïm,The large intestine is inside the abdomen.
ãmãhïy,"greeting, what's new?"
Amaih!,It is good!
ãmãn,wasp
ãmãn hep,wasp honey
ãmãnex,priest
ãmãnex xap,bell
Ãmãnex xexka xop te Yeyox kupe,The chief priests denounced Jesus
ãmãxak,sundown
ãmãxaknãg,early evening
ãmãxux,tapir
ãmhok,no
Amïy hãpxapkup kama,They also made bows
Ãmkak,macaw spirit
Ãmkak,the macaw spirit
ãmkak,macaw
ãmnïy,"night, darkness"
Ãmnïy hã ãte tex yãnãm penãhã,At night I saw lightning
Ãmnïy hã mõkyõn ka'ok,At night I slept soundly
ãmnïy kote,midnight
Ãmnïy kote ïhã yãmïyxop tek/x,At midnight the spirits are active
