Other,English
,"a little bit, like this"
Ai kaikan,I was seen
Ai kaikma apia,You will not see me
Anira auma ki?,Where are you going?
Au; yang sika,Yes; it's me
Auya ba anira sa?,where is the beach?
Baha watla tawanki ra apia sa,That house isn't in my village
Bahara yangra ai daukpara!,Don't touch me there!
Baku pali saura ai munpara,Do not treat me like that
Baku yang nanira ai wipara,Do not speak to us like that!
Buk an brisma ki?,How many books do you have?
Buk ba ... sa,The book is...
Buk ba tibil ra sa,The book is on the table
Buk nani ba ... sa,The books are...
Dia makama ba,I will give you what you ask
Diakan man baku lukisma ki?,Why do you think so?
Honduras ra iwisna,I live in Honduras
Inglis aisisma ki?,Do you speak English?
Inska ba wal dia daukamna ki?,What shall I do with the fish
Ispail,Spanish
Jon pruaisa,Jon is going to die
Juan an Pedro talia sa,Juan and Pedro are similar
Juan araska,Juan's horse
Juan napa,Juan's tooth
Juan want kan Maria balbia,Juan wanted María to come
Mai kaikisna,I see you
Man ai kaikma apia,You will not see me
Man ai kaikras,You will not see me
Man ai kaikras,You will not see me
Man ai kaikras kama,You will not see me (1)
Man ai kaikras kapram,You did not see me
Man balma ki?,Will you come?
Man nani naha sut kaikisma?,Do you (pl.) see all this?
Man sma ki?,Is it you?
Man wal aisaia want sna,I want to talk to with you
Maria ra kaiki banghwri,We saw María
Mary rum ra sa,Mary is in the room
María atkan araska ba,the horse that María bought
María ra kaikri,I saw María
Miskitu,Miskito
Miskitu aisi banghwisna,We speak Miskito
Miskitu bila,Miskito language
Naha wina Bilwi ra,From here to Bilwi
Nahwala,Yesterday
Nikaragua ra aulna,I am going to Nicaragua
Nini Mary sa,My name is Mary
Nini Miguel,My name is Miguel
Nini Miguel sa,My name is Miguel
Pedro tuktika ba wal,with Pedro's child
Pedro tuktika ra swika pulbia,Pedro will let the child play
Puisin mita ikan,The poison killed him
Ron atkaia watla anira sa?,where is the bar?
Tawan ra sap kum bara sa ki?,Is there a shop in the village
Tibil ra buk kum bara sa,On the table thre is a book
Umpira ai kaikram!,Have pity on me!
Upla kumi sin balras,Nobody came
Waitla kaikisna,I see my house
Wan skulka,Our school
Witin ba patkira sa,He is guilty
Witin diara plikras,anything
Witin dur lamara takaskan,He paused near the door
Witin sika yaptiki,She is my mother
Witin sip sa utla kum paskaia,He can build a house
Witin sip utla kum paskras sa,He cannot build a house
Witin yang ninira balan,He came behind me
Yang María ra buk kum yabri,I gave Maria a book
Yang María ra kaikri,I saw María
Yang María ra kaikri,I saw María
Yang aitani apia sna,I am not worthy
Yang baku sma bika!,Why; you are like me!
Yang kwirku ba dakakatna,I have fed the pigs
Yang miskitu aisisna,I speak Miskito
Yang miskitu aisuna,I am speaking Miskito
Yang naha minit takuna,I'm going out this minute
Yang nini lika Juan,My name is Juan
Yang ra tri paun aiks,Give me three pounds
Yang rumki anira sa?,where is my room?
Yang upla kumi sin ra kaikras,I didn't see anybody
Yang upla kumi sin ra kaikras,I didn't see anybody
Yang wamtla ra waia kapri,I'd have gone to your house
Yang wamtla ra waia sna,I have to go to your house
Yang wamtla ra waia want sna,I want to go to your house
Yang want sna witin ra yabaia,I want to give it to him
Yaptiki ba Miskitu aisisa,My mother speaks Miskito
Yawan ... sa,We are....
Yawan anira wabia?,Where shall we go?
Yâ baha daukan?,Who did this?
Yâ bui ai kangban?,Who touched me?
Yâ win takbia ni?,I wonder who will win!
abakaia,to collapse
abakwaia.,returned
abalkaia,to mix
abalwaia,I saw
abba,Father
abbaka,Father
abbakam,Father
abbaki,Father
adbans,advance
agaka,the tender fish perch
agakka,the tender fish perch
agakkam,the tender fish perch
agakki,the tender fish perch
agar,auger
agin,organ
ahbaia,to groan
ahkia,"when, until"
ahkia?,when?
ahkra,hond
ahkra,hond
ahkram,hond
ai,his
ai araska,her horse
ai-sak-b-aia,lie down
ai-srung-k-aia,cover oneself
aibapaia,to pay
aibuskaia,to be wet
aihkra,hond
aihni,soon
aihtabaia,to take a bath
aihwa,a lot
aik-aia,give me
aiklabaia,to fight
aikuki,together
ailal,"many, much, a lot"
aingwa,complete
aingwa,enough
aingwa,healthy
aisa,father
aisaia,to speak
aisaisa,will speak
aisan,spook
aisaras,doesn't speak
aisaras sa,is not speaking
aisi kaikaia,to read
aisi kaikri,I read it
aisikam,your father
aisiki,my father
aisiki,my father
aisisa,speaks
aisubaia,to be born
aisubi sakaia,to give to light
aitnikaia,to go to bed
aiwanaia,to sing
aiwawanra,singer
alahbaia,to lower
alahwaia,to descend
alkaia,to grab
alkbia,he will take it
amaia,to burn
aman,burnt
amhkra,hond
an,"how many, and"
an?,how many?
angkaia,to burn
ani,which
ani araska?,which horse?
ani wina,where from
ani?,which one?
anira,where
anti,maternal aunt
apaia,to lack
apia,no
apia,not
apia kaka,or
apu,without
ar,or
aras,horse
aras an?,how many horses?
aras ba,the horse
aras ba kainara,in front of the horse
aras ba wal,with the horse
aras kum,"a horse, one horse"
aras kum ba,the one horse
aras kumkum,some horses
aras nani yumhpa,three horses
aras pihni ba,the white horse
aras pihni kum ra,to a white horse
aras pihni ra,to the white horse
aras ra,to the horse
aras uya,many horses
aras yumhpa,three horses
araska ba,the horse in question
atkaia,"buy, to buy"
atki sakaia,to get
au,"yes, if"
auhni,flavorful
aula,negative of balaia
auya,negative of waia
auyamakira,intelligent
awala,river
aya,corn
ba,"the, definite article"
baha,that
baha araska,that horse
baha araska ba,that horse
baha lalahka ni,with this money
baha lalahka wal,with this money
baha wina,from there
bahamna,then
bahamuna,resemblance
bahara,there
bahki,unsuccessfully
baikaia,to explode
baila,close
baila,"near, close"
baila,"side, near"
baku,"as, like that"
baku bara,then
bal luwaia,to happen
balaia,come
balaia,to come
balaisa,will come
balan,came
baman,only
bamna,"because, and"
bamna,for that reason
ban,still
ban,"this way, like that"
ban kra,maybe
bangbang,rabbit
banghkaia,to fill
banghwaia,"plural auxiliary, plaural auxiliary, to be filled"
banhta,roof
bani,each
bara,"and then, because, and, then"
bara sa,there is
batil,bottle
bik,sack
bikaia,to bury
bila,"language, the mouth of"
bila,mouth
bilam,your mouth
bilam-ra,inside you
bilara,inside
bili,my mouth
bili-ra,inside me
bip tawa ni,made of leather
blablasa,dirty
blahwaia,to quarrel
blikaia,to send
bri,having
bri aulna,I am bringing it
briaia,"to have, have"
brih,having
brihbalaia,to bring
brihwaia,to take
buk,book
buk kum,one book
buk kum kum,some books
buk nani,books
bukaia,to get up
bukra,"there, that"
buskaia,to wet
buswaia,to wet
butku,dove
buwaia,to get up
dahra,"report, I relate"
daiwan,animal
dak-b-aia,cut
dak-w-aia,break
dama,"old man, old"
danh,completely
dans,dance
dans pulaia,to dance
dara,report
daukaia,"to make, make"
daukaisa,will make
daukan,made
daukisa,does
dia,what
dia muni,why
dia?,what?
diaia,to drink
diakan,why
diara,"thing, sew, anything"
dikaia,to clean
dikia,it leaves
dikia,relationship
dikia?,what?
dikwa,pan
dimaia,go in
dimwaia,to enter
dingkaia,to put
dis,only
dor,door
dukia,goods
dukia-ra,about
dukiara,for
dur,door
duri,bounce
dus,tree
