Other,English
ä-,to be afraid
ab-,to take
acha,bifurcation
achi,"junior nephew, service"
achi-,carry on one's back
ada,evil spirit
adaGus(u),horse(s)
adali,similar
adaq,lower part of stream
adil,similar
adila,similar
adili,similar
adü,drove
adxu,to clutch
adxu-,to clutch
äG,bran
aGä,paternal uncle
aGäri,atmosphere
agi,wormwood
aGï,cave
agsum,to fling fiercely
agsur-,to fling fiercely
aGta,castrated
aja,favourable circumstances
ajaGa,cup
ajalGa,melody
alä,frolic
ala-,to kill
alaG turü,crow
alaga,palm of hand
alaq,variegated
alba,service
alba-da-,to force
alchaG,knucklebone
alchür,cloth for cleaning
alda,fathom
alda-,to lose
aldar,honour
ali,give!
alus,far away
aluxu,hammer
alxu-,to step
am,peace
ama,mouth
ama(n),valley
amada-,cross one's way
amara-,to rest
ami,life
amisxa-,to breathe
amsa-,to taste
amta,taste
amuhülang,peace
amülang,peace
amur,peace
amus ge-,become quiet
amži-,to be on time
anda,friend
andü-,mistake
andus,plough
ang,crack
anggi,piece
anggir,yellow
angxan,original
ani-,to close eyes
anug-,to aim at
anžasu,plough
anžus,plough
anžusu,plough
arä,just a little
arä,molar tooth
aral,"island, thill"
arangGa,an extra tooth
äraq,kumys
arat,people
ärcaq,flesh between the hips
archi-,to clean
arGa,method
argal,excrement
argali,female of mountain ram
argi-,exhausted
arilžän,exchange
arilži-,to change
armaq,space
aru,back
aruG,woven basket
arün,clean
arusu,skin
arwa,ten
arwä,barley
aržä-,to be rough
arži-,to be rough
asara-,to take care of
asü-,to ask
aw-,to take
awa,chase
awaGa,paternal uncle
awsn,wife of elder brother
äwsn,wife of elder brother
awun,instantly
awura-,to save
axa,elder brother
axï,work
axur,short
aži,work
ažigla-,to beware
ažin,wife of younger brother
bä-,be located
bachimda-,to hurry
badara-,to spread
bädasu,farrow
baGa,small
baGalžür,throat
baGana,central pole
bajas-,to be happy
balä,stupide
balGasu,fortress
balGus,fortress
barä,silhouette
barda-,to boast
bari-,"hold, to build"
barün,West
bäs(u),dirt
bataGana,fly
batu,hard
baxa,satisfaction
baxarda-,to be embarrassed
baxu,craw
baxü,craw
beder,ornaments on metal
beje,self
belbenchik,pastern
belbesen,widow
belen,ready
belxüs,waist
bere,daughter-in-law
bere-,be cold
berele-,to be shy
bergen,wife of the elder brother
bersü,hard growth
berxe,skilled
bi,I
bï,to be
bichaxan,small
bidün,thick
bije,self
bila-,plaster
bilchal-,to become flat and watery
bilchirü,scar
bilžüxä,little bird
birü,calf 2 year old
bö-,to hinder
bodo,body
bodö,smallpox
bodo-,to think
bödönö,quail
böglö-,stop up
boGoni,first rib
boGono,first rib
bögötör,humpbacked
bögsö,buttock
boGto,elbow bone
boki,patina
bökö,hump
böl,servant
bol-,to become
bolchogor,a thick end of smth
bolgö-,gingerly
bolžo-,to agree upon time
boro,grey
börö,testicle(s)
borön,heavy rain
bošoGo,threshold
bösü,louse
böxö,hard
böxöng,mosquito
böžöglö-,to dance
böžök,to dance
bü-,to step down
buchal-,to boil
büchi,rope
budä,gruel
budang,fog
budu-,to paint
büdün,thick
büdür(e)-,to stumble
budurGana,a k. of grass
budurGanaq,a k. of grass
büdürxï,breast handle
büg,to vomit
buGu,demon
buGü,bracelet
bügüde,everything
bugüi,ankle
bujda,far off
bulä-,grab
bulaGa,game
bulanggir,turbid
bulching,muscles
bülchürü,scar
büli-,to stir
bulinggir,turbid
bultu,whole
büral,grey of hair
burchaq,pea
bürdü,swamp
büre,trumpet horn
burGasu,willow
bürge,"flea, pommel of a saddle"
burgi-,to rise of dust
burgien,darkening
burgila-,to rise of dust
burï,darkening
büri,each
bürilge-,perish
burü,bad
bürxü-,to cover
buržuGur,fleecy
büse,belt
busu,other
bušü,quick
buta,bushes
butara-,be broken
büte-,stop up
büxül,everything
büxüli,everything
bužï-,be curly
cawi,groin
chä-,to become white
chag,time
chagä,albugo
chagän,white
chalä-,have a wide opening
chalgi-,overflow
chalir,sharp instrument
chäna,beyond
chang,hoar-frost
charä,outlook
chas,tin
chäsu,paper
chawidar,yellowish
chawü,fish glue
cheži,breast
chi,thou
chichaGa,diarrhoea
chida-,to be able
chig,to stamp
chïg,moisture
chil,cloudless
chilbang,albino
chile-,get oedema
chilü,stone
chimarxä,sides of forehead
chime,noisy
chimke-,to pinch
chindaGa(n),white hare
chine,ability
chingna-,to listen
chini (gen.),thou
chino,wolf
chir,phlegm
chir-,pull
chïraG,strong
chirik chür,army
chiwaga,jujube
chödör,fetters
