Other,English
-abqIub,get cold
-ac,denomin. suffix
-al,denominative nominal
-an,elative
-ar,plural
-b,masdar
-d-,elative infix
-d-ar,adj. substantivator plur
-di,directive
-di,future
-di-,obl. stem
-er,plural
-g,a diminutive suffix
-h,prae series
-il,series Super
-in,"denominative nominal, series Super, imperative"
-ji-,oblative stem
-k,lateral series
-k:,locative suffix
-li-,obl. stem
-lu,obl. stem
-n,genitive
-na,lative
-ni,obl. stem
-nu,gerund perfective
-nu,obl. stem
-q,suffix of a locative case
-q-an,suffix of profession
-qan,as much as
-r,"future suggestive, in filled series"
-ra,conjunctive particle
-ra,present
-ri,gerund imperfective
-ri a,present
-ru,general participle
-ru,obl. stem
-tan,comparative
-wal,denominative nominal
-x (f-),series Ad
-z,dative
-š,conditional
-šin,suffix of abstract nouns
=i=t-,to drip
=ik-,to write
=ilž-,to lick
=iq-,to find
=irx-,to sew
=irž-,to bend
=is-,to hold
=u-ç-,to weed
Fici wuna?,How are you?
Gala; cwurd,tower
Garz,rock
Gatxu,yellow
Gaz,goose
Gi,today
Gizilgül,rose
Gul,village
Gunši,neighbour
"Gwa""",roof
Gwan,"stone, winter-supply"
Güb,frog
Uwu aldakurawu,You are falling
Uwu fudžuwa?,Who are you?
Uzuz uwu kkunduzuz,I love you
Vl-,"preverb ""above"""
Zakur g'yurza,I'll come tomorrow
[obl. stem] + 0,ergative
a,to be
a-k-uz,to roll dough
a=g-,to search
a=qI-,to drag
a=r-,get cold
a=rI-,"to swell, to go"
a=s-,to smear
a=s-,to throw
a=x-,to fall
a=xI-,to rub
aGu,poison
aba,grandfather
acu,full
adaš,father
admi,human being
akw,light
ald-a=k-,to fall
allah,god
alqI-,to laugh
amk,sweat
ams,"cloud, raincloud"
ana,mother
anrIli,burdock's stalk
ap-,to make
aqIu,cold
aqIu-v,heavy
ar,"hind leg of an animal, swamp"
arIu-,to know
are,silver
arf,bee
arq,ravine
ars,silver
arx-hajiš,mountain pass
arçil,fence
arçu-l,right
asi-k:,below
asi-q,below
at:ur,pen
ax-,to sleep
axIu,big
axal,grindstone
az-,to milk
b,class marker
baItli,butterfly
bab,grandmother
bac,paw
baga-x,near
baj,son
baluG,fish
bambag,cotton
barçi,bloodhound
batur,dirt
"be""li",cherry
beden,body
berk,rag
bici,small
bicir,child
bilbil,penis of a boy
bit,snake
bit,tree-fungus
burqI,secretion in the eye
buruj,pole
buš çül,desert
bušu,deaf
c:aw,colostrum
ca,fire
ca=x-,to scratch
cadal,drop
cajlapan,lightning
cal,"language, tongue, wall"
cama,sperm
camcam,sweetbrier berry
cap,bend
capru hal,kitchen
car,hair
caru,grey
cdu,flea
ceh,goat
chaIrt,nestling
chux,urine
cic,grasshopper
cich,goat
ciji,new
cikw,hank
cil,patch
cilcim,eyelash
cimc,ant
cimir,arrow
circ,branch
ciric,branch
cirrw,caterpillar
cix,diarrhea
cixi,grey
cudul,grandchild
cur,vertical lock
curan,perch
curcul,marten
d-,"anim. class marker sing, not, neutral preverb"
d-a=q-,to dangle
d-aq-,to lie
d-e=k:-,to detain
d-i=k-,to spin
d-i=q:-,to tremble
d-u=g-,to lose
d-u=ç-,untie
d-us-uz,sit down
daG,mountain
dada,mother
dagar,lake
daldabu,drum
daqiqa,minute
darc:,fat
daži,donkey
dekku,onion
dere,valley
derk:u,bow
deve,camel
devir,season
dif,cloud
din,religion
diši,even
du-mu,"demonstrative pronoun, that"
duk,millet
duqan,pole
dust,friend
dušman,enemy
dävi,war
däxin,wheat
düd,gullet
dülesyn,near
e-gl-,sit down
ed-e=ç-,to vomit
el,breath
el-e=g-,to fight
em,paternal uncle
fil,elephant
fu,what
fu-ž,who
fun,belly
fur,cart
furin,bridle
gad,corn
gaf,word
gaga,father
gagul,left
gakul,billet
gar,shell
garcil,cheek
gargar,oats
gatu,cat
gazu,pickaxe
gaš,hunger
gažin,small earthenware jug
gergmi,round
gim,tower
gimi,ship
gug,occiput
gugu,testicle
gunt,heap
gur,fence
gurdum,kidney
gurzil,threshhold
guta,pillow
guç,"fear, fright"
gwar,a big jar
gäd,bridge
h-,prae series
h-aa=x-,to forget
h-erx-,to ask
ha,wool
ha-tmu,a deictic emphatic stem
hac,half
had,summer
hadukar,spring(time)
hal,"house, shell"
hal,room
halq,people
hamg,glass
har,tree
harar,pea
hava,"air, weather"
haš(-ar),caraway
heržil,hamster
hi-'an,which
hil,"arm, hand"
hit-i-k-,to steal
hit-i=š-,stop up
hizan,family
hu,dog
hunk apuz,to hiccup
hut,plum
huž-uxI-,to change
häbäq,evening
häfta,week
häjvan,horse
häjvanat,animal
häliž,guest
häq,truth
härf,letter (alphabet)
hü,flour
hül,sea
hüni,cow
i-d-irr-uz,to roll
i-fi,blood
ib,ear
ic:-ru xuz,ache
ic:i,sweet
iccrušin,pain
ifi,blood
il-i=c-,to turn round
ildan,steel
imi-di xuz,to stay
insan,human being
ip-,to eat
ir,season
isel,narrow
istavut,pepper
it-,to winnow
iç,hollow
iš-,to weep
jalqwa-n,dance
jar-li,high
jarqu,wide
jarxi,long
jarxla,far
jatur,thigh
jaxun-f,lean
jašajiš,life
je-x-,to hear
je=c-,"to measure, thaw"
jekw,axe
ji=k-,kill
ji=k-,to hear
ji=t-,bind
jiG,day
jic,ox
jic:i-bul,fastener
jic; buga,bull
jicu-b,ten
jif,"copper, snow"
jik:,meat
jikk,meat
jikuval,death
jir,day
jirf,wooden shovel
jirf-ar,back
jirk:i,bone
jirkk,bone
jirsi,"old (not new), old"
jirxu-b,six
jis,year
jiw-,to put
jix-,to die
jiççw,honey
jiš,"night, place"
jišur,gold
juk,cubit
juk,heart
jukw,heart
juqI,waist
juqu-b,four
jurk:-ar,yoke
jurr,growth
k-,"to say, lateral series"
k-a=c:-,to filter
k-a=k-,to smear
k-a=s-,to glue
k-a=x-,to burn
k-a=ç-,to darn
k-at-,to smear
k-e=x-,to hang
k-u=s-,to dip
k-çaxI-,to smear
k:-,locative suffix
k:-a,to nurse
k:-c,to nurse
k:a-ra=rI-,to roar
k:amk:am,chin
k:anç,canine tooth
k:ar-a=r-,to disperse
k:u-mu,that below
k:u-ru,narrow
k:uk:um,cuckoo
k:um,wedge
k:un xuz,to want
k:urt:,shirt
k:ül,foreleg
k:ürk:ülaj,woodpecker
kaGaz,letter (mail)
kaGaz,paper
kak,tip
kamk,worm
kamk-ar,measles
kamu,butter
kan,bottom
kant,drop
kapal,grove
kar,battledore
karI,rook
kari,young of domestic animals
kartfar,potato
kartuf,potato
karu,black
karç,horn
kazdin,silk
kaç,bitch
kaž,"letter (mail), leaf"
kekel,small stone
ketket,a small thing
ki-lig-,to look
kir,fang
kiriq,young of domestic animals
kitab,book
kofe,coffee
krovat',bed
kt-a=t-,to cut
kt-a=š-,to rip up
kt?-u=š-,to extinguish
kuc,appearance
kul,"head, ear of corn"
kulix,bracelet
kum,smoke
kumiš,quince
kunc,bundle
kup,dried and pressed dung
kur,ladder-step
kurab,bone
kuram,hoof
kuram,trough
kurcil,puppy
kutan,plough
kuš,plait
kwant,lip
kühne,old (not new)
kükü,flower
kül-er,switch
külfet,family
kümes,floor-cloth
küçe,street
l-akak-,to shake
l-çi=k-,to sweep
lak xuz,to waddle
laq,trough
lat,spring
li',skin
li=x-,to work
lik,"leg, foot, liver"
likrin kan,foot
liku,lame
lizi,white
liç,heifer
liš,sorrel
liž,flock
liž-ar,ramson
luf,pigeon
luqI,eagle
lurz,clay
luv,sleeve
lüq,eagle
lütke,boat
m-,a prohibitive particle
ma',brain
maara,snot
majmun,monkey
malaik,angel
malaqIw,worm
malax,wax
malla-hudhud,hoopoe
mani,warm
maqIw,oak-tree
maqw,tale
marc-ar,hearth
marc:i,clean
marh,rain
marr,stick
marrwal,a stripe of mown grass
marrwal,snow-drift
marx,rain
marxIlin kurab,shoulder-blade
març:,sheep
marçç,sheep
masu t:uwus,to sell
maxi,sheep-fold
maš,"face, slope"
maš,page
me'-er,a sort of barley
me'li,sweet
med,syrup
meh,whey
melz,tongue
mer-er,blackberry
mers,mould
merç-uli,cold
merš,deer
mesla,question
mig,handful
mik,wind
mimit,penis of a boy
mirk:,ice
mirži-b,eight
mizmiz,mosquito
miç,hope
miçi,malt
miži,mark
mu,demonstrative pronoun
mucu,paw
mudur,kid less than 1 y. old
mug,basket
muh,barley
muk-ruk,fir-tree
muk:ur,wooden pipe
muq:i,greedy
muq:u-n har,alder-tree
muqu,ploughshare
muqu-w,nest
murgu-ži,brave man
murgul,besom
murkil,toe
murkul,finger
murq,rust
mursul,long rag
murta,egg
murxIu-n har,birch
murxil,balcony prop
murz,edge
murz,flame
murç:,corner
mux,barley
mux,hornbeam
muxur,breast
muç:ur,spoon
