Other,English
ãh jà?,where are the snow shoes?
ahndey néshndë,i live up that way
ahndòsh jà?,where is the packsack?
ändàt zhüh nèshndë,i live over across
ayedindaya uzhe,her name is ayedindaya
Carcross nèshndë,i live in Carcross
ch'à' et'ë,this is a plate
ch'àle et'ë,this is a spoon
ch'ih,mosquito
ch'ih et'ë,this is a mosquito
ch'ih kùlï,there are lots of mosquitos
ch'oh,blowfly
ch'oh et'ë,this is blowfly
ch'oh ùtlã nish'ï,i see a lot of blowflies
ch'ü,spurce
ch'ü yànèhzhã,the sruce tree is growing up
chà',beaver
chà' kë' et'ë,these are beaver tracs
cha dehcha,it is starting raining
cha nihcha,it is raining
cha nihchaa?,is it raining?
chaneshtï,i am sleeping
chanitï!,go to sleep!
chuã dàt'iã?,what is the bird doing?
chuã et'ë,this is a bird
chuã k'ànet'ah,the bird is flying around
dä kots'èn indãlã?,where are you going?
dàdidï dek'ànä Eniht'iya ùzhë,this young man is Eniht'yiã
dadidi dek'ana et'e,this is a young man
dadidi dek'ana susen et'e,this is a nice young boy
dadidi Eniht'iya medeja et'e,this's Eniht'iya little sister
dadidi Eniht'iya metsu et'e,this is Eniht'iya grandmother
dadidi nah'ï!,look at this!
dadidi nih'ï!,look at this!
dadidi shusena medeje et'e,this' shisena's younger sister
dadidi shusena medli et'e,this is shusna's dog
dadidi shusena mema et'e,this is shusena's mother
dadidi shusena membat et'e,this is shusena's older sister
dadidi shusena mendey et'e,this is shusena older brother
dadidi shusena meta' et'e,this is shusena's father
dahlà' et'e,these are your hands
dahlà' etë,these are our hand
dahmbet,you are hungry (pl)
daht'e?,how are you? (pl)
Daht'ea?,how are you? (pl)
dàhts'egã?,did you both hear it?
dàhts'ï!,sit down!
dak'ana zhe dah'ia?,what is your name?
dák'òn et'ë,four
dàkonèt'ïã?,what color is it?
dakonih'ia?,what are you doing?
dakot'e tujane?,how is it outside?
dãlèlã,butterfly
dãlèlã dàt'iã?,what is the butterfly doing?
dãlèlã k'ànèt'ah,the butterfly is flying around
dãlèlã nesh'ï,i see a butterfly
dãnà,money
dãnà dè,give me money
dãnà eshÿàni'à,bring me money
dãnà eshÿànilè,bring me money
dãnà zhãzhe,coins
dãnà zhãzhe eshÿànilè,bring me coins
dànèt'ë?,how many?
danit'e?,how are you?
dànit'ë?,how are you?
danit'ea?,how are you?
dàùzhë et'ë?,what do you call it?
dauzhea?,what is her name?
dàxhàdùshu det'ë,seven
daxoni dahndï!,you say it!
de,gigve it to me
dech'oge,porcupine
dech'oge nesh'i,i see a porcupine
deche' dehtlit,he is wagging his tail
dechige,moose calf
dechige et'ë,this is a moose calf
dechin tah nèshndë,i live in the bush
dechua ts'en luge elel,she's bringing fish to granny
deghal kha chaneti,she's sleeping in her stroller
deja dinatel,he'll camp here
deja ju mbesh,the knife is here
deja kiyeneli,he likes it here
dek'ale,it is white
dek'ana et'e,this is a boy
dek'ana ladehzha,the man went hunting
dek'ana shusena uzhe,the young man's name's Shusena
dek'ana tu yeneli,the boy wants water
dek'ana zhe dah'ia?,what is the boy doing?
dek'ane et'e,this is a man
dekune kaneta,he is looking for his matches
deley,trout
deley et'e,this is a trout
dembet,he is hungry
dendige nazet nesh'i,i see a buul moose standing
dendige nesh'i,i see a bull moose
dene,people
dene denists'à',i understand native language
dene et'e,this is a person
dene k'èh ejin,he is singing in native lang.
dene k'èh konindeã?,do you speak native language?
dene k'èh koshë,i speak native language
dene kë' et'ë,these are people tracks
denèst'ëje,it is black
deshmbet,i am hungry
dests'i chinele,he's collecting branches
dests'ï et'ë,these are dry branches
det'ele,it is red
detl'ïshe,it is blue
dets'i ninila,he put the branches down
dey'!,go away!
dezhazhe nesh'i,i see a cow moose
dì,tea
dì dè,give me the tea
dì eshÿànikà,bring me the tea
di yenilia?,do you want tea?
dih,grouse
dih et'ë,this is a grouse
dimbeda?,are you hungry?
dimbet,you are hungry
dîmbèt,we are hungry
dinèshdã,i am sick
dìsts'ek,i hear
dìts'egã?,did you hear it?
dleje,squirrel
dleje nesh'i,i see a squirrel
dlèzh ndi'è',mushroom
dlèzh ndi'è' yànèhzhã,the mushroom is growing out
dlua,mouse
dlua nesh'i,i see a mouse
dunin',baby
dunin' et'e,this is a baby
dunin' k'anadash,the child is walking around
dunina eket'e,these are children
dunina et'e,these are children
dunina nakozheh,the child is playing
dzel,mountain
dzel et'ë,this is a mountain
dzel kãge k'ànàdah,he's walkin' round the mount
dzenã,muskrat
dzenã kë' et'ë,these are muskrat trancks
ech esht'i,i have a shirt
edehch'ash nish'i,i see her fishing
edèhkã,it's getting light outside now
edeshch'ash,"she is fishing, i am fishing"
edü dene denists'à',i don't understand native lang
edü dene k'èh koshë,i don't speak native language
edu deshmbet,i am not hungry
edu di yeneshli,i do not want tea
edü lèsh t'òt kolï,it is not muddy
edu nehch'i,it is not windy
edü nidìsts'ek,i don't understand you
edu nishach,it is not snowing
edu sha koli,it is not sunny
edu tu yeneshli,i am not thirsty
edü weyèh eshndìh,go ahead; do it!
egey,"wolf, wolf pup"
egey cho nesh'i,i see a big wolf
egey kë' et'ë,these are wolf tracs
egey nesh'i,i see a wolf
egey utla nesh'i,i see lots of wolves
egey zhâzhe et'ë,this is a wolf pup
egeyã,wolf pup
egeyä et'ë,this is a wolf pup
egeya nesh'i,i see a little wolf
eghadena dema k'anehta,little girl is looking mother
èhe',yes
ehe; sha kadi'a,yes;it is sunny
ejin,he is singing
ek'adle et'i,so he is in hurry
ek'adle naht'ï!,hurry you up!
ek'adle nit'ï!,hurry!
elih,she is dancing
èn didã!,move over
èn dizet,move over
endal,she is walking along
endo' ekòjà,i am tired
eneda mindi shokusen,he's happy now that he's full
Enih'tiya dema ghah tu taseka,Eniht'iya is bringing water
