Other,English
(luri) i se ga/à svejà,they themselves have woken up
(ti) te te à/ga/ghè lavà,you yourself are washed
(ti) xèrito sporco?,were you dirty?
(ti)jèritu sporc?,were you dirty?
Dhòrdhi,George
Don't touch me there!,No stà tocarme lì!
Dove xela la me camara?,Where is my room?
Dove xela la spiajia?,Where is the beach?
Dove xelo el bar?,Where is the bar?
El gaton gras,the fat big male cat
El pianze,he cries
El xe,he is
I gatoni grassi,the fat big male cats
La gatona grassa,the fat big female cat
Le gatone grasse,the fat big female cats
No sarìa mìa stà drio parlarte,I wouldn't have been speaking
anbra,amber
anguàna,witch
anpómo£a,raspberry
ava,honeybee
a£okón,owl
bago£ón,joker
bala,ball
balbo,shuddered
baldréska,scaffolding
barukè£o,young peasant
baxùo,mortified
baùko,stupid person
bisabòbo£e,curves on a road
bonbaxón,cotton
brinkavóxe,microphone
brinkàre,catch
brèspa,wasp
brónba,plum
brónsa,charcoal
bèko,beak
béko,goat
bévar,drink
bévare,to drink
bìsi,peas
bòca,kid
bòca,kid
bóka,mouth
bólpe,fox
cantare,sing
caréga,chair
causkàre,to speak gibberish
confóndar,be in a confusion
crédar,believe
cupaskóndare,hide and seek
cupegàre,chew with the mouth open
cénjo,rock
cìkara,tea cup
cò,exclamation
còdo,nail
còpa,loaf
còtoa,skirt
cónpo,lame
desavìo,insipid
dexgrafàre,to untie
dexmentegàrse,to forget
dhandhìvi,gums
dhenòco,knee
dhermàn,german
dhà£o,yellow
dhó,down
die,morir
dixdòto,eighteen
diéxe,ten
dormir,sleep
drugo,stupid person
drénto,inside
drìo,behind
déo,finger
el,the
el can 'l jèra sporc(o),the dog was dirty
el can jèrelo sporc(o)?,was the dog dirty?
endegàro,index
exénpio,example
fete,slices
fhabiòko,stupid
fhalìva,snow flake
fhià,a little
fhormàyo,cheese
fhorèsto,stranger
fhursi,maybe
fhémena,wife
fhìnfarli,type of mushroom
fhòdha,trend
fhòya,leaf
fhóra,out
finfotàre,to whimper
finir,finish
frakàre,to press
franfrìgo£a,type of berry
frédha,cold
frégo£a,crum
frìto£a,whimp
frìxa,arrow
galón,hip
gardéna,type of bird
gatarìso£e,the tickles
gatàro,gate
gatè£e,the tickles
gavàso,bush
gayòfha,pocket
gréspe,wrinkles
gufo,hunchbacked
gunbio,elbow
gòmito,vomit
gòto,glass
górna,gutter
inbolxemàre,to get covered with mud
inbotonar,turn
indomè,barely
indormài,by now
infhià,swollen
infholponàrse,to muffle oneself
ingrisàrse,to be ashamed
ingrumàre,to accumulate
inmagàrse,enchanted
inoriàrse,to be disoriente
inpasà,to be filled
inpisàre,to turn on
inprèstiti,borrowings
instéso,anyway
insìda,the exit
intorko£à,twisted around
intrà,besides
inxamò,already
istà,summer
jaso,ice
jornà£e,newspaper
jénte,people
jéo£o,elder tree
jósa,drop
kanpigo£àre,to wag
kefàro,cockroach
kipàre,to bend
kisa,snugly
kistìnkene,dried chestnut
kitàra,tool used to whip milk
kive,here
kièto,quiet
kèba,cage
kèserle,type of cheese
kéka,magpie
kó,when
lista,list
lu,him
ludro,filthy
ludrón,asphalt
luna,moon
luya,female pig
luyo,July
luàme,dung
làrexe,type of tree
lèdhare,to read
lòsa,sand
lòxa,loggia
lóngo,long
madhégo,type of hay
magànha,pain
mara,nightmare
marangón,carpenter
mare,mother
marinè£e,type of cherries
markà,market
marte£àro,police man
maruè£e,hemorrhoids
marxemìn,wise
marè£a,umbrella's ray
marè£o,pile
marònhe,rock slide
marón,also a scam
masiéra,wall made of stones
masìn,butcher
maya,sweater
me pàre 'l jèra drìo a parlàr,my father he's behind to speak
melórde,tails of long tuxedo
moltón,sheepskin
moréja,mouse
moyére,wife
muso,donkey
musolìn,small fly
muxìna,piggy bank
màntexa,bellows
mèdho,"between, in between"
mèxo,between
métare,put
móvar,move
na bea gatea,a nice small female cat
nanarè£a,gerbil
nasòpia,big nose
netar,clean
nevódo,nephew
nhanho,silly
nhanka,not even
nharo,nest
nhaér,to become
nhànhara,light fever
nhèl,lamb
nhòko,type of food
ninte,nothing
ninàre,singing a lullaby
nodàro,notary
nóxa,nut
onfegàre,stain with grease
pandò£o,biscuit
panhùgo£o,wad
panpa£ùgo,type of bird
pantasón,fat person
papìna,slap
papòta,cheek
pare,father
parecàre,to prepare
parmédo,precocious
parsìmo£o,parsley
passar,pass
pasto,a lot
pate£ón,zipper
patòfhia,weak
patùgo,bottom of bottle
pena,pen
penhàta,pan
peocóxo,stingy
peretàre,to scrutinize
permétar,permit
petenè£a,annoying person
petotàre,to walk quickly
petufhàrse,to fight
petàre,to glue
pe£andrón,lazy
piato£àre,to waste time
pien,full
pipión,pigeon
pirón,fork
pisakàn,dandelion
piànperi,matches
pontar,point
popà,dad
portar,take
po£ìto,OK
prèsia,hurry
puliéro,colt
putè£o,child
puìna,ricotta cheese
pàndare,to reveal
pào,turkey
pèdho,worse
pèka,footprint
pèrdar,loose
pèrla,wild berry
pèrsego,peach
pévare,pepper
pólde,flea
raganhò£o,nuisance
ramenón,a bad fall
ranpegàre,to climb
ranpìn,hook
rasaóro,razor
raìxa,root
rigolàre,to tumble
ronkexàre,to snore
rusàre,to rash
ruxàre,to prowl
rénte,close
ròso,bunch
róso,red
sa,short for what
sakanhón,clumsy
salbanè£o,goblin
sanbè£o,hyperactive kid
sanjùto,hiccup
sanpòto£e,slippers
sarà,closed
saràda,the Fall
saràre,to close
sata,paw
scavìna,harrow -farm utensile
scokàre,to clap
scoltar,to hear
scona,ring
scànta,a little
scào,slave
scàpo,a group
scàsaro,very dirty
scékenàre,to strike
scéto,autentic
scéve,hedge
scòpo,gun
senpioldo,dumb
sentar,seat
sentir,feel
servir,serve
sfharexón,nosy
sgorlàr,to shake
shénta,seat
sixì£a,swallow-type of bird
skanho,stool
skavesàre,to break
skope£òto,slap
skoraiàre,to knock down
skorlàre,to shake
skuliéro,spoon
skèi,money
skóa,broom
skó£a,school
slòsa,transportation vehicle
sora£ake,the laptop
sparagànhe,pigs ribs
spesegàre,to get to work
spithigàre,to pinch
stofegàre,to smother
stèla,splinter
stèrke£e,ski
stè£a,splinter
sugàre,to dry up
sànto£o,father in law
sìxo£a,type of gardening scythe
sórxe,rat
takonàre,to mend
tanbràre,to thunder
temer,to be afraid
thanka,left
ti te jèra sporc,you were dirty
ti te jèri sporco,you were dirty
ti te te à/ga/ghè domandà,you have asked yourself
ti te xeri sporco,you were dirty (1)
tibiàre,to cool down
tosàt,lad
trapè£o,useless object
técia,pan
téndare,to look after
tòko,piece
tò£e,tables
tóko,the touch
tó£e,she takes
un bel gatel,a nice small male cat
urtàre,to push
varnìxa,varnish
vènare,Friday
vèrta,the Spring
védar,see
végro,not cultivated
véndar,sale
xa,already
xara,pitcher
xbarlukàre,to flash
xbiansàre,to water
xbitaràre,to spray
xbramoxà,tired
xbrindo£ón,wanderer
xbrisiàre,to slip
xbéso£a,chin
xbétega,gossiper
xenòco,knee
xgrànfho,cramp
xgrìxo£e,shivers
xgàparo,spit
xhal,rooster
xjantìso,lightning
xjónfo,full
xlamegón,grungy
xlandrón,procrastinator
xlangorìo,empty stomach
xlaparón,voracious
xlépa,slap
xlòso,broken
xmarìo,faded
xmorsàre,turn off
xnharòko,snot
xornà£e,newspaper
xugàre,to play
xvanpo£àrse,to move around stretching
xénte,people
xìxo£a,hard strike
xòbia,Thursday
yakéta,jacket
yera,was
yeri,yestarday
yudàre,to help
yudìsio,judgement
yóvene,young fellow
zenòco,knee
£a xera,she was
£agùia,eagle
£aka,leg
£atón,brass
£avaóro,washbasin
£aìn,lean
£ekési,candies
£evaró£a,pig foot
£igaóro,salamander
£ispo,slippery
£ive,there
£u,him
£énsa,hooligan
£òtara,ladder
£óngo,long
àspexe,water snake
çena,supper
çeó£a,onion
èlira,ivy
ìndese,fake egg to put on hen's nest
ìspio,moss
òbito,funeral
òco,watch out
òfhio,flabby
òko,dumb
òrbo,blind
òyo,oil
ónbrìa,shadow
óngaro,Hungarian
ónja,finger nail
ónsa,ounce
ónxar,anoint
ónxare,to grease
ùa,grapes
ùso,doorstep
ùxo,used to
