Other,English
'ellü,colt
'ellü,foal
'ellü,young of ass
-erd-,run
-idrig-,stir
-kal-,say
-kal-,think
-mat-,to come
-ootok-,strike
Akke yok maxagin!,Don't touch me there!
Baar annih kaay?,Where is the bar?
Baddaf annih kaay?,Where is the beach?
Yi qari annih kaay?,Where is my room?
abur,bull
abur,ox
aburwa,bull
aburwa,ox
acab-,drink
acub-,drink
adar,long
adm-is,to hunt
af,mouth
alaa,she-goat
aleefu,spleen
amac-to,she-lamb
ambaab,flower
anboob,flower
andawaa,mouse
andawaa,rat
anqára,gorge
anqára,palate
anqára,throat
arar,glean
arar,to reap
ba-,go away
baad-,be extinguished
baad-,perish
baceraa,bull
badkela,mule
bahoo,wood
bak,be born
bak,destroy
bal,father
ballaa,father-in-law
bar,learn
bara,man
beeraa,morning
bil,blood
bilica,necklace
birtaa,iron
biyak,illness
biyak,pain
booka,bald spot
boor,band
booruu,kind of loin-cloth
buda,witch-doctor
buddaa,penis
budlaa,town
budlaa,village
bus,vulva
busuu,vulva
buti,pot
bálac-ä,groin
bálac-ä,testicle
bädirä,mare
cabal,blood
cat-,tread
cath-,march
ciloo,stick
cilsi,heavy
daami,zebra
dabce,armpit
dabeèla,billy goat
dac,call
dac-,"be able, know"
dacar,drive away
dacayna,old man
dag,know
dag,"learn, know"
dakaano,elephant
dalehö,wolf
dambar,eyebrow
dambiil,basket
darib,road
darur,rain-cloud
dhaaga,ear drum
dhac-,"be able, know"
dhag,"learn, know"
dhal,give birth
dharaa,arm
dhidd-,attach camels in Indian file
dhä,stone
dhäl,long
dhëri,long
dibe,beat
dibe,whisk
diidaaleyta,wasp
diin,sleep
diriyi,seed
dorrahe,hen
dum,be dark
dumoo,cat
endkaraa,throat
endkaraa,throat
eráy-taa,goat
faan,interval
faanta,middle
fak,open
farar,horse
faras,horse
feera,finger
fera,finger
fär,climb
gaba,hand
gabaa,hand
gabbe,side of back
gac,bury
gal,go
gamma,mane
garac,throat
garac-,cut
garbaa,"heart, belly"
garbaa,intestine
garbaa,stomach
gay-,arrive
gelelo,egg
genac,hand
gerbat,back
giraa,fire
gudee,belly
gudee,belly
gugga,hornbill
gulub,knee
guma,eagle
guma,vulture
guub,be bent
gälä,camel
gümärï,hippopotamus
gürdumë,gorge
gürdumë,throat
hadar,spend a night doing something
hakuk,scratch
hal,enter
halago,clothes
halago,rag
hangal,head
haraa,excrements
hay,live
heyoo,man
hondub,navel
ibid,seed
id,ram
iiy-,say
ilal-,look
ilimo,bastard
illi,small cattle
ilmaa,hippopotamus
iláu,corn
intit,eyes
irö,back
is-,do
is-,make
kaakoo,raven
kabel,sandal
kabel,shoe
katäf-,tear
kee,place
kilim,tick
kulluum,fish
kuud-,run away
laah,she-goat
lab,man
lab-,side of the body
lafa,bone
lagaddo,lamb
lagàddu,lamb
lak,hip
lak,leg
lak,thigh
lay,water
le,water
lubaak,lion
lubbi,heart
lubbi,soft part
lubbi,soul
lubbi,yolk
lä,cattle
lä,cow
lälä,day
ma,come
madac-,swalow
mag-,be numerous
mangoo,plenty
migac,name
mudhi,mead
mulluc-it,lizzard
neef,face
nuum,man
nuumuu,man
oob-,descend
perr,jump
ra'y,goat
raad-,descend
rad-,run
raddi,descendant
ree-ta,she-goat
reeta,goat
rib-,sew
roob,rain
saac,cattle
sabbar-ë,chickpea
sabsab,wall
sadhlyta,sand
san,nose
sara,clothes
sarba,calf of leg
sau,enter
senk'uu,shoulder
sirräy,wheat
sonoo,dream
sàrra,back
sàrra,rear
tak-,strike
tartar-,sew
tek'an,bug
tibic,foot
tibic,heel
tiroo,liver
ulum,crocodile
ur-,burn
wadanaa,belly
wadär,goat
àdda,hides
àdda,skins
àddoy,hides
àddoy,skins
áhddera,spend a night doing something
áhedera,spend a night doing something
ïdä,sheep
