Other,English
'n Omelet,an omelette
'n Stukkie koek,A piece of cake
'n aksie instel,"process, action something"
'n bietjie moeite maak,make an effort
'n duplikaat maak,duplicate
'n geleentheid aangryp,seize an opportunity
'n huwelik ontbind,divorce
'n klomp,"a number, a lot"
'n knippie sout,a pinch of salt
'n lys maak,schedule (v)
'n oplossing vind,resolve
'n paar,"a few, a pair"
'n sker,a pair of scissors
'n skêr,a pair of scissors
'n slapie neem,take a nap
'n uiltjie knip,take a nap
'n week van nou af,a week from now
Aangename kennis,How do you do
Abessiniër,Abyssinian
Achilles,Achilles
Achilleshiel,Achilles' heel
Adam,Adam
Aden,Aden
Adonis,Adonis
Adriatiese See,"Adriatic, Adriatic Sea"
Afganistan,Afghanistan
Afghaan,Afghan
Afghanistan,Afghanistan
Afrika,Africa
Afrikaan,African
Afrikaans,"African, Afrikaans, Afrikaans language"
Afrikaner,Afrikaner
Afrikaner,"Afrikaner, Afrikander"
Afro-Asiaties,Afro-Asian
Agter-Indië,Indo-China
Aken,Aix-la-Chapelle
Albaans,Albanian
Albanees,Albanian
Albanies,"Albanian, Albanian language"
Albaniese taal,"Albanian, Albanian language"
Albanië,Albania
Aleoete,Aleutian Islands
Alexandrië,Alexandria
Algerië,Algeria
Algeryn,Algerian
Algeryns,Algerian
Algiers,Algiers
Allerheilige,"All Hallows, All Saints' Day"
Allersiele,All Souls' Day
Alpe,Alps
Amasone,Amazon
Amerika,"America, United States of America, USA"
Amerikaans,American
Amerikaanse buffel,bison
Amerikaner,"American, US citizen"
Andalusië,Andalusia
Angel-Sakser,Anglo-Saxon
Angel-Saksies,Anglo-Saxon
Angola,Angola
Antarktika,"Antarctic, the Antarctic"
Antille,Antilles
Apokalips,Apocalypse
April,April
Apulië,Apulia
Arabier,Arab
Arabies,"Arabian, Arabic"
Arabië,Arabia
Ardenne,Ardennes
Areopagus,Areopagus
Argentinië,Argentina
Argentyn,Argentine
Argentyns,"Argentine, Argentinean"
Argus,Argus
Aries,Aryan
Ariër,Aryan
Armenies,Armenian
Armenië,Armenia
Armeniër,Armenian
Asdag,Ash Wednesday
Asepoestertjie,Cinderella
Asiaat,Asian
Asiaties,"Asian, Asiatic"
Asië,Asia
Asoriese Eilande,Azores
Assiries,Assyrian
Assirië,Assyria
Assiriër,Assyrian
Astekies,Aztec
Athene,"Athena, Athene, Athens"
Athener,Athenian
Atlanties,Atlantic
