Other,English
ever,a
geradian,a rrange
prica,a while
"anforlætan, forlætan",abandon
forbigan,abase
abbodrice,abbacy
"abbodesse, abbudisse",abbess
"abbod, abbod",abbot
hnag,abject
awyrgedlic,abominable
"be, ymb, be, forhwæga, ofer, ymb",about
bufan,above
genyhtsum,abundant
"clyppan, ðicgan",accept
rædbana,accessory to murder
"fremman, aræfnan, forþian, fremman",accomplish
last,accomplishment
"æfter, æfter",according to
"bemetan, gerad, racu, tellan",account
fyrdsearu,accoutrements
ungesælig,accursed
"cwiðan, wregan",accuse
forsecgan,accuse falsely
"secgan on, secgan on",accuse of
bewuna,accustomed
wyrcan,acquire
"dæd, dæd",action
unslaw,active
nædre,adder
clifian,adhere
stælan,admit
manung,admonition
"bewyrcan, glengan",adorn
hroden,adorned
banfag,adorned with bonework
beaghroden,adorned with rings
wyrmfah,adorned with snakes
geatolic,adroned
æwbreca,adulterer
æwbryce,adultery
forðgan,advance
forðweard,advanced
forþgenge,advancing
"bot, bot, fremu",advantage
"gefa, wiþersaca",adversary
"geþeaht, ræd",advice
"rædan, gerædan, rædan",advise
"rædbora, runwita",adviser
wita,advisor
forespræc,advocacy
þing,affair
seðan,affirm
"þrean, brocian, dreccan, gedreccan, swencan, tawian, þrean",afflict
"broc, wa",affliction
"forcuaeden, foresprecen",aforesaid
"forht, ofdrædd",afraid
"æfter, æfter, after ðæm, siþþan, þæs þe",after
heræfter,after this
hala,afterbirth
siððan,afterwards
"eft, ongean, eft, ongean",again
"ongean, ongean",against
"ealddom, ealdung, ieldu",age
"forealdod, gamol",aged
"astyrian, geondstyrian, styrian",agitate
deaðcwalu,agony
"gemodsumian, geþwærlæcan",agree
tiþian,agree to
"eaðe, liciendlic",agreeable
"gecwidræden, gemodsumnes",agreement
"lyft, lyft, weder",air
"ealu, ealo, ealu",ale
ealubenc,ale bench
ealodrincende,ale drinking
ealuwæge,ale flagon
fremde,alien
ellorgast,alien spirit
afremþung,alienation
"cwic, cwic, in life",alive
"eall, eall",all
eallgylden,all gold
ealgearo,all ready
"geongordom, mannræden",allegiance
lihtan,alleviate
scrifan,allot
dogorgerim,alloted time
"aliefan, alyfan, ðafian, geliefan, geþafian",allow
"let, lete, leton",allowed
"ælmihtig, ælmihtig",almighty
"ætrihte, forneah",almost
ælmesse,alms
"an, an, anum",alone
emnlange,along
abecede,alphabet
"eac, eac, samod, swelce eac",also
"veofod, veofod, weofod",altar
awendan,alter
wrixle,alterative
"þeah þe, þeah þe",although
"æfre, æfre, simle, wideferhð",always
"eom, sie, eom, sie",am
gemægþ,ambition
sætung,ambush
"gebetan, onwendan",amend
weorð,amount
sid,ample
side,amply
hwelc,an
ieldran,ancestors
frumcyn,ancestry
ærgod,ancient good
ealdriht,ancient privilege
ealdgesegen,ancient tradition
"ærgestreon, ealdgestreon",ancient treasure
ærwela,ancient wealth
"ærgeweorc, fyrngeweorc",ancient work
"ac, and, ge, ond, ac, and, ge, oððe, ond",and
"engel, engel",angel
