Other,English
-benen,also
-hy,possess. suffix (3d person)
-ma-,not
-my,interrogative particle
-ng,an ending of the 2d person
abaha,a k. of fern
abajla-,to be cautious
abyšqa,husband
ad,a little
äd,a little
ad-,to go astray
adaš-,to be mistaken
adaw,fang
adym,step
ahaj,elder brother
ahas,tree
ahyw,poison
aj,month
aja,palm of hand
aja-,to pity
ajad,frost
ajaq,"foot, cup"
ajran,kumys
äjt-,to say
ajyq,sober
ajyq-,to sober up
ajyr-,to separate
al,scarlet
al,front
al-,to take
al-jawu,to go mad
ala,variegated
alama,bad
alda-,to deceive
aldy,front
alhyš,blessing
alpamyša,giant
alpawyt,warrior
añ-a (dat.),that
an-da (loc.),that
an-ta,that
añdy-,waylay
andyd,cypress
ant,oath
anyq,ready
apa,aunt
apa,father
äpäj,baked bread
aq,white
aq-,to flow
aqha-,to hobble
aqryn,gradually
ara,space between
aran,shed
arba-,to make magic
arpa,barley
arqa,back
art,back
art-,to load
ary-,to be tired
aryš,thill
aryw,clean
as,ermine
as,hunger
aš,pus
as-,"to open, to hang"
aš-,to surpass
äsä,mother
aša-,to eat
ašla-,to graft
ašlyq,seed
asy,acid
ašyq,die
at,name
at,horse
at-,to dawn
at-,shoot
ata,male
atla-,to step
aw,net
aw-,to bend
aw-,to roll over
awa-la-,to rise of the sun
awdar-,to turn over
äwir-,to turn
awlaq,lonely
awn-,to roll
awna-,to tumble
awyd,mouth
awyr,heavy
bad-a-,to be shy
bady-,make a decision
badyq,thick
baj,noble
bäj,rope
baja,recently
bajbaq,marmot
bäjgi,horse-race
bajraq,flag
bal,honey
bala,child
balan,viburnum
balaq,trouser leg
balašty,fir tree
baldaq,hilt
baldyd,a man's wife's younger sister
balqy-,glitter
balsyq,clay
balta,axe
baltyr,calf of leg
balyq,fish
baq-,watch
bäqäl,joints in animals' feet
baqyr,copper
bar,rich
bar-,to walk
bar qaytha?,Where is the bar?
barmaq,thumb
bary,all
baš,head
bas-,to press
bäšmäk,mushroom
bašmaq,shoe
bat-,to sink
batqaq,marsh
baw,rope
bawyr,liver
bäz,hoar-frost
bazyw,cornfield
bed,"we, awl"
bejä,foaled mare
beje-,to dance
bejek,big
bel-,to know
beläk,forearm
beläw,whetstone
belekej,small
ber,one
beš-,ripe
beše-,to churn
beškäk,churn-staff
bet,louse
bid,swelling
bid-,to shiver
bik,stable
bikre,sterlet
bil,waist
bilen-dä-,to be scared
bir-,to give
birik,mighty
birt-,wound
bis-,to cut
bisäj,cat
bit,face
bod,ice
bod-,destroy
bögö-,to curve
bohad,throat
bohana,false ribs
bohaq,craw
bohardaq,trachea
böjö,tarantula
bojoq-,sorry
bojor-,to order
böl-,to be destroyed
bolan,elk
bolha-,stir up
bolon,corner
bolot,cloud
bor-,wind round
bör-,to wrinkle
bördögen,a k. of berry
borho,trumpet
börkä-n-,to be covered
börköü,stifling
börö,bud
boron,before
börsä,flea
borsaq,pea
bos,fog
boš-,irritable
bot,thigh
böt-,to be ended
böt-öš-,to heal
böt-öš-,to heal of a wound
bota-,to cut branches
botaq,branch
bötörgös,to join
böžäk,insect
bud,grey
buha,bull
buj,body
buj-la-,to rage
buja-,to paint
büjän,large intestine
bujaq,a dying plant
bujlyq,a bridle detail
büjür,kidney(s)
bujzaq,young lamb
bük-,full
büksä,short person
bul-,to become
bül-,separate
büläk,gift
bur,chalk
büre,wolf
burhyq,badger
bürk,cap
bürküt,eagle
buš,empty
bus-,lay an ambush
buta,young of camel
bütägä,bird's crop
butqa,porridge
by-l,this
bydaw,calf
byhaw,string
byhym,thigh
byltyr,last year
byraq-tyr-,to throw out
bys-,to cut
byw,steam
byw-,to tie up
bywad,pregnant of animals
dawyl,strong wind
duhyn,wheel hoop
düjä,camel
dünggäk,stump
dürt,four
dym-,to be silent
dymly,wet
ejär,saddle
eje,very
el-,to hang on (smth.)
es-,to drink
et,dog
gid-,walk through
gömbe,mushroom
haban,plough
had,dirt
haha,knucklebone
hahaq,beard
hahyn,mirage
hahyn-,to miss
hahyz,resin
haj,area covered with stones
hajaq,rare
hajysqan,magpie
hal,rafter
hal-,throw
halmawyr,sling
hamar,big wooden vessel
han,hind leg
hangaq,beard
hap,handle
hap-,to thread a needle
