Other,English
innóísttoani,american
kitáakínai'tanisto,and then i will tell you
kaawá'pomaahkaa,animal
saokiawakaasi,antelope
áípasstaamiinaamm,apple
matsiyíkkapisaii'somm,april
kitái'kó'pohpa?,are you afraid?
mo'tsis,arm
mo'ksís,arm pit
mo'ksís,armpit
iitáísapahtsimao'p,ashtray
niitsísinaa,assiniboine
"iitáyiitsimaahkao'p, pákkii'pistsi otsíai'tssp",august
iksísst,aunt
"ákáó'kowa, mo'ko",autumn
moksís,awl
"issitsimaana, maanipokaa",baby
poká´aatisistaawa,baby rabbit
káta'yoohtsimi,bachelor
istsiaki,back and forth
mo'kakín,backbone
sskoo,backward
áíksinóósakiksi,bacon
siinaisski,badger
ksikkihkíni,bald eagle
iinán,banana
áóttaki,bartender
makápipi'kssi,bat
áótooksiinaattsi,bean
áótooksiinattsiistsi,beans
míín,berry
miistáksoomahk ihkiaa,bighorn sheep
pi'kssíí,bird
iiníí,bison
"sik, siksáápiikoan",black
sikohkiaayo,black bear
siksiká,blackfoot
pikoni kayna siksika,blackfoot writing system
moa'pahkis,bladder
Kainai,Blood
káínaa,blood bandof blackfoot
katoyís,blood clot
ótssko,blue
motstóm,body
omahkottsiimskaan,bologna
saahkómaapi,boy
ippotsipistaan,braid
máókayis,breast
mo'kííkin,breast bone
niisistowahsin,brother
"isstamo, ootoyoom",brother-in-law
sikotahko,brown
ootsimiohkiaayo,brown bear
máóto'kiiksi,buffalo women's society
awákksoopan,bullet
mootóópis,buttock
pisátsskiitaan,cake
mohkinán,calf
ohkomiaapiiníiwaan,candy
isttsomo'kaan,cap
áísátsaaki,carpenter
poos,cat
mootstsipinnaan,cheek
iitsskonnikis,cheese
oko's,child
mohpsskína,chin
i'kayssi,chipmonk
áópakíítsskii'p,chocolate
niitá'paisiksikimi,coffee
sstowa'pií,cold
ihkiitaa,cook
áóhpiikiinaatts,corn
iitáókakihtsimaan,courthouse
áápotskina,cow
aapí'si,coyote
asinaa,cree tribe
Issapóómahksika,Crow-big-foot
