Other,English
jedan sat,1:00
"jedan i cxetrdesetpet, petnaest do dva",1:45
chetvrt do jedan,12:45
tri i pet,3:05
"kvarat poslije tri, tri i petnaest",3:15
chetvrt poslije chetiri,4:15
šest i deset,6:10
sedam i trinaest,7:13
sedam i pol,7:30
malo,a little
puno,a lot
uchitelj je imao knjigu,a teacher had a book
o kome,about
"prihvatanje, usvajanje",acceptance
"knjigovod'a, rachunovo?a",accountant
"iznova, još jednom",again
aerodrom,airport
alkohol,alcohol
all,all
badem,almond
za malo,almost
uvjek,always
jesam li u pravu?,am i right?
"amerikanac, amerikanka",american
"a, i",and
"i upitali smo uchitelja, i upitali smo uchitelje",and we asked the teacher
stan,apartment
jabuka,apple
kajsija,apricot
april,april
arapski,arabic
jeste li gladan?,are you hungry?
"fotelja, stolica sa naslonom",arm chair
dolazak,arrival
špargla,asparagus
Sa koje strane je izlaz?,At which side is the exit?
potkrovlje,attic
august,august
tetka,aunt
australija,australia
"australijanac, australijanka",australian
austrija,austria
"austrijanac, austrijanka",austrian
jesen,autumn
avenija,avenue
djete,baby
sporedno stepenište,back stairs
slanina,bacon
losxe,bad
stanje rachuna,balance
balkon,balcony
banana,banana
banka,bank
"konvertibilna marka, novchanica",banknote
baraka,barrack
temelj,basement
kupatilo,bathroom
istureni prozor,bay window
krevet,bed
posteljina,bed clothes
charšaf,bed sheet
"govedina, govedinom",beef
biftek,beefsteak
pivo,beer
beretka,beret
picye,beverage
rachun,bill
biologija,biology
ptica,bird
rodjendan,birthday
"crn, crna, crno",black
"deka, pokrivach",blanket
bluza,blouse
"plav, plava, plavo",blue
knjiga,book
boca,bottle
djechak,boy
broš,bra
narukvica,bracelet
tregeri,braces
"hljeb, kruh",bread
dorucxak,breakfast
most,bridge
"britanac, britanka",british
broš,brooch
brat,brother
"smed, smeda, smedo",brown
zgrada,building
autobus,bus
autobusna stanica,bus station
"but, nego",but
maslac,butter
taksi stanica,cab stand
brvnara,cabin
Mogu li dobiti osiguranje?,Can I get insurance?
Mogu li pogledati kuhinju?,Can I look in the kitchen?
"možeš li mi pomoci?, možete li mi pomoci?",can you help me?
Da li mi možete pomoci?,Can you help me?
Da li mi možeš pomoci?,Can you help me? (1)
Znate li igrati nogomet?,Can you play football?
Znate li plivati?,Can you swim?
kanada,canada
"kanad'anin, kanad'anka",canadian
platnene cipele,canvas shoes
chilim,carpet
"blagajna, kasa",cash office
"machka, machka",cat
podrum,cellar
stolica,chair
chek,check
zxivjeli!,cheers!
cheese,cheese
hemija,chemistry
višnja,cherry
piletinom,chicken
djete,child
djeca,children
djechje cipele,children's shoes
dimnjak,chimney
kina,china
"kineski, kineskinja, kinez",chinese
crkva,church
kino,cinema
kopche,clip fastenings
zatvoreno,closed
"kratki kaput, žaket",coat (jacket)
kakao,cocoa
"kahva, kava",coffee
mlin za kahvu,coffee mill
studeno,cold
kompjutorski programer,computer programmar
hladno,cool
"hodnik, prolaz",corridor
narukvica,corsets
kostim,costume
pamuk,cotton
pamuchna haljina,cotton dress
šalter,counter
sud,courts
krava,cow
hrvatski,croatian
ribizla,currant
cipele za igranje,dancing shoes
"danac, dankinja",danish
kcyerka,daughter
dan,day
decembar,december
danska,denmark
zubar,dentist
odjeljenje gotovih odijela,department for clothes
polazak,departure
"pretinac, sef",deposit box
pisachi stol,desk
dezert,dessert
tanjur za slatko,dessert plate
dizel,diesel
trpezarija,dining room
vecxera,dinner
plitki tanjur,dinner plate
primate li kreditne kartice?,do you accept credit cards
imate li,do you have
govorite li...,do you speak ...
"govorite li ____?, znate li ____?",do you speak ____?
govorite li engleski,do you speak english
Da li govorite engleski?,Do you speak English?
"da li govoriš, da li govorite",do you speak?
Razumijete li bosniak?,Do you understand Bosnian?
doktor,doctor
"pas, pás",dog
ne diraj me tamo!,don't touch me there!
dole,down
kuchni mantil,dressing gown
Vozite brže; molim,Drive faster please
Vozite sporije; molim,Drive slower; please
vozach,driver
patka,duck
"holand'anin, holand'anka",dutch
minchuše,earrings
ekonomija,economics
jajima,eggs
osam,eight
osamnaest,eighteen
osamdeset,eighty
elektrichni šporet,electric cooker
elektrichar,electrician
jedanaest,eleven
jedanaest i trideset,eleven thirty
kej,embankment
inženjer,engineer
engleska,england
engleski,english
pokretne stepenice,escalator
vechernje odijelo,evening dress
"primer, primjer",example
mijenjanje novca,exchange of money
"izvinite, oprosti, oprostite",excuse me
peškir za lice,face cloth
porodica,family
lepeza,fan
daleko,far
cijena vozne karte,fare
Uzmite karte molim,Fares please.
otac,father
februar,february
petnaest,fifteen
pedeset,fifty
Dobro sam; hvala,Fine; thank you
finska,finland
"finac, finkinja",finnish
vatrogasac,fire fighter
prvi sprat,first floor
"riba, ribom",fish
kabina za probe,fitting room
pet,five
laneno platno,flax linen
sprat,floor
cipele sa d'onom od pluta,foam rubber soled shoes
maglovito,foggy
strana valuta,foreign exchange
strani jezici,foreign languages
formulari,forms
cxetrdeset,forty
cxetiri,four
cxetrnaest,fourteen
francuska,france
"francuski, francuskinja, francuz",french
svježe voche,fresh fruit
svježe povrche,fresh vegetables
petak,friday
"prijatelj, prijateljica",friend
vocye,fruit
tava,frying pan
bunda,fur coat
vrt,garden
benzinska pumpa,gas (petrol) station
na zdravlje!,generic toast
"nemac, nemica, njemacxki",german
nemachka,germany
bojler,geyser
djevojka,girl
"rukavice, rukavice",gloves
koza,goat
dobro,good
dobar dan,good afternoon
dobar dan,good day
"aksam hajrula, dobra vecher, dobro vecxe",good evening
"dobro jutro, sabah hajrula",good morning
"laku noc, laku nocy",good night
"allah imanet, do vidjenja, zbogom",goodbye
"chao, zdravo",Goodbye
guska,goose
haljina,gown
unuka,granddaughter
dedo,grandfather
nena,grandmother
unuk,grandson
grožd'e,grapes
siva,gray
velika britanija,great britain
"zelen, zelena, zeleno",green
prizemlje,ground floor
frizer,hair dresser
pola dvanaest,half past eleven
predsoblje,hall
šunkom,ham
sretan rodjendan!,happy birthday!
šešir,hat
on,he
može,he can
dod'e,he comes
nema,he doesn't have
"nepoznaje, nezna",he doesn't know
ide,he goes
on ima,he has
"jest, on je",he is
nije,he is not
"poznaje, zna",he knows
žive,he lives
spava,he sleeps
hocye,he wants
on je bio,he was
On cye chitati.,He will read
peta na charapi,heel of a stocking
zdravo,hello
Merhaba,Hello
Upomoch!,Help!
"njen, njena, njeni, njeno",her
Evo dolazi naš tramvaj,Here comes our tram
bok,hi
brdo,hill
"njegov, njegova, njegovi, njegovo",his
istorija,history
kucha,home
komj,horse
bolnica,hospital
vruche,hot
hotel,hotel
kuchna haljina,house coat
kuchna haljina,house dress
kako,how
"kako si?, kako ste?",how are you?
kako se ovo kazxe na bosanski,how do you say this in bosnian
koliko,how much
koliko ovo kosxta?,how much does this cost?
Koliko to košta,How much is it?
koliko je karta?,how much is the fare?
"Kolika je cijena karte?, Koliko staje karta?",How much is the ticket?
"koliko imaš godina?, koliko imate godina?",how old are you?
vlažno,humid
"chovjek, muzx",husband
ja,i
"ja sam, jesam",i am
ja imam __ godina,i am ____ years old
Ja sam ______.,I am _____.
"Dobar sam student, Ja sam dobar student",I am a good student
Student sam,I am a student
nisam,i am not
zovem se...,i am...
mogu,i can
Ne govorim dobro bosanski,I can't speak Bosnian
dod'em,i come
ne razumijem,i do not understand
Jan e jedem govedinu,I don't eat beef
Ja ne jedem svinjetinu,I don't eat pork
nemam,i don't have
"nepoznajem, neznam",i don't know
"ne govorim, ne znam",i don't speak
ne razumijem,i don't understand
idem,i go
iman,i have
"ja sam bila, ja sam bio",I have been
"poznajem, znam",i know
Svicha mi se,I like it
živem,i live
spavam,i sleep
ja sam spavao,I slept
"govorim, znam",i speak
"govorim malo..., znam malo...",i speak a little...
razumijem,i understand
hoc'u,i want
Želim _____.,I want _____.
Želim jelo sa _____.,I want a dish containing ____
Želim da iznajmim auto,I want to rent a car
"zxelio bih da kupim, zxeljela bih da kupim",i would like to buy
sladoled,ice cream
Želio bih unovchiti ovaj chek,I'd like to cash this cheque
kupujem.,i'll buy it
Ja sam vegetarijanac,I'm a vegetarian
dobro sam,i'm fine
ja sam iz ...,i'm from..
dobro mi ide,i'm great
nije mi tako dobro,i'm not so well
u redu sam,i'm ok
žao mi je,i'm sorry
u jesen,in the fall
u proljeche,in the spring
u ljeto,in the summer
u zimi,in the winter
indonesian,indonesian
Je li on student?,Is he a student?
Imate li specijalitet kuche?,Is there a house specialty?
Iate li lokalni specijalitet?,Is there a local specialty?
Ima li ta tkanina dva lica?,Is this material reversible?
Je li ovo mjesto zauzeto?,Is this place taken?
ono,it
To mi ne stoji dobro,It doesnt't suit me
ono ima,it has
ono je,it is
ono je spavalo,it slept
ono je bilo,it was
