Other,English
ab,sorcery
ab'han,wife of elder brother
ab-,to take
aba,"father, chase"
aba-,to take
abahär,instantly
abar-,to save
abarga,huge
abgaj,paternal uncle
abäxaj,spider
ada,spirit
adag,"lower part of stream, worth attention"
adaha(n),cattle
adajir,shelves
adal,work
adli,similar
adxa,to clutch
adär,shelves
adüha(n),cattle
adül-,to herd
adün,cattle
ag,taint
agsa-,to barter
agta,castrated
agär,atmosphere
agšan,frolic
aha,cling to
aha-,to catch fire
ahä-,put up
aj-,to be afraid
aj-dar,favourable circumstances
aja,"favourable circumstances, wormwood"
ajaga,cup
ajan,travel
ajlada-,to cry
ajrag,kumys
ala-,to kill
alag,variegated
alagdägan,jerboa
alar,island
alas,far away
alba(n),duty
alba-da-,to force
alda,fathom
aldar,honour
ale,give!
alga(n),palm (of hand)
alirhan,fresh grass
almaj,disturbed
alx(an),hammer
alxa-,to step
alä,frolic
alžä-,get tired
amada-,cross one's way
aman,mouth
amar,peace
amar-,to rest
amba,large
amgalan(g),peaceful
amha-,to taste
ami(n),become quiet
amisxa-,to breathe
amta(n),taste
amža-,to be on time
amžalta,to be on time
anda,friend
anda-,"to notice, mistake"
andadag,very sensitive
angg(an),hole
anggi,group
angil-,to be separated
angir,scoter
ani-,to close eyes
anxa(n),original
anxar-,to pay attention
anza,dowry
anzaha(n),plough
anžar-,to notice
ara,North
arad,people
arag,woven basket
arahan,skin
araj,just a little
aral,thill
aralža-,to change
arangga,balcony
arba(n),ten
arbaj,barley
arbng,inner
arga,method
arga-,to become dry
argal,excrement
argali,female of mountain ram
argün,dry
arha(n),skin
arma,space
armagar,poorly grown
arzaj-,to be rough
arä(n),molar tooth
arün,clean
arša-,to clean
aršül,cloth for cleaning
asa,bifurcation
asü-,to ask
atalga,adze
atar,uncultivated land
atä(n),jealousy
axa,elder brother
axi-,to advance gradually
axüna,gull
azargana,geranium
aša,"junior nephew, service"
aša-,carry on one's back
ažal,work
ažig,worth attention
badr-,to spread
badxa,to perspire
baga,small
bagalsag,shoulder
bagalzür,throat
bagana,central pole
bagansag,arm muscles
baj,be located
bajarla-,to be happy
bajsa,rock
bajtaha(n),farrow
balaj,dark
balar,dark
balga,gulp
balga-,to swallow
balgäha(n),fortress
balgän,hovel
balxa-,to overflow
balä,guilt
balšar,infant
balšargana,angelica
balšysa bari-,to be ashamed
barba-,broad and thick
bardam,to boast
bari-,"hold, to build"
barä,silhouette
barän,cloth
barün,West
basagan,girl
bata,hard
bataganä(n),fly
baxa-,wish
baxalzür,throat
baxalür,throat
baxarda-,to be embarrassed
baxinsag,tongs
bašam,urgent
begserge,barred owl
behe,belt
beje,self
belbehe(n),widow
belen,ready
belhen,pastern
belterge,young of wolf
belxenseg,big belt
belxühë(n),waist
belšer,joint of two rivers
ber,bump
berbegei,pastern
beri,daughter-in-law
berigen,wife of the elder brother
berxe,skilled
bexi,solid
bi,I
bila-,plaster
bilsa-,to become flat and watery
birba-,to feel aversion
bisal-,to demolish
bišïxan,small
bodo,body
bodo-,to think
bogdo,sacred
bogoho,threshold
bogto,shoulder bone
bogöl,servant
bohogo,threshold
bolgö-,gingerly
boli-,cease
bolo-,to become
bolzo-,to agree upon time
bolžüxaj,lark
borbösgoj,cone
bordigor,bone callosity
borjo-gor,hill
borjol-,to rise
boro,grey
borö,heavy rain
buda-,to paint
budan,fog
budargana,a k. of grass
budä,gruel
bug,demon
bugy,noose
bugybša,noose
bugäg,bracelet
bugüli,noose
bujda,far off
bula,lump
bulangir,turbid
bulgan,game
bulsü,bulb
bult(an),entirely
bulxa-,to gargle
bulxaj-,lump
