Other,English
(by the way),btw.
(koňské) dostihy,horseracing
- čárka nad písmenem,macron
-li,if
-násobný,tuple
-stranný,sided
... je toho důkazem,case in point
... jsou od,courtesy of
... se hemžilo ...,crawling with
"1,852 m",nautical mile
1. dubna,April Fool's Day
1. dubna,April Fools' Day
1. světová válka,WWI
1. světová válka,World War I
10 až 15 let,a dog's age
10 milionů rupií,crore
100 pencí,quid
11. listopadu,Veterans Day
12. říjen,Columbus Day
2. světová válka,WWII
2. světová válka,World War II
"238,6 litrů",hogshead
24 hodin,around the clock
25 metrů,a stone's throw
4/5 galonu,Jeroboam
5-ti dveřové auto,hatchback
6 hodin dopoledne,06:00:00
8. prezident USA,Van Buren
ADP,ADP
AIDS,A.I.D.S
AIDS,AIDS
AIDS,Acquired Immune Deficiency Syndrome
ALGOL,ALGOL
ANSI,ANSI
ARPANET,ARPANET
ASCII,ASCII
AZT,AZT
AZT,azidothymidine
Abbott,Abbott
Abby,Abby
Abelson,Abelson
Abernathy,Abernathy
Abner,Abner
Abo,Abo
Abraham,Abraham
Abrahám,Abraham
Abram,Abram
Abrams,Abrams
Abramson,Abramson
Abu Dhabi,Abu Dhabi
Achilles,Achilles
Achilova pata,Achilles heel
Achilova šlacha,Achilles tendon
Ackerman,Ackerman
Ackley,Ackley
Acton,Acton
Ada,Ada
Adair,Adair
Adams,Adams
Adamson,Adamson
Addams,Addams
Addis,Addis
Addison,Addison
Aden,Aden
Adkins,Adkins
Adler,Adler
Adolph,Adolph
Adolphus,Adolphus
Adonis,Adonis
Adrian,Adrian
Aeneás,Aeneas
Afghánistán,Afghanistan
Afgánci,Afghans
Afgánec,Afghan
Africa,Africa
Africký Američan,African American
Africký roh,Horn of Africa
Afrika,Africa
Afričan nizozemského původu,Afrikaner
Afričané,Africans
Afričané nizozemského původu,Afrikaners
Afroameričan,Afro-American
Agamemnón,Agamemnon
Agee,Agee
Agnes,Agnes
Agnew,Agnew
Agricola,Agricola
Agáta,Agatha
Aida,Aida
Aiken,Aiken
Airbus,Airbus
Aitken,Aitken
Akapulko,Acapulco
Akers,Akers
Akron,Akron
Ala,Ala
Alabama,Alabama
Alameda,Alameda
Alamo,Alamo
Alamos,Alamos
Alan,Alan
Alar,Alar
Albany,Albany
Albert,Albert
Alberta,Alberta
Alberto,Alberto
Albrecht,Albrecht
Albright,Albright
Albánci,Albanians
Albánec,Albanian
Albánie,Albania
Albánský,Albany
Alcott,Alcott
Aldebaran,Aldebaran
Alden,Alden
Aldrich,Aldrich
Aleutské ostrovy,Aleutian Islands
Alexander,Alexander
Alexandr,Alexander
Alexandr veliký,Alexander the Great
Alexandra,Alexandra
Alexandre,Alexandre
Alexandria,Alexandria
Alexandrie,Alexandria
Alexis,Alexis
Alfa,Alfa
Alfonso,Alfonso
Alfred,Alfred
Alfredo,Alfredo
Alger,Alger
Alhambra,Alhambra
Alice,Alice
Alicia,Alicia
Alison,Alison
Aljaška,Alaska
Alkatraz,Alcatraz
Allah,Allah
Allegra,Allegra
Allen,Allen
Allis,Allis
Allison,Allison
Allyn,Allyn
Alládin,Aladdin
Alláh,Allah
Alpert,Alpert
Alphonse,Alphonse
Alpy,Alps
Alsasko,Alsatia
Alsop,Alsop
Altair,Altair
Alton,Alton
Alva,Alva
Alvarez,Alvarez
Alvin,Alvin
Alzheimerova nemoc,Alzheimer's disease
Alžír,Algeria
Alžířan,Algerian
Amadeus,Amadeus
Amarillo,Amarillo
Amdahl,Amdahl
Amer,Amer
America,America
American,American
Americká Centrální Banka,Federal Reserve
Americká Samoa,American Samoa
Americká revoluce,American Revolution
Americký,American
Americký Indián,American Indian
Americký plán,American plan
Americký sen,American dream
Amerika,America
Amerika ve válce,America at war
Amerikanizace,Americanizations
Amerikanizmus,Americanism
Američan,American
Američan,American man
Američanka,American woman
Ames,Ames
Amiga,Amiga
Ammerman,Ammerman
Amos,Amos
Amsterdam,Amsterdam
Amy,Amy
Anacreon,Anacreon
Anakreón,Anacreon
Anastasia,Anastasia
Anastázie,Anastasia
Anatolijský,Anatolian
Andersen,Andersen
