Other,English
-:r,they
-a-,he
-ch,we
-chik,small
-chis,small
-ey,I
-feefin,left
-ffas,to laugh
-k,thou
-kemi,you
-kich,we
-mééng,left
-mi,you
-mmééng,left
-mw,thou
-mwáán,right
-n,he
-ngi,tooth
-ngin,small (1)
-ngú,tooth
-nómwu-(n),mosquito
-pwute-(n),woman
-se,no
-sich,small
-ur,they
-y,I
(a)-kéttú,to scratch
(é)-kéttú,to scratch
(e)-kke-mwuu-n,that
(é)-mwéchú,to hold
(e)-mwuu-n,that
(é)-rúú,two
(é)-rúúw,two
(fa)-ariker,to scratch
(i)-nee-t,when?
(i)-yé,who?
(i)-yéé-(n),who?
(na)-kkich,rat
(naa)-kkich,rat
(ni)-finifin,to choose
(o)-ronga,to hear
(towu)-nómw,mosquito
(turu-nu)-ffas,to laugh
á,to swim
a-kka-ch,to throw
a-rap,near
a-rapa-(kkan),near
áá-,to say
áá-yá,liver
ááf,fire
áák,to think
áák,to think
áám,we
áámi,you
aan,road
aapw,no
Aapw,No
áás,to fly
aaw,mouth
áche-e-(y),to thow
afar,shoulder
afara-,shoulder
afara-(n),shoulder
aff,intestines
akka-rap,near
akka-rap,near
ane-(n),road
áney,long
áneyi-(n),long
angaang,to work
áni eni,to eat
ánná-(ya),to count
ánná-(yaa-ni),to count
ánná-yaa-ni,to count
ánnáyá,to count (1)
ánne-(ya),to count
ánne-(yaa-ni),to count
ánney,long
ara-mas,person
ara-mase-(n),person
aramas,person
arapa-,near
araw,green
arawaraw,green
are,if
ásápwán,wind
awa-(n),mouth
awe-(n),mouth
áyi-,we
ch-chow,heavy
chaan,water
chách-cháák,thin
chang,to fly
chcha,blood
chchaa-,blood
chchow,heavy
chchowu-,heavy
chécho-chén,wet
chéé,leaf
chéé-,"leaf, wide"
chéé-mwakkún,narrow
chéé-nap,wide
chéé-watte,wide
chee-y,to hunt
chénn-aaw,tongue
chénú-,water
chiin-nap,old
chiki-,small (1)
chikichiiki-,small
chóchchón,black
chón,black
chóó-pwut,woman
chopwunap,thunder
chúú,bone
chúú-,bone
e,he
e-,one
e-ey,this
é-mwéchú,to hold
e-na,that
eech,good
een,"this, thou, that"
een,that
één,three
eet,one
éét,smoke
efi-,fire
eki-(n),to think
eki-yek,to think
ekin-,to think
eni,to eat
eni-,wind
eniyen,wind
érá,to say
eri-ker,to scratch (1)
erikeri,to scratch
ét,smoke
étú-(n),smoke
étúwét,smoke
Ewer,Yes
éwú-,you
eyi-,stick
eyi-wen,to lie down
f-fót,to plant
fa-,four
faa-,below
faa-,four
faan,four
fáán,four
faaw,stone
fanang,"ash, dust"
fátán,"ro walk, to walk"
fátánátán,"ro walk, to walk"
fé,new
féé-ti,"to tie-up, to tie up"
fééfé,to tie-up
feefin,woman
fetán,to walk
fetin,grass
fetini-(n),grass
féwú-,stone
ffé,new
ffééw,cold
ffóón,to grow
ffót,to plant
fi,"to squeeze, lightning"
fiifi,lightning
fiin,woman
fini,to choose
fiye-e-(y),to squeeze
fiyee-y,to squeeze
fiyefi,to squeeze
fóto-,to plant
futuk,meat
futuke-n,meat
futukotuk,meat
fúú,star
fúú-(n),star
fúúwe-(n),star
i-,"at, one"
i-fa,where?
i-fa-a,where?
ichchi-,star
ifa,how?
Ifa itom?,What is your name?
iich,star
iik,fish
iimw,house
iin,mother
iir,they
iit,name
iiy,he
iiy,"she, he"
iiya,where?
ika,if
imwa-(n),house
ina-(n),mother
ineet,when?
irá,stick
irá-nnap,woods
ita-,name
ite-,name
Itei,My name is
iya,where?
iyaa-(n),where?
iyé,who?
iyér,year
k-kúú-w,to bite
ka-,thou
ká- kó-,thou
ke-,thou
ké-,thou
kekkey,to laugh
Kene nom,Goodbye
kich,we
kiich,we
Kinissow,Thank you
kiriis,fat
kkar,to burn
kkechiw,to cry
kkéét,to scratch
kken,sharp
kkey,"to laugh, to laugh (1)"
kkeyi-si-ni,to laugh
kkónik,water
kkopw,dull
kkopwu-,dull
ko,thou
ko-,thou
konaak,dog
Kote puan afani,You're welcome
kuchu,cloud
kuchuu-(n),cloud
kumwuch,hand
kúna,to see
kupii-y,to cut
kúú,louse
kúú-(n),louse
kúú-ri,to burn
kúúwe-(n),louse
m-maw,to yawn
ma,shy
má,to die
ma-anúún,thick
ma-naw,to live
ma-ram,moon
ma-taw,sea
máá-,to die
maan,bird
maanúún,thick
maas,eye
mach,rotten
mach-chang,bird
mammach,rotten
manaw,to live
maram,moon
masa-(n),eye
me,and
mé-sék,to fear
me-ttip,to spit
mé ngé,and
méé-ni,to buy
meeta,what?
mékúr,head (1)
memme-ttip,to spit
ménúng,thunder
mese-(n),eye
mésék,to fear
metek,painful
meteki-,painful
méwúr,to sleep
méwúrú-,to sleep
meyinisin,all
mmach,rotten
mmaw,to yawn
mómmóót,to sit
moot,to cook
móót,to sit
móót-(tiw),to sit
mót-(tiw),to sit
mwáán,man
mwéngé,to eat
mwéngéé-(n),to eat
mwirinné,good
mwmwor,to fall
mwmwus,to vomit
mwoch,short
mwócho,to steal
mwochomwoch,short
mwoot,to cook
mwooto-(mmang),to cook
mwor,to fall
mworo-(tiw),to fall
nááney,long
nááng,sky
naaw,child
nakkich,rat
nap,big
napanap,big
nee-,at
Neekkunuion annim,Good afternoon
Neepwong annim,Good night
Neepwong annim,Good evening
Neesor annim,good morning
neme-ni,to think
nengi-,sky
néwú-,child
néwú-n,child
ngaang nganga,I
ngas,to breathe
ngasangas,to breathe
nge,and
ngii,tooth
ngii-(n),tooth
nginingiin,small
nginingin,small (1)
ngngaw,bad
ngngúúng,to chew
ngú-ti,to chew
ngúti,to chew
nii,tooth
nii-(n),tooth
nikááp,bird
nikénúúnúpwpwún,worm
nimwmwukonó,to grow
ninni,to kill
nittopwuráán,spider
niya-,woman
niye-,woman
nnap,big
nnii-y,to kill
nnó-,in
nnó-(n),in
nó,to walk
nóó-(n),in
nöömw,mosquito
núúnú,to chew
núúnúú-(w),to chew
ó-mwóna,to hide
ó-ttif,to spit
ón,yellow
óneyón,yellow
óno-,yellow
ónoyón,yellow
óós,"thacht, thatch"
ósu-(n),thacht
ótiffa-(n),to spit
óttif,to spit
owu,you
paach,thunder
paaw,"hand, wing"
par,red
parapar,red
pe,to die
pé,to blow
peche,leg
pechee-(n),leg
péé-,flower
pee-(nó),to die
péé-n,flower
péé-ni,to blow
péépé,to blow
pekki,to shoot
pékúú-w,to split
péwú-(n),hand
ppi,"stand, sand"
púngú-,to fall
pwa,rotten
pwaa-,rotten
pwas,dry
pwecha-,white
pwéét,nose
pwéétú-,nose
pwer,to come
pwere-,to come
pwichi-kkar,warm
pwiin,night
pwini-,night
pwo,to swell
pwongú-,night
pwpún,dirty
pwpwo,to pound
pwpwoo-ni,to pound
pwpwún,earth
pwpwúnú,earth
pwu,to flow
pwúngu-,correct
pwúnú-wa-(n),husband
pwúnú-wa-(n),wife
pwuu-,to flow
pwúúng,correct
ra-,they
ráá,stick
ráá,branch
ráá-n,stick
ráá-n,branch
ráán,day
rááni-,day
Ran annim,hello
rar,warm
rarrar,warm
re,they
re-,they
ree-,at
rii-ti,to tie up
rik,to turn
ris,good
ró-,they
rong,to hear
ronge-(e-ya),to hear
rongo-rong,to hear (1)
rongorong,to hear
rúwa-,two
s-sin,to dig
sa-,no
sa-mwaaw,painful
sa-mwaawe-(n),painful
saa,belly
saam,father
sáán,rope
sáát,sea
sááw,shy
sááwá-ási-ni,shy
sap,to turn
sáp,to turn
se-,"no, one"
se-miriit,child
séé,year
sékúr,back
sékúrú-,back
seme-(n),father
seni-(n),rope
senig,ear
sening,to ear
seninga(n),to ear
sepe-si,to cut
si,we
siin,skin
sin-ni,to dig
sine,to know
sineëy,to know
sini,skin
sini-ni,to dig
sókkun,egg
sókunnu-(n),egg
sókuun,egg
sóón,earth
sóón,salt
sor,to turn
ssin,to dig
suuki,to open
t-tumw,to suck
t-tuu-,to stab
taa,intestines
taa-(n),intestines
takir,to laugh (1)
téé-(tá),to climb
tee-te,to sew
tee-yi,to sew
tééki,to climb
teete,to sew
teriwi,to grow
tikek,needle
tin,to split
tine-ni,to split
tinetin,to split
tini,to sniff
tomwun,rotten
too-,to come
too-(w),far
too-(waaw),far
toow,far
ttan,to dream
ttana,to dream
ttin,to sniff
ttu,to dig
ttu,"to stab, to dig"
ttú-,breast
ttú-(n),breast
ttúút,to suck
túttú-,to suck
tuutu,to dig
úún,feather
wá,to open
waar,root
waara-(n),root
watte,big
wech,to hit
wechee-(y),to hit
wén-nap,woods
wénúwén,woods
weri,to see
wo,thou
wo-,you
won,to lie down
wono-,man
wonowut,to lie down
wóó-,above
wop,to hide
wópwu-wópw,to hit
wú,"to stand, I"
wuki,to blow
wúkú-,tail
wúkú-(n),tail
wún,to drink
wúne-(n),feather
wúne-(n),"hair, feather"
wúnú-,to lie down
wúnú-,three
wúnú-(n),head
wúnúmi,to drink
wúnúún wúnúúnú-(n),head
wúnúúne-(n),head
wupwa-(n),belly
wúsi,to pound
wúsú-ús,to pound
wúsúús,to pound
wúte-(n),rain
wúú,neck
wúú-,to stand
wúú-(tá),to stand
wúúk,tail
wúún,"head, feather"
wúún,feather
wúún,hair
wuupw,belly
wúút,rain
wuwa,fruit
wúwa-(n),neck
wuwaa-(n),fruit
yááyá,liver
