Other,English
"-bälä-, -blä, -blak, -plak, -wlak, wälä, wlak",multitude
"-bëlak, -pëlak",crowd
Kúgu táu,Thank you
Póro kéche,Good day
"ala-šoe, sue, toktë-lüdü",a k. of duck
"amasa, opsa",door
"ang, äng, äraž, raž, rož",hole
"anzäl, anzälnä, onzäl, onzälno",front part
"anže-, once-, onche-",look
"aškël, aškõl, oškël- aškëla-, oškëla- aškedä-",step
"ažnë, ošso, ožno",early
"cangha, cëngha, conghä, šungha, šünghä",hill
"carä, ize, iže, izi",small
"ceckem, cekce, checkem, kädär, këpšëlë, küdër, küdür, kukšulo, kupšülö",a k. of bird
"chakata, chokata, coka, käžhä, küžhü, šukë, šuko",thick
"changhe-, chonge-, chucha-, conge-, cuca-, tuca-",to hit
chatan,to limp
"chächä, chüchö, cücö, tüchü",uncle
"cuca, tüca",herd
cuna,titmouse
"cält, cëla, cilä",whole
"cäwešte-, cëwëšte-, chëwëštala-",to pinch
"cäwälte-, cëwëlte-, cheve-",to drip
cëhërhe-,bend
cëlhëža-,to shine
"cëlhëža-, cëlhëža- colhëža-, colhä, colhëža-",glitter
cücke-,hop
"d'ükse-, d'üštö, jükše- üštä, jüštö, juž, ükše-",cool
"den, dene, don, donë, ten, tene, ton, tonë",vicinity
"düa-, dükte-, jüä-, jüja-, jükte-",to drink
"düksö, jükcö, jükšä, jüksö",swan
"dükše-, düštö, jükše-, jüštö, kälmä, ükše-, üštä",cold
"düt, jët, jüt",night
"eltala, eltäle-, elte, eltem, öltala-, öltëš, öltö",lap
enger,brook
"enger-wot, wat, wot",sealine for fishing
"erhä, erhe, pü-erhä",boy
"gären, šua-",to sour
"hodëm, kodëm, kot, ošso hodëm",while
"i, ij",ice
"i, ij",year
"ihä, ihe",young
"ik', iktä, iktät, ikte, iktët",one
"im, ime",needle
"im-šu, imë-šu, ime-šueš",mouth
it logal myjym tushech,Don't touch me there!
"iä-, ija-",to swim
"iš-, jëše-, lëzërte-",to press (1)
"iše-, lazërte-, lëzërte-, lëzërte-, pënze-, puncala-, punce-",to press
"j.-wät, juž, wät",skin
"jada-, joda-",to ask
"jal, jol",leg
"jama-, joma-",die
"janghež, jongäž, jongež, jongüž",bow
"janghëže-, jongëšte-, jongëže-",to grind
"jece, jeche",a k. of ski
"ježäng, jëžäng, jëžëng",limb
"johe-, johë-wät, johën-wüt",river
jož,hard snow surface
"ju-, juš, juž, južo",each
"jäktä, jakte",pine forest
"jälmä, jëlme, nëlme",tongue
"jär, jer",sea
"jär, jër",ring
"jëmal, k.-jëmal, konghëla, kongla",armpit
"jëmë, jumo",god
jëpš,spear
"kach, koch, toreš",across
"kachka-, kochka-, kocka-, përa-, pura-",to bite
"kachë, kaška-, kaske, kaškë, kocho, koco",bitter
"kaja, koja, sel, šel, ü, üj",fat
"kaja-, koja-",to be visible
"kaje-, ke-, keje-, mie-, mije-",to go
"kande-, konde-",to carry
kangha,sandy place
"kare-, karem, kërala-, kore-, korem, künce-, künche-, kurala-",to dig
karme,fly
karša,twigs
kaša,to become lean
"kaškë, koske, koške",rapids
"ke, kö, kü",who
kechaš,to hang
"kecë, kechä, keche",circle
"kela-, kelä-",to ford
kelde,to fish
"keldä-, këlde-",to harness
"kera-, kerä-, kerla-",thread
"kerdä, pülä-herdä, sär, sër, šër, šukë, šukerdä",order
"kerdä-, kerta-",bear
"kerhe, kerhë",a k. of woodpecker
"kie-, kije-, kuja-",to lie
"kije, suks, šukš",worm
"kindä, kinde",seed
kit,hand
kit-šol,band
kiže-,to become cold
"koda-, kode-",stay
"kodën, mäkš, mekš, šac, šacka",rotten
"koe-, kolmë, kolmo, kue-",scoop
"koe-, kue-, pëne-, pune-",plait
"kohi, kue, kuhi",birch
"kok, koktët",two
kol,fish
kola,female
kola-,to hear
kole-,to die
kom,crust
"koman, körhä, körhö, päl-kom",hollow
"komdëš, šinca-komdëš",lid
kon,lye
korde-,burn
kormëž,handful
"kornë, korno",furrow
koške-,to become dry
kož,fir
"kož, lüme-gož",juniper
"kuchkëž, kutkëš, kutkëž",eagle
"kucük, kuzëk",present
"kud, kudët, kut",six
"kudë, kudo",house
"kukšë, kukšo",dry
kumala-,turned over (1)
kur,high
"kurnëž, kurnuž, kurunuž",raven
kushto bar?,Where is the bar?
kushto myjym pölemem,Where is my room?
kushto pljazh,Where is the beach?
"kuwëlcë, kuwulzu",black-hen
"kuzë-wandë, os-këza-wondo, oš-kiza, oš-kuze",a k. of plant
"kuška-, kušte-",increase
kuške-,to touch
"kužë, kužo, kužu",long
"kâne, käne",hemp
"käch, küc, küch",nail
"kächä, këcëk",fine snow
"kächälä-, këcala-, këchala-, kichala-",to search
"käcke-, kicke-, pida-, pidä-",to bind
"kädäl, këdal, küdül-",middle
"käl, kël",rope
"kändäkš, kändäksšä, kandaš, kandáš",eight
"käner, këner, këner-wuj",elbow
"känghäž, kengež",name of a mild season
"kär, kawaštë, kowašte, kür, kuwo",bark
"kärtni, kürtnö",iron
"kärtni-waž, ši-waž, ši-wož",a k. of metal
käräš,a musical instrument
"käzä, küzö, küzü",knife
"käške-, këške-, kiške-",strew
"käškä, kiške",snake
"käškär, këškär, kiškar",curved
"käšäl, këšël",bent
"këce, këdë, këštë, kudo, kušto, kuze, kuže",what
"këche-, kuche-",restrain
"këdala-, kudala-",to run
"këdaša-, kudaša-, wakta-, wokta-, wotke-",to peel
"këlchak, ši-kol, šij-kol",a k. of fish (1)
"këlme, rün",frost
"këm, kum",three
"këmala-, këmëk, këmëkte-, kumëk, kumëkte-",turned over
"këmda, kumda",wide
"këme-, kume-",blink
"këpa-, kup, küpa-, pëkna-, pükna-",mould
"kërhëža-, kurža-",flee
"kërmëzak, kurmäzak, kurmëzak",wood snipe
"kërëk, kuräk, kurëk, kuruk",elevation
"kërëš, kurëš, kurukš",basket
"këtkë, kutko",ant
"këwël, kuwël",foam bubble
"këškedä-, kuškeda-",be torn
"këž-wät, këža-",to urinate
"kü, küj",stone
"küa-, küä-, küja-",become ripe
"künžö, künžü",sleigh
küpš,skin from the paws of animals
küšte-,invite
"küžhö, küžhü",thick (1)
"kšta-, mëška-, muška-, muškaš, šta-",to wash
"ladë, lodo",carving
"laksak, laksë, landaka",lowland
"lamëšte, nemeštä, nemeštä, nëmëšte, nimištä",young lime tree
"lancëra, länzärä",flabby
"lap, lapka, lapte, laptëra",flat
leks,break
"lelä, lele, nelä, nele",heavy
lem,soup
"lep, lepä",spleen
"lepš, lüpš, rüpš",cradle
"levedä-, lewaš, lewäš, leweda-, lewedëš",to cover
"lewe, liwä",warmth
"lia-, liä-, lija-",live
"lim, lümö",scab
"loha-, longa-, longha-",push away
"lohe-, pëška-, püškä-",push
"lokšänca-, lokšënca-, lokšinca-",to chop
"lom-bë, lom-bo",birdcherry
"lomëž, lompëž, umër",flame
lop,marsh
lu,bone
lu,ten
"lupo, šuwëš",sack
"läktä-, lekta-",to go away
"läm, lüm",name
"läng, lëng",very
"länghäš, lengeš",a k. of vessel made of birch
"länghš, pokte, pokten, wokten",through
"läšte-, lëšte-, lište-",to order
"lëda-, lu, luda-",to count
"lëdë, ludë, ludo",bird
"lëha-, nüštälä-",to knead
"lëk, luk",opening
"lëm, lum",snow
"lëme, lume, lumej, lumij",midge
"lëpkata, lup",wetness
"lëpš, lups, lupš, pörš, pöršängšä, pöršö",dew
"lëška-, lëškëdë, lëšta-, luš, luškëdo, lušte-",floppy
"lëšne, lišnä, lišne",near
"löchä-, löche-",to become wet
"lödö, lüdä",trap
"löl-pö, lül-pe",alder
"lüe-, nörga, nörgö, nörhä, waštär, waštër, woštär",shoot
"lüje-, üde-, wachkalt-, wüde-",to throw
"lüjëš, lüjüš, lüš",leaf of a conifer
lümö,glue
lüške,to lull
lüšte-,to milk
"ma, mo",thing
macha,fishing gear
"malëš, mel, mel, pomëš, ponggäš",breast
mana-,to say
"melande, mëlande, mu-nö, muhö, müjän, müländä",earth
"mež, miž",ram
"moa-, mua-",feel
"modo, modo, mudê, mudë, mudë, päzälmä, pëzle, piz'l'e, pizle",a k. of berry
"mohär, monghër",body
mokš,liver
"molë, molo, nëne, ninä, nine, ta-ce, ta-haçä, taçe, tädä, täš, täške, tu, tudo, tuš, tuško, umpal, umpal",that
"mucha, muchá",scrotum
mut,word
"mužeda-, mužedä-",prayer
"mä, me",we
"män, mëj, mëjë, mën, mëne",I
"mänghe, mönghö",place behind something
"mät, mët",hut
"mäškär, müškër, müškür",a curved body part
"mëch, mëchaš, mëchkë, mucaš, muchaš mërtnë, muchno",end
"mëchë-wuj, muco-wuj",heap
"mëhël, muhël",swelling
"mënë, muno",testicle
"mërë, mëre-, mure-, muro",sing
"mëškëndë, muškëndo, muškundo",fist
"mëšte-, mošte-",to be able
"mëž, muž",a k. of disease
"mör, mörö",berry
"mörtnä, nörtmö",fish roe
"mü, müj",honey
"mü, müj",mead
müde-,dig
"müktä, müktö, šerenghä, serenhä, tatë, toto",a k. of fish
mükš,bee
"nachkä, nochko, nocko",raw
"nalä, nole-, nolo",peel
"namala-, numala-, nümala-",carry
"našmë, nošmo",gills
"nela-, nelä-",to swallow
ner,snout
ni,lime bast
"noja-, noje-",to become tired
"nolhë, nolho, šol, šolo",elm
"nudë, nudo",younger sister of husband
"nulho, nülho",a k. of fir-tree
nuž,thorn
"nuže-, nuzëlhe-, nuzulhe-",to scrape
"näktä-, nëkta-",to pluck out
näl,something slippery
"näl, nël, nyl",four
"näle-, nule-",to lick
"nämärhe-, numorgé-",to press together
"näškä, nüškö, nüskü",blunt
nërhešta-,cereal
"nëštala-, nüštala-",to snuff
"nöl-pikš, nölö, piks, pikš",arrow
"nörhä, nörhö",cartilage
nöšle-,blackjack
odar,young grass
"oktëš, opte-, optëš, optoš",hang up
"om, omo",dream
"onghälaš, onglaš",chin
"onghë, ongho",angle
opte-,to bark
"owë, owo",father-in-law
"ozë, pisa., uzë",penis
"oš, ošë, ošo, walhëdë, wolhëdo",white
"oža, šokš",sleeve
"ožë, ožo",stallion
"pacaš, pachaš, pöchäš",row
pach,variegated
"pach, paštek, poc, poch, pola",tail
"pacha-, poca-, pocha-, tara, tora",to open
"pachke-, pochke-, pocke-",to shake
"pandaš, pondaš",surface
"pandë, pondo",stalk
"panežä-, ponäža-, pürde-, vär, wer, werc, wercän",place
"pat, pot",pot
paç,stain
"paše-, poše-",to sprout
"pe.lä, pe.le, pel, pel-, pele, wel",side
"pechkä, šela-, šelä-, šeläk",to cut (1)
"pecä, pichä, šëwën, šuwën",stake
"pelkä, pelke",clean
"penghëdä, pinghädä",tense
"piche, puchë, püchö, pücö, wüchö",young of deer
pin,fir tree
"pistä, pište",lime-tree
"piž, piž-kom",mitten
"piža-, pižä-",be stuck
"pochkänce-, pockänce-, pückänce-",to plait
pokte-,run
"ponghä, pongho",a k. of mushroom
pu,wood
pue-,to blow
pultäš,to devour
"pulëš, pulš, pulukš",a back body part
"purha, purhäž, purhëž",snowstorm
"pušta, puštä, pušto",inside
pušäm,edge of shoe
"pächkä-, pechkalta-, pechke-, püchka-, pücka-",to cut
"päjälmä, parmë, pëjëlmë, pormo",gadfly
"päl, pël",cloud
"päläš, pälš, pälš, pëlëš",ear
"pänchä, püncö",conifer
"pärde, përde-",to put together
"pärt, përt",small piece
