Other,English
-blak,multitude
-blä,multitude
-bälä-,multitude
-bëlak,crowd
-plak,multitude
-pëlak,crowd
-wlak,multitude
Kúgu táu,Thank you
Póro kéche,Good day
ala-šoe,a k. of duck
amasa,door
ang,hole
anzäl,front part
anzälnä,front part
anže-,look
aškël,step
aškõl,step
ažnë,early
cangha,hill
carä,small
ceckem,a k. of bird
cekce,a k. of bird
chakata,thick
changhe-,to hit
chatan,to limp
checkem,a k. of bird
cheve-,to drip
chokata,thick
chonge-,to hit
chucha-,to hit
chächä,uncle
chëwëštala-,to pinch
chüchö,uncle
cilä,whole
coka,thick
colhä,glitter
colhëža-,glitter
conge-,to hit
conghä,hill
cuca,herd
cuca-,to hit
cuna,titmouse
cält,whole
cäwešte-,to pinch
cäwälte-,to drip
cëhërhe-,bend
cëla,whole
cëlhëža-,glitter
cëlhëža-,to shine
cëlhëža- colhëža-,glitter
cëngha,hill
cëwëlte-,to drip
cëwëšte-,to pinch
cücke-,hop
cücö,uncle
d'ükse-,cool
d'üštö,cool
den,vicinity
dene,vicinity
don,vicinity
donë,vicinity
düa-,to drink
düksö,swan
dükte-,to drink
dükše-,cold
düt,night
düštö,cold
eltala,lap
elte,lap
eltem,lap
eltäle-,lap
eng,to burn
enger,brook
enger-wot,sealine for fishing
engëš,raspberry
engëž,raspberry
erhe,boy
erhä,boy
gären,to sour
hodëm,while
i,ice
i,year
ihe,young
ihä,young
ij,ice
ij,year
ija-,to swim
ik',one
ikte,one
iktä,one
iktät,one
iktët,one
ile-,to live
im,needle
im-šu,mouth
ime,needle
ime-šueš,mouth
imë-šu,mouth
indeš,nine
indeše,nine
indéš,nine
it logal myjym tushech,Don't touch me there!
iza,father
ize,small
izi,small
iä-,to swim
iš-,to press (1)
iše-,to press
iške,shadow soul
iža,father
iže,small
j.-wät,skin
jada-,to ask
jakte,pine forest
jal,leg
jama-,die
janghež,bow
janghëže-,to grind
jece,a k. of ski
jeche,a k. of ski
jer,sea
ježäng,limb
joda-,to ask
johe-,river
johë-wät,river
johën-wüt,river
jol,leg
joma-,die
jongež,bow
jongäž,bow
jongëšte-,to grind
jongëže-,to grind
jongüž,bow
jož,hard snow surface
ju-,each
jumo,god
juš,each
juž,cool
juž,each
juž,skin
južo,each
jäktä,pine forest
jälmä,tongue
jär,"ring, sea"
jëlme,tongue
jëmal,armpit
jëmë,god
jëpš,spear
jër,ring
jët,night
jëše-,to press (1)
jëžäng,limb
jëžëng,limb
jüja-,to drink
jükcö,swan
jüksö,swan
jükte-,to drink
jükše-,cold
jükše- üštä,cool
jükšä,swan
jüt,night
jüä-,to drink
jüštö,"cold, cool"
k.-jëmal,armpit
kach,across
kachka-,to bite
kachë,bitter
kaja,fat
kaja-,to be visible
kaje-,to go
kandaš,eight
kande-,to carry
kandáš,eight
kangha,sandy place
kare-,to dig
karem,to dig
karme,fly
karša,twigs
kaske,bitter
kawaštë,bark
kaša,to become lean
kaška-,bitter
kaškë,bitter
kaškë,rapids
ke,who
ke-,to go
