Other,English
"'t-, sän-, shënter",to win
'wd'wr,otter
'wlax-,to neigh
"'wman, amän, xurt",worm
'wmza-,to envy
'š,interior of smth.
"-ah, -eh",enclitic particle of emphasis
"-anne, -atte, asatte, az-",grandfather
"-anne, -atte, az-",grandmother
"-bala, -balan",also
"-ha, -ka, jälän",request
"-i, -im",interrogative particle
"-i-, -j-",capable
"-ma-, an, an, mar",not
-n,an ending of the 2d person
"-na, -ne, -pa",with
"-pa, -pe, -ta, -te",at
"-pala, -pele",same as
-palan,postposition for
"-seren, purte",each
-shar,suffix of numerals
-shi,whether
"-shke, chänah, put'eh, te",indeed
-sker,suffix
"-sär, päwve-",to paint
-sëm,meaning
-sër,to smear
"-š'n, valli",for the sake of
-šä,possess. suffix (3d person)
Atte-anne,father and mother
Atäl,Volga river
"Chük, nojabr'",November
Elëk,town of Alikovo
Ermen,Armenian
Germani,Germany
Husan,Kazan
Iisus,Jesus
Jetërne,town of Yadrin
Kam-shi ku,Who is this One?
Ku këneke mana kilëshet,I like this book
Ku këpe sana kilëshet,This dress matches you
Mushsha,Mussya (proper name)
Muskav,Moscow
Naci Biblioteki,National Library
Narspi,Narspi; proper name
Pülëh,a sort of god
Rashshej,Russia
Rossija,Russia (in Soviet era)
Shupashkar Cheboksary,capital of Chuvashia
Shëpër,Siberia
Silpi Silbi,name of the village
Tepër charänu,The next stop
Ukraina,Ukraine
Van'uk,proper name Johnny
Väl mana puläshma kilëshrë,He agreed to help me
acha,child
"acha-pächa, pächa",children
agar jytti,hunting dog
agrotehnika,agricultural technology
"ah, eh",interjection of satisfaction
ahal,in vain
"ahältat, kul",to laugh
ahär,create an uproar
"ahär, ara",of course
aj,interjection (dissatisfaction)
aj,lower side
aj'k,upper rib
"aj-, av-, xos-",to bend
aj-haj,sarcastic
"ajak, pat-, pit, som",side
ajalalla,downwards
"ak, akä, kunta",here
"ak-, sapala",to sow
akakan,sower
"akka, appa, appa",elder sister
akäsh,swan
"al', alä, ala'",hand
"al'k, alg'",door curtain
"ala, alla-",to sift
alla,sieve
allä,fifty
alsa,mitten
alshyrävë,manuscript
"alt-, chav",to dig
altuj,walking stick
"alä, hul, hulä",arm
aläk,door
ama,female
"ama, an'n, anne",mother
"amak, cher, chir",illness
aman-,to suffer
amin,amen
an,indeclinable negative particle
an,to descend
"an, av'n, hulpushshi, xol",shoulder
anatri,lower
"anchah, kirek mënle",however
and'x-,to breathe heavily
ank1-minkä,stupidity
ankarti,threshing yard
anlä Atäl,Great Volga
"ansär, xäzäk",narrow
anž'k,young of a wild animal
apat,dinner
"apla, shakän pek, shapla",such
"appa, ïämäk",sister
aprel,April
apäslan,lion
ar tävan,brother
ar'm,wormwood
"ar, ar çyn, etem",man
"ar, kacchä, obaška, upäshka",husband
"aran, teple",somehow
arestle,to arrest
arshuri,woodgoblin
aräm,wife
as,memory
"as-, aws-",to scoop
"as-l', as-l', chylaj, pysäk",great
asap,torment
"ash, üt",meat
"ashak, ažak",donkey
asli,the old one
aslä,respected
asläläx,greatness
asshë,his father
asshë-amäshë,the parents
astu,to pay heed
asän,to remember
asärha,to guess
at'a,come on!
at'är,plural to preceding
"atte, aza",father
"av'k, pidä, püdä",quick
"av'k, samant",moment
av'n karti,cornfloor
av'n sap-,to flail
"av'r-, pär, pärän, shavär",to turn
av'r-la-,spin
av's-,blow
av't-,to sing of birds
"av, unta",there
"av, çurt, kil, kül, pürt",house
"av-la-n-, avlan, mäshärlan",to marry
aval,in olden times
"avan, chiper, laïäh, yg', yrä",good
avantarah,better
"avaš-, vaska",to hurry
avd',a curved knife
avgust,August
avtobus,trolley bus
avtomat-ruchka,fountain pen
avän,a flail to thresh grain
avän shap,to thresh
"avän, sentjabr'",September
awv-,grind
azot,nitrogen
barzha,barge
bashnia,tower
basn'a,fable syn
"bexti, upäte",monkey
bilëm,death
bjuro,bureau
brigada,work brigade
bwm'wr,quiet and grey
"byl'äx, chër chun",animal
"byllyryt, bylžyryt",snipe
bäkär,bull
"cgül-läk, käkär, um",breast
ch'b'k,lash
ch'm,jar
ch'um'ur,sphere
ch'um-,to dive
ch'umak,lump
ch'v'š,sound of the whip
chaGan,cock's spurs
chakan,reedmace
"chan, pichëke",vat
chanla-,meditate
"chap, hypar-hänar",news
chapa,frog
chapa tuh,become famous
chaplä,famed
char,to hold back
char-,obstruct
charak,support
charshav,curtain
charu,noun restraint
charän,intr to restrain oneself
charänu,noun stop
chas,soon
"chasah, hävärt",quickly
"chashlattar, shüre",to go
chashäk,cup
chavsa,elbow
"chechek, seske",flower
checheklë,colorful
chejnëk,teapot
chert'ozhnik,draftsman
"cheï, chej",tea
chi lajäh,very good
"chi, pitë, shalt",very
chie,cherry
chigä,temple
chik,to stab
"chik, shypäsh",to stick
chik-,to plant vertically
chike,cubit
"chikë, chikë, granica",border
chirkü,church
chirlë,ill
"chital'nja, vulaväsh",reading room
chlen,member
"chol, chul, shul",stone
"chox, samana, srok, växät",time
"chuh, sasartäk",suddenly
chuhne,at its time
chuhë,so many
chukun shul,railway
"chukun, timër",iron
chun,soul
chup,to run
chup tu,to kiss
"churä, shur, shurä, šor'",white
chusta,dough
chutla,to count
"chyv, juhanshyv",river
chyx-,press in
chäbät-,to pinch
"chäl, šal, shäl",tooth
chäl-,cut in slices
"chäläx, chälhe, chälhe; chäläx, chëlhe",language
chäm,to dive under
"chäm, syvläsh",breath
"chämärta, xäs-",to squeeze
"chän, tërëslëx",truth
chän-,to talk
chän-sär,wordless
"chäpkäm, chäptäm",a pinch
"chär-pussi, chëpkuççi, chër",knee
chäre,courage
chärne,claw
chärä,alive
chät,last
chävash,Chuvash
chäxä,hen
chäïär,to scratch
chäžä,breast (fem.)
chëkesh,the swallow
chëlxe,tongue
"chëlxe, putek",lamb
chëlëh,band
chën,to invite
chënter,to have invited
chëntërle,to adorn with carving
"chëpe, chëre",heart
chër,scratch
chëriklet,creak
chërkushlen,to fall on one's knees
chërne,fingernail
chërë,live
chërël-,to come alive
chëtre,shiver
"chëvë, soj",noise
chühen,to pour over oneself
"chüreche, kantäk, täwnäw",window
"cära, sära",beer
"dekabr', rashtav",December
delegat,delegate
direktor,director
drama,dramatic
"e, je",or
"e-bä, elë, epë",I
"e-bär, epir",we
e-e,interjection of reproach
"eher, tesen",if
ej,interjection of greeting
ekskursi,excursion
elektrotehnika,electrotechnical
emel,medicine
erechmen,spider
ereh,vodka
erex,wine
erne,week
ernekun,Friday
esir,you (plural)
esë,you
esë,you (sing)
"esë, ezä",thou
etem,human being
fabrika,factory
fashist,Fascist
"ferma, hutor",farm
"fevral', naräs",February
flot,fleet
galstuk,necktie
gektar,hectare
gidroelektrostanci,hydroelectric power plant
"gorn, m'jraga",horn
"gosudarstvo, patshaläh",state
grucha,pear
"haj, lesh, on-da, v'u-l, väl, väl",that
hajar,evil
hajhi,that (distant)
"hajlav, sochineni",composition
hal shiter,to have enough strength
"hal, väj",strength
halicchen,up to now
"haläh, xaläx",people
halän,thick
ham,myself
hamär,we ourselves
hapäl,reception
hapäl tu,be acceting
"harlattar, härlattar",to snore
harpär häj,each himself
harpär häjën,one's proper
hashat,gazette
hashka-,to wheeze
hatërle,make ready
havas,pleasure
havaslan,rejoice
havassän,with pleasure
"hir, ol'x",plain
hirësh,against
hirëshü,confrontation
hisep,respect
"hisep, hisep, nomer, shut, som",number
hiseple,to respect
"hitre, hühëm",beautiful
hitrelen,to become beautiful
hor,choral
"hujhä, xor",grief
hujhär,to be moan
"hula, xula",city
"hum, xom",wave
hun,Khan
hun,father-in-law
"hun'ama, hunem",mother-in-law
hup,close in
hup-hura,jet black
"hupla, xop-, xopla-",to close
"huppi, xob', xuj'r",bark
hupä sasä,consonant
hupänni,closing
hur,to place
"hur, hur, tertlë",distress
"hur, xor, xur",goose
"hura, xora, xura",black
