Other,English
Albanes,scotswoman
"Albanes, Albanwr",Scot
Almaeneg,German language
Almaenes,German woman
Almaenwr,German
Awst,August
"Chwefor, Chwefror",February
Clawdd Offa,Offa's Dyke
Cymraeg,Welsh
Cymreig,pertaining to Wales or the Welsh
Cymru,Wales
Diwedd mawr,good grief
Duw,God
Duw faddeuo iti,may God forgive you
Ebrill,April
Efengyl,Gospel
Frainc,France
Gaeleg yr Alban,Scots Gaelic
Gorffennaf,July
Groeg,Greek
Gwyddel,Irishman
Gwyddeleg,Irish
Hydref,October
Ionawr,January
Isalmaeneg,Dutch
Iwerddon,Ireland
Lloegr,England
Llun,Monday
Llydaweg,Breton
Manaweg,Manx
Mawrth,March
Medi,Spetember
Mehefin,June
Mercher,Wednesday
Prydeinig,British
"Rwsiad, Rwsieg",Russian
Saesneg,English
Sais,Englishman
Siôn Corn,Father Christmas
Siôn Corn,Santa Claus
Tachwedd,November
Unol Daleithiau,USA
^wyr,grandson
"^yd, corn",corn
a dweud y gwir,to tell the truth
"a, ac",and
"ab, ap",son of
abal,able bodied
abaty,abbey
aber,estuary
"aberth, aberthu",sacrifice
abl,capable
"abl, cadarn, cref, cryf, grymus",strong
absennol,absent
absenoldeb,absence
ac ati,and so on
ac eto,and then
acen,accent
ach,family tree
"ach, ach",kinship
achlysuron,occasions
achos,case
"achos, achos, am, oblegid",because
"achos, achosi, codi, peri i",cause
achub dy gam,stick up for you
"achub, arbed",save
"achwyn ar, cwyno ar",complain of
"achwyn, cwyno",complain
"act, actio, gweithredu",act
actiedig,decreed
actiedig,ordained
actor,actor
actores,actress
acw,over there
"adain, aden",wing
adar,birds
addas,fitting
"addas, cymwys, pwrpasol",suitable
addasu,adapt
addasu,adjust
addawol,promising
"addewid, addo",promise
addfwyn,gentle
"addfwynder, gwarder",gentleness
"addoli, addoliad",worship
addurn,adornment
addurn,decoration
addurno,decorate
addysg,education
"addysgiadol, addysgol",educational
addysgu,educate
"addysgu, dysgu, dysgu",teach
adeg y,at the time of
"adeg, amser, oed, pryd, pryd",time
"adeg, cyfnod, cyfnod",period
adeilad,building
adeilad uchel,skyscraper
adeiladol,constructive
adeiladu,build
"adeiladwr, saer",builder
aderyn,bird
"aderyn du, mwyalchen",blackbird
"adfail, difwyno",ruin
adfeilion,ruins
