Other,English
halvgeviert(-en),– (Alt+0150)
geviert,— (Alt+0151)
- og dermed basta,- and that's flat
"anførselstegn, tomme ("")",""""
rangklasse,"""5 classes-before 1953 cons.DK"
"få barn op i alderen, sildefødning","""afterthought"""
"fremsæt spørgsmålet, rundkaste, rundkaste (spørgsmålet/emnet)","""air the question (again)"""
gambreltag (hollandsk tag),"""barn roof"""
"snitte (lille brødskive), snitte (lille brødskive+pålæg), snitte (skive)","""canapé"""
nihalet kat,"""captain's daughter"""
"rafle, trække lod","""casting lots"""
rytteriangreb,"""Charge of the Light Brigade"""
kvashugger(-en),"""chuck-and-duck"" chipper"
dagger (asterisk),"""cross"""
"dommedag, udbetalingsdag","""day of reckoning"""
selvplager,"""fakir"""
"gourmet(-en), madekspert(-en)","""food maven"""
parringsleg,"""foreplay"""
rundtenom,"""full slice of a loaf (rye)"""
håndfæstning,"""handfast""(betrothal)"
skallesmækker,"""headbutt'er"""
skallesmækker,"""hooligan"""
pølse,"""hotdog"""
trontale,"""inaugural address"""
selvplager,"""killjoy"" (to oneself)"
skødebarn,"""lap-child"""
skrivepult,"""lectern"""
tiltrædelsestale,"""maiden speech"""
slang,"""metaphore"""
kilometersten(-en),"""milestone"""
"loppetjans(-en)""","""on the primrose path"""
smørrebrødsjomfru,"""open sandwich maiden"""
"rebstige, rebstige"" (i vantet)","""ratlines (between shrouds)"""
soleklart,"""right as rain"""
rutefart,"""running back and forth"""
offerlam,"""scapegoat"""
"loppetjans(-en)""","""sinecure"""
solo,"""soliloquiesingly"""
i attenhundrede-tallet,"""some time in the 1800s"""
spurvefugl,"""songbirds"""
spindoktor ('rådgiver'),"""spinner of plausible tales"""
sanseløs,"""terror-stricken"""
tilblivelseshistorie,"""The descent of man"" (Darwin)"
rigstelefon,"""trunk exchange"""
romersk bad,"""Turkish bath"""
smugkigge,"""voyeurism"""
speget (indviklet),"""what a tangled web we weave"""
"nummer tegn, nummer tegn(-et)",#
# (havelåge),# (hashtag)
in nomine dei (#),# (in the name of God)
