Other,English
battle stations,actions stations
Commercial,Advertisment
antenna,aerial
Airplane,Aeroplane
Dessert,Afters
Aluminum,Aluminium
anesthesia,anaesthesia
Archeology,Archaeology
Eggplant,Aubergine
bandshell,bandstand
"jalopy, junker, klunker",banger
Hamburger Bun,Bap
Lawyer,Barrister
bathtub,bath
baking soda,bicarbonate of soda
Trash Can,Bin
Cookie,Biscuit
blood sausage,black pudding
blinders,blinkers
hood(car),bonnet
Hood (car),Bonnet
Trunk (car),Boot
boro,borough
Braces (for teeth),Brace
Suspenders,Braces
Brit,Briton
Umbrella,Brolly
House (one story),Bungalow
Sandwich,Butty
bylaw,bye law
Clumsy,Cackhanded
Cotton Candy,Candy Floss
cafeteria,canteen
"auto, automobile",car
Parking Lot,Car Park
trailer,caravan
Trailor,Caravan
Parade,Carnival
car(railwroad),carriage
Freeway (Expressway),Carriageway
Bank Teller,Cashier
automatic telle machine(ATM),cashpoint
Emergency Room,Casualty
Catalog,Catalogue
cattle guard,cattle grid
center,centre
Talk Show,Chat Show
"Drugstore, Pharmacist",Chemist
check,cheque
bureau,chest of drawers
Movie Theater,Cinema
"beltway, loop",circular road
Plastic Wrap,Clingfilm
closing out,closing down
clothes pin,clothes peg
bus,coach
Toothpick,Cocktail Stick
Color,Colour
caravan,convoy
Oven,Cooker
cadaver,corpse
Crib,Cot
Zucchini,Courgette
Chips,Crisps
Xing(road),crossing
intersection,crossroad
checking account,current account
Expensive,Dear
defense,defence
area code,dialling code
dial tone,dialling tone
dialog,dialogue
Tuxedo,Dinner Jacket
information,directory inquiries(phones)
detour,diversion
donut,doughnut
draft,draught
Checkers,Draughts
Thumb Tack,Drawing Pin
bathrobe,dressing gown
Robe,Dressing Gown
divided highway,dual carriageway
Pacifier,Dummy
Overalls,Dungarees
Trash Can,Dustbin (the one outside)
Garbage Man,Dustman
coach(train),economy
comforter,eiderdown
Band-Aid,Elastoplast
encyclopedia,encyclopaedia
chicory,endive
busy signal,engaged tone
Appetizer,Entree
Realtor,Estate Agent
station wagon,estate car
Cigarette,Fag
Cupcake,Fairy Cake
Santa Clause,Father Christmas
favorite,favourite
Movie,Film
Fire Department,Fire Brigade
closet,fitted wardrobe
Washcloth,Flannel
Apartment,Flat
Sell,Flog
overpass,Fly-over
bankroll,foot the bill
Soccer,Football
bangs,fringe
Jail,Gaol
Yard,Garden
gage,gauge
gear shift,gear lever
chifforobe,gentleman's wardrobe
men's room,gents(gentlemen)
bell pepper,green pepper
gray,grey
caboose,guard's van
Gutter,Gully
Glue,Gum
Sir,Guv'nor
gynecology,gynaecology
bobby pin,hair grip
barrette,hair slide
hauler,haulier
burlap,hessian
Rent (to),Hire
Vacation,Holiday
honor,honour
top(car),hood(on convertible)
Track Housing,Housing Estate
humor,humour
blinkers,indicators
Baked Potato,Jacket Potato
Jelly,Jam
Jello,Jelly
Jewelry,Jewellery
Sweater,Jumper
intersection,junction
boneyard,junkyard
Curb,Kerb
Paper Towel,Kitchen Paper
Paper Towel,Kitchen towel
Underwear,knickers
Ladybug,Ladybird
beer,lager
attorney,lawyer
rest area,lay-by
Leash (Dog),Lead
grade crossing,level crossing
Elevator,Lift
Chapstick,Lip Balm
Crossing Guard,Lollipop Man
bathroom,loo
Truck,Lorry
Living Room,Lounge
Raincoat,Mackintosh
Chief Executive Officer(CEO),managing director(MD)
Maneuver,Manoeuvre
Math,Maths
AM,Medium Wave
meter,metre
Babysitter,Minder
"cell phone, cellular phone",mobile phone
Freeway (Expressway),Motorway
mold,mould
mustache,moustache
Diaper,Napkin
Diaper,Nappy
Nudist,Naturist
Tic Tac Toe,Naughts and Crosses
nite,night
bill,note
Dollar Bill,Note
licence plate,number plate
Licens Plate,Number Plate
Liquor store,Off Licens
Gizzards,Offal
Liquor store,Offy
omelet,omelette
Underwear,Pants
Pie Crust,Pastry Base
Sidewalk,Pavement
Hungry,Peckish
crosswalk,pedestrian crossing
Cross Walk,Pedestrian Crossing
Cents,Pence
gas,petrol
Gasoline,Petrol
phone booth,phone box
Picnic Basket,Picnic Hamper
braid,plait
Sneakers,Plimsolls
Styrofoam,Polystyrene
Mail,Post
Zip Code,Post Code
Mailbox,Postbox
Mail Carrier,Postman
Mail Carrier,Posty
baby carriage,pram
Stroller,Pram
baby carriage,preambulator
program,programme
bar,pub
comfort station,public convenience
bar,public house
Private school,Public school
pay phone,public telephone
Dessert,Pudding
Sweater,Pullover
Sneakers,Pumps
"blow-out, flat(auto)",puncture
Wallet (Woman's),Purse
Stroller,Pushchair
Pajamas,Pyjamas
Line,Queue
comforter,quilt
Horny,Randy
bell pepper,red pepper
cafeteria,refectory
collect call,reverse charge call
back-up light,reversing light
Call (on the phone),Ring
"beltway, loop",ring road
traffic circle,roundabout
routing,routeing
Eraser,Rubber
Trash,Rubbish
"backbag, backpack",rucksack
rumor,rumour
sedan,saloon car
Sand Box,Sand Pit
Sandwich,Sarny
Cracker,Savoury biscuit
biscuit,scone
boneyard,scrapyard
Duplex,Semi-Detached House
Napkin,Serviette
chesterfield,settee
muffler(car),silencer
Bedspread,Similar to a Eiderdown and Duvet
baseboard,skirting board
On/Off Ramp,Slip Road
Kiss (passionate),Snog
Lawyer,Solicitor
spark plugs,sparking plugs
specialty,speciality
Spelled,Spelt
Sir,Squire
Appetizer,Starter
Public School,State school
bouillon cube,stock cube
sulfur,sulphur
Garter Belt,Suspenders
Candy,Sweets
Traffic Jam,Tailback
Take-Out,Take-Away
Faucet,Tap
"asphalt, backtop",tarmac
A Flirt,Tart
Bleachers,Terrace
the line's busy,the line's engaged
Menopause,The Maenopause
tru,through
Can,Tin
to dial direct,to dial(on) STD
to yield right of way(road),to give way
be(to)through,to have finished
comfort station,toilet
bathroom,Toilet
Flashlight,Torch
city,town
Sneakers,Trainers
Billion,Trillion
cart,trolley
"Shopping Basket, Shopping Cart",Trolley
Pants,Trousers
long distance call,trunk call
Tire,Tyre
Undershirt,Vest
vise(tool),vice
Vest,Waistcoat
"billfold, wallet",wallet
Closet (bedroom),Wardrobe
Golashes,Wellies
Golashes,Wellingtons
Windshield,Windscreen
pedestrian crossing,zebra crossing
Cross Walk,Zebra Crossing
Zee (letter),Zed
