Other,English
"heategevuslik bankett, tuluõhtu",$100-a-plate dinner
< sixty-four-dollar question,$64 question
"101, algtõed",101
kümnes,10th
kell 12.00,1200 hours
esimene,1st
kaks,2
"24/7 (iga päev ööpäevaringselt, lakkamatult)",24/07/07
kahemõõtmeline,2D
teine,2nd
"kolmemõõtmeline, ruumiline",3-d
"kolmemõõtmeline, ruumiline",3D
"kolmemõõtmeline, ruumiline",3-D
kolmas,3rd
"404 (leidmata jäämine, keeldumine)",404
neljas,4th
viies,5th
kuues,6th
7-11 (Am kiirtoidukett),7-11
7-11 (Am kiirtoidukett),7-Eleven
seitsmes,7th
kaheksas,8th
112 (hädaabinumber),911
üheksas,9th
"(üks, keegi, umbmäärane artikkel)",a
jama,a bad scene
miljon,a billion
"pisut, veidike",a bit
veidi erinev,a bit different
veidi liialdatud,a bit much
veidi liiga paks,a bit thick
närvipundar,a bundle of nerves
a cappella (saateta),a cappella
"salaplaan, trump",a card up your sleeve
"keegi, mingi, teatud",a certain
teatud arv,a certain number
mõnisada,a couple of hundred
rohkem kui,a cut above
päev varem,a day early
täitsamees,a decent sort of fellow
"jalaga segada, tavaline",a dime a dozen
koeraelu,a dog's life
tilk meres,a drop in the ocean
"midagi hoopis muud kui, suur vahe",a far cry
palju (irooniliselt),a fat lot
uhkuseasi,a feather in your cap
"mõni, natuke, üksikud",a few
paarkümmend aastat,a few decades
paar tarkusesõna,a few words of wisdom
"loll, narr",a fool
"seda enam, tugevamini",a fortiori
"kõvasti, palju",a great deal
"isane, meessoost",a he
"põrgulik, üks kuradima suur",a hell of a
löök allapoole vööd,a hit below the belt
sada ühe vastu,a hundred to one
"moodi, nagu, ą la",a la
"moodi, nagu, ą la",à la
"menüüst üksikult tellides, ą la carte",a la carte
moodi ; jäätisekattega,a la mode
"natuke, pisut, veidi",a little
vähehaaval,a little at a time
pisut liiga paks,a little too thick
"kõvasti, tublisti",a lot
tublisti sarnane,a lot alike
aja küsimus,a matter of time
miljon,a million
pärit,a native of
"mitmed, palju",a number of
korduvalt,a number of times
"parim, tipp-",A one
käkitegu,a piece of cake
koht päikese all,a place in the sun
"igaüks, tükk",a pop
"a posteriori, faktidest tuletatud",a posteriori
susi söögu,a pox upon
"aprioorne, kogemusele eelnev",a priori
eelteadmine,a priori knowledge
veerand tundi ... läbi,a quarter after
veerand,a quarter of
veerand tundi ... läbi,a quarter past
veerand tundi puudub ...,a quarter to
kruvid logisevad,a screw loose
kokkulepitud valed,a set of lies agreed upon
"emane, naissoost",a she
"7500-10000K), A täht (sinakasvalge täht",A star
ootamatu pööre,a sting in the tail
pisut,a tad
a tempo (endises tempos),a tempo
tuhat,a thousand
tuhat üks,a thousand and one
"A-st Z-ni, kogu tähestik",A to Z
hammas hamba vastu,a tooth for a tooth
hetk,a while
mustmiljon,a zillion
"e.l., enne lõunat",a.m.
paakunud laava,aa
"Anonüümsed alkohoolikud, õhutõrje-",AA
õhuseireradar,AA radar
tuhnik (Orycteropus afer),aardvark
"aah, rrrr",aargh
rakendusteaduste magister,AAS
"ab (< lad. -st, alates)",ab
"Ab (= Abel, Abijah)",Ab
"ab- (eemale, ära)",ab-
"alguses, esmalt",ab initio
"ab ovo (munast, päris algusest)",ab ovo
kogu söögiaeg),ab ovo usque ad mala
"abaka, manilla",abaca
pimestamine,abacination
vastutuult ; ootamatult,aback
"abakus, arvelaud",abacus
"ahtri taga, külgsuunaline ; ahtris",abaft
"anduma, loobuma",abandon
lootust jätma,abandon hope
laeva maha jätma,abandon ship
saatuse hooleks jätma,abandon to your fate
hüljatud ; liiderlik,abandoned
"abandoon, hülgamine",abandonment
"alandama, au haavama",abase
end häbistama,abase yourself
"hämmeldama, kohmetusse ajama",abash
kohmetunud,abashed
kohmetus,abashment
"abaasia, käimisvõimetus",abasia
"annulleerima, lammutama, sumbuma",abate
"leevenemine, vaibumine, vähendamine",abatement
akord,abatement of creditors
akord,abatement of debts
vaibuv,abating
oratõke,abatis
oratõke,abattis
tapamaja,abattoir
tapamajad,abattoirs
abasiini keel,Abaza
abtkond,abbacy
"abti-, abtkonna-",abbatial
abee,abbe
abtiss,abbess
"klooster, kloostrikirik",abbey
abt,abbot
lühendama,abbreviate
lühendatud,abbreviated
lühendvorm,abbreviated form
"lühend, lühendamine",abbreviation
Abby (= Abigail),Abby
põhiteadmised,ABC
aabits,A-b-c book
põhiteadmised,ABCs
põhiteadmised,ABC's
Abdullah,Abd Alah
(Br) õudus,abdabs
(hullunult) lõbus,Abderian
troonist loobuma,abdicate
troonist loobumine,abdication
ametist lahkuja,abdicator
peidik,abditory
kõht,abdomen
kõhu-,abdominal
kõhuõõs,abdominal cavity
keisrilõikus,abdominal delivery
kõhulihas,abdominalis
"kõhukas, vatsakas",abdominous
sirutaja-,abducent
"pantvangi võtma, röövima",abduct
"pantvangistuses, röövitud",abducted
röövimine,abduction
röövija ; sirutajalihas,abductor
Abe (= Abraham),Abe
traaversis,abeam
"alghariduse ; algaja, tähestikuline",abecedarian
algajad,abecedarians
voodis,abed
"Aabel, Aadama ja Eeva poeg",Abel
kõrvalekalle,aberrance
"ebatüüpiline ; hälvik, hälbiv",aberrant
"hälve, moonutus, vaimne hälve",aberration
hälbekonstant,aberration constant
hälbiv,aberrational
ilmaütlev (kääne),abessive
"abessiiv, ilmaütlev kääne",abessive case
"kuritööle õhutama, ässitama",abet
"kaasaaitamine, kihutuskõne",abetment
"julgustaja, utsitaja",abetter
"julgustaja, utsitaja",abettor
"lõdvestus, pingelangus, seisak",abeyance
"lõdvestunud, puhkav, tegevusetu",abeyant
jälestama,abhor
jälestus,abhorrence
vastumeelne,abhorrent
hirm lugemisvara lõppemise üle,abibliophobia
"püsimine, vastupidamine",abidance
"(millestki) kinnipidamine, järgimine",abidance by
taluma,abide
"kinni pidama, sõna kuulama",abide by
reeglitest kinni pidama,abide by the rules
elutsema,abide in
"järgima, sõna kuulama",abide with
lakkamatu,abiding
nulg,Abies
teenijanna,abigail
Abigail,Abigail
"oskused, võimed",abilities
lugemisoskus,ability to read
töövõime,ability to work
"abiogenees, elu tekkimine elutust",abiogenesis
"abiootiline, väliskeskkonna",abiotic
"alandlik ; alandama, armetu, masendav",abject
alandlik vabandus,abject apology
tingimusteta alistumine,abject defeat
armetus,abjection
"armetult, lootusetult",abjectly
armetus,abjectness
taganemine,abjuration
"(vande all) lahti ütlema, taganema",abjure
abhaasi keel,Abkhaz
Abhaasia,Abkhazia
Abhaasia ; abhaas,Abkhazian
eemaldatud,ablated
kuluv ; alaltütlev (kääne),ablative
"ablatiiv, alaltütlev kääne",ablative case
ablaut,ablaut
"leegitsev, särav, vaimustunud",ablaze
"suutlik, võimekas",able
vanemmadrus,able seaman
konkurentsivõimeline,able to compete
maksuvõimeline,able to pay
kehaliselt terve,able-bodied
vanemmadrus,able-bodied seaman
õilmitsev,abloom
"pesemine (er religioosne), pesemisvesi",ablution
"osavalt, suutlikult",ably
antiballistiline rakett,ABM
tagasi astuma,abnegate
"enesesalgamine, isetus",abnegation
"ebanormaalne, tavatult suur",abnormal
kõrvalekalded,abnormalcies
hälbed,abnormalities
ebanormaalsus,abnormality
"hälbeliselt, tavatult",abnormally
"pardal, pardale, peal",aboard
abordaa˛,aboardage
lahkhambumus,abocclusion
eluase,abode
õndsate elupaik,abode of the blessed
neetute elupaik,abode of the damned
kaotama,abolish
tühistatav,abolishable
