Other,English
,
,naught
,nought
,zero
,zilch
Amerika,America
Asia,Asia
Atlantshav,Atlantic
Atlantshav,Atlantic Ocean
Bayern,Bavaria
Brasil,Brazil
Danmark,Denmark
Donau,Danube
Egyptaland,Egypt
Estland,Estonia
Europa,Europa
Europa,Europe
Frakland,France
Grikkaland,Greece
"Grønland, Grønland",Greenland
Guds náði,grace
Guinea,Guinea
India,India
Italia,Italy
Jesus,Jesus
Jútland,Jutland
"Kekkoslovakia, Kekkoslovakia",Czechoslovakia
Keypmannahavn,Copenhagen
"Kina, Kina, Kina",China
Kristus,Christ
Kyrra Havið,Pacific
Kyrra Havið,Pacific Ocean
"Madagaskar, Madagaskar",Madagascar
Madaira,Madeira
Messias,Messiah
Muhamed,Mohammed
Muhamed,Muhammad
Noreg,Norway
Norðuríshav,Arctic
Norðuríshav,the Arctic
París,Paris
"Persia, Persia",Persia
"Pólland, Pólland",Poland
"Russland, Russland",Russia
"Rín, Ríná",Rhine
Rómverska ríkið,Roman Empire
Slesia,Silesia
Slovakia,Slovakia
Sovjetsamveldið,Soviet Union
Sovjetsamveldið,USSR
Spania,Spain
Suðuríshav,Antarctic Ocean
Sveits,Switzerland
"Svøríki, Svøríki",Sweden
Týskland,Germany
Ungarn,Hungary
"abbabarn, barnabarn, ommubarn",grandson
abbi,grandfather
abbi og omma,grandparents
"aftan fyri, aftanfyri, dintil, eftir, rassur, reyv",behind
"aftan fyri, eftir",after
"afturat, enn",still
"afturat, enn, kortini, longu",yet
afturgongd,decline
afturgongd,going down
"afturkoma, geva aftur, koma aftur, renta, venda við",return
"afturljóð, bergmál, gella",echo
agi,discipline
"ai, oy",ouch
"ai, oy",ow
"aka, glíða, seðil, skreiða",slip
"aka, glíða, skreiða",glide
akker,anchor
akkerspláss,anchorage
akkerspláss,moorage
akkerspláss,mooring
"akkurát, gjølliga, júst, nágreiniliga, raðið, rætt, stundisliga",exactly
"akkurát, gjølliga, nágreiniliga, raðið, stundisliga",sharp
"aksil, ásur",axis
"aksil, ásur",axle
"akta, vera lýðin",obey
"akurknívur, sigd",sickle
akurskritt,accretion
"akurskritt, grøði, gróður",growth
"al-, alheims, heims-, heimsumfatandi",worldwide
"al-, almennur, heims-",general
"al-, heims-",universal
ala,rear
ala upp,tutor
"ala upp, læra",bring up
"ala upp, læra",educate
"ala upp, íðka, jarnbreytarvognur",coach
"ala, ala upp, hevja, læra, lyfta, reisa",raise
"ala, bjarga, fullføra, varðveita, verja",keep
"ala, dyrka, framleiða",beget
"ala, dyrka, framleiða",generate
albogi,elbow
"alda, bylgja, veittra",wave
"aldur, tíðarvend",age
alfrøðibók,encyclopaedia
"alga, tari",alga
"alga, tari",seaweed
"alheimur, rúmd, rúmdin",universe
alheimurin,cosmos
"alisligur, likamligur",physical
"allar, allir, alskyns, alt, alt samalt, øll",all
allastaðni,all about
allastaðni,everywhere
"allir, hvør, hvørt",all the
"allir, hvør, hvørt",each
"allir, hvør, hvørt",every
"allir, hvør, hvørt",every one
"allir, hvør, hvørt",everybody
almenn kunngerð,bulletin
"almenningur, almennur",public
"almennur, gerandis, vanligur",usual
"almennur, starvsmaður",official
alra,everyone's
als einki,not an ace
als ikki,not at all
"alskari, elskari, fríggjari",lover
alskyns,every kind of
alt,everything
"alt ... alt, helst ... helst, tess ... tess",the ... the
alt samalt,all of it
"alt síðan, av, frá, hjá, úr, úr",from
"alt síðan, frá, hjá, tí at, úr, við tað at",since
"alt, helst, tess",the
"alt, tilsamans, yvirhøvur",altogether
altargongd,communion
altíð,always
"altíð, onkuntíð",ever
"ama út, eyðræna",exploit
"ama út, eyðræna",utilize
"amboltur, stiði",anvil
amboð,tool
"amboð, amboð, miðal",means
"amboð, fyristøðumaður, umboð, umboðsmaður",agent
"amboð, miðal",remedy
"amboð, miðal",resources
anda,breathe
anda inn,inhale
andaleypsbrot,death throes
"andaleypsbrot, angist",agony
andaligur,spiritual
andi,spirit
"andi, dreygur, hamur, spøkilsi",ghost
"andi, dreygur, hamur, spøkilsi",phantom
"andi, sál, sinni",mind
"andlit, venda sær ímóti",face
"andlitsbragd, bragd",feature
"andlitsbragd, bragd",trait
andlitsmynd,portrait
andstygd,abhorrence
andstygd,abomination
andstygd,horror
"anga, rúka",give off an odour
"anga, rúka",reek
