Other,English
âjor,(baked) brick
labu,(cooked) beetroot
pedarzan,(husband's) father-in-law
andukhte,(monetary) reserve
lâyehe,(parliamentary) bill
entezâmât,(public) order
az ru,(to read) at sight
âshurâ,10th day of Moharram
dei,10th month Persian solar year
zol-qa'de,11th month of the lunar year
bahman,11th month Persian solar year
zol-hejje,12th month of the lunar year
esfând,12th month Persian solar year
ide ghadir,18th of Zo'l-Hejje
alef,1st letter of Arabic alphabet
farvardin,1st month Persian solar year
ide fetr,1st Shavval
celeye kucek,20 days after celeye bozorg
ide mab'as,27th Rajab
ordi behesht,2nd month Persian solar year
khordâd,3rd month Persian solar year
tir,4th month Persian solar year
mordâd,5th month Persian solar year
shahrivar,6th month Persian solar year
mehr,7th month Persian solar year
sha'ban,8th month of the lunar year
âbân,8th month Persian solar year
âzar,9th month Persian solar year
folân,a certain
"yaki, yeki",a certain one
shakhsi,a certain person
barkhi,a few
tâ,a fold
bozorgmanesh,a great man
andaki,a little
qalilan,a little [adv]
"candi, yak candi, yek candi",a little while
rajol,a man
khordsâl,a minor
jamâ'at,a society
yak dast lebâs,a suit of clothes
mosallas,a third
"dast kashidan (âz), dast shostan",abandon [to]
monsaref,abandoning (a project; adj)
tark,abandoning [subs]
takhfif,abatement
"mokhtasar, moqtasar",abbreviated
gomrâhi,aberration
goriz,abhorrence
"este'dâd, kefâyat",ability
qanâ'at,ability to do without sthg.
zellat,abjectness
"mosta'edd, qâbel",able
sarnâvi,able seaman
angoshtshomâr,able to be counted on fingers
vozu',ablution
"matruk, molghâ",abolished
raf',abolishing
raf'e hejâb,abolishing the veil [subs]
qabih,abominable
qabâhat,abominable act
"dar bâb(e), dar bâre(ye), dar hodud(e), taqriban",about
"bâlâ, farâ, farâz, fouq, mâ fouq, zabar",above
"fouq oz-zekr, mazbur",above-mentioned
"mokhtasar, moqtasar",abridged
khâreje,abroad
molghâ,abrogated
"elghâ, naskh",abrogation
"adam, duri, gheibat",absence
"gha'eb, ghâyeb",absent
motlaq,absolute
estebdâdi,absolute (of government; etc)
estebdâd,absolute authority
"mo'âf, mobarrâ",absolved
sarfe nazar kardan,abstain [to]
parhikhtan,abstain from [to]
emtenâ',abstaining
"parhiz, parhzigâri",abstinence
"daqiq, ghâmez",abstruse
"besyâri, farâvâni, vofur",abundance
farâvân,abundant
"doshnâm, fahhâshi, fohsh",abuse
doshnâm dâdan,abuse [to]
fahhâsh,abusive
farhangestân,academy
lahje,accent
paziroftan,accept [to]
"qabul, qâel, qâyel",accepting
dastrasi,access
jolus,accession to the throne
sarf,accidence
sharik,accomplice
"anjâm dâdan, bar âvardan, be jâ âvardan",accomplish [to]
anjâm,accomplishment
vefq,accordance
az ru(ye),according
"motâbeq(e), tebq(e)",according (to)
"alâ, az qarâr(e), bar tebq(e), be, be qarâr(e)",according to
orfi,according to common use
banâ bar in (ân),accordingly
"hesâb, surate hesab",account
hesâbdâri,accountancy
hesâbdâri,accountancy department
hesâbdâr,accountant
mohâsebât,accounts
yarâq,accoutrements
"âed, âyed",accruing
deqqat,accuracy
"bâ deqqat, daqiq",accurate
mal'un,accursed
da'vâ,accusation
mottahem,accused
modda'i,accuser
mo'tâd,accustomed
kâmyâbi,achieving one's desire
torsh,acid
mo'taref,acknowledging [adj]
balut,acorn
âshnâi,acquaintance
shenâsâi,acquaintanceship
âshnâ,acquainted
"be dast âvardan, dar yâftan, gir âvardan",acquire [to]
"nâel, nâyel, tahsil",acquiring
kasb,acquiring [subs]
"daryâft, hosul, tahsil",acquisition
tabre'e,acquittal
adâ dar âvardan,act coquettishly [to]
"rai, ra'i",act of seeing
vekâlat,acting as a deputy
vekâlat,acting as a representative
vekâlat,acting as a substitute
vekâlat,acting as an agent
vekâlat,acting being a deputy
"eqdâm, fe'l, kâr, kerdâr, konesh",action
âmâl (pl. of amal),actions
"fa'âl, jeddi",active
"fa'âliyat, jeddiyat",activity
honarpishe,actor
konuni,actual
fe'lan,actually
tashannoj,acute instability
elâ âkher,ad infinitum
âdam,Adam
vefq dâdan,adapt [to]
sâzgâr,adaptable (a person)
eqtebâs,adapting
jam' kardan,add [to]
mozâf,added
mo'tâd,addicted (to)
mushekâf,addicted to subtle reasoning
aiyâshi,addiction to pleasure
ezâfe,adding
ezâfe,addition
"envân, neshâni",address
caspidan,adhere [to]
molhaq,adherent
mojâver,adjacent
mottasel,adjoining
eslâh kardan,adjust [to]
ta'dil,adjusting
edâre kardan,administer [to]
sougand dâdan,administer an oath [to]
zabt,administering control
dâdras,administering justice
edâre,administration
bakhsh,administrative district
"dehestân, shahrestân",administrative division
modabber,administrator
motavalli,administrator of a foundation
daryâsâlâr,admiral
pasandide,admired
ghâ'ele,ado
ebâdat,adoration
ârâstan,adorn [to]
tahzib,adorning
câbok,adroit
sâlmand,adult (person)
akâber (pl. of kabir),adults who attend classes
pishraft,advance
pishbahâ,advance (in banking)
mosâ'ede,advance (loan)
qadam bar dâshtan,advance [to]
pishpardâkht,advance payment
estefâde,advantage
manâfe (pl. of manfa'at),advantages
mâ jara ju,adventurer
taraf,adversary
sheddat,adversity
âgahi,advertisement
"andarz, mashvarat, nasihat, pand",advice
"mashvarat dâdan, mashvarat kardan",advise [to]
mostashâr,advisor
tishe,adze
havâi,aerial [adj]
"havânavârdi, nâvbare havâi",aero-navigation
"havâpeimâ, taiyâre",aeroplane
havânavârd,aeroplane pilot
"amr, bâb, kâr",affair
"masâleh (pl. of maslahat), omur",affairs
mota'asser,affected
"alâqe, âtefe, mohabbat",affection
nâmzad,affianced
nesbat,affinity
esbât,affirmation
mosbat,affirmative
âzordan,afflict [to]
"delgir, delkhor, mobtalâ, ranjur, siahruz",afflicted
gereftâr(e),afflicted by
"mehnat, ranj, sotuh",affliction
"mazbur, nâmborde",aforesaid
"ba'd, dar pei(ye), dombâl(e), pei(ye)",after
"aqab(e), az pei(ye), dar pei(ye)",after (in search of)
"ba'd az ânke, pas az ânke",after [conj]
"ba'd az, pas az",after [pre]
bozorgmanesh,after the fashion of
"asr, pasin",afternoon
asrâne,afternoon tea
"ba'dan, sepas",afterwards
ba'd,afterwards [adv]
"bâz, digar, dobâre, farâ, farâz, mojaddadan",again
"alâ, aleih, bar, bar aleih(e), bar zedd(e)",against
"aleih, bar aleih(e)",against him
"ahd, senn",age
roshd,age of discretion
mosenn,aged
kârgozâri,agency [polit; com]
dastur,agenda
"âmel, gomâshte, kârpardâz, mobâsher",agent
jam',aggregate
tajâvoz,aggression
motajâvez,aggressive
motajâvez,aggressor
câbok,agile
sarf,agio
"âshoftan, bar âshoftan",agitate [to]
moztareb,agitated
