Other,English
(fi) mâ bein,between
a'ni,I mean
a'ni,namely
a'uzo bellâh,"I take refuge in God, God forbid"
a'yân (pl. of ain),"nobles, great men"
abad,eternity without end
abavi,"my father, father"
abd,slave
ablaq,piebald
abr,cloud
abrishom,silk
abrishomi,silken
abru,eyebrow
abyaz,white
abzâr [colloq],"instrument, tool"
abâ,"cloak, cloak [kind of]"
adab,belles lettres
adab,"courtesy, politeness"
adab kardan,"chastise [to], correct [to]"
adab parvar,literary
adabiât,belles lettres
adad,number
adam,"absence, lack"
adam,non-existence
adas,lentil
adib,learned
adib,man of letters
adib,polite
adl,bale (of cotton)
adl,"equity, justice"
adliye,"Ministry of Justice, Department of Justice"
adu,enemy
advie (pl. of davâ; medicine),spice
advâr (pl. of doure),"eras, periods"
adâ,coquetry
adâ,"grace, beauty"
adâ,mimicry
adâ,payment
adâ dar âvardan,act coquettishly [to]
adâ dar âvardan,mimic [to] [trans]
adâ kardan,carry out [to]
adâ kardan,express [to]
adâ kardan,pay [to]
adâlat,"justice, equity"
afif,chaste
afkandan,throw (down; away) [to]
afkâr (pl. of fekr),thoughts
afkâre omum,public opinion
afrukhtan,blaze [to]
afrukhtan,"kindle [to], set alight [to]"
afrâd (pl. of fard),individuals
afrâkhtan,raise [to]
afrâshtan,raise [to]
afsar,army officer
afsar,crown
afsare ertebât,liaison officer
afshordan,"press [to], squeeze [to]"
afsordan,congeal [to]
afsordan,grow dejected [to]
afsordan,wither [to]
afsun,spell
afsus,"ah!, alas!"
afsus khordan,regret [to]
afsâne,"tale, fable"
afv,"pardon, forgiveness"
afve omumi,general amnesty
afzudan,increase [trans; intrans] [to]
afzun,increasing
afzâr,"tool, implement"
agar,if
agarcé,although
aghlab,"most, mostly"
aghnâm (pl. of ghanarn),flocks
aghnâm (pl. of ghanarn),sheep and goats
aghnâm va ahshâm,flocks
ahad,one
ahammiyat,importance
ahd,"age, reign"
ahd,agreement
ahd,covenant
ahd,oath
ahd,treaty
ahd bastan,conclude an agreement [to]
ahdnâme,treaty of agreement
ahl,people
ahl(e),possessed of
ahle fann,capable of
ahle fann,"expert [n], technician"
ahmaq,fool [n]
ahmaq,"stupid, foolish"
ahmar,red
ahshâm (pl. of hasham),"followers, attendants"
ahyânan,perchance
ahâli (pl. of ahl),peoples
aiyâl,"wife, family"
aiyâlbâr,having a large family
aiyâsh,"debauchee, rake"
aiyâsh,pleasure-seeker
aiyâshi,debauchery
aiyâshi,"luxury, addiction to pleasure"
ajab,"strange, marvellous, wonderful (inter)"
ajale,haste
ajale dâshtan,be in a hurry [to]
ajale kardan,hasten [intrans] [to]
ajib,"wonderful, strange"
ajibe,"wonder, marvel"
ajnâs,"kinds, sorts, species"
ajuz,old woman
ajuze,old woman
ajz,"being weak, infirm [subs]"
akbar,greatest
akhavi,"my brother, brother"
akhlâf (pl. of khalâf),"those who come after, posterity"
akhlâq (pl. of kholq),"disposition, character"
akhlâq (pl. of kholq),"morals, ethics"
akhm,frown
akhm,frowning
akhz,taking
akhz kardan,take [to]
akid,"strict, severe"
akidan,strictly
akkâs,photographer
akkâsi,photography
akkâskhâne,"photographic establishment, studio"
aknun,now
aks,photograph
aks,reflection
aks,"reverse, contrary"
aks andâkhtan,take a photograph [to]
aks ol-amal,reaction
aksariyat,majority
akâber (pl. of kabir),adults who attend classes
akâber (pl. of kabir),great men
akâzib,"lies, falsehoods"
al [Arabic],the
al-hamdo lellâh,praise be to God
al-haqq,in truth
al-haqq,"in truth, truly"
alad-davâm,continually
alad-dâvâm,"continually, permanently"
alaf,"fodder, forage"
alal-khosus,in particular
alam,"standard, flag"
alamdâr,leader [fig]
alamdâr,standard-bearer
albatté,"certainly, of course"
alef,1st letter of Arabic alphabet
aleih,against
aleih,against him
aleih,upon him
alfâz (pl. of lafz),words
allaf,"purveyor of provender, chandler"
allâh,God
almâs,diamond
alâ,according to
alâ,against
alâ,by
alâ,in
alâ,with
alâ raghm(e),contrary to
alâj,"cure, treatment"
alâmat,"mark, sign, signal"
alân,"now, immediately"
alâqe,"friendship, affection, attachment"
alâqe,"inclination, interest"
alâqemand,"attached, interested"
alâve,"besides, moreover, in addition"
alâve,excess
alâve bar in,in addition to this
amal,doing
amal,operation (surgical)
amal,practice
amal,putting into practice
amal kardan,operate [med] [to]
amal kardan,"practise [to], put into practice [to]"
amale,"workman, labourer"
amali,practical
ambâr,"store, warehouse"
ambârdâr,store-keeper
ambâshtan,fill [to]
amdan,on purpose
amme,paternal aunt
ammu,paternal uncle
ammâ,but
amniyat,security
amniye,gendarmerie
amr,"matter, affair"
amr,order (command)
amr (in grammar),imperative mood
amrikâ,America
amrâz (pl. of maraz),illnesses
amrâze asabi,nervous diseases
amrâze dâkheli,internal diseases
amrâze manâteqe liârre,tropical diseases
amrâze moqârebati,venereal diseases
amrâze nesvân,gynaecological diseases
amrâze sârie,endemic diseases
amsâl (pl. of masal),"likeness, resemblances"
amsâl (pl. of masal),proverbs
amu,paternal uncle
amânat,"deposit, anything given in trust"
amâne,turban
an qarib,"shortly, soon"
and,odd (of numbers over nineteen)
andak,"little, few, small"
andaki,a little
andaki,short while
andar,in (obsolete)
andarun,"within, inside"
andarun,women's quarters (in a house)
andarz,advice
andife,"thought, reflection, meditation"
andudan,"plaster [to], smear [to]"
andukhtan,"collect [to], heap up [to]"
andukhte,(monetary) reserve
andukhte,savings
andâkhtan,throw [to]
andâm,"body, stature"
andâm,"proportion, symmetry"
andâze,dimension
andâze,extent
andâze,size
angal,parasite
angalshenâs,parasitologist
angalshenâsi,parasitology
angikhtan,"stir up [to], incite [to]"
angolak,light touch with the finger
angolak kardan,cause trouble on the sly [to]
angolak kardan,put a finger in the pie [to]
angosht,finger
angoshtshomâr,able to be counted on fingers
angoshtâne,thimble
angune,"in that way, thus"
angur,"grape, grapes"
anjir,fig
anjoman,"society, council"
anjomane shahrdâri,municipal council
anjâm,"accomplishment, fulfilment"
anjâm dâdan,"fulfil [to], accomplish [to]"
anjâm shodan,be accomplished [to]
anjâm yâftan,be accomplished [to]
ankabut,spider
ansâb (pl. of nasab),genealogies
anvâ (pl. of nou'),"sorts, kinds"
anâr,pomegranate
aqab,"rear, hinder part"
aqab,slow (of a watch)
aqab neshastan,retreat [to]
aqab(e),after (in search of)
aqab(e),behind
aqall,"less, least"
aqallan,at least
aqalliyat,minority
aqd,"contract, marriage contract"
aqd,"covenant, engagement, treaty"
aqd bastan,make a marriage contract [to]
aqdi,wife married by an adq
aqide,belief
aqide,opinion
aqim,"barren, sterile"
aql,"reason, intellect"
aqrab,scorpion
aqsâm (pl. of qesm),"sorts, kinds"
aqsât,instalments
aqvâm (pl. of qoum),peoples
aqvâm (pl. of qoum),relatives
aqâyed (pl. of aqide),beliefs
aqâyed (pl. of aqide),opinions
arab,Arab
arabi,Arabian
arabi,Arabic
araq,anything oozing out from pores
araq,"arrack, spirits"
araq,essence
araq,sweat
arbâb (pl. of rabb),chief landowner in a village
arbâb (pl. of rabb),master
arbâbi,belonging to a large landlord
arjmand,"exalted, distinguished"
armani,Armenian
arre,saw (tool)
arrâde,guncarriage
arrâde,small ballista
arrâde,word used in counting cannons
artesh,army
arus,bride
arus,daughter-in-law
arusak,doll
arusi,wedding
arz,earth (the planet)
arz,foreign exchange
arz,petition
arz,"representing, petitioning"
arz kardan,petition [to]
arz kardan,say (in 1st pers. only) [to]
arzesh,value
arzidan,be worth [to]
arzân,cheap
arâjif,rumours
arâzi (pl. of arz; the earth),lands
as'âr,prices (rates of exchange)
as-sâ'at,"immediately, this minute"
as-sâ'e,"immediately, this minute"
asab,"tendon, nerve"
asabâni,irritable
asal,honey
asar,effect
asar,"sign, trace"
asb,horse
asbe,horsepower
asbâb (pl. of sabab),causes
asbâb (pl. of sabab),"instruments, belongings, effects"
asbâbe yadaki,spare parts
asbâbe zahmat shodan,be a nuisance [to]
asfâlte,asphalted
ashrâf (pl. of sharif),nobles
ashrâfi,aristocratic
ashâer (pl. of ashire),tribes
asir,"captive, prisoner"
asir gereftân (kardan),take captive [to]
asl,"foundation, origin"
asl,principle
aslan,"in origin, fundamentally"
aslan (with negative verb),"not at all, never"
asli,"radical, origin, essential, principal"
asli,"real, true"
asnâ,interval (of time)
asr,"afternoon, evening"
asr,period (of time)
asrâne,afternoon tea
astaghfer ollâh,"God forbid, I ask pardon of God"
asâ,"staff, stave"
asâs,"foundation, basis"
asâsan,"fundamentally, basically, in essence"
asâsi,"fundamental, essential"
asâsiye,"equipment, furniture"
asâsnâme,charter
atbâ' (pl. of tâbe'),"subjects, followers"
atiq,"old, ancient"
atiqe,antique [subs]
atr,perfume
atrâf (pl. of taraf),sides
atse,sneeze
attâr,dealer in perfumes or spices
atâ,gift
atâ,"grant, bestowal"
avaz,"equivalent, compensation"
avaz(e),"instead of, in place of"
avikhtan,hang [trans; intrans] [to]
avval,first
avvalan,"first, in the first place"
avvalin,first
avâkher (pl. of âkherat),ends
avâkher (pl. of âkherat),latter part (of month; year)
avâm,"common people, populace"
avâmane,"popular, pertaining to common people"
avâmel (pl. of âmel),"factors, causes"
avâmfarib,demagogue
avâmfaribi,demagogy
avâmm,"common people, populace"
avârez (pl. of ârezat),"dues, tolls"
az,belonging to
az,by
az,by means
az,by way of
az,for
az,from
az,of
az,of
az,out of
az,than
az bahr(e),"for, for the sake of, because"
az bahre in,on this account
az barâye,for
az bas ke,to such a degree that
az bein raftan,"disappear [to], be destroyed [to]"
az bâbat(e),"for ², on account of"
az dast dâdan,"give up [to], lose [to]"
az dast raftan,"be lost [to], perish [to]"
az in heis,on this account
az in qabil,of this kind
az in qarâr,as follows
az in qarâr,of this nature
az in radif,"in this order, of this kind"
az in ru,for this reason
az in sabab,for this reason
az jehat(e),because of
az jehat(e),on behalf of
az jomle(ye),among
az jâneb(e),"on behalf of, on the part"
az khod gozashtegi,"self-sacrifice, devotion"
az lehâz(e),in respect of
az miân(e),from among
az mouqe'ike,since (from the time that)
az nazd(e),from the presence of
az ohde birun âmadan,"fulfil an obligation [to], carry out (a task) [to"
az pei(ye),after (in search of)
az posht(e),behind ¹
az qarâr(e),according to
az qarâr(e),at the rate of
az ru,(to read) at sight
az ru(ye),off (from)
az ru(ye),"upon, according"
az sar,from the beginning
az su(ye),from the direction of
az taraf(e),"on behalf of, from the direction of"
az u bâ namiâyad,"he cannot do it, it is beyond his powers"
az zire bâr dar raftan,avoid doing (sthg.) [to]
az ân jomle,among them
azal,eternity without beginning
azamat,greatness
azim,huge
azimat,resolution
azimat,starting [subs]
azimat,undertaking
aziz,"dear, precious"
azm,"purpose, resolution, undertaking"
azole,muscle
azraq,blue
azâb,pain
azâb,punishment
azâb,"torment, torture"
azân,"call to prayer, calling to prayer"
ba'd,"after, afterwards [adv]"
ba'd,then [adv]
ba'd az,after [pre]
ba'd az ânke,after [conj]
ba'dan,afterwards
ba'id,"distant, far, remote"
ba'zi,some
babr,tiger
bacce,child
baccegi,childhood
baccegâne,"childish, childishly"
bace,child
bacegi,childhood
bacegâne,"childish, childishly"
bad,bad
bad budan bâ kasi,be on bad terms with s.o. [to]
badal,"change, substitution, alteration"
badal,substitute
badane,"body (of an aeroplane), hull (of a ship)"
badi,"badness, evil"
badi',"wonderful, astonishing, strange"
badvan,in the beginning
baghtatan,suddenly
bahman,11th month Persian solar year
bahman,avalanche
bahr,part
bahr,sea
bahre,"part, portion"
bahre khazar,Caspian Sea
bahs,"debate, discussion, argument"
bahâ,price
bahâr,spring (of the year)
bahâye eshterâk,cost of subscription
bakhsh,administrative district
bakhsh,portion
bakhsh,squadron (naval)
bakhshdâr,official in charge of a bakhsh
bakhshdâri,offices of a bakhshdâr
bakhshesh,"gift, present, tip"
bakhshidan,"forgive [to], give [to], grant [to]"
bakhshidan,forgo [to]
bakhshnâme,official circular
bakhshudan,"grant [to], bestow [to]"
bakhshude,"excused, exempted"
