Other,English
acacia,acacia
acanthe,acanthus
acarpe,acarpous
akéne,achene
aconite,aconite
balanifère,acorn-bearing
acotylédone,acotyledonous (adj)
adné,adnate
adonide,adonis
agar-agar,agar-agar
agaric,agaric
agave,agave
aigremoine,agrimony
ailante,ailanthus
alaterne,alaternus
albergie,alberge-tree
aubier,alburnum
"aulne, aune",alder-tree
algue,alga
amandier,almond-tree
aloès,aloe
aloès,aloes
alpicole,alpine (adj)
alysse,alyssum
amanite,amanite
amarante,amaranth
amaryllis,amaryllis
ambrette,amber-seed
agave,american aloe
amygdalacée,amigdalaceae
amphigame,amphigamous (adj)
amphigène,amphigenous (adj)
amplexicaule,amplexicaul
baumier,amyris
ananas,ananas
anatrope,anatropous
ancipaté-e (adj),ancipital
ancipaté-e (adj),ancipitous
anis,anise
anone,anona
anthémis,anthemis
anthère,anthere
anthéridie,antheridium
antiar,antiare
apétale (adj),apetalousness
aphylle,aphyllous
"apocin, apocyn",apocynum
apalachine,appalachian tea
aptère,apterous
aquatile,aquatil
aquifoliacées,aquifoliaceae
arachide,arachis
arboricole,arboricole
arbouse,arbutus-berry
"arec, aréquier",areca
"arec, aréquier",areca-nut
arnica,arnica
armoise,artemisia
arum,arum
aspérule,asperula
"amaryllis, asphodèle",asphodel
aspidistra,aspidistra
aster,aster
athaea,athaea
carmabolier,averrhoa
azerole,azarola
azerolier,azarole-tree
jauneau,bachelor's button
bacifère (adj),baciferous
bactériacées,bacteriacea
"baumier, clusie",balsam-tree
bambou,bamboo
banane,banana
bananier,banana-tree
bellotte,barabry-oak
berbéris,barberry
baselle,basella
baguenaudier,bastard-senna tree
azédarac,bead-tree
alise,beam-tree berry
fabagelle,bean-caper
anagyk,bean-trefoil
bédegar,bedeguar
hêtre,beech
hêtraie,beech-grove
faîne,beech-nut
hêtre,beech-tree
belte,beet
betterave,beetroot
bégonia,begonia
"belladone, belle-dame",belladonna
ben,ben-tree
berbéris,berberis
bergamote,bergamot orange
bergamote,bergamot pean
bergamotier,bergamot-orange tree
baie,berry
bacifère (adj),berry-bearing
bétel,betel
bétoine,betony
bigarreautier,bigaroon-tree
bignoniacées,bignoniacea
airelle,bilberry
bouleau,birch-tree
bistorte,bistort
bigarade,bitter orange
bigaradier,bitter-orange tree
baguenaude,bladder-nut
baguenaudier,bladder-nut tree
bolet,boletus
bon-chrétien,bon-chrétien pear
bractéole,bracteole
artocarpe,bread-fruit tree
jaquier,breadfruit-tree
bryone,bryony
cimicaire,bugwort
bardane,burdock
"arbre en buisson, arbuste",bush
"bouton d'or, jauneau",buttercup
cacao,cacao
"cacaotier, cacaoyer",cacao-tree
caduc,cacdeciduous
"cactacées, cactées",cactacea
cactus,cactus
cade,cade
caduc,caducous
"caladion, caladium",caladium
calament,calamint
calcéolaire,calceolaria
caliatour,caliatourwood
"calleuse, calleux",callose
calycanthe,calycanthus
calicule,calycle
caliculé (adj),calycled
caliculé (adj),calyculate
cambium,cambium
camomille,camomille
campagne,campana
camphrier,camphor-tree
alpiste,canary-grass
"balisier, canna",canna
balise,canna-seed
câprier,caper
capitule,capitulum
carmabolier,carambola
carapa,carapa
carvi,caraway
cardamine,cardamine
cardamone,cardamon
cardon,cardoon
caroubier,carob
caroubier,carob-tree
"carouge, caroulbe",carola-bean
carpelle,carpel
carthame,carthamus
"carya, caryer",carya
caryophyllé,caryophyllaceous
cascarille,cascarilla
noix d'acajou,cashew nut
anacarde,cashew-nut tree
casse,cassia
catalpa,catalpa
chaton,catkin
"cataire, chataire",catmint
chélidoine,celandine
cierge,cereus
"bale, balle",chaff
caille-lait,cheese rennet
chélone,chelone
chérimolier,cherimoya
cerfeuil,chervil
châtaignier,chestnut-tree
ciboule,chibol
"ciboulette, cive, civette",chives
chlorophylle,chlorophyll
chromulr,chromule
chrysanthème,chrysantenum
ciboule,cibol
cil,cilia
cimicaire,cimifuga
cinéraire,cineraria
cinéraire [adj],cinerary
canniever,cinnamon-tree
"cirre, cirrhe",cirrus
citronnier,citron-tree
calebassier,clabash-tree
clavaire [adj],clavaria
clémature,clematis
brugnon,clingstone
clou,clove
clavaire [adj],club-shaped fungus
clusie,clusia
clusiacées,clusiacea
cobé [adj],cobaea
coca,coca
cochenellier,cochineal plant
cochleria,cochleria
cocotier,coconut-palm
caféier,coffee-tree
kola,cola
noix de kola,cola-nut
colchique,colchicum
ancolie,columbine
belle de jour,convolvulus tricolor
"bleuet, jacinthe des blés",cornflower
chicon,cos lettuce
balsamite,costmary
arachnoïdien-ne (adj),cowbeb-like
berce,cow-parsnip
amarante,coxcomb
carapa,crabwood
farouch,crimson-clover
camarine,crowberry
arum,cuckoopint
anone,custard-apple
cassolette,dame's violet
ivraie,darnel
hémécoralle,daylily
dioïque,dioecious
dionée,dionea
dictame,dittany
apocyn gobemouches,dog-bane
apoxynacées,dog-bane family
égalntine,dog-rose
dragonnier,dragon-tree
canillée,duckweed
arbre nain,dwarf-tree
arachide,earth-nut
carmabolier,east-india wood sorrel
ébénacées,ebenaceae
ébenier,ebony-tree
edelweiss,edelweiss
emarginé-e [adj],emarginate
apalachine,emetic holly
circée,enchanter's nightshade
épigyne,epyginous-part
arbre vert,evergreen
fabago,fabago
aveline,fibert
bellis,field-daisy
arachnoïdien-ne (adj),filamentous
avelinier,filbert-tree
capitule,flower-head
arbre de haute futaie,forest-tree
balsamine,garden balsam
ail,garlic
"bale, balle",glume
caprifiguier,goat fig-tree
ansérine,goose-foot
cacahuète,ground-nut
amnicole (adj),growing near rivers
canche,hair-grass
capron,hautboy strawberry
capronier,hautboy strawberry plant
épervière,hawk-weed
bruyère,heath
bruyère,heather
cinéraire,heawort
hélianthe,helianthus
hémécoralle,hemecorallis
"chanvre, chénevis",hemp
heptagyne (adj),hepatgynous
heptagyne (adj),heptagynian
heptandre (adj),heptandrian
heptandre (adj),heptandrous
benoîte,herb bennet
alcée,hollyshock
chèvrefeuille,honeysuckle
cirse,horse-thistle
"bale, balle",husk
jacinthe,hyacinth
canna,indian shot
iridées,iridaceae
iris,iris
ixia,ixia
kaki,japanese persimmon
kaki (fruit),kaki
karatas,karatas
ketmier,ketmia
kola,kola
laccifère (adj),laciferous
lantanier,lantana
larix,larch-tree
éperonnière,larkspur
citronnier,lemon-tree
amaryllis,lily
citronnier,lime-tree
acajou,mahogany
baselle,malabar nightshade
betterave fourragère,mangel-wurzel
betterave fourragère,mangold-wurzel
athaea,marsh-mallow
belle de nuit,marvel of Peru
cardamine,meadow-cress
bonduc,molucca bean
baobab,monkey-bread tree
cerisette,morel
agaric,mushroom
azerole,neapolitan medlar
brugnon,nectarine
bonduc,nicker-tree
cochenellier,nopal
campagne,pasque-flower
arachide,pea-nut
"arbustif-e (adj), arbustive (adj)",pertaining to bushes
chérimolier,peruvian custard-apple
adonide,pheasant's eyes
"câpre, capucine",pickled nasturium seed
ananas,pine-apple
diatomées,platomaceae
coing,quince
jacobée,ragwort
iris,rainbow
bédegar,rose-gall
ivraie,rye-grassy
carthame,safflower
kali,saltwort
aubier,sapwood
algue,sea-weed
engainant-e [adj],sheating
bion,shoot
arbuste,shrub
argoutine,silver-weed
"berle, chervis",skirret
caracolle,snail-flower
bistorte,snake-weed
alise,sorb-aplle
citronnelle,southernwood
aspic,spike-lavander
archégone,sporangium
épicéa,spruce
carouge,St John's bread
carouge,St.John's bread
chausse-trape,star-thiste
aster,starwort
drosère,sundew
hélianthe,sunflower
basilic,sweet-basil
ivraie,tare
cardère,teasel
"cirre, cirrhe",tendril
cirse,thistle
anthère,tip
arbre,tree
ailante,tree of heaven
"brion, bryon",tree-moss
antiar,upas-tree
dionée,venus's fly-trap
jarosse,vetch
cicutaire [adj],water-hemlock
alisme,water-plantain
cirier-ière,wax-myrthe
ciboule,welsh onion
alisier,whitebeam
airelle,whortle-berry
barbe-de-capucin,wild chicory
caprifiguier,wild fig-tree
cognasse,wild quince
lantanier,wild sage
ansérine,wild spinach
égalntine,wild-rose
bon-chrétien,William
alkékenge,winter-sherry
aspérule,woodruff
"acétoselle, alléluia",wood-sorrel
armoise,wormwood
igname,yam
jauneau d'eau,yellow water-lily
