Other,English
"*-belga, swilla",swell
"*abbet, abbit",abbot
"*bibinda, binda",bind
*bitena,barricade
*hasa,hare
*infiuchta,fight into
"*this (m), *thius (f), thit, Thit (n)",this
-awinna,gain from someone
-ber,bare
-bera,bearer
-bere,a suffix
"-berna, barna, burna",burn
-bete,with double fine
-bijen,beginning
"-bijenna, -jenna",begin
-bivinge,tremor
-blind,blindness
-brede,latitude
-brede,level
-brede,membrane
-brede,width
"-burch, stede",city
-demnese,judgement
-den,having a certain shape
-depene,submersion
"-der, *tha, er",there
"-dok, -letsen",cloth
-drachta,the act of carrying
-dussinge,vertigo
-ervia,leave behind
"-etha, aththa",sworn
-ethoch,having sworn an oath
"-fald, -jelde",-fold
-fang,grasp
-fara,traveller
"-fela, bifela, bon",order
"-fere, ferd",journey
-fest,fixed
-festere,person who is fasting
-flecht,the act of tearing
-fongere,catcher
-fote,-ped
"-garda, biervia, have",property
"-ger, kletsie, ord, spiri",spear
-gerdel,bag attached to a girdle
"-gerdel, birgerdel",purse
"-geroch, jeroch",adult
"-had, strid",battle
-hald,pointed to
"-here, harsum",obedient
-hingen,couple
"-hwenne, alhwenne, til, to",until
"-i, er, hi, hine, his, hit",he
-ik,ever
-jen,begining
"-kanna, weta",know
-keme,coming
-keste,statute
-kimi,penetration
"-kniling, -mech, friond",relative
"-kumbria, sweria",burden
-kuth,known
-kwinka,disappear
-ledene,leader
-ledene,leadership
"-leine, havedleine",rope
-lende,landish
"-lende, lond",land
-liacht,light
-liaga,lie
-lik,-ly
-liknia,compare
"-liva, beliva, biliva",stay
-live,alive
"-lotha, tegotha",tax
-luka,close off
-machtich,-mighty
"-me, stunde, tid",time
"-meldia, bonna, ketha",proclaim
-mond,dowry
-mond,guardian
-monda,sexual intercourse
-nath,bold
-ne,himself
-nese,-hood
"-netha, an, under",under
-pal,-pile
-ponna,-pan
-porte,gate
-ravia,despoil
-rede,partition
"-rene, fliata",flow
"-rethia, -tiuga",testify
"-rif, buk-",belly
-risne,fllod
"-roft, hropa, nomia",call
-ropa,cry
-sega,sayer
"-semin, -semine, gadur",together
-septha,scar
"-skathinge, -wlemelsa, laster",damage
"-skeldiges, skeldech",guilty
-skerd,split in two
-skininge,proof
-skinzie,-legged
-skipi,-ship
"-skirma, biskirma, halda",protect
-skrida,stride
-slacht,belonging to
"-slaga, morth",murder
-sluta,close
"-smitha, bita",cut
-splita,split
-spring,flood
-stathul,basis
"-stepi, grad, treppe",step
-strewene,snatching
-swiththe,border
-tegia,accuse
-teknia,mean
-tena,place a blockade of banks of osier and sand
-thanka,think
-tich,-ty
"-timbria, buwa",build
-warde,word
-wardich,-wards
-ware,face
-wege,dislocation
-wella,turn
-werdene,worth
-wik,town
-worth,hill
"?, blodgia, dolch, inskathinge, wunde, wundia",wound
"?????¢, ain, ein, eyn, hebba, sundroch",own
"Agrip, kolnaburch, Kolne",Cologne
Aldeson,Oldensum
Angelond,England
Auwesburg,Augsburg
Bavenberg,Bamberg
Bernere,Verona's inhabitant
Beygeron,Bavaria
Ethela,Attila
Frisa,Frisian
Huna,Hun
Ingelsk,English
