Other,English
Alderheljen,All Hallows
Alderheljen,All Saint's Day
Aldersielen,All Soul's Day
Amearika,"America, USA"
Amerikaan,"American, USA citzen"
Arabysk,Arabian
Arabysk,Arabic
Aziatysk,Asian
Aziatysk,Asiatic
Belgysk,Belgian
Bels,Belgian
Bibel,Bible
Britsk,British
Busstasjon,bus station
De lange wei,The long trip
Deensk,Danish
Den Haach,The Hague
Dir mäist ai baikäme!,Don't touch me there!
Dútser,German
Dútsk,German
Dútslân,Germany
Eastenriker,Austrian
Eastenryk,Austria
Eastsee,Baltic Sea
Egyptner,Egyptian
Europa,Europa
Europa,Europe
Europeesk,European
Faati mi diar ek ön!,Don't touch me there! (2)
Fertrüt me,Sorry
Flaamsk,Flemmish
Flaanderen,Flanders
Flaming,Flemming
Foate mi dear ni uun!,Don't touch me there! (1)
Frankryk,France
Fries,"Frisian, frieze"
Frysk,Frisian
Fryslân,Friesland
Frânsk,French
Frânsman,Frenchman
Fåås me deer ai önj!,Don't touch me there!
Gelderlân,Guelderland
Gelderlân,Guelders
Goedfreed,Good Friday
Grikelân,Greece
Grut-Brittanje,"Britain, Great Britain"
Gryk,Greek
Gryks,Greek
Heilsleger,Salvation Army
Himelfeartsdei,Ascension Day
Hoe giet it mei jo?,How are you?
Hoe hite jo?,What is your name?
Hoe hytsto?,What' s your name?
Hoe let is it?,What time is it?
Hollanner,"Dutchman, Hollander"
Hollân,Holland
Hollânsk,Dutch
Huar as a strun?,Where is the beach? (1)
Huar as at wiartshüs?,Where is the bar? (1)
Huar as man dörnsk?,Where is my room? (1)
Hur es di Strön?,Where is the beach? (2)
Hur es di Wiartshüs?,Where is the bar? (2)
Hur es min Rüm?,Where is my room? (2)
Hü håtst dü?,What' s your name?
Ierlân,Ireland
Iersk,Irish
Iislanner,Icelander
Iislân,Iceland
Ik begrip et ai,I don't understand
Ik begryp it net,I don't understand
Ik wol graach,I would like to buy
Ingelsk,English
Ingelsman,Englishman
Ingelsman,Sassenach
Ingelân,England
Israelyt,Israelite
Japansk,Japanese
Jim,you (pl.)
Jiskepûster,Cinderella
Kinne jo Ingelsk?,Do you speak English?
Koost dü Aingelsch?,Do you speak English?
Kristus,Christ
Krysttiid,"Christmas, Yule"
Ling mi diar ei uun!,Don't touch me there! (1)
Meer as heer et hüüschen?,Where is the bathroom?
Mei ik de rekken fan jo?,please bring me the bill
Mêr is hijr it húske?,Where is the bathroom?
NS-stasjon,train station
