Other,English
ubuh = uf enclitic particle uh,(particle)
"ga-, prefix",(prefix)
"sums, indef. pr.",a certain one
"wullareis, sm.",a fuller
"kaúrnô, sn.",a grain of corn
"ur-runs, sm.",a rising
"ga-hnáiwjan, wv., hnáiwjan, wv.",abase
"saljan, wv.",abide
"magan, pret.-pres.",able: be ~
"bauáins, sf.",abode
"bláuþjan, wv.",abolish
"bi, swê, adv. and conj.",about
"skulan, pret.-pres.",about to be
"at-nê£jan, wv.",about to occur
"bi-tiuhan, sv.",about: go ~
"iupa, ufar, prep. c. acc. and dat., ufarô, adv. above",above
"iupana, iupaþrô",above: from ~
"bláuþjan, wv.",abrogate
"ga-þarban, wv.",abstain from
"managdûþs, sf., ufar-fulle wf.",abundance
"ufar-fulls, adj.",abundant
"miþ niman, niman, sv.",accept
"anda-nêms, adj.",acceptable
"waúrstw, sn.",accomplishment
"raþjô, wf.",account
faúra,account of
"glaggwô, adv.",accurately
"faírina, sf., us-qiss, sf., wrôhs, sf.",accusation
"faírinôn, wv., wrôhjan, wv.",accuse
"bi-ûhts, adj.",accusmed
"uf-kunnan, wv.",acknowledge
"báitrs, adj.",acrid
"dêþs, sf.",action
"ana-áukan, sv., áukan, sv., bi-áukan, sv.",add
"nadrs, sm.",adder
war,adj. wary
"bi-swaran, sv.",adjure
"ráisjan, wv.",adjust
"reikinôn, wv.",administer
"áistan, wv.",adoration
raetew(i)an,adorn
hôrinônde pres. part. fem.,adulteress
"hôrinassus, sm., kalkinassus, sm.",adultery
"hôrinôn, wv.",adultery: committ
"bôta, sf.",advantage
"qums, sm.",advent
"anda-staþjis, sm.",adversary
râtan,advise.
"waíhts, f.",affair
"aglô, wf., wunns, sf.",affliction
"faúrhts, adj.",afraid
"bi-þêh, adv.",after that
"aftumists, adj.",aftermost
"bi-þê conj., bi-þêh, adv.",afterward
"aftra, adv.",again
"bi, du, prep. c. dat., wiþra, prep. c. acc.",against
"wiþra-waírþs, adj.",against  .
"áiws, sm., alds, sf., ealdor, us-alþan, sv.",age
"alþeis (comp. alþiza) adj., faírneis, adj.",aged
"us-gáisjan, wv.",aghast
"sama-leiks, adj.",agreeing together
"luftus, sm.",air
eli-lent,alien
"ga-leikô, adv., ga-leiks, adj., leiks, suffix, sama-leiks, adj.",alike
"qius, adj.",alive
"áin-£arjiz-uh, indef. pr., alls, adj.",all
"us-láubjan, wv.",allow
"all-waldands, sm.",Almighty: the ~
"áins, num., sundro, adv.",alone
"and, prep. c. acc.",along
"ju-þan, adj., ju, adv.",already
"áuk, conj., jah, conj., swa, swah, adv.",also
"ealdor, hunsla-staþs, sm.",altar
"in-máidjan, wv.",alter
jabá conj.,although
"alakjô, adv.",altogether
"in áiwins, simbles,, sinteinô, adv.",always
"us-films, adj.",amazed
"af-sláuþnan, wv., us-geisnan, wv.",amazed: be ~
"faúrhte wf., us-filme wf.",amazement
áin-falþe wf.,amiable
miþ tweihnáim markôm,amid the two boundaries
"hindar, in, prep. c. acc., miþ, prep. c. dat.",among
"sinista, adj.",an elder
"jah, conj., þar-uh, conj.",and
"naúhuþ-þan, adv.",and also
jaþ-þê conj.,and if
"nih, conj.",and not
"aggilus, sm.",angel
"aglô, wf., môþs sm.",anger
"môdags, adj., þwaírhs, adj.",angry
"hatizôn, wv., neiwan, sv.",angry: be ~
"aggwiþa, sf., agliþa, sf.",anguish
dius sn.,animal: wild ~
"ga-taíran, sv.",annihilate
"ga-swi-kunþjan, wv., ga-teihan, sv., us-qiþan, sv.",announce
"salbôn, wv.",anoint
"ga-salbôn, wv.",anoint.
"spráutô, adv.",anon
"aljis, adj.",another
"and-hafjan, sv., and-waúrdjan, wv., anda-hafts, sf., anda-waúrd sn.",answer
"beidan, sv. c. gen., faúr-sniwan, sv.",anticipate
"kara, sf.",anxiety
"ga-drôbnan, wv.",anxious
"drôbnan, wv.",anxious: become ~
"sundro, adv.",apart
"gibla, wm.",apex
"af-guþs, adj.",apostate
apaústaúlus sm.,apostle
"us-geisnan, wv.",appalled: be ~
"at-áugjan, wv.",appear
"ga-baírhteins, sf., ga-kunþs, sf., hiw sn., siuns, sf.",appearance
"ana-lageins, sf.",application: an ~
"ga-satjan, wv., ga-waúrkjan, wv., ráidjan, wv.",appoint
ga-ráiþs adj.,appointed
"dáiljan, wv.",apportion
"ga-fâhan, sv.",apprehend
"ana-qiman, sv., nê£jan sik, wv.",approach
"ga-kiusan, sv.",approve
"ga-tils, adj.",apt
"ga-têmiba, adv.",aptly
"fêra, sf.",area
"ur-reisan, sv.",arise
kume imper.,arise!
"arms, sm.",arm
"harjis, sm.",army
"arômata, pl.",aromatics
bi,around
"ana-qiujan, wv.",arouse
regnian,arrange.
"qiman, sv.",arrive
"swê, adv. and conj., þan, rel. part.",as
