Other,English
's Fleisch,meat
's Glãs,the glass
's Hüs,house
's Mësser,the knife
's Obscht,the fruits
Ard,Earth
Artischo,artichoke
Aussprache,Prononciation
Banaan,banana
Baum,tree
Beckerej,bakery
Beer,pear
Bejlise,iron
Berriochs,yak
Birscht,brush
Bläiwiss,pencil
Bubbele,baby
Buckel,hill
Buckelochs,zebu
Burri,castle
Butter,butter
Bãlle,bullet
Bãrãbli,umbrella
Bööch,book
Delfin,dolphin
Drãche,dragon
Dãmebrëtt,checkerboard
Dãmpfer,ship
Däi,day
Dëller,plate
Dënkmãl,monument
Düb,pigeon
Eichel,acorn
Eierküeche,pancake
Elefãnt,elephant
Engel,angel
Ent,duck
Felse,rock
Fernglãs,twin
Filosch,landing net
Firr,fire
Fischer,fisher
Fischreijer,heron
Flint,rifle
Flosse,fin
Frosch,frog
Frài,woman
Fãde,thread
Fãhne,flag
Fãrnkrüt,ferns
Fãss,barrel
Geier,vulture
Ginschter,broom
Grammatik,grammar
Gëërscht,barley
Hecht,pike
Heid,moor
Heidekrüt,heather
Herrgottskäferle,ladybird
Holzschüeh,clog
Hundehiisel,dog house
Hãmmel,sheep
Hãmmer,hammer
Hãnddüech,napkin
Hãs,hare
Hüehn,hen
Hüp,horn
Hüs,house
Hüüs,house
Ill,owl
Imm,bee
Indiãner,indian
Isebãhnwawe,wagon
Iwung,exercise
Kescht,chestnut
Kind,child
Kinderkütsch,baby carriage
Kirichdurm,bell-tower
Knopf,knot
Kompãss,compass
Kopfekisse,pillow
Korb,basket
Kornblüem,cornflower
Kriz,cross
Kãmel,dromedary
Kãnguru,kangaroo
Kãnon,cannon
Kãschte,cabinet
Käs,cheese
Küeche,cake
Küh,cow
Leiter,scale
Lit,people
Lãmp,lamp
Lãppe,rudder
Maidel,girl
Mascht,mast
Meer,sea
Metz,butcher shop
Mischt,mistletoe
Mond,moon
Muschel,mold
Mànn,man
Mööf,seagull
Mülwëlfer,mole
Müs,mouse
Nabel,Fog
Nescht,nest
Nilpfërd,hippo
Pfif,whistle
Pfiff,pipe
Pfifholter,butterfly
Plãkãt,poster
Rehgeiss,gazelle
Ring,ring
Ros,rose
Ross,horse
Rotrãhn,beet
Rumpf (vum Schiff),ninepin of the boat
Rãkeet,gushed
Rãsemäjer,lawnmower
Rëche,rake
Schepfleffel,suspicious
Schieler,pupils
Schiff,boat
Schiff fãhre,to sail
Schiffele,boat
Schilf,reeds
Schlitte,sledge
Schnee,snow
Schnëck,snail
Schrüwezejer,screwdriver
Schwälmele,swallow
Schwërtlilje,iris
Schãlter,switch
Schãmpu,shampoing
Schüelbüe,pupil
Schüelmãmsell,school teacher
Seeleeb,sea lion
Sehnitz,district
Seif,soap
Sejelschiff,sailboat
Spiejel,mirror
Spielding,toy
Spranz,watering-can
Springbrunne,spay of water
Spãrichel,asparagus
Staubsüger,vacuum cleaner
Stier,bull
Strãnd,beach
Stërn,star
Sunn,sun
Sãck,bag
Sãrdinel,sardine
Sãwel,sword
Säj,saw
Süssettel,lollipop
Tennis- Schläjer,racket (of tennis)
Tomãtt,tomato
Triiwel,grape
Trummel,drum
Trumpet,trumpet
Trëëchter,funnel
Tülipã,tulip
Ufer,strand
Unterhessle,briefs
Vergreeserungsglãs,gnarl
Vöjelstrüss,ostrich
Walschgüller,gobbler
Walschkorn,corn
Wawe,car
Wecker,wakening-morning
Wildsöj,boar
Wirfel,thimble
Wirschtle,the sausages
Wirthüs,restaurant
Wissele,weasel
Wolik,cloud
Wortschatz,vocabulary
Wàsser,water
Wãddel,tail
Wãlfisch,whale
Wãsserhãhn,faucet
Wãsserjumpfer,dragonfly
Wäj,path
Wëll,wave
Wëtterfahnel,weather vane
Wööj,balance
Wüüschte,desert
Xylofon,xylophon
Yaurt,yogurt
Zebrã,zebra
Zindwirmel,firefly
Zãhn,tooth
Zãhnpasta,dentrifice
Zãhnãrzt,dentist
aganzeriwe,many
ahnfàgs jänner,before january
aldilir,hackneyed expression
alewil,constantly
allegebot,has all tip of fields
april,april
arweitzdàà,workday
assa,eat
augscht,august
aurevouar,goodbye
awe,eyes
aù,as
b'süeche,to visit
babeldeckel,cardboard
baberlebab,that's what you think
baboul,muzzle
baïz,bar
beck,baker
benutze,to use
besser,better
bhen,attic
bibbel,"girl, chick"
bibel,girl
bibele,chick
bibeleskäs,white cheese
bier,beer
binde,to bind
binànd,together
binànder,together
bischel,handful
biss bàll,has soon
bisàmme,everybody
bisàmme,together
bleuï,torment
bleuïehuschde,whooping cough
bleïeles,cop
bliiwe,to remain
bliwe,to rest
bliwisel,pencil
bloder,bulb
blose,to blow
blâdmâcher,tramp
blèmblèm yèk,mad
blöj,blue
blùttkopf,bald
blûd,naked
brader,oven
bredsch,pout
briele,to scream
brielle,to cry
brodegol,verbal process
broschle,crumbs
brot,bread
brueder,brother
brëche,to break
brüeder,brother
bàbbe,dad
bàbble,speak
bàlle,ballet
bãche,to cook at the oven
bär,bear
bäseles,rover
bèbb,boiled
bïsse,to bite
bùschùr,hello
bûmmer,dog
bübig,mess
d' Bäre,bears
d' Daller,the plate
d' Dãss,the cup
d' Fisch,the fishes
d' Flãsch,the bottle
d' Frau,woman
d' Geischter,spirits
d' Gãwel,the fork
d' Hieser,houses
d' Krãnkeschwester,the nurse
d' Männer,men
d'Hãnd,hand
d'Händ,hands
d'heim,at home
d'ledscht woch,last week
d'nächscht woch,next week
da hésch,hold
de Bür,the agriculturist
de Dokter,the physician
de Fotogrãf,the photographer
de Geischt,spirit
de Käs,cheese
de Moler,the painter
de Mãnn,man
de Mürer,the mason
de Schriner,the woodworker
de Schunke,ham
de fisch,fish
de letschd monet,last month
de monet,this month
de nägscht monet,next month
de ältscht,oldest
deig,dough
deigaff,baker
denn,therefore
dermel,"stupid, imbecile"
dezëmber,december
dibble,to trot
dienschdàà,tuesday
diner,your
dir,dear
disch,table
dischel,stretcher
diss johr,this year
djockel,silly
do,here
do,there
dobe,paw
doch,"in spite of all, when same"
doch,yet
doisigeinundert,one thousand and one hundred
doisigzweihundert,one thousand and two hundred
doizig,one thousand
dolle,imbecile
dort,over there
dredle,measles
dregschlâbes,salt type
drei mohl,three times
drei monet làng,during three months
dreiedrisig,thirty three
dreiezwanzig,twenty three
dreihundert,three hundred
dreij,three
drittzehn,thirteen
driwel,grape
drizig,thirty
drâwere,marc
dréttel,a third
drëcket,salt
drüsse,outside
dudzent,a dozen
dutzed,dozen
dànte,aunt
dãnze,to dance
däjlich,daily
dérlebse,beets
dërfe,to have the right of
dùnnerschdàà,thursday
dûmle,hurry yourself
dü bisch,you are
dü bisch...g'sinn,you were
dü bisch...worre,you turned
dü hesch,you have
dü hesch...g'hett,you had
dü wursch,you turn
düen,to make
e mohl,once
einedrisig,thirty one
einezwanzig,twenty one
eins,one
elsässich,"Alsatian (the language), Alsatian"
eltere,parents
em e johr,in one year
em septëmber,in september
ends woch,weekend
endz märz,at the end of march
er esch en xxx bgebohre,he born in XXX
erscht,first
erûmdâbbe,to wander
everzwärisch,"shortcoming (of it), shortcoming"
ewermorje,the day after tomorrow
ewwerschnâbt,crazy
ferdi,apron
ferie,vacation
fierdàà,hollyday
filme,to shoot
finde,to find
finedel,t-shirt
fir vierzehn daj,for fifteen days
firlefanz,fantasies
firlefâns,whim
flichte,to flee
flieje,to fly by plane
flishhulder,butterfly
flâde,slice of bread
fraid,joy
frechdâgs,brash
freid-mi,delighted
freidaà,day off
fridàà,friday
friejer,once
friejjohr,spring
frësse,to eat (animals)
fröje,to ask
fufzehn,fifteen
furtgehn,to leave
fàhre,to roll
fàscht,nearly
fãhre,to roll by vehicle
fãlle,to fall
fãnge,to catch
fäje,to sweep
fènfdoisig,five thousand
fénf,five
fùfzig,fifty
g'frésse,received of the strokes
g'schwischter,brothers and sisters
g'sùnd,in good health
geburtzdàà,birthday
gedäschdelmächdel,scheming
gehn,to go
gehre,knees (to take on)
gemoddelt,dressed up
genau,exact
gerabeldfol,archipel
gescht,yesterday
gettel,godmother
gewehne,to win
gewinne,to win
gfedztbibel,beautiful girl
gigger,jail
gitzgrawe,miser
gleberle,soles of wood
gledzeri,shining
glouck,mother hen
gläser,glasses
glïche,to resemble
gosch,muzzle
grefel,pencil to slate
gridzkimme,bad topic
griserli,immensely
griwle,to tickle
grizefixe,good blood
gros,big
grossbàbbe,grandfather
grosseltere,grandparents
grossmàmme,grandmother
grâb,raven
grãwe,to dig
grächerle,let's eat
grésgrämi,grumbler
gscht johr,next year
guet,good
gutzle,candies
gëll,this is not?
gënn,to give
gërn,gladly
gùt,good
gücke,to watch
güet,good
güet mersi,well thank you
güet'nàcht,good night
güete morje,hello
güete-n-owe,good evening
hambfele,affected of
heisse,to be called
herr,gentleman
herschaft noch,good blood
herz,heart
hile,to cry
hille,to cry
hin,how
hit,today
hitt,today
hoch,tall
horiche,to obey
hornogs,stupid
hornùng,february
hundert,one hundred
hunderteins,one hundred and one
hàlb,half
hãlte,to stop
häleft,a half
härisel,skinny
hëlfe,to help
hübse,to jump
hüpse,to jump
ich ben xxx johr alt,I have xxx years
ich bin,I am
ich bin...g'sinn,I was
ich bin...worre,I turned
ich hãb,I have
ich hãb...g'hett,I had
ich redd nitt gued elsässich,I don't speak well Alsatian
ich versteh,I understand
ich versteh nitt,I don't understand
ich wurr,I turn
ihr hãn,you have (pl)
ihr hãn...g'hett,you had (pl)
ihr sinn,you are (pl)
ihr sinn...g'sinn,you were (pl)
ihr sinn...worre,you turned (pl)
ihr wëre,you turn (pl)
im dàà,during the day
in de woch,during the week
in dreij dà,in three days
insel,island
iwwer d' Stross gehn,to cross
iäschde,to hurl down
jedes jorh,every year
jetz,now
johnhundert,century
johr,year
jäde,to hoe
jänner,january
jäschde,to bustle
jùng,young
jüli,july
jüni,june
kaes,cheese
kar,pan
kaschde,cabinet
kaufe,to buy
ken,not of
kidere,to laugh stupidly
kirich,church
kischekänsdscherle,kitchen buffet
klaan,small
klai,little
klàss,class
klâbs,grain
knerbs,small man
knäckes,youngster
knètch,accordion
koch,cooker
koche,to cook
komme,to come
kudelmudel,chaos
kurz,short
kussin,"cousin (f), cousin"
kussä,cousin
kânsesdriwle,currants
kâscht,attic
kãlt,cold
kächele,kit
képf,head
kérwéch,brush
kéïje,to fall
kënne,"to know, to can"
kùmme,to come
kûdelmûdel,mess
küdsch,baby carriage
kürpfücher,impostor
kütt,furrow
lade,shutter
laufe,"to run, to walk"
lehre,to learn
lehrer,teacher
lehrere,schoolmistress
leje,to be lying
licht,light
lieb hãn,to like
lieb hän,to like
liewer,more gladly
lindûsch,sheet
lischt,funeral
lisli,low voice
liwele,door
lonn,to let
làng,long
lâd,limp
lãche,to laugh
lãng,long
lãngsãm,slow
läse,to read
lébschder,engaged
lër,emptiness
lëse,to read
löje,to watch
lüje,to watch
lüser,brat
lüüt,loud
m'r,one
mai,may
maschugge,mad
maîdele,little girl
maï,may
medlesdrene,middle
meh,more
meischte,most
merdriwel,raisin
messe,knife
mickes,fantasies
middàà,midday
min,mine
miner mànn,my husband
minfäje,"equal, equal that puts"
mini frau,my wife
minsexs,indeed
mir hãn,we have
mir hãn...g'hett,we had
mir sinn,we are
mir sinn...g'sinn,we were
mir sinn...worre,we turned
mir wëre,we turn
mitte hornung,in the middle of february
mittwùch,wednesday
mole,to paint
mondàà,monday
morje,morning
morje,tomorrow
mumfel,plugged
màche,to make
màdàm,lady
màmme,mom
màmsell,miss
mâslaidi,melancholic
mäje,to reap
märz,march
mësse,to measure
mômbits,nonsense
mùmbitz,nonsense
mùnter,awake
mûms,mumps
müen,to fall
nein,no
nejer,new
neschdkützer,small last
netkir,uncertain
nie,never
nin,nine
nind,ninth
ninzeh hundert ein un àchtzig,1981
ninzeh hundert nieneninzisch,1999
ninzehn,nineteen
ninzig,ninety
nitt wisse,to hesitate
noch,again
noht,near
noochmiddàà,afternoon
nott,note
novëmber,november
nàatür,nature
nàcht,night
nàmme,name
nähter,nearer
nämlich,indeed
nätt,pretty
nëmme,to take
nùmme,only
nûmme,only
nüele,to rummage
nüss,out
oktower,october
owe,evening
paar,a pair
pensionniert,retired
pfetter,godfather
pfetze,to pinch
pfife,to hiss
pfiffedeckel,nothing
pläsier,"plesure, pleasure"
pressiert,hurried
prozent,a percent
quatsch,nonsense
radio,radio
raeje,rain
redde,to speak
redde'nr fransesch,speak to yourselves French
ridere,to tremble
rischtig,just
rite,to go on horseback
rot,red
rote,to guess
ràpple,to resound
rãse,to speed along
rädsch babble,to chat
rïsse,to pull
rûznâs schnûdelnâs,runny-nosed
rüde,downpour
rüe,rest
rüefe,to call
s'bâdschd,to rain strong
s'lédschd johr,last year
saawe,to say
saberlot,darn
schalkarisch,barrow
schbene,to derail
schbidze,to spit
schbrènzkan,watering-can
schbârre,"to have a grain, grain"
schdentz,macho
schdibbe,"to frequent love, to frequent (love)"
schdibse,"to rob, chipper"
schdrosegrâwe,gutter
schdräl,comb
schdrüwler,fringed broom
schdubs,small man
schdèi,staircase
schdüsche,chipper
schen,"beautiful, beauty"
schendmarre,shrew
scheschter,sister
schier,barn
schiesse,to pull a shot
schine,to shine
schlawe,to beat
schlofe,to sleep
schlubf,knot
schlâbe,slippers
schlègel,jam
schmecke,to feel
schmeismüg,green fly
schmisse,to throw
schmutz,to kiss
schmutze,to kiss
schmïsse,to throw
schniide,to cut
schnitze,to blow himself
schnàbbe,to yawn
schnëll,fast
schnûfelrûdsch,harmonic
schnüfe,to breathe
schocolà,chocolate
schriwe,to write
schwimme,to swim
schwätze,to chat
schwèwéheltzle,matches
schwër,heavy
schàffe,to work
schëlle,to sound
schëlte,to roar
schùnn,already
schûnge,leg
schüel,school
schüelmàmsell,schoolmistress
sechs,six
septëmber,september
sevet,seventh
sevezig,seventy
sext,sixth
sich ãnzeje,to dress
sicher,sure
sidebridel,precious
sie hãn,they have
sie hãn...g'hett,they had
sie sinn,they are
sie sinn...g'sinn,they were
sie sinn...worre,they turned
sie wëre,they turn
simbel,silly
singe,to sing
sitze,to be sat
solle,have to
spiele,to play
spitzbüe,urchin
spotjohr,fall
springe,to jump
stehn,to be standing
stinke,to stink
stosse,to knock
strossbùri,strasbourg
strïche,to caress
stàdt,city
stèmmt's,is this exact
stëche,to prick
stëcke,stick
stëckelbùri,strasbourg
stëhle,to fly
stërwe,to die
swei,two
sàmschdàà,saturday
sähn,to see
sèschzehn,sixteen
sèschzig,sixty
séve,seven
sévezehn,seventeen
sëhn,to see
sùmmer,summer
sùnndàà,sunday
süames,sour
sübredel,bread
süfer,clean
süffe,to drink with excess
telefon,telephone
trawe,to carry
trenka,to drink
trinke,to drink
trëffe,"to meet, to reach"
trürig,sad
uf,open
ufpumpe,to inflate
undertdrizig,one hundred and thirty
undertzehn,one hundred and ten
undertzwanzig,one hundred and twenty
undertzwei,one hundred and two
unkel,uncle
uschtig,cheerful
velo,bicycle
verbiete,to defend
vergësse,to forget
verliere,to lose
verschrecke,to be afraid
verschwinde,to disappear
verstehn,to understand
verstehn'r's,understand yourselves
vie àlt sin ehr ?,how old are you?
viel,many
vier,four
viert,fourth
viertel,one quarter
vierzehn,fourteen
vierzig,fourty
voll,closed
voll,full
vor zwei dà,for two days
vor zwei johr,2 years ago
vornàmme,first name
wackes,kid
wamschd,potbelly
was,how
was esch's,that is what it is
was leïdzmérân,import myself little
was soll des heisse,that wants to say this
waserschdan,sink
welle,to want
weller,which
weller otobüs geht uf,what bus goes to
welli,which
wenn,if
wenn,when
wenn fàngt … àhn,when begins…
wenn geht … züe,when firm…
wenn geht … ùff,when opens…
wer esch's,who is that
wie,"how, where"
wie geht's,how that goes
wielàng,how long
wieviel,how much
wieviel koscht des,how much costs this
winter,winter
witz,joke
witzig,amusing
wo,where
wo esch,where is
wo sin,where are
wohne,to live
worùm,why
wàrte,to wait
wàs,what
wâsserbarble,chickenpox
wãchse,to grow
wãrm,hot
wãs mãche,to hesitate
wäsche,to wash
wèckseljohr,bissextile
wéschd,ugly
wëgwërfe,to throw to the trash can
wër,"to become, who, to turn"
wërfe,to throw
zehn,"ten, theeth"
zehndoisig,ten thousand
zehnt,tenth
zeichne,to draw
zeje,to pull
zetter jüni,after june
zuckerle,beets with sugar
zudele,bad girl
zwanzig,twenty
zwei,two
zwei doisig ein,2001
zwei doisig zwei,2002
zwei doizig,2000
zwei mohl,two times
zweidoisig,two thousand
zweiedrisig,thirty two
zweiezwanzig,twenty two
zweihundert,two hundred
zweitt,second
zwäl,wipe hands
zwélf,twelve
zwéllef,dozen
zédder,since
zéweles,bad girl
zü,to close
Ãal,eel
Ãbrikos,apricot
Ãcker,field
Ãdler,eagle
Ãmbos,anvil
Ãmeis,ant
Ãnker,anchor
Ühr,watch
àcht,"eight, eighth"
àchtzehn,eighteen
àchtzig,eighty
àlles,all
àllewil,still
àls,sometimes
àlso,so
àlt,old
ànder,other
àrm,poor
àrweit,work
àwwer,but
àwwer,however
ãbtrickle,to wipe
ãm beschte,best
ãm liebschte,of preference
ãm meischte,most
ãm nähtschte,nearest
ãn,lit
ãnnefãlle,to fall
älter,older
äx,ax
élef,eleven
ër/sie/ës het,he has
ër/sie/ës het...g'hett,he had
ër/sie/ës isch,he is
ër/sie/ës isch...g'sinn,he was
ër/sie/ës isch...worre,he turned
ër/sie/ës wurd,he turns
ërne,to harvest
ësse,to eat
ùm well zitt,at what time
üniform,uniform
ürn,urn
üs,extinct
