Other,English
-ba,starting an action
-bago,completing the action
"-bu, -bü",a past continuous action
-go,completed the action
-kwazi,as well
"-kwazi, kwaa",also
"-la, -le",completed action
-lu,intensification of the action
"-ra, -re, -tara, -tere",action in the past
-re,present continuous action
-ri,past completed action
-ta,brings an action to completion
Asusu Igbo,Igbo
Bata n'ime onye ahïa,Come inside customer
Chi,God
Da alü,Well done
E metu nam ebe ahu!,Don't touch me there!
Ego ole ka m ji gï,How much do I owe you
Ego ole?,How much?
Esogbuna; weta garri,Don't worry; bring the garri
Ha ncha bü naira iri na abüö,That is 12 naira
I were agwa?,Do you have beans?
Ka e mesïa; ka odi oge özö,Good-bye; till next time
Kedu ebe a ne re mmanya?,Where is the bar?
Kedu ebe mme laru ula?,Where is my room?
Kedu oshimili?,Where is the beach?
Nye m mmiri.,Give me water
Ofea törö ütö,The soup is tasty
Oge özö; ga-bü udu mmiri,Next period; it is rainy
Olee etu i si ere anü?,How do you sell meat?
Olee maka üböchï taa,How is the weather today
Olee üdï nrï unu were?,What kind of food do you have?
Tinye otu anü naira atö,Put one meat worth of 3 naira
Tinyekue ofe,Bring more soup
Were ego,Take the money
Were ya,Have it
Were ya,Take it
Weta afere,Bring your plate
Weta garri naira asaa,Bring garri worth of 7 naira
"a, ihea, nkea",this
abalï,night
abalï öma,good-evening
"abua, abüö",two
abïara m ïlü ölü,i have come to work
"afa, aha, aha",name
afere,plate
afo,stomach
afüfa,garden eggs
agbe aka,arm
agha,war
agu,lion
agwa,beans
"agwö, agwö",snake
aha m bü emeka,my name is emeka
ahia,market
"ahö, arö",year
ahü,body
ajali,red earth
"ajali, ala",earth
akpa,bag
akpatï nrï,cupboard
akpukwu,shoes
aku oyibo,coconut
akwa,bed
akwa,cloth
akwa,weeping
"akwa, uwe",clothes
akwukwo,leaf
akwukwo edemede,paper
akwukwo ego,printed money
akwukwo eji eje ije,passport
akwukwo ndu,green leaves
akwukwo nri,vegetable leaves
akwukwo ogugu,book
"akwü, uzo",door
akwükwö ögwü,herbs
akükü,edge
ala,floor
ala,ground
"alo, ole, one",how many
alïbasa,onion
ana m aga ölü,i am going to work
ana m alü ölü na gra,i am working in gra
ana-ewe nnuku ikuke,there is a lot of wind
ana-ewe nnuku urukpu.,there will be many clouds
ano,four
"anwu, anyanwü",sun
anwü ga-dï; ma ö ga-dï ökü,there'll be sun and it'll hot
anya,eyes
anya m ji fu gi egbulam,nice seeing you again
"anyasi oma, ezigbo anyasi",good night
anyi,we
anyï,our
anyï buru gï,we carry you
anü,animal
anü,meat
anü öhïa,bush animal
anü öhïa,bush meat
anülï,happy
asaa,seven
asato,eight
ato,three
"atülü, blu",blue
azïza,broom
azü,fish
añuli arö öfüü,happy new year
añuli easter,happy easter
añuli ekeresimesi,merry christmas
añülï,merry
bata,enter
bee,cry
bekee,English
"bi, bi",live
biko,please
"buru, buru",carry
bïa,come
bü,be
che,think
chere,wait
chineke,lord
chukwu,god
chö,want
chörö,intend to
clasï,grade
"dalu, imela",thank you
di,husband
di gï,your husband
di m,my husband
di ya,her husband
dibïa,medicine man
dibïa oyibo,doctor
"dum, ncha, niile",all
"dum, niile",each
"dum, niile",every
"dï, dï be",have the quality of
"e, e mesïa, e mesïa, mgbe ahü",then
"e-e, eee, ehe, eyi",yes
ebe,location
ebe,place
ebe ahü,there
ebea,here
ebee,where
ebee,which place
ebee na gra?,where in gra?
ebee?,where?
ebi m,I live
echi,tomorrow
ede,cocoyam
edo,yellow
egbe,hawk
ego,money
ego ole,how much
ehi,cow
ehihie,afternoon
ehihie,daytime
"ehihie öma, ezigbo efife, imela efife",good afternoon
ekele dili gï,thank you very much
ekpe,left
ekpere,prayer
elekere,clock
elekere,hour
elementrï,primary school
elu,height
enu,top
enwe,monkey
enyi,elephant
enyi m,my friend
esi m na obodo bekee,i come from europe
esogbuna,don't worry
etiti,center
etu,manner
ewu,goat
eze,king
eze,teeth
ezi,genuine
ezi,pig
"ezi n'ülö, ndï be",family
ezi okwu,truth
ezi omume,good behaviour
ezigbo mgbede,good evening
ezigbo nwoke,good man
"ezigbo ubosi, ubosi oma",good day
"ezigbo ututu, isala chi, ütütü öma",good morning
"fa, ha",they
fulifuli,soft and tender
ga,future action
ga-bü udu mmiri,it is rainy season
"gaa, gaba",go
gbaa bölü,play football
gbasaa,dismiss
gbu,kill
gbörödi,water leaves
"gi, i",you
gota,purchase
"gota, züö, züö",buy
gwa,to tell
gwuo mmiri,swim
gwá,tell
gwámgwàmgwám,conumdrum
gámgàmgám,perambulation
gï,your
gïnï,what
gïnï ka ï bïara ime?,what have you come to do?
gözie,bless
"hü, léelè",see
i bi,you live
i kwesiri iweta nche anwü,you need to bring an umbrella
ibia,to come
igodo,key
igwe,iron
ihe,something
"ihe ahü, nke ahü, otu",that
ijeri,billion
ike,strength
ike kwe,maybe
ikpere mmiri,riverbank
ikuke,wind
ila na ato,thirteen
ili,bury
ili na abua,twelve
ili na ano,fourteen
ili na asaa,seventeen
ili na asato,eighteen
ili na ise,fifteen
ili na isii,sixteen
ili na itenani,nineteen
ili na ofu,eleven
"ili, iri",ten
ime,interior
ime obodo,village
imi,nose
ire,tongue
"ire, ree",sell
ise,five
isi,head
isi mgbu,head-ache
isii,six
ite,pot
"itenani, itolu, tógholu",nine
izute,meet
"jee, njem",travel
jesu kristi,jesus christ
ji,owe
ji,yam
jiakpu,cassava
jide,hold
jide,possess
ka,as
ka chi foo,goodnight
ka e mesïa,good-bye
ka mgbe,since
ka omesia or ka odi,goodbye
ka so,like
kama,instead of
kedu,how are you?
"kedu, olee",how
"kedu, olee",which
kodi,bye
kodi,bye-bye
kpee,make a plea
kpörö,bring
"kpörö, wèré",take
kunie,stand up
kuta,fetch
kuzie,teach
kwaa,too
kwuo,say
kwö,carry on one's back
"kwüa, kwüö ügwö",pay
lee anya,expect
"m, mü",I
ma na-adï oyi na abalï,and is cold in the night
ma üzö,go early
mahadüm,university
maka,about
maka,so
maka gini,why
mana,but
mana,whether
mba,no
mba; ana m asü igbo,no; i speak igbo
mbala ji,water yam
mbara,living-room
mbo,nail
mbára ámà,village square
mbü,first
mee,make
mesïa; aga-ewe ököchï,it will be the dry season
mgbakö,adding up
mgbakö,addition
mgbe,room
mgbu,pain
mgbörögwü osisi,roots
mkpisi,fork
"mkpisi aka, mkpuru aka",finger
"mkpisi okpa, mkpisi ukwu, mkpuru okpa",toe
"mma, öma",beautiful
"mma, öma",good
mmanya,beer
mmanya,drink
mmanya,wine
mmanü,oil
mme,red
mmiri,water
mmiri anaghï ezo,rain is not falling
"mmiri, mmiri-ozuzo, zoo",rain
mmuta akwukwo,education
mü na gï buru ya,me and you carry him
müö,learn
n',on
"n', na",at
"n', na",in
n'akükü,beside
n'enu,on top
n'ime,inside
n'okpuru,below
na,within
na ülö ölü,at the office
nari,100
nari ano,400
nari asa,700
nari asato,800
nari ato,300
nari ibua,200
nari ise,500
