Other,English
Alþing,parliament
Alþingi,Icelandic Parliament
Ameríka,America
"Ameríkani, amerískur",American
Atlantshaf,Atlantic Ocean
Bandaríkin,USA
Breska samveldið,British Commonwealth
Bretland,Britain
Bretlandseyjar,British Isles
Dani,Dane
Danir,Danes
Danmörk,Denmark
England,England
Englendingur,Englishman
Evrópa,Europe
Fimmtudagur,Thursday
Finni,Finn
Finni,Finns
Frakki,Frenchman
"Frakki, jakki, kápa",coat
Frakkland,France
Föstudagur,Friday
Jól,Christmas
Jónsmessa,midsummer day
Kanada,Canada
Krít,Crete
Krít,chalk
Laugardagur,Saturday
Miðvikudagur,Wednesday
Noregur,Norway
Sami,Laplander
Sami,Lapp
Svíi,Swede
Svíþjóð,Sweden
Tékki,Czech
abbast,molest
"abbast, ónáða",annoy
af,of
"af hendingu, af tilviljun",by chance
af hverju,why
af kröftum,with great strength
af minni hálfu,on my part
"af stað, burt",away
af tilviljun,accidentally
af ásettu ráði,in cold blood
af ásettu ráði,on purpose
af ástæðum,for reasons
"af því að, því",because
"af, frá, úr",from
"af, við",by
afarstór,huge
afbaka,corrupt
afbaka,distort
afborgun,instalment
afbragð,model
"afbragðsgóður, ágætur, frábær",excellent
afbragðslegur,exceptional
afbrigði,exception
afbrigðilegur,irregular
"afbrýði, afbrýðisemi",jealousy
"afbrýðisamur, afbrýðissamur",jealous
afdrif,destiny
afdrif,fate
affall,outlet
"afferma, landa",unload
afflæði,regression
"afföll, afsláttur",discount
afgangur,remainder
"afgangur, hvíla, hvíld, ró",rest
afgirða,enclose
"afgirða, girða af",fence off
afgreiða,attend to serve
afgreiða,office
afgreiðsla,reception
"afgreiðsla, afgreiðslutörf, afhending",delivery
afgreiðslumaður,shop assistant
afgreiðslutörf,selling
afhenda,deliver
"afhenda, láta af hendi",hand over
afhjúpa,reveal
afhjúpun,disclosure
afi,grandfather
afkasta,accomplish
"afkasta, framkvæma, fremja",perform
afkastalítill,inefficient
afkastamikill,efficient
afkastapróf,benchmark test
afklæða,undress
afkomandi,descendant
afkomendur,descendants
afkvæmi,offspring
afkæla,cool
afl,force
"afl, kraftur",strength
afla,earn
"afla, eignast",acquire
"afla, ágóði, gagn",gain
aflaga,out of order
aflaga,surplus
aflangur,oblong
afleggja,leave off
afleitur,impossible
afleitur,outrageous
afleiðing,consequence
"afleiðing, árangur",result
"afli, grípa, taka til fanga",catch
"aflát, dvöl, stansa, stöðva",stop
afmæli,anniversary
afmæli,birthday
afmælisgjöf,birthday present
"afneita, neita",deny
afnema,abolish
afrennsli,drainage
"afrita, eintak",copy
"afráða, ákveða, ráða",decide
afréttur,highland pasture
afsaka sig,apologise
"afsaka, afsökun",excuse
"afsekktur, afskekktur",out of the way
"afskaplegur, gífurlegur",enormous
"afskekktur, fjarlægur",remote
afstaða,attitude
afstaða,reaction
afsökun,apology
aftan,from behind
"aftan, kvöld",evening
aftansöngur,evensong
aftar,further back
aftra,hold back
"aftra, hindra",hinder
"aftur á móti, hinsvegar",on the other hand
"aftur, bak, hryggur",back
"aftur, koma aftur, skila, snúa aftur",return
afturfótur,hind lef
afturganga,apparition
"afturganga, draugur",ghost
afurðir,product
"afurðir, framleiða, framleiðsla",produce
agi,discipline
"air, baðstofupallur, sky",loft
aka sleða,ride a sleigh
"aka, drífa, keyra",drive
"aka, fara, reið, ríða",ride
akkeri,anchor
akstur,driving
"akur, bali, ekra, tún, völlur",field
"akuryrkja, búnaður, jarðyrkja",agriculture
ala,give birth to
"ala upp, fæða, siða",bring up
"ala, fóðra",feed
alamanak,calender
alda,rounded smooth ridge
"alda, bára, bylgja, hrönn",wave
aldamót,turn of the century
"aldin, ávöxtur",fruit
aldingarður,orchard
aldraður,elderly
aldrei,never
aldrei framar,never more
"aldur, leyti, sinn, stund",time
"aldur, öld",age
"aldurstakmark, aldurstamark",age limit
"aleinn, einn, einsamall, eintómur",alone
algengur,ordinary
"algengur, almennur, hershöfðingi",general
"algengur, almennur, vanalegur",common
"algerlega, alveg",completely
alin,ell
all kinds of,alls slags
allavega,in various ways
alllangur,quite long
allmargur,quite a lot
allmikill,quite great
allmikill,quite some
allra helzt,most of all
"allrahanda, alls konar",of all kinds
"alls slags, allskonar",all kinds of
allslaus,destitute
"allsstaðar, hvarvetna",everywhere
allt,everything
allt annað en,anything but
allt kemur til alls,when all is said and done
allt í einu,all at once
allt í lagi,all right
alltaf,ever
"alltaf, ávallt, jafnan",always
"alltof, of",too
allur,all
allur annari maður,completely different man
allverulega,considerably
allvitur,quite wise
"allólíkur, alls ólíkur",quite different
almanak,calendar
almenn brot,common fractions
almenn jarðfræði,physical geology
"almennilegur, gerð, tag, tegund, vænn",kind
"almennilegur, góður, hollur, vænn",good
almenningur,public
"almenningur, fólk, þjóð",people
alræmdur,notorious
alsiða,customary everwhere
alskrýddur,in full vesments
altari,altar
alull,pure wool
alvara,seriousness
"alvara, alvarlegur",earnest
alvarlegur,serious
alveg,absolutely
alveg,quite
alvitur,omniscient
alúðlegur,cordial
"alúðlegur, vingjarnlegur",friendly
alþjóðlegur,international
alþýða,the common people
alþýða,the public
ambátt,bondwoman
amen,amen
amma,grandmother
ana,rush forward
ananas,pineapple
anda,breathe
"andardráttur, andartak, andi",breath
andast,breathe one´s last
"andast, deyja, drepast",die
andatrú,spiritualism
andhverfa,anticline
andhverfuás,anticlinal axis
andi,spirit
andlaus,insipid
andlegur,clerical
andlegur,spiritual
"andlegur, sálrænn",mental
"andlit, svipur",face
andlitsfarði,rouge
andlitsnudd,facial massage
"andlát, dauði, fráfall",death
"andrá, augnablik, bil",moment
"andskoti, djöfull",devil
"andspænis, andstæður, gagnvart, gegnt",opposite
andstaða,opposition
andstyggilegur,disgusting
andstæða,contrast
andstæðingur,opponent
andstæður,opposed
andvaka,sleepless
andvari,soft breeze
"ankannalegur, einkennilegur, kynlegur",odd
"ankannalegur, furðulegur",strange
annan hvern dag,every other day
annar,another
annar,other
annar,second
annarhver,every other
annarhvor,either
annars flokks,second class
"annars staðar, annarsstaðar",elsewhere
"annars, ella",else
"annars, ella",otherwise
annartveggja,one of two
annast um,provide for
"annast, annast um, gæta",take care of
annað en,other than
annað hús,another house
annað húsið,one ofthe two houses
annað kvöld,tomorrow night
annað slagið,every now and then
"annaðhvort ... eða, ýmist .... eða",either ... or
annaðhvort .... eða,either .... or
annes,promontory
anza,respond
apalhraun,blocky lava
"api, herma eftir",ape
appelsína,orange
apríkósa,apricot
apríl,April
apótek,chemist´s
arftaki,heir
arfur,inheritance
arga,sick
argast í,kick up a fuss
"argur, kross, skerast",cross
arinn,hearth
"arinn, eldstæði, hlóðir",fireplace
armband,bracelet
armbandsúr,wristwatch
"armur, handleggur, vopna",arm
ask,spyrja
"aska, eski",ash
askja,caldera
askur,ash tree
asni,donkey
"asni, auli, bjáni, fífl, flón, kjáni, klaufi",fool
at,stampede
"at, barátta, bardagi, berjast, berjast við, deila, sviptingar",fight
"at, upphlaup",riot
ata,soil
"atburður, atvik",incident
"atburður, atvik, utburður",event
athafnaleysi,inactivity
athafnasemi,activity
athuga,think over
athugasemd,note
"athugasemd, athugun",observation
"athugasemd, hafa orð á",remark
"athöfn, viðhöfn",ceremony
atkvæði,syllable
"atkvæði, kjósa",vote
atlot,caressing
atlot,treatment
"atriði, benda, liður, nes, oddur",point
"atriði, efni, málefni",matter
atvik,affair
atvikast,come about
atviksorð,adverb
atvinna,living
"atvinna, erindi, firma, fyrirtæki, kaupsýsla, starf, viðskipti",business
"atvinna, iðja, starf, verk, vinna",work
atvinnuhættir,types of occupation
atómorka,atomic energy
atómsprengja,atom bomb
auga,eye
augabragð,twinkling of an eye
augabrún,eyebrow
augliti til auglitis,face to face
auglýsa,advertise
auglýsa,announce
auglýsing,advert
auglýsingablað,newspaper devoted to adverts
augnlæknir,eye specialist
auk,besides
auk,in addition to
"auk þess, þar að auki",in addition to that
"auka, aukast, auki, auking, bæta, hækka, hækkun, hvessa",increase
aukast,be increased
"auking, gróður, vöxtur",growth
auknefni,nickname
aumingi,bum
aumingi,sissy
"aumkva, synd, vorkunn",pity
aumur,miserable
aumur,sore
aur,glacial outwash
aur,gravel plain
aur,sandy plain
aurkeila,alluvial fan
ausa,bale
ausa,ladle
ausa,scoop
ausa,spoon
"ausa, dýfa",dip
austur,east
"auðkenna, einkenni, einkunn",mark
"auðmykt, auðmýkt",humility
auðn,desolation
"auðn, eyði",wilderness
"auðn, eyðimörk",desert
"auðna, heppni",good fortune
auðnast,succeed in
"auðsær, auðséður, bersýnilegur",evident
