Other,English
,"difficulty, hardships, defect"
,south
,what
a-ban,urban
a-bandezain,urban design
a-baniti-,urbanity
a-banraifu,urban life
a-banrinyuaru,urban renewal
a-bansupuro-ru,urban sprawl
a-bento,evening
a-bita,arbiter
a-bitore-shon,arbitration
a-cheri-,archery
a-chi,arch
a-chidamu,arch dam
a-chifakuto,artifact (an)
a-chisuto,artist
a-chizan,artisan
a-dento,ardent
a-gairu,argyle
a-garuchekku,argyle check
a-gonomikkusu,ergonomics
a-gyumento,argument
a-kaiba,archiver
a-kaibu,archive
a-kanso-,Arkansas
a-ke-do,arcade
a-keikkusumairu,archaic smile
a-kitekucha,architecture
a-kitekucha-,architecture
a-ku,arc
a-kutou,arc light
a-men,amen
a-mi-,army
a-mi-buru-,army blue
a-mi-rukku,army look
a-mondo,almond
a-mu,arm
a-muchea,armchair
a-muretto,armlet
a-pa-,"airhead, dumb woman"
a-re,measure of area
a-ri-amerikan,Early American
a-rudeko,art deco
a-runu-bo-,art nouveau
a-su,"earth, ground (electrical)"
a-sude-,Earth Day (22.April)
a-sukara-,earth color
a-tifisharu,artificial
a-tifisharuinterijensu,artificial intelligence
a-tikuru,article
a-tisuto,artist
a-to,art
a-todirekuta-,art director
aa,"Ah!, Oh!, Alas!"
abaku,"to disclose, to divulge, to expose"
abanchu-ru,adventure
abange-ru,pre-war
abangyarudo,avant-garde
abara,"rib, rib cage"
abarabone,"rib, frame (of a ship)"
abaredasu,"to grow restive, to begin to act violently"
abaremawaru,"to rampage, run riot"
abaremono,roughneck
abareru,"to act violently, to rage, to struggle"
abareuma,"restive horse, runaway"
abatazura,pockmarked face
abauto,about
abeirabiriti,availability
abekawamochi,rice cakes (mochi) with Kinako
abekku,"together, with someone"
abekobe,"contrary, opposite, inverse"
abenyu-,avenue
abere-ji,average
abere-jigorufa-,average golfer
abikyoukan,two of Buddhism's hells
abirinpikku,Abilympics
abiriti-,ability
abiru,"to bathe, to bask in the sun, to shower"
abiseru,to pour on
abitashion,habitation
abo-to,abort
abokado,avocado
aborijini-,aborigine
abu,horsefly
abunae,suggestive or indecent picture
abunagaru,"to be afraid of, to feel uneasy about"
abunage,possibility of danger
abunai,"dangerous, critical, grave, uncertain, unreliable"
abunakkashii,"dangerous, critical, grave, uncertain, unreliable"
abuno-maru,abnormal
abura,"fat, tallow, lard, oil"
aburaage,fried tofu
aburaase,cold sweat
aburae,oil painting
aburaganoru,to be in good table quality
aburahamu,Abraham
aburajimiru,"to become greasy, to be oil-stained"
aburake,"greasiness, oiliness"
aburakkoi,fatty
aburami,fat meat
aburamushi,"cockroach, hanger-on, parasite"
aburana,rape
aburashou,fatty constitution
aburawoshiboru,"to chew out (id), to repremand severely"
aburawouru,to loaf (particularly on the job) (id)
aburazemi,large brown cicada
abureru,to fail in getting a job
aburu,to scorch
abusan,absinthe
abusorixyu-tizumu,absolutism
abusutorakushon,abstraction
abusutorakuto,abstract (of a paper)
acchaku,crimp
acchakutanshi,crimp contact
acchi,over there (col)
achererando,accelerando
achi-bu,achievement test
achi-bumentotesuto,achievement test
achikochi,here and there
achira,"there, yonder, that"
ada,"foe, enemy, revenge, enmity, grudge, feud, harm"
ada-jo,adagio
adabito,"another person, unrelated person, outsider"
adamu,Adam
adana,nickname
adaputa,adapter
adaputa-,adapter
adaputivu,adaptive
adaruto,adult
adarutoedyuke-shon,adult education
adarutoshoppu,adult shop
adashigokoro,fickle heart
adauchi,"vengeance, retaliation"
adenoido,adenoid
adenouirusu,Adenovirus
adere-do,Adelaide
adesugata,charming figure
adeyaka,"bewitching (uk, an), fascinatingly elegant"
adidasu,Adidas (brand name)
adiosu,"goodbye, carton"
ado,"ad, advertisement"
ado-bi,adobe
adobaisu,advice
adobaiza-,adviser
adobansu,advance(d)
adobansudo,advanced
adobante-ji,advantage
adobante-jiru-ru,advantage rule
adobaru-n,ad-balloon
adobataijingu,advertising
adobataizumento,advertisement
adobencha-,adventure
adohokku,ad hoc
adohokurashi-,ad-hocracy
adoinpakuto,ad impact
adokyanpe-n,ad campaign
adoman,ad man
adomin,admin
adomisshon,admission
adomisshonfuri-,Admission Free
adomitansu,admittance
adonisu,Adonis
adoon,add-on
adoondenwa,add-on telephone
adoonmoju-ru,add-on module
adorenarin,adrenalin
adoresshingu,addressing
adoresu,address
adoribu,ad lib
adovaiza-,advisor
adyu-,goodbye
aegu,"to gasp, breathe hard"
aemono,vegetable side dish
aen,zinc (Zn)
aenaisaigo,tragic death
aenaku,"sadly, tragically"
aenban,zinc etching
aenban,zinc plate
aenbiki,galvanized
aenka,"zinc white, zinc oxide, flowers of zinc"
aenmatsu,zinc dust
aentoppan,photoengraving
aerofuro-to,Aeroflot
aeru,to dress vegetables (salad)
aete,"dare (to do), challenge (to do)"
afea,affair
aforuzumu,aphorism
afuganisutan,Afghanistan
afuka-na,Afrikaner
afuratokishin,aflatoxin
afure,overflow
afureko,after recording (abbr)
afureru,"to flood, to overflow, to brim over"
afurika,Africa
afurika-nsu,Afrikaans
afurikanotsuno,Horn of Africa
afuro,Afro
afurodite,Aphrodite
afurohea,Afro-hair
afurokyu-banrizumu,Afro-Cuban rhythm
afuta-,after
afuta-kea,aftercare
afuta-reko-dingu,after-recording
afuta-sa-bisu,"after (sales) service, warranty service"
afuta-she-buro-shon,after-shave lotion
afuta-suki-,after-ski
afutanu-n,afternoon
afutanu-ndoresu,afternoon dress
afutanu-nshado-,afternoon shadow
agaku,"to flounder, to struggle"
agameru,"to revere, to respect, to worship"
agari,green tea (sushi)
agari,"slope, advance income, crop yield, ascent, rise"
agariba,"landing, landing place"
agaridaka,"revenue, income, receipts, yield"
agaridan,"staircase, doorsteps"
agariguchi,entrance
agarikomu,"to enter, to step in"
agarikuchi,entrance
agarime,"eyes slanted upward, rising tendency"
agarimono,"food offering, yield, waste"
agariori,ascent and descent
agarisagari,"rise and fall, fluctuation"
agariyu,clean hot bath water for rinsing
agaru,"to become prosperous, to be captured"
agaru,to rise
agattari,poor business
age,fried bean curd
age,"rise in price, making a tuck"
ageashiwotoru,"to find fault with someone, to flame someone"
ageba,landing stage
agebuta,"trap door, removable floor boards"
agedashidoufu,deep-fried tofu
agedatami,a tatami finished on both sides
agehanasu,to cut off (the head)
ageita,"movable floor boards, trap door"
ageku,"in the end, finally"
ageku,"in the end, finally, at last"
agemono,deep-fried food
agensuto,against
agensutouindo,against wind
ageoroshi,"raising and lowering, loading and unloading"
agerareru,"to be arrested, to be caught"
ageru,"to lift, to fry"
ageru,"to raise, to fly, to give (an example)"
agesage,"raising and lowering, praising and blaming"
ageshio,incoming tide
agesouba,bullish market
ageta,brought up (e.g. topic)
agete,"all, whole, en masse"
agetsurau,to find fault with
agezu,"every (two days, etc)"
ago,chin
ago,jaw
agobone,jawbone
agorafobia,agoraphobia
agumu,to be tired of doing
agumu,"to get tired of, to lose interest in"
agun,subgroup
agura,"sit cross-legged (i.e., Indian style)"
aguresshibu,aggressive
aguri-mento,agreement
aguribijinesu,agribusiness
agurikarucha-,agriculture
aheddo,ahead
ahen,opium
ahenkutsu,opium den
ahiru,domestic duck
ahisan,arsenious acid
ahondara,"fool, oaf, airhead"
ahorotoru,"axolotl, Mexican walking fish, edible salamander"
ahou,"fool, idiot"
ahou,"fool, simpleton"
ahoudori,albatross
ai,indigo
ai,"joint (pref), associate, accomplice"
ai,love
ai,"together (pref), mutually, fellow"
aiaigasa,share an umbrella
aian,"iron, ion"
aiankurabu,iron club
aiba,favourite horse
aiban,"medium-sized paper, medium-sized book"
aibanku,eye bank
aibetsu,sad parting
aibi-emu,IBM
aibi-ri-gu,Ivy League
aibi-rukku,ivy look
aibi-sutairu,ivy style
aibiki,"date, assignation"
aibin,pity
aibo,"cherish the memory of, yearn for"
aibo,"love, attachment, adoration"
aibori-,ivory
aibori-howaito,ivory white
aibou,companion
aibou,"partner, pal, accomplice"
aibu,"caress, loving dearly"
aiburo-,eyebrow
aiburo-penshiru,eyebrow pencil
aiburo-she-pu,eyebrow shape
aibyou,pet cat
aibyouka,cat lover
aichaku,"attachment, covetous affection"
aichiken,prefecture in the Chuubu area
aichou,pet bird
aichou,"plaintive, mournful melody, minor key"
aichou,sympathetic condolences
aida,"space, interval"
aidagara,relation(ship)
aidaho,Idaho
aidajuu,during
aidaniaru,intervening
aidea,idea
aidentifai,identify
aidentifike-shon,identification
aidentifike-shonka-do,identification card
aidentiti,identity
aidentiti-,identity
aidentiti-ka-do,identity card
aidia,idea
aidiaman,idea man
