Other,English
"-ma, me",interrogative particle
-ma-,not
-ng,an ending of the 2d person
-sy,possess. suffix (3d person)
abajla-,to be cautious
adas-,to err
adym,step
aha,elder brother
ahaš,tree
aj,month
aja-,to pity
ajaq,foot
ajaq,river mouth
ajlan-,to revolve
ajran,kumys
"ajt-, de-",to say
ajyr-,to separate
al-,to take
al-d-y,front
ala,variegated
alang,absent-minded
alang,plain
albyra-,be exhausted
alda-,to deceive
alhys,blessing
alp,hero
alq-yn-,to get short of breath
"ana, ene",mother
ang,wild game
angqaw,fool
ant,oath
anyq,ready
apa,aunt
aq,white
aq-,to flow
"aqsa-, tusa-",to hobble
aqyryn,gradually
ara,space between
arba-,to make magic
arpa,barley
"arqa, arqa, art, keri, syrt",back
art-,carry on back
aruw,clean
arys,thill
as-,to cross a mountain
"as-, ker-, tart-",to hang
asyq,die
at,horse
at,name
at-,shoot
at-,to dawn
ata,ancestor
atan,a castrated camel
atla-,to step
"aw, žylym",net
aw-,to roll over
awdar-,to turn over
"awlaq, žalhyz",lonely
awna-,to tumble
awyr,heavy
awyz,mouth
az,a little
az-,to go astray
azuw,fang
aš,hunger
aš-,to open
ašla-,to graft
aššy,acid
bahlan,a well-fed early lamb
baj,rich
baja-hy,recently
bajpaq,footwear
bajram,feast
bajraq,a prize in horse-race
"bajraq, žalaw",flag
"bal, pal",honey
bala,child
balaq,trouser leg
baldaq,hilt
baldyz,a man's wife's younger sister
balqy-,glitter
balta,axe
baltyr,calf of leg
balyq,fish
baq-,to look after
baqa,frog
"baqyr, žez",copper
bar,there is
"bar-, žür-",to walk
barmaq,thumb
barša,all
bas,head
"bas-, syq-",to press
bastyrma,penthouse
bat-,to sink
batpaq,marsh
baw,bundle
bawyr,liver
baz-n-a,make a decision
bašmaq,shoe
bek,stable
bekire,sterlet
bel,waist
benen,also
ber-,to give
"bet, žüz, žüz",face
bez,swelling
bez-,to shiver
bij,dance
bije,foaled mare
"bijik, ülken",big
bijt,louse
bil-,to know
"bilek, qar, šyhanaq",forearm
bir,one
biz,awl
biz,we
"boj, syn, žota",body
boja-,to paint
"bojan, žiken",a k. of grass
bojaq,dye
bojdaq,young lamb
bol-,to become
"boq, tezek",dung
"bor, por",chalk
bos,empty
"bota, köšek",young of camel
botqa,porridge
"boz, sur",grey
"bu-l, u-sy",this
buha,bull
buhaq,craw
buhaw,string
bujda,wooden nail in camel's nose
"bujuq-, üsi-",to freeze
bujyr-,to order
"bulaq, qujy",well
buldyryq,quail
bult,cloud
buq-,to bend knees
buq-,to lie in ambush
"bur-, bura-",wind round
buršaq,pea
buw-,to tie up
buwaz,pregnant
buwaz-aq,glass for a kerosene lamp
buwra,camel stallion
buwyn,joint
buz-,destroy
buzaw,calf
bylha-,stir up
byltyr,last year
bäjge,horse-race
böge-,plug
böl-,separate
"böri, qasqyr",wolf
börik,cap
böteke,bird's crop
büjen,large intestine
"büjir, büjrek",kidney(s)
bük-,to curve
bür-,to wrinkle
bürge,flea
bürke-,to cover up
bürkit,aquila fulva
bürtik,grain
"chög-, chök-",to kneel down
dahy,although
dajy,uncle
"dasta-, žasta-",to prop on a pillow
dastyq,pillow
dawyl,strong wind
delbe,stagger
dinggek,stump
diz-,to bead
dize,knee
"doha, toha",buckle
"dojnaq, tujaq",hoof
"dongyz, šošqa",pig
duz,salt
"dönggelek, dumalaq, žumry",round
döre-,originate
dübelej,dust-storm
"düz, düze-, tegis, tüze-",level
e-,to be
ege-,to file
egew,file
ek-,to sow
eki,two
el,country
"el, kisi",people
ele-,to sift
elek,sieve
elik,wild goat
eltiri,skin of kid
"emšek, mämmä",breast (fem.)
en,earmark
endi,now
eng,very
engbek,fontanelle
engse,back of the neck
epkin,energy
eri-,to melt
erik,apricot
erin,lip
erke,cockered
erkek,man
ermek,entertainment
ernek,edge (of a dish)
ernek,edge of a dish
es,memory
"es-, es-",twist
esik,door curtain
"esik, žap-",to cover
esir-,to become drunk
esit-,to hear
eski,ancient
"et, et",meat
etek,edge of cloth
ez-,to knead
ešek,donkey
"gebeže, kep-, qabar-, tompaj-",to swell
gez-,walk through
gezik,a cold in the head
göbelek,butterfly
göže,gruel
güjse-,to chew
"gürek, qalaq",shovel
"güres-, keris-",wrestle
güwen,tether
güzen,weasel
"harha, qarha",crow
"harry, qary",old
hary-,to be tired
"hawha, qawha",bucket
haz,goose
herre,bee
"hoš, qošqar",ram
höl,moist
ije,host
ijik,spindle
ijin,shoulder
ijir-,spin
ijis,scent
ijmen-,afraid
ijne,needle
"ijt, köpek",dog
ijter-,hit
il-,to hang on (smth.)
ilmek,hook
inggen,female camel
"ingir, ymyrt",dusk
ini,younger brother
iri,large
"iri-, šir-",to rot
iring,pus
is,deed
"is, tis",tooth
isen-,trust
iz,trace
iš-,to drink
jala,slander
jer,saddle
jongyšqa,clover
"jüj, žik",seam
"kebek, kepek, qavyz, topan",bran
"kebze, kökirek, tös",breast
kegej,spoke
kegirdek,cartilage
"kejkej-, qaqaj-",to bend one's neck
kek,malice
kekir-,to belch
kel-,to come
kelin,daughter-in-law
keme,boat
kemik,spongy bone
kemir-,to gnaw
kendir,hemp
kene,tick
keng,wide
kenges,advice
kenges-,to advise
kep,image
kep-,to dry out
kerege,grating of the yurt
"kerek, žumys",necessity
ket-,to go away
ketik,crack
"kewil, köngil",mood
keš,late
"kijgiz, kijiz",felt
kim,who
kindik,navel
kir,dirt
kir-,to enter
kirpik,eyelash
käši,little
köjlek,shirt
kök,blue
kök,thin straps for sewing
"kök, kök, tüp",root
kökle-,to tack
köl,lake
kölengke,shadow
kölik,harnessed animal
köm-,to bury
kömär,coal
