Other,English
Taqbaylit,Kabyle
Yewwet aqcic,He has beaten a boy
Yewwet weqcic,The boy has beaten
aacciw,slum
aadaw,enemy
aadhes,to sneeze
aaebbudh,stomach
aaejmi,beef
aaekkwaz,stick
aaeqqa,grain
aaettar,begging
aaezzi,condolences
aaggedh,uproar
aaggu,fatigue
aaggun,stupid
aaiban,handicapped
aajmi,taurus
aalaf,food
aalef,"to fatten, to feed"
aalleq,to hang
aaludh,silly
aaludh,stupid
aambwati,brawl
aaqeb,to condemn
aaradh,test
aaredh,"to try, to taste"
aarim,young man
aarri,naked
aarus,snail
aaryan,naked
aass,"to watch, to supervise"
aassas,supervising
aaudiw,horse
aaummu,swimming
aayu,to tire
abaada,especially
abadu,limit
abaghar,beneficial
abaghur,"advantage, profit"
abalag,"couple, pair"
abaligh,sediment
abalini,balinese
abalmud,"pupil, schoolchild"
abalutci,Balochi
abandu,"enclave, concert"
abantu,bantu
abaqraj,"coffee pot, teapot"
abaraw,large
abaraz,concert
abareqqa,track
abarez,concert
abartu,coat
abaski,basque
abaxix,drama
abaynu,treasure
abbaz,arrest
abbaz,"to stop, arrest"
abbazen,arrest
abbelkem,to be atomized
abbic,breast
abbu,smoked
abbuniz,fish
abdammas,mediator
abdar,evocation
abduz,"toilets, water-closets"
abeaauc,bug
abeckid',rifle
abeckidh,rifle
abeckil,sketch
abeddel,change
abeh'nuq,canvas
abehdi,astonishment
abehlus,funeral ceremony
abehnuq,rag
abehri,air
abekkad',sin
abekkadh,sinned
abekkuc,naive
abelghan,volume
abelkam,atom
abelkam-agr'am,atom-gram
abelkim,atomic
abellen,struggle
abellez,ordering
abelludh,acorn
abelyun,"billion, can"
abennan,"inefficient, vain"
abennen,to be vain
abeqqa,slap
abeqqal,grocer
abeqqidh,poster
aberbec,stain
aberdi,coast
aberdud,rearward
aberkan,black
aberkuc,mash
abermellal,albin
aberrani,foreign
aberrazu,depression
aberridh,diarrhea
abettix,melon
abez,to stop
abeââuc,bug
abgez,draft
abghas,courageous
abghur,advantage
abhadh,astonishment
abhaw,blond
abid'ar,veterinary
abidhar,veterinary
abidun,can
abilet',lid
abina,date
abiran,parrot
abirani,parrot
abkawi,monkey
ablal,to be perfected
ablaw,lash
ablegh,volume
ablulagh,global
abnabak,"anonymous, incognito, unknown"
abninan,soft
abra,button
abran,hindrance
abrar,diversity
abraten,button
abreqqes,decoration
abrid,"path, rue, trail"
abrih,announcement
abrir,failure
abrizili,brazilian
abrun,pool
abruri,hail
abruy,"grain, crumb"
abruyan,partial
absil,flavorless
abszisz,grasshopper
abud',basis
abud' aserdasi,military basis
abud'an,fundamental
abudh,basis
abudid,post
abughlu,manger
abuhal,"mad, silly"
abuhali,silly
abuheddad,titmouse
abuhlal,stupid
abujad,"amateur, unskilled, clumsy"
abuklur',chlorinated
abulgar'i,bulgarian
abulivi,bolivian
abulkim,atomized
abumezleg,ominous
abumezleg dir,ominous
abuneggaf,asthma
abuneqqar,thistle
abuneyyiw,naive
aburdu,appetite
aburez,pride
aburkes,basketball
abusari,intermediate
abuukir,goat
abux,soot
abuxxen,soot
abuzeg,boot
abyilurusi,byelorussian
abzim,skewer
acagw,branch
acaraf,"old, very"
acayad',excess
acayadh,excess
acbali,jar
acbayli,jar
accaf,swimming
accaren,nail
acebbub,hairs
acebhan,white
acekkuc,hair
acekkuh,hairs
acelbudh,swelling
acelhab,blond
acelleqluq,bulb
acellex,fragmentation
acellif,accumulation
acelliq,rags
acelqii,rags
acemma,nothing
acemmek,nothing
acemrar,white
acenfar,labial
acenfir,lip
acengu,enemy
acennay,singer
acenti,illegitimate
acentuf,hair
aceqquf,shard
aceqqwer,applause
acer'cur',cascade
acercur,"crest, cascade"
acermadh,device
acerreg,rip
acerrig,crack
acetctcuy,hairs
acetki,pitied
acettul,heredity
acimi,why
acinwat,chinese
ackad',to accelerate
acku,because
ackuk,hair
