Other,English
,"two, new"
-ru,imperative
-tö,a sp. of lark
acu,be tired
ai,good
air,gas
ajoi,a small coin
alem,to munch
ali,servant
am,to stutter
an,one
an the,we
ang,"water-basin, be broad"
anhte,one
anhteng,one
ap,to hand over
asut,to sniff
au,yes
azha,forcibly
ba,"to divine, be tired"
bai,to repeat
bam-bam,cheek
ban,"a division, plant"
ban,"to sow, salver, a division"
bat,odor
be,be useless
bing,to control
bja,to show
bjak,be destroyed
bje,"be useless, measure of capacity"
bjen,be flat and wide
bjeng,"to control, to mock"
bjing,hit with the flat of the hand
bjo,to melt
bjoi,be slippery
bjon,to come
bjong,probably
bju,compose and sing
bo,the head
bo',to uproot
boi,completed
bong,to consult
bra,be scattered
bra',be forked
bram,to seek
bran,become convalescent
brat,to speak
bren,a military drum
bret,grate
brim,be bright
brong,to swell
bru,to destroy
bu,"dwelling-place, be stubby"
bum,"mountain, swell, a story"
bun,"to sprinkle, be angry"
bung-li,breeze
bungkhot,to splice
bungkhu,fence
bà',carry a child on the back
bäni,cloth worn during menstruation
bò',to burst open
bù,to put on shelves
ca,father-in-law
ca',fermented rice
cai,understanding
cam,be decayed
can,far
cang,"be troubled, to fall, be rank"
cap,"bear, to stand"
ce,be broken up
cen,an inch
ceng,be clean
cet,be energetic
cha,good
cha,"to pile, good"
chai,to play
chaing,drum
cham,experiment
cham,saturated
chang,black
chap,"to be on friendly terms, chirp"
che,to know
che-zhu,strong affection
chhjing-phji,a very old mother
chi,a small bird
chi,to urinate
chi',be on fire
chi-jap,a small bird
chim,to taste
ching-zhon,pimples
chingkha,door
chingkhro,a sp. of yam
chingnam,sesame
chingro',a fish trap
chip,stopped up
chit,a small bird
cho,spoon
chok,to pierce
chom,peaked
chong,be puckered
chop,to nag
chop,to wear
chu,to depend
chu',milk
chup,"to close, to suck"
chäba',divine
chäbung,swollen belly
chäcam,be decayed
chäkhan,crab
chäkhji,barking deer
chäkhjon,a fox
chäkhrau,"paddy ready for husking, red ants"
chälen,large kind of cricket
chälun,aching
chämu,mildew
chäna,to extend in time
chängai,an infant
chängo,the rump of a bird
chängum,the root of the tail
chäpha,thin
chäphrö,white
chäphu,smelly
chäru,native beer
ci,abstain from certain food
ci,be cool
ci,drugs
ci',the head-louse
ci-ru,nit
cin,be cool
cing,steeped
cing,to gather up
cip,nest
com,to find acceptable
cong,to remove
cu,"be tired, be stale"
cum,authority
cun,be hanging
cun,to speak
cung,to use
cä-sam,a stranger
cämat,nettle
da,"place, to cast lots"
da',weave
dai,that
dakring,be firm
dan,"bow, to cut, be worth, to appear"
dang,"be choked, the buttocks, to pile"
dap,ashes
dau,thick
daí,to grub
dem,"be filled to the top, to mark"
den,chastise
di,"make, testicle"
di',"pluck, pot"
dik,to put
din,to kill
ding,rectilinear
ding-gram,a forest
dingdung,length in opposition to width
