Other,English
'a,hand
'a-bLa,arm
'ä-ghä-,hold
'af,sweet
'atän,to raise
'ej,bad
'q:wäsh'a,cavern
'wä,mouth
'wa-,excessive
'wä-,to be heard
'wä-ghwa,smoke
'wan,to tan
'wäna,stake
'wãsh'a,hill
-'a-,to be
-'wä-,to prick
-0,imperative
-0,nominative (absolute)
-0,present
-bä,a demonstrative stem
-bža,a flock of sheep
-cha,instrumental
-da,a demonstrative stem
-da,locative in pronouns
-da,a demonstrative stem
-f,potentiality
-gha,denominative abstract
-gha-,past perfect
-ghan,probability
-j,denominative locative
-jä-n,to sleep
-jaq:an,to bite
-kwa,suffix of Nomina Agentis
-Lä,lie
-m,"conditional, ergative determ."
-ma,conditional
-n,future
-nša,privative suffix
-pas,step-relative
-q:,large
-q:a,determinative
-r,nominative determ.
-r,present participle
-ra,adverbial suffix
-ra,conjunctive particle
-rej,conditional
-s,perfective and future suffix
-sän,sit
-sh'a,evening
-šwa,suffix denoting place
-šxwa,big
-t,imperfective suffix
-tam,conditional
-tama,conditional
-u,continous
-w,person
-wa,gerund
-xa,plural
-xar,plural
-z-,general subj. class marker
-žä-,to move back
-zazä-n,to tremble
-zej,young
0-,3d p. subj. trans.
a,3d p. subj. trans.
ä,a demonstrative stem
a-bä,a demonstrative stem
a-žämšä,onion
ada,father
ãdãq:a,cock
ana,mother
ar,this
aža,billy-goat
ba,kiss
ba-,many
bäda,hard
bagw,pimple
bäj,teat
baja,fly
baLaca,shaggy
bäLäm,riches
bänža,navel
baq,shed
bäq:ow,post
baq:w,place between hips
bawan,to breathe
baxa,steam
baža,fox
bgä,mountain
bgä,waist
bgha,eagle
bgha-,to thatch
bghwa,animal carcass
bghwa,wide
bghwä,side
bja,fish
bjä,chisel
bLa,snake
bLa,arm
bLä,seven
bLa-,burn
bLa-gha,near
bLän,wall
bow,cattle-shed
bza,"language, horn"
bzä,"yoke, female"
bža-ghw,stake
bzä-ja,flea
bzä-n,cut out
bžä-n,to count
bza-pa,precipice
bza-ps,bow-string
bza-q:wa,horn
bžan,goat
bžandaxw,starling
bzäsän,to hide
bžej,plane-tree
bzij,ray
bzijbzij,ray
bziz,span
bzuw,bird
ca,"louse, mane"
cä,hair
cä-kw,little
cä-xw,person
cäc,kid
cacha,nit
cäv,bug
cha,tail
chä,handle
cha-cä-n,to lay eggs
chä-f,dark
cha-h,long
cha-n,crack
chä-n,to step
chägwäwgw,cuckoo
chäL,hut
chäLä-n,feel ticklish
chan,knucklebone
chas,short
chäs,smithy
chas',quilted jacket
chat,sheep-fold
chaw,fence
chazazä-n,to tremble
chow,fence
da,"walnut, we"
da-,pre-verb in
dä-ghwa-n,to steal
da-ghwrägh,eagle-owl
da-ghwräghm däghwräghw,eagle-owl
da-n,to sew
da-r,an interrogative stem
dada,grandfather
däda,most
dägha,sun
daghwa,of high quality
daha-šxä-n,to laugh
dãLan,to threaten
dãma,wing
daq:a,block
därq:wa,wound
däsa,gold
däzän,silver
de,we
di-ji-n,grow numb
fa,"skin, you"
fä,good
fä-,object version despite will
fa-'wä-n,to get sour
fä-ca,black
fä-j,dirt
fä-La,foreleg
famäs,coal
fandära,barrel
fäz,woman
fe,you
fow,honey
ga,"season, testicles"
gha,time
gha-,causative
gha-'wä-La-n,to lure
ghaxwän,to graze
ghwa,burrow
ghwa-bža,brown
ghwa-gw,road
ghwä-n,get dry
ghwa-z,yellow
ghwäbža,sickle
ghwäda,gadfly
ghwaghwa-n,to rumble
ghwäm,thick
ghwäs,iron
gwä,vehicle
gwä,heart
gwa-gha-n,suppose
gwäd,vulva
gwaj,wheat
gwana,bough
gwäp,group
gwaran,enclosure
gwarta,flock of sheep
gwaxwa,fork
gwäzghaz,hidden anger
h'a,barley
h'ada,dead body
h'ambäläw,worm
h'andär-q:ãq:wa,frog
h'anš,scoop
h'aš,scoop
ha,dog
ham-cäracha,wart
hasa,guest
haža-n,to grind
i-,pre-verb in
i-,masc. sing. subj./poss. class
ja,"tooth, army"
jä,a demonstrative stem
ja'wäsän,to touch
ja-,3d p. (indirect) object
ja-bgha-n,to take offense at
jä-bza-n,smart
jä-ghwa,season
jä-ha-,to enter
ja-kwä-n,to dare
jä-La-s,year
jä-n,plaster
ja-xä-,lower oneself
ja-xwana-n,to curse
jä-z,right
ja-za,rib
jaba,side
jäba,orphan
jaduw,cat
jäghwa,marten
jäj,a demonstrative stem
jäja,weasel
jän,"big, to throw"
japsan-n,blow
järiq:wä-,suffice
jasa,spit
jasän,to swin
jaxw,zinc
jäz,full
jaza,ashes
jazä,oneself
jaza-sxwa,goose-foot grass
jwa-,to drink
kwa,thigh
