Other,English
-a adj. poss.,of
-a mafaranga,monetary
-a mafaranga,pecuniary
Adamu,Adam
Afuganisitani,Afganistan
Afurika,Africa
Alijeriya n.,Algeria
Alubaniya n.,Albania
Amerika,American continent
Amerika,United States of America
"Anzi n. wa Kera na kare, Satani n., Shitani n.",Old Nick
Arabiya,Arabia
Atalantika,Atlantic
Aziya,Asia
Belizebuli n.,Beelzebub
Bibiliya n.,Bible
Bikira Mariya,Virgin Mary
Eva,Eva
"Gashyantare, ukwezi kwa kabiri",February
"Gicurasi, ukwezi kwa gatanu",May
Hari imbwa iryana!,beware of the dog
Inteko Ishinga Amategeko n.,Parliament
"Interineti, sobekerane-mpuzamasi n. [uru-]",Internet
"Kamarampaka, Kamarampaka n., referendumu n.",Referendum
"Kamena, ukwezi kwa gatandatu",June
Kaminuza n.,university
"Kanama, ukwezi kwa munani",August
Kiliziya Gatolika,Roman Catholic Church
"Kiliziya n., sengero n. [s. uru- pl. in-]",church
Korowani n. [i-],Koran (Quran)
Mariya,Mary
"Mata, ukwezi kwa kane",April
Misa,mass
"Mufasha n., Muvunyi n.",Help (COMP.)
"Mugashyamasi n., Rwogogamasi n.",Navigator
"Mutarama, ukwezi kwa mbere",January
Muvogeramasi n.,Explorer
Navumbuye!,Eureka!
"Nyakanga, ukwezi kwa karindwi",July
Nyamugirubutangwa n.,provider
"Nzeri, ukwezi kwa cyenda",September
"Ongereza n. [s. icy-], ongereza n.[s.umw-pl.ab-]",English
Oseyaniya,Oceania
Ositaraliya,Australia
Pasifika,Pacific
Pasika,Easter
"Perezida wa Repubulika, Umukuru w'Igihugu",President of Republic
"Perezida, Umuyobozi Mukuru",President
Repubulika n.,Republic
Roman numerals,bare n. [imi-] y'ikiromani
"Rozari n., shapure n. [i- ama-]",rosary
"Rusufero n., Luciferi n.",Lucifer
SIDA,AIDS
Sabato,Sabbath
"Shitani n., Satani n., Sekibi n.",Satan
"Shitani, Sekibi, Satani, Shitani n., Sekibi n., Satani n.",Devil
Ubuhindi,India
Uburayi,Europe
Ubutatu Butagatifu,Trinity
Ugushyingo,ukwezi kwa cumi na kumwe
"Ugushyingo, ukwezi kwa cumi na kumwe",November
Ukuboza,ukwezi kwa cumi na kabiri
"Ukuboza, ukwezi kwa cumi n'abiri",December
"WESE n. [Ø- ama-], water closet",sarani n. [umu- imi-]
"WESE n. [Ø- ama-], water closet",tuwaleti n. [Ø- ama-]
Werurwe,ukwezi kwa gatatu
Yezu,Jesus
Zaburi,psalm
a,first letter in Kinyarwanda alphabet
a interj.,(expresses joy
a interj.,pain
a interj.,surprise)
a/an,futuzi n. [im-] ndafutura
abaye n. [s. icy- pl. iby-],what happened
abya n. [s. urw- pl. inz-],pot
abya n. [s. urw- pl. inz-],small covered clay pot
acid,aside n.
acidity,karihe n. [ubu-]
"aderesi n. [s.&pl.], aho umuntu abarizwa",address
aderesi n. ya Interineti,web address
aduka n. [s. inz-],strange
"aduka n. [s. inz-], aduka adj. [icy-]",foreign
aduka v. [kw-],appear suddenly
aga n. [s. ak-],misfortune
agashya n. [s. urw- pl. inz-],spleen
agika v. [kw-],hive
ago n. [s. icy- pl. iby-],trouble
aguke n. [s. ubw-],width
agura v. [kw-],enlarge
agura v. [kw-],expand
agura v. [kw-],magnify
aha adv.,here
aha n. [s. icy- pl. iby-],sin
aha n. [s. ukw- pl. am-],armpit
aha v. [kw-],gather
aha v. [kw-],harvest
ahandi adv.,elsewhere
ahubwo,but rather
ahubwo,on the contrary
"ahubwo, nyamara",however
ahukana v. [ku-],leave mate (temporally) [usu. said of women]
aka n. [s. umw- pl. imy-],age
aka v. [kw-],burn (of fire)
aka v. [kw-],reclaim
aka v. [kw-],shine
aka v. [kw-],take away from
akira n. [iny-] (rb Bz),hyperonyme
akira n. [iny-] (rb Bz),superordinate (term)
"akiramajwi n. [iny-], radiyo n.",radio
akiriro n. [urw-],reception centre
akirwa n. [iny-] (rb Bz),hyponym
akirwa v. [kw-],be received
aku n. [s. umw- pl. imy-],minatory
aku n. [s. umw- pl. imy-],omnious
aku n. [s. umw- pl. imy-],sinister
akura n. [umw- imy-],nerve
akura n. nuko,olfactory nerve
akura n. w'ijisho,optic nerve
"akura v. [ku-], hamagara v. [gu-], ita v. [kw-]",call
aleluya,alleluia!
alimu n. [s. umw- pl. aba-],teacher
alternate,hinduranya v. [gu-]
amamara v. [ku-],be famous
amamare n. [icy- iby-],well-known
amamare n. [s. icy- pl. iby-],celebrity
amamare n. [s. icy- pl. iby-],fame
amamare n. [s. icy- pl. iby-],famous person
amamare n. [s. icy- pl. iby-],renown
ambara v. [kw-],put on
ambara v. [kw-],wear
ambi n. [s. umw- pl. imy-],match
ami n. [i-],at the royal court
ami n. [umw- ab-],king
ami n. w'umwijima,Prince of Darkness
amo n. [s. urw-],clamoring
amo n. [s. urw-],clamour
amo n. [s. urw-],clamouring
amo n. [s. urw-],hue and cry
ana n. /umwâana/ umw- pl. aba-,child
"ana n. /umwâana/ umw- pl. aba-, hungu n. [s. umu- pl. aba-]",son
"ana n. /umwâana/ umw- pl. aba-, kobwa n. [s. umu- pl. aba-], kobwa n. [umu- aba-]",daughter
andika v. [kw-],write
andikamikino n.[umw-aba-](shy),dramatist
andikamikino n.[umw-aba-](shy),playwright
andikire n. [imy-] (rb Bz),orthography (spec.)
andikire n. [imy-] (rb Bz),spelling
andikire n. [imy-] (rb Bz),spelling system
andikire n. [pl. imy-],style [GRAM.]
andikisha n. [iy-] (rb Bz),dictating
"andikisha n. [iy-] (rb Bz), andikwa n. [icy- iby-] (rb Bz)",dictation
andikiwe n. [s. uw-pl. aba-],addressee
andiko n. [iny-] (rb Bz),notation
andiko n. [iny-] (rb Bz),notational system
andiko n. [s. umw- pl. imy-],text
andiko n. nyejwi (rb Bz),phonetic notation
andiko n. nyejwi (rb Bz),phonetic transcription
andiko n. nyemvugo,phonological notation
andiko n. nyemvugo,phonological transcription
"andiko n. rw'inzira (rb rtd), bari n [iki- ibi-]",travel warrant
andiko nyantego n.[iny-](rbBz),morphological notation
andikwakimwe n. [iny-] (rb Bz),homograph
angavu n'ubugimbi n. [ubw-],puberty
angiza v. [kw-],damage
angiza v. [kw-],ruin
angiza v. [kw-],spoil
"ango n. [urw-], nyange n. [i-]",antipathy
"anteni n., nteni n. [a-]",aerial
anya n. [um- imy-],rank
"anya n. [um- imy-], bezi n. [iki- ibi-] (rb Bz)",space
"anya n. [um- imy-], ohereza v. [k-]",post
"ara n. [urw- inz-], sumari n. [umu- imi-]",nail
"arire n.[icy-], gobyi n.[in-], anda n.[umw- imy-]",litter
ato n. [ubw-] bw'imyidagaduro,launch
atsi n. [s. aka],turf
"atsi n. [s. aka], atsi n. [s. icy- pl. iby-]",grass
"atsi n. [s. aka], caca n. [s. aga- pl. udu-]",lawn
atsi n. [s. icy- (colour)],green
atsi n. [s. icy- pl. iby-],weed
atu n. [iny-] (rb Bz),open vowel
atu n. [iy-] (rb Bz),overture
atura n. [iy-] (rb Bz),articulation
atuzo n. [ak- utw-] (rb Bz),punctuation
"atuzo n. [s. ak- pl. utw-], atuzo n. [ak- utw-] (rb Bz)",punctuation mark
ayi n. [i- iby-],Camelia sinensis
ayi n. [i- iby-],tea
ayi n. [i- iby-],tea leaf
azi n. [s. ama-],H2O
azi n. [s. ama-],water
b,the second letter in Kinyarwanda alphabet
ba,second Kinyarwanda noun class
ba n. [im-] (rb Bz),positive neuter
ba v. [ku-],be
ba v. [ku-],happen
"baba n. [i- ama-], nyongera n. [i-]",wing
"babare n. [ubu-], babare n. [ubu-], ribwe n. [ubu-], ryaryate n. [ubu-]",aching
"babaza v. mugenzi wawe, shavuza v. [gu-], tera v. intimba",break someone's heart
"babaza v. mugenzi wawe, shavuza v. [gu-], tera v. intimba",upset s.o. a great deal
baga v. [ku-],slaughter
bago n. [aka- utu-] (rb Bz),full point
bago n. [aka- utu-] (rb Bz),full stop
bago n. [aka- utu-] (rb Bz),stop
"bago n. [aka- utu-] (rb Bz), gingo n. [in-]",point
"bago n. [aka-] n'akitso, bago n. n'akitso (rb Bz)",semicolon
bago n. [pl. utu-] tubiri,colon
bahasha n. [i- ama-],envelope
bakanabuhanga n. [s. iyu-],architecture
bambwa n. [s. i-],crucifixion
bandantego n [i-] (rb Bz),declension
bande n. [s. aka- pl. utu-],valley
"bandi n. [i- ama-], jura n. [umu- aba-]",bandit
"bandi n. [i- ama-], jura n. [umu- aba-]",robber
bangikanyanteruro n.[i-](rbBz),juxtaposition (GRAM.)
"bangikanye adj.[ki-], egeranye adj.[cy-], turanye",adjecent
bango n. [i- ama-] (rb Bz),utterance
banguto n. [aka- utu-] (rb Bz),(moor* v.)
banza adj. [iki-] (rb Bz),initial
banza n. [m-] (rb Bz),preposion
"banze n. [i-], fondasiyo n.",grass roots
banziririza adj. [m-] (rb Bz),preceding*
bara n. [s. i- pl. ama-],color (AmE)
bara n. [s. i- pl. ama-],colour (BrE)
bara n. [s. iki- pl. ibi-],numerator
barankuru n. [s. umu- pl aba-],narrator
bare n. [imi-] y'ikiromani,Roman numerals
bare n. [pl.imi-],mathematics
bare n. [umu- imi-],number (GRAM.)
bare n. [umu- imi-],number (MATH.)
bare n. igabanyika na 2,even number
bariro n. [aka- utu-] (rb Bz),Fr.more
barisho n. [iki- ibi-],abacus
baruramaru n. [i-],accounting
baruwa n. [i- ama-] nyurabyuma,e-mail
"baruwa n. [i- ama-], nyuguti n. [i-]",letter
barwa n. [umu- imi-] nyakamwe,odd number
basha n. [pl. ubu-],authority
"basha n. [pl. ubu-], shobozi n. [pl. ubu-], baraga n. [im-]",power
"basha n. [pl. ubu-], shobozi n. [pl. ubu-], baraga n. [im-], tarumikwa n. [ubu-] (shy)",strength
bashuro n.(SPOR.)s.aka-pl.utu-,diving-board
bashuro n.(SPOR.)s.aka-pl.utu-,springboard
bata n. [s.&pl. im-],goose
bata n. [s.&pl. im-],one's cow
bata n. [s.&pl. im-],slave
